osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,width,tunnel,access
26246813,True,1,Puschkinplatz,secondary_link,50,False,14.384999999999998,"LINESTRING (10.7257881 50.4264004, 10.7258353 50.4264051, 10.7259058 50.4264124, 10.7259896 50.4264145)",,,,
"[232537131, 26293351]",False,2,Clara-Zetkin-Straße,secondary,30,False,60.196,"LINESTRING (10.7260959 50.4263622, 10.726147 50.426271, 10.7261952 50.4261592, 10.7262925 50.4259666, 10.7263506 50.4258459)",,,,
314989210,False,2,Puschkinplatz,secondary,30,True,9.595,"LINESTRING (10.7260959 50.4263622, 10.7260387 50.4263973, 10.7259896 50.4264145)",,,,
26246818,False,,Schloßparkpassage,residential,,False,219.07199999999997,"LINESTRING (10.726918 50.425002, 10.7268701 50.4249842, 10.7266754 50.4249635, 10.726555 50.4249596, 10.7263972 50.4249845, 10.726276 50.4250035, 10.7262104 50.4250174, 10.7260479 50.4250518, 10.7258967 50.4251097, 10.7258069 50.4251768, 10.725755 50.4252155, 10.7257464 50.4253211, 10.7257433 50.4254375, 10.7257551 50.4255811, 10.7257447 50.4257051, 10.7257405 50.4257546, 10.7256484 50.4259207, 10.7255746 50.4260518, 10.7255236 50.4261178, 10.7254409 50.4261604, 10.7253401 50.4262031, 10.7252815 50.4262635)",,,,
"[198507817, 198507818, 527153295]",False,2,Clara-Zetkin-Straße,secondary,30,False,328.281,"LINESTRING (10.726918 50.425002, 10.7270098 50.4249531, 10.7271066 50.4249117, 10.7274247 50.4248631, 10.7276806 50.4248272, 10.728386 50.4247264, 10.7285641 50.4246992, 10.7304492 50.4244372, 10.7307984 50.4243883, 10.7311268 50.4243316, 10.7312392 50.4242821, 10.7313305 50.4242156)",,,,
527153295,False,2,Clara-Zetkin-Straße,secondary,30,True,102.15700000000001,"LINESTRING (10.726918 50.425002, 10.726824 50.4251134, 10.7266404 50.4253964, 10.7263873 50.4257812, 10.7263506 50.4258459)",,,,
45857028,False,2,Coburger Straße,primary,50,False,37.303,"LINESTRING (10.7323302 50.4236017, 10.7324109 50.4237827, 10.7324212 50.4238067, 10.7324746 50.4239243)",B 89,,,
"[198507817, 299645277]",False,2,Clara-Zetkin-Straße,secondary,30,True,99.386,"LINESTRING (10.7323302 50.4236017, 10.7322761 50.4236132, 10.7322078 50.4236304, 10.7321462 50.4236562, 10.7320792 50.4236973, 10.7319188 50.4238079, 10.731504 50.4240893, 10.7313305 50.4242156)",,,,
25758493,True,2,Dr.-Moritz-Mitzenheim-Straße,primary,,False,48.278,"LINESTRING (10.7325564 50.4251998, 10.7326429 50.4253906, 10.7327182 50.4254922, 10.7328072 50.4256016)",B 89,,,
"[295434049, 45857028, 1134498537]",False,"['2', '3']",Coburger Straße,primary,50,"[False, True]",145.407,"LINESTRING (10.7325564 50.4251998, 10.7324819 50.4250653, 10.7324648 50.4250299, 10.7324343 50.4249547, 10.7324098 50.4248796, 10.7323962 50.4247951, 10.7323997 50.4247302, 10.7324211 50.424635, 10.7324802 50.4244944, 10.7325311 50.4243733, 10.732558 50.4242729, 10.732561 50.4242089, 10.7325538 50.424143, 10.7325339 50.4240642, 10.7324746 50.4239243)",B 89,,,
507983135,False,2,Eisfelder Straße,primary,50,False,88.24199999999999,"LINESTRING (10.7325564 50.4251998, 10.7327041 50.4251228, 10.7327479 50.4251, 10.7330955 50.4248716, 10.7333028 50.4247408, 10.7334585 50.4246538)",B 89,,,
1134498538,False,,Obere Marktstraße,residential,,False,23.148,"LINESTRING (10.7325564 50.4251998, 10.7324717 50.4252312, 10.7324002 50.425253, 10.7323234 50.4252705, 10.7322585 50.4252833)",,,,
1013163413,False,,Obere Marktstraße,living_street,,True,23.919,"LINESTRING (10.7297959 50.4259485, 10.7301134 50.4258753)",,,,
26262777,False,2,Schleusinger Straße,residential,50,True,24.993,"LINESTRING (10.7296071 50.4276748, 10.7296642 50.427453)",,,,
"[295478043, 25758495]",True,2,Geschwister-Scholl-Straße,primary,50,False,228.516,"LINESTRING (10.7296071 50.4276748, 10.7283279 50.4276509, 10.7280675 50.4276554, 10.7277054 50.427666, 10.7272741 50.4276954, 10.7270907 50.427712, 10.7266624 50.4277525, 10.7265015 50.4277535, 10.7264011 50.4277244)",B 89,,,
"[1267902331, 26246019, 314989212]",False,2,Schleusinger Straße,secondary,50,False,107.93,"LINESTRING (10.7296071 50.4276748, 10.7294909 50.4281566, 10.7294393 50.4283703, 10.7293749 50.4286341)",L 1134,,,
314989212,False,2,Schleusinger Straße,secondary,50,False,49.624,"LINESTRING (10.7293749 50.4286341, 10.7292727 50.4290756)",L 1134,,,
1078738538,False,,Seminarstraße,residential,,True,66.796,"LINESTRING (10.7293749 50.4286341, 10.7303089 50.4287168)",,5.5,,
"[26246019, 1267902331, 314989212]",False,2,Schleusinger Straße,secondary,50,True,107.93,"LINESTRING (10.7293749 50.4286341, 10.7294393 50.4283703, 10.7294909 50.4281566, 10.7296071 50.4276748)",L 1134,,,
89154555,False,,Ziegeleiweg,residential,,False,114.913,"LINESTRING (10.7290228 50.4301869, 10.7302076 50.4302765, 10.7306338 50.4303087)",,,,
447882543,False,2,Schleusinger Straße,secondary,50,False,55.132000000000005,"LINESTRING (10.7290228 50.4301869, 10.7290112 50.4302391, 10.729002 50.4302808, 10.7289215 50.4306785)",L 1134,,,
"[314989212, 1188125669]",False,2,Schleusinger Straße,secondary,50,True,124.832,"LINESTRING (10.7290228 50.4301869, 10.7290537 50.4300481, 10.7290738 50.4299578, 10.7291576 50.4295809, 10.7292727 50.4290756)",L 1134,,,
