osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,junction,maxspeed,bridge,width
"[315505604, 30798534]",True,1,Nußbaumallee,tertiary,False,22.825,"LINESTRING (7.6278236 47.8115639, 7.6278439 47.8115135, 7.627859 47.8114561, 7.6278703 47.8114265, 7.6279303 47.8113765)",,,,,
802771054,True,1,Schwarzwaldstraße,secondary,False,13.133999999999999,"LINESTRING (7.6278236 47.8115639, 7.6278474 47.8115548, 7.6278823 47.8115462, 7.627919 47.8115424, 7.6279561 47.8115435, 7.6279921 47.8115494)",L 131,roundabout,,,
110328579,False,2,Nußbaumallee,tertiary,True,5.293,"LINESTRING (7.6279594 47.8113331, 7.6279303 47.8113765)",,,,,
"[25819288, 934123102, 315505602, 315505606]",False,2,Nußbaumallee,tertiary,False,204.90599999999998,"LINESTRING (7.6279594 47.8113331, 7.6280414 47.8112652, 7.6281567 47.8112001, 7.6282932 47.8111408, 7.628508 47.8110414, 7.6286272 47.8109752, 7.6287886 47.8108683, 7.6288825 47.8107921, 7.6289999 47.8106754, 7.6291054 47.8105702, 7.6291842 47.8104757, 7.6292074 47.8104436, 7.6293834 47.8102045, 7.6295376 47.810014, 7.6296165 47.8099068)",,,,,
"[30798536, 912599210, 912599211, 930352413]",False,2,Goethestraße,residential,False,134.863,"LINESTRING (7.6279594 47.8113331, 7.6278309 47.8112834, 7.6277342 47.8112394, 7.6275355 47.8111194, 7.6274668 47.8110516, 7.6274051 47.8109711, 7.6273778 47.8109231, 7.6273097 47.8108032, 7.6270273 47.8103372)",,,30,,
436633829,False,2,Hauptstraße,unclassified,False,68.292,"LINESTRING (7.619564 47.8084861, 7.6196655 47.8085008, 7.6197705 47.8085013, 7.6199171 47.808479, 7.6202141 47.808425, 7.6203018 47.8084196, 7.6203806 47.8084222, 7.6204578 47.8084379)",,,30,,
30199755,False,,Hauptstraße,residential,False,193.82299999999998,"LINESTRING (7.6204578 47.8084379, 7.6205709 47.8083471, 7.6207202 47.8083143, 7.6217531 47.8081196, 7.6227842 47.8078936, 7.6228808 47.8078667)",,,30,,
436633829,False,2,Hauptstraße,unclassified,True,68.292,"LINESTRING (7.6204578 47.8084379, 7.6203806 47.8084222, 7.6203018 47.8084196, 7.6202141 47.808425, 7.6199171 47.808479, 7.6197705 47.8085013, 7.6196655 47.8085008, 7.619564 47.8084861)",,,30,,
"[27417977, 487167862]",False,"['2', '3']",Werderstraße,unclassified,False,105.292,"LINESTRING (7.6204578 47.8084379, 7.6205274 47.8084597, 7.6205836 47.808486, 7.6206275 47.8085164, 7.6206684 47.8085531, 7.620701 47.8085941, 7.620808 47.8087788, 7.6208698 47.8088761, 7.6209062 47.8089339, 7.6210347 47.809137, 7.6210906 47.8091842, 7.6211736 47.8092213)",,,30,,
27373170,False,,Gartenstraße,residential,True,7.561,"LINESTRING (7.6211736 47.8092213, 7.6211058 47.8092718)",,,30,,
"[911295021, 911295022, 911295023, 911295024, 911295025, 27417977]",False,2,Werderstraße,unclassified,False,147.574,"LINESTRING (7.6211736 47.8092213, 7.6212799 47.8092416, 7.6214012 47.8092479, 7.6214863 47.8092461, 7.6217401 47.8092212, 7.6218366 47.8092101, 7.6220259 47.8091899, 7.6222155 47.8091643, 7.6223746 47.8091427, 7.6227428 47.809093, 7.6231167 47.8090423)",,,30,,
"[27417977, 487167862]",False,"['2', '3']",Werderstraße,unclassified,True,105.29199999999999,"LINESTRING (7.6211736 47.8092213, 7.6210906 47.8091842, 7.6210347 47.809137, 7.6209062 47.8089339, 7.6208698 47.8088761, 7.620808 47.8087788, 7.620701 47.8085941, 7.6206684 47.8085531, 7.6206275 47.8085164, 7.6205836 47.808486, 7.6205274 47.8084597, 7.6204578 47.8084379)",,,30,,
41386079,True,,Am Lindle,residential,False,47.331999999999994,"LINESTRING (7.6234562 47.8089914, 7.6233589 47.8086832, 7.6233004 47.8085798)",,,,,
"[487167858, 911295029]",False,"['2', '3']",Werderstraße,unclassified,False,154.26999999999998,"LINESTRING (7.6234562 47.8089914, 7.6238309 47.8089446, 7.6239424 47.8089242, 7.6239925 47.8089164, 7.624112 47.8088982, 7.6244857 47.8088484, 7.6246164 47.8088321, 7.6254808 47.8087171)",,,30,,
487167861,False,2,Werderstraße,unclassified,True,25.977,"LINESTRING (7.6234562 47.8089914, 7.6233243 47.8090112, 7.6231167 47.8090423)",,,30,,
30199755,False,,Hauptstraße,residential,False,122.808,"LINESTRING (7.6228808 47.8078667, 7.6232581 47.807609, 7.6235561 47.8074125, 7.6236431 47.8073552, 7.6238941 47.8072181, 7.6241083 47.8071406)",,,30,,
30199755,False,,Hauptstraße,residential,True,193.82299999999998,"LINESTRING (7.6228808 47.8078667, 7.6227842 47.8078936, 7.6217531 47.8081196, 7.6207202 47.8083143, 7.6205709 47.8083471, 7.6204578 47.8084379)",,,30,,
27652650,False,,Hauptstraße,residential,True,83.82900000000001,"LINESTRING (7.6271032 47.8057987, 7.6268503 47.805912, 7.6266137 47.8060473, 7.6263079 47.8062324, 7.6262472 47.8062824)",,,,,
"[27417978, 672548011]",True,,Friedrichstraße,residential,False,137.15300000000002,"LINESTRING (7.6254662 47.8066686, 7.6255524 47.8067985, 7.6257175 47.8071837, 7.6257453 47.8072485, 7.6259459 47.8078567)",,,30,,
30199755,False,,Hauptstraße,residential,False,36.188,"LINESTRING (7.6254662 47.8066686, 7.6256146 47.8066272, 7.6258 47.8065825, 7.6259244 47.8065657)",,,30,,
30199755,False,,Hauptstraße,residential,True,114.283,"LINESTRING (7.6254662 47.8066686, 7.6250566 47.8067903, 7.6246127 47.8069598, 7.6241083 47.8071406)",,,30,,
912599187,False,2,Werderstraße,unclassified,True,8.721,"LINESTRING (7.6263002 47.8086085, 7.6261856 47.8086236)",,,30,,
27350782,False,,Goethestraße,residential,False,199.92,"LINESTRING (7.6263002 47.8086085, 7.6263785 47.8088899, 7.6265022 47.8091955, 7.6269905 47.8102649, 7.6270273 47.8103372)",,,30,,
30668715,False,2,Werderstraße,unclassified,False,113.624,"LINESTRING (7.6263002 47.8086085, 7.6266382 47.808564, 7.6272067 47.8084892, 7.6277934 47.8084124)",,,30,,
"[25819299, 912599197]",True,1,Werderstraße,unclassified,False,24.357,"LINESTRING (7.6303777 47.8081556, 7.630552 47.8081438, 7.6307024 47.8081526)",,,30,,
"[30668715, 913032942, 926338128, 911295030, 911295031]",False,2,Werderstraße,unclassified,True,195.806,"LINESTRING (7.6303777 47.8081556, 7.6302827 47.8081479, 7.63015 47.808144, 7.6300975 47.8081443, 7.6298507 47.8081531, 7.6297172 47.808162, 7.6295938 47.8081767, 7.6295254 47.8081856, 7.6294469 47.8081959, 7.6292476 47.8082219, 7.6289495 47.8082609, 7.6288906 47.8082686, 7.6282335 47.8083547, 7.6277934 47.8084124)",,,30,,
25819287,False,,Werderstraße,secondary,False,49.462,"LINESTRING (7.6312352 47.8082913, 7.6314869 47.8083166, 7.6318891 47.8083619)",K 4946,,50,,
"[912599205, 25819294]",True,1,Werderstraße,secondary,False,22.72,"LINESTRING (7.6312352 47.8082913, 7.631134 47.8082898, 7.6310625 47.8082911, 7.6309316 47.8082828)",K 4946,,50,,
"[25819297, 912599199]",True,1,Moltkeplatz,tertiary,False,25.4,"LINESTRING (7.6307222 47.808536, 7.6307139 47.8084489, 7.6307144 47.8084057, 7.6307402 47.8083093)",,,,,
273186698,False,2,Moltkeplatz,tertiary,True,40.268,"LINESTRING (7.6307222 47.808536, 7.6306817 47.808704, 7.6306488 47.8087913, 7.6305858 47.808884)",,,,,
"[912599204, 911295017, 912599222, 28572794, 911295004]",False,2,Östliche Allee,secondary,True,90.562,"LINESTRING (7.6309076 47.8079504, 7.6309225 47.807913, 7.6309833 47.8077649, 7.6310052 47.8077198, 7.6310415 47.8076463, 7.6310786 47.8075824, 7.6311546 47.8074913, 7.6311945 47.8074435, 7.6312081 47.8074276, 7.6312633 47.8073652, 7.6313992 47.8072118)",K 4946,,40,,
"[911295018, 25819292]",True,1,Östliche Allee,secondary,False,23.354,"LINESTRING (7.6309076 47.8079504, 7.6309165 47.8079997, 7.6309208 47.8080639, 7.6309321 47.8081597)",K 4946,,40,,
30668700,True,1,Werderstraße,secondary,False,4.172,"LINESTRING (7.6309321 47.8081597, 7.6309426 47.8081701, 7.630951 47.8081813, 7.6309572 47.808193)",K 4946,roundabout,,,
"[110328573, 25819295]",True,1,Moltkeplatz,tertiary,False,26.266,"LINESTRING (7.6308557 47.8083177, 7.6308002 47.8084159, 7.6307857 47.8084448, 7.6307222 47.808536)",,,,,
227963501,True,1,Werderstraße,secondary,False,8.902000000000001,"LINESTRING (7.6308557 47.8083177, 7.6308363 47.8083206, 7.6308166 47.8083219, 7.6307966 47.8083213, 7.6307771 47.808319, 7.6307581 47.808315, 7.6307402 47.8083093)",K 4946,roundabout,50,,
183223670,True,1,Werderstraße,secondary,False,10.943,"LINESTRING (7.6307402 47.8083093, 7.6307198 47.8083002, 7.630702 47.8082891, 7.630687 47.8082761, 7.6306754 47.8082616, 7.6306674 47.8082462, 7.6306633 47.80823)",K 4946,roundabout,50,,
"[25819298, 912599198]",True,1,Werderstraße,unclassified,False,23.073,"LINESTRING (7.6306633 47.80823, 7.6305371 47.8082114, 7.6303777 47.8081556)",,,30,,
146385984,True,1,Werderstraße,secondary,False,9.35,"LINESTRING (7.6306633 47.80823, 7.6306629 47.808216, 7.6306653 47.808202, 7.6306707 47.8081885, 7.6306787 47.8081755, 7.6306894 47.8081635, 7.6307024 47.8081526)",K 4946,roundabout,50,,
145294944,True,1,Schwarzwaldstraße,secondary,False,8.452,"LINESTRING (7.6278969 47.8117944, 7.6278695 47.8117897, 7.6278434 47.8117824, 7.6278192 47.8117725, 7.6277975 47.8117603)",L 131,roundabout,,,
27540788,False,,Blankenhornstraße,residential,True,191.672,"LINESTRING (7.6277934 47.8084124, 7.6279318 47.8088408, 7.628121 47.8094248, 7.6282894 47.8100499, 7.6283027 47.8101016)",,,,,
