osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,width
14122983,Iselbergstraße,residential,30,False,False,38.368,,"LINESTRING (13.5384664 52.6500318, 13.5387138 52.6497211)",
48528411,Bucher Straße,secondary,50,False,False,182.95399999999998,2,"LINESTRING (13.5384664 52.6500318, 13.5403364 52.6507508, 13.5405959 52.6508856, 13.540702 52.6509554)",
48528411,Bucher Straße,secondary,50,False,True,121.971,2,"LINESTRING (13.5384664 52.6500318, 13.5373384 52.64959, 13.536948 52.6494363)",
14122954,Pitztaler Straße,residential,30,False,False,229.43099999999998,,"LINESTRING (13.536948 52.6494363, 13.5369675 52.6491408, 13.5369707 52.6490504, 13.5369809 52.648864, 13.5369829 52.6487777, 13.5369947 52.64863, 13.5370005 52.6485072, 13.537004 52.648439, 13.5370129 52.6482496, 13.537027 52.6479975, 13.5370304 52.6479479, 13.5370424 52.6477322, 13.5370462 52.6476807, 13.5370578 52.6473741)",
14122954,Pitztaler Straße,residential,30,False,True,183.687,,"LINESTRING (13.536948 52.6494363, 13.5368545 52.6510317, 13.5368758 52.6510857)",
48528411,Bucher Straße,secondary,50,False,False,121.971,2,"LINESTRING (13.536948 52.6494363, 13.5373384 52.64959, 13.5384664 52.6500318)",
48528411,Bucher Straße,secondary,50,False,True,133.385,2,"LINESTRING (13.536948 52.6494363, 13.5357801 52.6489778, 13.5352872 52.6487854)",
14122919,Oetztaler Straße,residential,30,False,False,161.02399999999997,,"LINESTRING (13.5352872 52.6487854, 13.5353 52.6486102, 13.5353109 52.6484377, 13.5353217 52.6482686, 13.5353337 52.6480802, 13.535335 52.648059, 13.5353452 52.6478979, 13.5353606 52.6476551, 13.5353808 52.6473384)",
14122919,Oetztaler Straße,residential,30,False,True,151.296,,"LINESTRING (13.5352872 52.6487854, 13.5352736 52.6490457, 13.5352717 52.6490788, 13.535246 52.6495161, 13.5352363 52.6496819, 13.5352302 52.6497852, 13.5352228 52.6499112, 13.5352195 52.6499675, 13.5352091 52.6501452)",
48528411,Bucher Straße,secondary,50,False,False,133.385,2,"LINESTRING (13.5352872 52.6487854, 13.5357801 52.6489778, 13.536948 52.6494363)",
9535658,Hochstraße,residential,30,False,False,12.048,,"LINESTRING (13.5398097 52.6435412, 13.5399787 52.6435762)",
9535658,Hochstraße,residential,30,False,False,79.033,,"LINESTRING (13.5399787 52.6435762, 13.5410689 52.6438362)",
9535658,Hochstraße,residential,30,False,True,12.048,,"LINESTRING (13.5399787 52.6435762, 13.5398097 52.6435412)",
"[486331684, 486026111]","['Bochumer Straße', 'Lechtaler Straße']",residential,30,False,True,127.078,,"LINESTRING (13.5399787 52.6435762, 13.5396172 52.6441889, 13.5393354 52.6446503)",
9535658,Hochstraße,residential,30,False,False,53.021,,"LINESTRING (13.5410689 52.6438362, 13.5417941 52.6440199)",
9535658,Hochstraße,residential,30,False,True,79.033,,"LINESTRING (13.5410689 52.6438362, 13.5399787 52.6435762)",
9535658,Hochstraße,residential,30,False,True,53.021,,"LINESTRING (13.5417941 52.6440199, 13.5410689 52.6438362)",
"[532202137, 14123150]","['Brennerstraße', 'Hamburger Straße']",residential,30,False,True,120.348,,"LINESTRING (13.5417941 52.6440199, 13.5414028 52.6445617, 13.5411456 52.645027)",5.05
1205158573,Hochstraße,residential,30,False,False,127.67399999999999,2,"LINESTRING (13.5417941 52.6440199, 13.5423401 52.6441589, 13.5431068 52.6443722, 13.5435139 52.6444979)",
1205158573,Hochstraße,residential,30,False,False,94.445,2,"LINESTRING (13.5435139 52.6444979, 13.5442569 52.6446902, 13.54472 52.6448019, 13.5448071 52.6448229)",
1205158573,Hochstraße,residential,30,False,True,127.67399999999999,2,"LINESTRING (13.5435139 52.6444979, 13.5431068 52.6443722, 13.5423401 52.6441589, 13.5417941 52.6440199)",
482729015,Hochstraße,residential,30,False,True,145.437,2,"LINESTRING (13.5469424 52.6449054, 13.5464889 52.644909, 13.5455647 52.6449279, 13.5454359 52.6449149, 13.5449103 52.644838, 13.5448071 52.6448229)",
9659083,Birkholzer Straße,tertiary,50,False,False,18.861,2,"LINESTRING (13.5437697 52.6504318, 13.5435013 52.6504793)",
9659083,Birkholzer Straße,tertiary,50,False,True,184.46,2,"LINESTRING (13.5437697 52.6504318, 13.5438944 52.6503929, 13.5443442 52.6501725, 13.5447685 52.6499819, 13.5456131 52.6495939, 13.5459551 52.6494372)",
15744417,Wernigeroder Straße,residential,30,False,False,49.489,,"LINESTRING (13.5437697 52.6504318, 13.5438069 52.6504831, 13.543822 52.6504965, 13.5439125 52.6505329, 13.5440568 52.6505673, 13.5441682 52.650585, 13.5444 52.6506109)",
"[1204586082, 15742660]","['Zepernicker Straße', 'Schwanebecker Straße']",residential,50,False,False,104.169,,"LINESTRING (13.5448071 52.6448229, 13.5445803 52.6451939, 13.5445734 52.6452052, 13.5443515 52.6455601, 13.5442634 52.6456997)",
482729015,Hochstraße,residential,30,False,False,145.43699999999998,2,"LINESTRING (13.5448071 52.6448229, 13.5449103 52.644838, 13.5454359 52.6449149, 13.5455647 52.6449279, 13.5464889 52.644909, 13.5469424 52.6449054)",
1205158573,Hochstraße,residential,30,False,True,94.445,2,"LINESTRING (13.5448071 52.6448229, 13.54472 52.6448019, 13.5442569 52.6446902, 13.5435139 52.6444979)",
