osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,lanes,junction,access
75804946,Draisendorfer Weg,residential,50,False,False,2.101,"LINESTRING (12.0312057 50.2529731, 12.031228 50.2529607)",,,,,
156452653,Draisendorfer Weg,residential,,False,True,105.007,"LINESTRING (12.0312057 50.2529731, 12.0300861 50.253589)",,,,,
156452654,Siemensstraße,residential,,False,False,57.055,"LINESTRING (12.0312057 50.2529731, 12.0305945 50.2526406)",,,,,
75804946,Draisendorfer Weg,residential,50,False,True,208.989,"LINESTRING (12.0316412 50.2515524, 12.0317246 50.2516642, 12.0318005 50.2517511, 12.0318996 50.2518121, 12.0319986 50.2518563, 12.0321025 50.251893, 12.0322204 50.2519275, 12.0322745 50.2519518, 12.0323037 50.2519735, 12.0323322 50.2520105, 12.0323465 50.2520406, 12.0323522 50.2520768, 12.0323428 50.2521157, 12.0323193 50.2521588, 12.0322933 50.2521933, 12.0322523 50.2522374, 12.0321481 50.2523234, 12.0318957 50.2525317, 12.031228 50.2529607)",,,,,
156356883,Hofer Straße,tertiary,50,False,False,100.126,"LINESTRING (12.0316412 50.2515524, 12.031842 50.2514813, 12.0323206 50.2513205, 12.0328854 50.2511307)",HO 5,,,,
172041254,Hofer Straße,tertiary,50,False,False,402.904,"LINESTRING (12.0316412 50.2515524, 12.0312236 50.2516982, 12.0311104 50.2517357, 12.0302971 50.2519905, 12.0302035 50.2520289, 12.0300261 50.2521017, 12.0298057 50.252202, 12.0295331 50.2523965, 12.0288188 50.252994, 12.0276097 50.2539971)",HO 5,,,,
38931323,Am Frauenberg,residential,,False,False,288.272,"LINESTRING (12.0276097 50.2539971, 12.0266269 50.2535203, 12.0265172 50.2534484, 12.0264253 50.2533603, 12.026355 50.253198, 12.026301 50.2525875, 12.0262708 50.2522467, 12.0262896 50.2521324, 12.026327 50.2520479, 12.0263874 50.2519689, 12.0264595 50.251923, 12.026566 50.2518551, 12.0265928 50.251838)",,,,,
172041254,Hofer Straße,tertiary,50,False,True,402.904,"LINESTRING (12.0276097 50.2539971, 12.0288188 50.252994, 12.0295331 50.2523965, 12.0298057 50.252202, 12.0300261 50.2521017, 12.0302035 50.2520289, 12.0302971 50.2519905, 12.0311104 50.2517357, 12.0312236 50.2516982, 12.0316412 50.2515524)",HO 5,,,,
38931308,Hans-Böckler-Straße,residential,,False,False,58.128,"LINESTRING (12.0342248 50.2537735, 12.0341249 50.2540578, 12.0340143 50.2542781)",,,,,
588871769,,residential,,False,False,76.607,"LINESTRING (12.0342248 50.2537735, 12.0348278 50.2537994, 12.0353009 50.2538038)",,,,,
588871769,,residential,,False,True,66.617,"LINESTRING (12.0342248 50.2537735, 12.0336129 50.2536936, 12.0333094 50.2536461)",,,,,
38931309,Leipziger Straße,residential,,False,False,44.981,"LINESTRING (12.0353009 50.2538038, 12.0353574 50.2539981, 12.0353717 50.2542048)",,,,,
588871769,,residential,,False,False,70.764,"LINESTRING (12.0353009 50.2538038, 12.0358685 50.2537154, 12.0362663 50.253649)",,,,,
588871769,,residential,,False,True,76.607,"LINESTRING (12.0353009 50.2538038, 12.0348278 50.2537994, 12.0342248 50.2537735)",,,,,
38931310,Jenaer Straße,residential,,False,False,40.429,"LINESTRING (12.0362663 50.253649, 12.0365295 50.2539713)",,,,,
588871769,,residential,,False,False,46.241,"LINESTRING (12.0362663 50.253649, 12.0368712 50.2534962)",,,,,
588871769,,residential,,False,True,70.764,"LINESTRING (12.0362663 50.253649, 12.0358685 50.2537154, 12.0353009 50.2538038)",,,,,
588871769,,residential,,False,True,46.241,"LINESTRING (12.0368712 50.2534962, 12.0362663 50.253649)",,,,,
126586620,Regnitzlosauer Straße,secondary,50,False,False,69.009,"LINESTRING (12.0368712 50.2534962, 12.0369326 50.2536098, 12.0370193 50.2537335, 12.037123 50.2538416, 12.0372263 50.2539312, 12.0373603 50.2540246)",,,,,
126586620,Regnitzlosauer Straße,secondary,50,False,True,191.77100000000002,"LINESTRING (12.0368712 50.2534962, 12.0368373 50.2534385, 12.036642 50.2530026, 12.0366071 50.2529077, 12.0365287 50.252707, 12.0364641 50.2525465, 12.0363796 50.252399, 12.0362246 50.2522049, 12.0360667 50.2520361, 12.0359233 50.2518956)",,,,,
"[45406276, 156357341]",Regnitzlosauer Straße,secondary,50,False,False,225.667,"LINESTRING (12.0359233 50.2518956, 12.0354505 50.2516356, 12.0351517 50.2515277, 12.0348698 50.2514447, 12.034563 50.2513842, 12.0337971 50.2512236, 12.0334331 50.2511496, 12.0330821 50.2510442)",,,,,
126586620,Regnitzlosauer Straße,secondary,50,False,False,191.771,"LINESTRING (12.0359233 50.2518956, 12.0360667 50.2520361, 12.0362246 50.2522049, 12.0363796 50.252399, 12.0364641 50.2525465, 12.0365287 50.252707, 12.0366071 50.2529077, 12.036642 50.2530026, 12.0368373 50.2534385, 12.0368712 50.2534962)",,,,,
"[28758298, 28758299, 156358036]",Sonnenstraße,secondary,50,False,"[False, True]",205.618,"LINESTRING (12.0359233 50.2518956, 12.0360494 50.2518254, 12.0361467 50.2517831, 12.0362463 50.2517464, 12.0363698 50.2517171, 12.036502 50.251688, 12.0368755 50.2516177, 12.0370434 50.2515727, 12.0372002 50.2515255, 12.0373568 50.2514717, 12.0375664 50.2513801, 12.0380223 50.2511454, 12.0383798 50.2509614)",,yes,,,
126586620,Regnitzlosauer Straße,secondary,50,False,True,69.009,"LINESTRING (12.0373603 50.2540246, 12.0372263 50.2539312, 12.037123 50.2538416, 12.0370193 50.2537335, 12.0369326 50.2536098, 12.0368712 50.2534962)",,,,,
156357991,Ludwigstraße,tertiary,50,False,True,25.518,"LINESTRING (12.0376667 50.2487486, 12.0373519 50.2486384)",,,,,
156357992,Schützenstraße,tertiary,50,False,False,76.602,"LINESTRING (12.0376667 50.2487486, 12.0381424 50.2489016, 12.0386574 50.2490153)",,,,,
779842670,Ascher Straße,tertiary,50,False,True,129.166,"LINESTRING (12.0376667 50.2487486, 12.037752 50.2486359, 12.0378527 50.2485485, 12.038033 50.2484108, 12.0381757 50.2482731, 12.0383428 50.2480871, 12.0384498 50.2479681, 12.0385074 50.2478913, 12.0385807 50.2477529)",,,,,
156357992,Schützenstraße,tertiary,50,False,False,36.093,"LINESTRING (12.0393484 50.2491345, 12.0398425 50.2492089)",,,,,
156357992,Schützenstraße,tertiary,50,False,True,50.889,"LINESTRING (12.0393484 50.2491345, 12.0386574 50.2490153)",,,,,
"[28254297, 28726895]","['Fabriksteig', 'Kreuzstraße']",residential,30,False,False,161.668,"LINESTRING (12.0393484 50.2491345, 12.0391987 50.2496138, 12.0390799 50.2499048, 12.0389651 50.2500638, 12.0389284 50.2500985, 12.0388981 50.2501115, 12.0388679 50.2501138, 12.03882 50.2501107, 12.038289 50.2499543)",,,,,
27466241,Maxplatz,residential,30,False,False,48.212,"LINESTRING (12.0358378 50.2481837, 12.0355681 50.2485815)",,,,,
156357991,Ludwigstraße,tertiary,50,False,False,114.094,"LINESTRING (12.0358378 50.2481837, 12.0372915 50.2486181)",,,,,
28725874,Burgstraße,residential,,False,False,121.137,"LINESTRING (12.0358378 50.2481837, 12.0363789 50.2473882, 12.0365191 50.2471852)",,,,,
"[172457068, 156321277, 28254375]",Maxplatz,tertiary,50,False,"[False, True]",120.453,"LINESTRING (12.0358378 50.2481837, 12.0351608 50.2479919, 12.0350839 50.2479683, 12.0345359 50.2478168, 12.0345152 50.2478121, 12.0343916 50.2477788, 12.0342866 50.2477486)",,yes,,,
27466241,Maxplatz,residential,30,False,True,48.212,"LINESTRING (12.0355681 50.2485815, 12.0358378 50.2481837)",,,,,
156357726,Bahnhofstraße,residential,30,True,False,43.508,"LINESTRING (12.0355681 50.2485815, 12.0353166 50.2489382)",,,,,
"[34471497, 351161683, 28236715, 34471498]",Maxplatz,"['living_street', 'residential']",30,True,False,121.21499999999999,"LINESTRING (12.0355681 50.2485815, 12.0348832 50.2483883, 12.0343217 50.2482272, 12.0342672 50.2482114, 12.0341665 50.2481833, 12.0340096 50.2481398)",,yes,,,
28254296,Wallstraße,residential,30,False,False,112.62899999999999,"LINESTRING (12.0355681 50.2485815, 12.0360857 50.2487267, 12.0370081 50.2490033)",,,,,
36805422,Bahnhofstraße,residential,30,False,False,16.818,"LINESTRING (12.0349922 50.2494629, 12.034893 50.2496002)",,,,,
28236714,Fabrikstraße,residential,30,False,False,112.311,"LINESTRING (12.0349922 50.2494629, 12.0352969 50.2494725, 12.0355579 50.2494973, 12.0358429 50.2495562, 12.0362628 50.2496869, 12.0364823 50.2497552)",,,,,
34471500,,residential,,False,False,33.028,"LINESTRING (12.0343405 50.2502135, 12.0347496 50.2503542)",,,,,
28254367,Bahnhofstraße,tertiary,50,False,False,79.393,"LINESTRING (12.0343405 50.2502135, 12.0341057 50.2504459, 12.0338646 50.2506398, 12.0336325 50.2507578)",HO 5,,,,
"[28758304, 28758305, 36805422]",Bahnhofstraße,residential,30,False,True,78.717,"LINESTRING (12.0343405 50.2502135, 12.0347268 50.2497922, 12.034806 50.2497058, 12.0348648 50.2496372, 12.034893 50.2496002)",,yes,,,
156357650,Goethestraße,tertiary,50,False,False,113.805,"LINESTRING (12.0343405 50.2502135, 12.0335501 50.2499417, 12.0329308 50.2497288)",HO 5,,,,
156357649,Am Bahnhof,residential,,False,False,51.205,"LINESTRING (12.0336325 50.2507578, 12.033027 50.2505085)",,,,,
28254367,Bahnhofstraße,tertiary,50,False,True,79.393,"LINESTRING (12.0336325 50.2507578, 12.0338646 50.2506398, 12.0341057 50.2504459, 12.0343405 50.2502135)",HO 5,,,,
156356884,Bahnhofstraße,tertiary,50,False,False,50.522999999999996,"LINESTRING (12.0336325 50.2507578, 12.0333815 50.2509034, 12.0333132 50.2509371, 12.0330821 50.2510442)",HO 5,,2,,
28254302,Rudolf-Breitscheid-Straße,residential,,False,True,61.854,"LINESTRING (12.0329308 50.2497288, 12.0326206 50.2502485)",,,,,
28254368,Goethestraße,residential,50,False,False,390.77900000000005,"LINESTRING (12.0329308 50.2497288, 12.0323757 50.2495387, 12.0287685 50.2483037, 12.0286269 50.2482552, 12.028561 50.2482326, 12.0285042 50.2482139, 12.0280788 50.2480785)",,,,,
"[28254379, 28254380, 28278007]",Rudolf-Breitscheid-Straße,tertiary,50,False,False,73.00599999999999,"LINESTRING (12.0329308 50.2497288, 12.0332454 50.2492641, 12.0332881 50.2492048, 12.0333063 50.2491795, 12.0333437 50.2491277)",HO 5,yes,,,
156357650,Goethestraße,tertiary,50,False,True,113.805,"LINESTRING (12.0329308 50.2497288, 12.0335501 50.2499417, 12.0343405 50.2502135)",HO 5,,,,
227973147,Gartenstraße,tertiary,50,False,False,47.751,"LINESTRING (12.0340096 50.2481398, 12.0342866 50.2477486)",HO 5,,,,
227973147,Gartenstraße,tertiary,50,False,True,42.963,"LINESTRING (12.0340096 50.2481398, 12.0337755 50.248496)",HO 5,,,,
28236716,Pfarrstraße,residential,30,False,True,145.411,"LINESTRING (12.0340096 50.2481398, 12.0333267 50.2479436, 12.0321442 50.2476039)",,,,,
