osmid,oneway,lanes,highway,reversed,length,geometry,maxspeed,bridge
92152955,False,2,residential,False,319.222,"LINESTRING (23.6810377 40.4475753, 23.6810893 40.4475676, 23.6811602 40.4475146, 23.6812654 40.4473885, 23.6813848 40.4472466, 23.6814653 40.447116, 23.6815092 40.4470118, 23.6815376 40.4468955, 23.6815645 40.4468154, 23.6816101 40.4465811, 23.6816049 40.4464596, 23.6815806 40.446375, 23.6814947 40.4461771, 23.6814492 40.4460157, 23.6814263 40.4459285, 23.6814197 40.4458423, 23.6814706 40.44573, 23.681594 40.4455912, 23.6816959 40.4454993, 23.6817817 40.4454361, 23.6819105 40.4453605, 23.6819722 40.4452912, 23.6819266 40.4451646, 23.6818572 40.4450214)",,
"[305975083, 306105219]",False,,residential,False,204.13500000000002,"LINESTRING (23.6810377 40.4475753, 23.6810479 40.4476599, 23.6810901 40.4477113, 23.6811357 40.4477331, 23.6811881 40.4477396, 23.6812489 40.447737, 23.6813621 40.4477036, 23.6815938 40.447555, 23.6818857 40.4472725, 23.6819127 40.447177, 23.6819992 40.44709, 23.6820766 40.4470267, 23.6823555 40.4469264, 23.6825046 40.446902, 23.6825914 40.4469315, 23.682793 40.4469888)",,
319371162,False,2,residential,True,80.688,"LINESTRING (23.6810377 40.4475753, 23.6809918 40.4475581, 23.680962 40.4475306, 23.6809647 40.4474296, 23.6809717 40.4473711, 23.6809771 40.4472364, 23.6809597 40.4471752, 23.6809235 40.4471139, 23.6808268 40.4469607, 23.6807726 40.4469217)",,
166454297,False,2,secondary,False,40.388,"LINESTRING (23.6799762 40.4439362, 23.6801812 40.4442642)",50,
166445205,False,2,tertiary,False,101.57499999999999,"LINESTRING (23.6799762 40.4439362, 23.6802782 40.4437798, 23.6804659 40.4436061, 23.6806327 40.4434746, 23.680889 40.4433569)",50,
166445205,False,2,tertiary,True,60.781,"LINESTRING (23.6799762 40.4439362, 23.6796728 40.444056, 23.6795413 40.4440703, 23.679426 40.4440601, 23.6793026 40.4440356)",50,
166454297,False,2,secondary,True,106.709,"LINESTRING (23.6799762 40.4439362, 23.6798868 40.4437857, 23.679791 40.4436786, 23.6796548 40.4435557, 23.6794242 40.4433145, 23.6792843 40.4431383)",50,
166454297,False,2,secondary,True,40.388,"LINESTRING (23.6801812 40.4442642, 23.6799762 40.4439362)",50,
426789046,False,2,residential,False,16.034,"LINESTRING (23.6801812 40.4442642, 23.6803571 40.4442106)",,
802203027,False,2,residential,False,11.01,"LINESTRING (23.6801812 40.4442642, 23.6802109 40.4443606)",,
306105179,False,2,residential,True,19.556,"LINESTRING (23.6802873 40.4451722, 23.6803045 40.44514, 23.6803279 40.4451102, 23.680357 40.4450834, 23.6803924 40.4450597, 23.6804321 40.4450406)",,
319371153,False,2,residential,True,22.459,"LINESTRING (23.6802873 40.4451722, 23.6801605 40.4451279, 23.6800351 40.4451196)",,
319371162,False,2,residential,False,96.287,"LINESTRING (23.6802873 40.4451722, 23.6803803 40.4452377, 23.680453 40.4454879, 23.6805054 40.4456578, 23.6805325 40.4458027, 23.6806174 40.4459839)",,
166445180,False,2,residential,False,90.15400000000001,"LINESTRING (23.6806174 40.4459839, 23.6807519 40.4459507, 23.6808321 40.4459576, 23.6808898 40.4460009, 23.6809712 40.4461405, 23.6810175 40.4462765, 23.6809881 40.4464184, 23.681008 40.4465608)",,
319371162,False,2,residential,False,106.46599999999998,"LINESTRING (23.6806174 40.4459839, 23.6806823 40.4461229, 23.6806923 40.4462454, 23.6806838 40.4464137, 23.6806689 40.4466147, 23.6807059 40.4467594, 23.6807726 40.4469217)",,
319371162,False,2,residential,True,96.28699999999999,"LINESTRING (23.6806174 40.4459839, 23.6805325 40.4458027, 23.6805054 40.4456578, 23.680453 40.4454879, 23.6803803 40.4452377, 23.6802873 40.4451722)",,
166445181,False,2,residential,False,95.87299999999999,"LINESTRING (23.6807726 40.4469217, 23.6806615 40.4469378, 23.6805783 40.4469714, 23.6804155 40.4470088, 23.680335 40.4469977, 23.6802296 40.4469408, 23.6801569 40.4468853, 23.6801009 40.4468098, 23.6800999 40.4467245, 23.6801235 40.4465614)",,
319371162,False,2,residential,False,80.68799999999999,"LINESTRING (23.6807726 40.4469217, 23.6808268 40.4469607, 23.6809235 40.4471139, 23.6809597 40.4471752, 23.6809771 40.4472364, 23.6809717 40.4473711, 23.6809647 40.4474296, 23.680962 40.4475306, 23.6809918 40.4475581, 23.6810377 40.4475753)",,
319371162,False,2,residential,True,106.46599999999998,"LINESTRING (23.6807726 40.4469217, 23.6807059 40.4467594, 23.6806689 40.4466147, 23.6806838 40.4464137, 23.6806923 40.4462454, 23.6806823 40.4461229, 23.6806174 40.4459839)",,
166454297,False,2,secondary,False,43.055,"LINESTRING (23.6788761 40.4424195, 23.6790693 40.4427777)",50,
166454297,False,2,secondary,True,17.471,"LINESTRING (23.6788761 40.4424195, 23.6787774 40.4422815)",50,
166445173,False,2,residential,True,111.55400000000002,"LINESTRING (23.6788761 40.4424195, 23.6789196 40.4423932, 23.678992 40.4422932, 23.679102 40.442187, 23.6793487 40.4419686, 23.6796411 40.4417338, 23.6797242 40.4416563)",,
92152955,False,2,residential,False,59.113,"LINESTRING (23.68367 40.4441031, 23.6837183 40.44395, 23.6838658 40.4438684, 23.6839355 40.443699, 23.6839764 40.4436502)",,
92152955,False,2,residential,True,71.735,"LINESTRING (23.68367 40.4441031, 23.683616 40.4441503, 23.6835198 40.444199, 23.6833777 40.4443256, 23.6833026 40.4444113, 23.6832141 40.4445134, 23.6831658 40.4446094)",,
305975148,False,,residential,False,174.16199999999998,"LINESTRING (23.68367 40.4441031, 23.68374 40.4441795, 23.6838775 40.4443774, 23.6840468 40.4448137, 23.6839818 40.4448789, 23.6839534 40.4449345, 23.683825 40.4451002, 23.6835319 40.4452164, 23.6833348 40.4453619)",,
92152955,False,2,residential,False,71.735,"LINESTRING (23.6831658 40.4446094, 23.6832141 40.4445134, 23.6833026 40.4444113, 23.6833777 40.4443256, 23.6835198 40.444199, 23.683616 40.4441503, 23.68367 40.4441031)",,
92152955,False,2,residential,True,47.649,"LINESTRING (23.6831658 40.4446094, 23.6830182 40.4447074, 23.6828144 40.4447951, 23.6826829 40.4448106)",,
305975153,False,,residential,False,86.447,"LINESTRING (23.6831658 40.4446094, 23.6832227 40.4447433, 23.6831937 40.4449711, 23.6832286 40.4450986, 23.6832491 40.4452072, 23.6833348 40.4453619)",,
92152955,False,2,residential,False,74.59,"LINESTRING (23.6818572 40.4450214, 23.6820864 40.4450023, 23.6822575 40.4449574, 23.6824928 40.4448551, 23.6826829 40.4448106)",,
92152955,False,2,residential,True,319.222,"LINESTRING (23.6818572 40.4450214, 23.6819266 40.4451646, 23.6819722 40.4452912, 23.6819105 40.4453605, 23.6817817 40.4454361, 23.6816959 40.4454993, 23.681594 40.4455912, 23.6814706 40.44573, 23.6814197 40.4458423, 23.6814263 40.4459285, 23.6814492 40.4460157, 23.6814947 40.4461771, 23.6815806 40.446375, 23.6816049 40.4464596, 23.6816101 40.4465811, 23.6815645 40.4468154, 23.6815376 40.4468955, 23.6815092 40.4470118, 23.6814653 40.447116, 23.6813848 40.4472466, 23.6812654 40.4473885, 23.6811602 40.4475146, 23.6810893 40.4475676, 23.6810377 40.4475753)",,
166445175,False,2,residential,True,68.952,"LINESTRING (23.6818572 40.4450214, 23.6817428 40.4450304, 23.6816027 40.4450494, 23.6813924 40.4450791, 23.681049 40.4450885)",,
166445189,False,,residential,True,243.45600000000005,"LINESTRING (23.6818572 40.4450214, 23.6818461 40.4449567, 23.6818161 40.4448768, 23.6817421 40.4447996, 23.6816423 40.44468, 23.6816115 40.4445658, 23.681639 40.4444957, 23.6817167 40.4444206, 23.6818435 40.4443575, 23.6819834 40.4443088, 23.682107 40.4442719, 23.6822207 40.4442147, 23.6823355 40.4441387, 23.6825105 40.4440496, 23.6826815 40.4439581, 23.6828407 40.4438757, 23.6829484 40.4437912, 23.6830237 40.4436581, 23.6831171 40.4434319)",,
166445184,False,2,residential,False,155.267,"LINESTRING (23.67941 40.4450573, 23.6793341 40.4451852, 23.679172 40.4452889, 23.6790724 40.4453182, 23.6790113 40.4454868, 23.6789752 40.4456714, 23.6789626 40.4457884, 23.678869 40.4459024, 23.6787097 40.4460663, 23.6785377 40.4462127)",,
166445184,False,2,residential,True,56.597,"LINESTRING (23.67941 40.4450573, 23.6794985 40.4448527, 23.6796202 40.4445741)",,
