osmid,oneway,lanes,name,highway,reversed,length,geometry
250799729,False,2,Avenida El Triángulo,secondary,False,64.221,"LINESTRING (-89.8250276 16.8126964, -89.8253419 16.8122034)"
249809263,False,,17 Calle,residential,False,65.16,"LINESTRING (-89.8250276 16.8126964, -89.8247721 16.8126614, -89.8244182 16.8126715)"
250799729,False,2,Avenida El Triángulo,secondary,True,59.866,"LINESTRING (-89.8271772 16.808301, -89.827229 16.8088371)"
250789103,False,,12 Calle,residential,False,67.229,"LINESTRING (-89.8271772 16.808301, -89.8273256 16.8083609, -89.8277961 16.8083667)"
1103685303,False,,Bulevar Santa Ana,secondary,False,166.744,"LINESTRING (-89.8271772 16.808301, -89.827197 16.8081421, -89.8272935 16.8079829, -89.8274652 16.8076979, -89.8277445 16.8072953, -89.8279547 16.8070173)"
108686484,False,,Bulevar Santa Ana,tertiary,True,114.195,"LINESTRING (-89.8234081 16.8092734, -89.8223675 16.8095232)"
1103677120,True,,Bulevar Santa Ana,tertiary,False,94.969,"LINESTRING (-89.8234081 16.8092734, -89.8242159 16.8089108)"
249808418,False,,6a Avenida,residential,True,82.547,"LINESTRING (-89.8234081 16.8092734, -89.8233771 16.8095062, -89.8233628 16.8097678, -89.8233736 16.8100133)"
249810920,False,,5a Avenida,residential,False,72.807,"LINESTRING (-89.8250359 16.8085432, -89.8249343 16.8078957)"
249810920,False,,5a Avenida,residential,True,43.221,"LINESTRING (-89.8250359 16.8085432, -89.8250618 16.8089311)"
1103677120,True,,Bulevar Santa Ana,tertiary,False,163.16899999999998,"LINESTRING (-89.8250359 16.8085432, -89.8250992 16.808529, -89.8259332 16.8084493, -89.8265588 16.8083802)"
249808418,False,,6a Avenida,residential,False,94.406,"LINESTRING (-89.8236948 16.8125854, -89.8236066 16.8117406)"
249808418,False,,6a Avenida,residential,True,11.126,"LINESTRING (-89.8236948 16.8125854, -89.8237164 16.8126833)"
249808422,False,,17 Calle,residential,False,56.08,"LINESTRING (-89.8236948 16.8125854, -89.82318 16.8126927)"
249808422,False,,17 Calle,residential,True,36.719,"LINESTRING (-89.82285 16.8127889, -89.82318 16.8126927)"
249809263,False,,17 Calle,residential,False,74.713,"LINESTRING (-89.8244182 16.8126715, -89.8237164 16.8126833)"
249814640,False,,5a Avenida A,residential,False,119.584,"LINESTRING (-89.8244182 16.8126715, -89.8243525 16.8115979)"
249809263,False,,17 Calle,residential,True,65.16,"LINESTRING (-89.8244182 16.8126715, -89.8247721 16.8126614, -89.8250276 16.8126964)"
249808418,False,,6a Avenida,residential,False,11.126,"LINESTRING (-89.8237164 16.8126833, -89.8236948 16.8125854)"
249809263,False,,17 Calle,residential,True,74.713,"LINESTRING (-89.8237164 16.8126833, -89.8244182 16.8126715)"
249810920,False,,5a Avenida,residential,True,67.76,"LINESTRING (-89.8253166 16.8115945, -89.8253419 16.8122034)"
249809264,False,,16 Calle,residential,False,104.268,"LINESTRING (-89.8253166 16.8115945, -89.8251234 16.8116254, -89.8249433 16.8115834, -89.8249041 16.811574, -89.8248029 16.8115498, -89.8246404 16.8115582, -89.8243525 16.8115979)"
249809264,False,,16 Calle,residential,True,72.479,"LINESTRING (-89.8253166 16.8115945, -89.825769 16.8113526, -89.8259161 16.811286)"
249810920,False,,5a Avenida,residential,False,199.159,"LINESTRING (-89.8253166 16.8115945, -89.8253907 16.8110468, -89.8253875 16.8109117, -89.8253846 16.8107533, -89.8253626 16.8105758, -89.8252389 16.8098185)"
249809264,False,,16 Calle,residential,False,80.966,"LINESTRING (-89.8243525 16.8115979, -89.8236066 16.8117406)"
249814640,False,,5a Avenida A,residential,True,119.584,"LINESTRING (-89.8243525 16.8115979, -89.8244182 16.8126715)"
401504570,False,,5a Avenida A,residential,True,188.522,"LINESTRING (-89.8243525 16.8115979, -89.8243134 16.8099029)"
249809264,False,,16 Calle,residential,True,104.268,"LINESTRING (-89.8243525 16.8115979, -89.8246404 16.8115582, -89.8248029 16.8115498, -89.8249041 16.811574, -89.8249433 16.8115834, -89.8251234 16.8116254, -89.8253166 16.8115945)"
249808418,False,,6a Avenida,residential,False,109.632,"LINESTRING (-89.8236066 16.8117406, -89.8234761 16.8107626)"
249808418,False,,6a Avenida,residential,True,94.406,"LINESTRING (-89.8236066 16.8117406, -89.8236948 16.8125854)"
249809264,False,,16 Calle,residential,False,69.138,"LINESTRING (-89.8236066 16.8117406, -89.8229692 16.8118602)"
249809264,False,,16 Calle,residential,True,80.966,"LINESTRING (-89.8236066 16.8117406, -89.8243525 16.8115979)"
249809264,False,,16 Calle,residential,True,69.138,"LINESTRING (-89.8229692 16.8118602, -89.8236066 16.8117406)"
249810928,False,,7a Avenida,residential,False,109.669,"LINESTRING (-89.8229692 16.8118602, -89.8226931 16.81091)"
249810928,False,,7a Avenida,residential,True,95.25,"LINESTRING (-89.8229692 16.8118602, -89.82318 16.8126927)"
249809264,False,,16 Calle,residential,False,131.303,"LINESTRING (-89.8229692 16.8118602, -89.8223749 16.8119827, -89.8217577 16.8120807)"
249809264,False,,16 Calle,residential,False,113.467,"LINESTRING (-89.8217577 16.8120807, -89.8207084 16.8122606)"
249810924,False,,8a Avenida,residential,False,103.665,"LINESTRING (-89.8217577 16.8120807, -89.8215885 16.8111626)"
249809264,False,,16 Calle,residential,True,131.303,"LINESTRING (-89.8217577 16.8120807, -89.8223749 16.8119827, -89.8229692 16.8118602)"
249809264,False,,16 Calle,residential,False,108.527,"LINESTRING (-89.8207084 16.8122606, -89.819707 16.8124441)"
249809264,False,,16 Calle,residential,True,113.467,"LINESTRING (-89.8207084 16.8122606, -89.8217577 16.8120807)"
249810923,False,,9a Avenida,residential,False,103.545,"LINESTRING (-89.8207084 16.8122606, -89.820572 16.8113386)"
249809264,False,,16 Calle,residential,False,81.074,"LINESTRING (-89.819707 16.8124441, -89.8189616 16.812594)"
249809264,False,,16 Calle,residential,True,108.527,"LINESTRING (-89.819707 16.8124441, -89.8207084 16.8122606)"
249810925,False,,10a Avenida,residential,False,104.251,"LINESTRING (-89.819707 16.8124441, -89.819572 16.8115155)"
249809264,False,,16 Calle,residential,True,81.074,"LINESTRING (-89.8189616 16.812594, -89.819707 16.8124441)"
249810920,False,,5a Avenida,residential,False,67.76,"LINESTRING (-89.8253419 16.8122034, -89.8253166 16.8115945)"
250799729,False,2,Avenida El Triángulo,secondary,False,14.741,"LINESTRING (-89.8253419 16.8122034, -89.8254181 16.8120927)"
250799729,False,2,Avenida El Triángulo,secondary,True,64.221,"LINESTRING (-89.8253419 16.8122034, -89.8250276 16.8126964)"
250799729,False,2,Avenida El Triángulo,secondary,True,104.193,"LINESTRING (-89.8259161 16.811286, -89.8254181 16.8120927)"
249809264,False,,16 Calle,residential,False,72.479,"LINESTRING (-89.8259161 16.811286, -89.825769 16.8113526, -89.8253166 16.8115945)"
250799729,False,2,Avenida El Triángulo,secondary,False,34.421,"LINESTRING (-89.8259161 16.811286, -89.8259831 16.8111812, -89.8260848 16.8110219)"
249808418,False,,6a Avenida,residential,False,84.03,"LINESTRING (-89.8234761 16.8107626, -89.8233736 16.8100133)"
249808418,False,,6a Avenida,residential,True,109.632,"LINESTRING (-89.8234761 16.8107626, -89.8236066 16.8117406)"
249809271,False,,15 Calle,residential,False,84.941,"LINESTRING (-89.8234761 16.8107626, -89.8226931 16.81091)"
249809271,False,,15 Calle,residential,False,120.885,"LINESTRING (-89.8226931 16.81091, -89.8215885 16.8111626)"
249809271,False,,15 Calle,residential,True,84.941,"LINESTRING (-89.8226931 16.81091, -89.8234761 16.8107626)"
249810928,False,,7a Avenida,residential,False,79.48,"LINESTRING (-89.8226931 16.81091, -89.8225253 16.8102135)"
