osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed
77604935,3307,Szent István utca,secondary,False,False,8.339,"LINESTRING (20.9050936 47.8166524, 20.9051108 47.8165783)",,
77604935,3307,Szent István utca,secondary,False,True,69.181,"LINESTRING (20.9050936 47.8166524, 20.9048953 47.8170712, 20.9047968 47.8172415)",,
180395846,,,residential,False,True,195.25500000000002,"LINESTRING (20.9050936 47.8166524, 20.9052324 47.8165689, 20.9057111 47.8162445, 20.9063105 47.8157489, 20.9067086 47.8154395, 20.9068607 47.8153644)",,
284868341,3313,Bajcsy-Zsilinszky utca,secondary,False,True,48.526,"LINESTRING (20.9089218 47.821351, 20.908278 47.8212911)",2,
180395743,,Hunyadi utca,residential,False,True,61.435,"LINESTRING (20.9089218 47.821351, 20.9084842 47.8215236, 20.908236 47.8216542)",,
70747577,3313,Hősök tere,secondary,False,False,57.193,"LINESTRING (20.9036104 47.8210821, 20.9043763 47.8210916)",2,
284866751,3307,Hősök tere,secondary,False,False,12.898,"LINESTRING (20.9036104 47.8210821, 20.9035386 47.8211876)",2,
284866751,3307,Hősök tere,secondary,False,True,71.863,"LINESTRING (20.9036104 47.8210821, 20.9038231 47.8204518)",2,
70747577,3313,Hősök tere,secondary,False,False,13.688,"LINESTRING (20.9048371 47.8210936, 20.9050204 47.821096)",2,
70747577,3313,Hősök tere,secondary,False,True,34.405,"LINESTRING (20.9048371 47.8210936, 20.9043763 47.8210916)",2,
380009738,,,residential,False,False,134.458,"LINESTRING (20.9048371 47.8210936, 20.9045386 47.8204704, 20.9046903 47.8201417, 20.9050005 47.8201718)",,50
180395834,,Hunyadi utca,residential,False,True,40.497,"LINESTRING (20.908278 47.8212911, 20.908236 47.8216542)",,
284868047,3313,,secondary,False,True,94.118,"LINESTRING (20.908278 47.8212911, 20.9070186 47.8212543)",2,
284868341,3313,Bajcsy-Zsilinszky utca,secondary,False,False,48.526,"LINESTRING (20.908278 47.8212911, 20.9089218 47.821351)",2,
284868340,,Dobó utca,residential,False,False,102.80900000000001,"LINESTRING (20.908278 47.8212911, 20.9082698 47.8207124, 20.9082863 47.820516, 20.9082506 47.8203688)",,
180395869,,Munkácsy utca,residential,False,False,229.512,"LINESTRING (20.902778 47.8142964, 20.9021282 47.8144446, 20.899943 47.8150903)",,
180395869,,Munkácsy utca,residential,False,True,197.975,"LINESTRING (20.902778 47.8142964, 20.9035093 47.8141658, 20.9038633 47.8141276, 20.9040468 47.8141511, 20.9043703 47.8142186, 20.9050083 47.8144094, 20.9052971 47.8144888)",,
77604935,3307,Szent István utca,secondary,False,True,62.492,"LINESTRING (20.9052971 47.8144888, 20.9052616 47.8150503)",,
180395869,,Munkácsy utca,residential,False,False,197.975,"LINESTRING (20.9052971 47.8144888, 20.9050083 47.8144094, 20.9043703 47.8142186, 20.9040468 47.8141511, 20.9038633 47.8141276, 20.9035093 47.8141658, 20.902778 47.8142964)",,
180395738,,Deák Ferenc utca,residential,False,True,197.371,"LINESTRING (20.9082607 47.8145447, 20.9083121 47.8145958, 20.9085268 47.8148721, 20.9087438 47.8151575, 20.9089205 47.8153468, 20.9092314 47.8156381, 20.9095713 47.815943, 20.9097032 47.8160218)",,
"[284869803, 180395739]",,"['Bem József utca', 'Deák Ferenc utca']",residential,False,True,455.231,"LINESTRING (20.9082607 47.8145447, 20.9083022 47.8144658, 20.9086377 47.8140138, 20.9088792 47.813802, 20.9092237 47.8135241, 20.9092908 47.8134986, 20.909718 47.8137058, 20.9098007 47.8137509, 20.9098343 47.813823, 20.9099573 47.8153851, 20.9099797 47.8157065, 20.9100624 47.8158086, 20.9097032 47.8160218)",,
284869802,,,residential,False,False,117.20000000000002,"LINESTRING (20.9082607 47.8145447, 20.9081277 47.8146206, 20.9077609 47.8147843, 20.9069311 47.8151012)",,
180395757,,,residential,False,False,74.94,"LINESTRING (20.904258 47.8150464, 20.9052616 47.8150503)",,
77604935,3307,Szent István utca,secondary,False,False,62.492,"LINESTRING (20.9052616 47.8150503, 20.9052971 47.8144888)",,
180395757,,,residential,False,True,74.94,"LINESTRING (20.9052616 47.8150503, 20.904258 47.8150464)",,
77604935,3307,Szent István utca,secondary,False,True,170.37800000000001,"LINESTRING (20.9052616 47.8150503, 20.9052014 47.8160015, 20.9051391 47.8164567, 20.9051108 47.8165783)",,
180395800,,Szabadság utca,residential,False,True,184.552,"LINESTRING (20.899943 47.8150903, 20.9009542 47.815961, 20.9014627 47.8163992)",,
180395869,,Munkácsy utca,residential,False,True,229.512,"LINESTRING (20.899943 47.8150903, 20.9021282 47.8144446, 20.902778 47.8142964)",,
"[284860697, 284860698, 284860699]",,"['Munkácsy utca', 'Pozsonyi utca']",residential,False,False,535.26,"LINESTRING (20.899943 47.8150903, 20.8997684 47.8149492, 20.8997108 47.8149373, 20.8996438 47.8149627, 20.8986766 47.8152887, 20.8976939 47.8155958, 20.8973117 47.8157704, 20.8970381 47.8159297, 20.8970101 47.816095, 20.8970453 47.8161395, 20.8971011 47.8161882, 20.8972272 47.816275, 20.8978348 47.816568, 20.8985942 47.816964, 20.8987168 47.8170422, 20.898757 47.8171439, 20.8987539 47.8172062, 20.898723 47.8177457, 20.8987004 47.8179065)",,
180395710,,Szondy utca,residential,False,False,29.735,"LINESTRING (20.9069311 47.8151012, 20.9068607 47.8153644)",,
284869802,,,residential,False,True,117.2,"LINESTRING (20.9069311 47.8151012, 20.9077609 47.8147843, 20.9081277 47.8146206, 20.9082607 47.8145447)",,
180395710,,Szondy utca,residential,False,True,29.735,"LINESTRING (20.9068607 47.8153644, 20.9069311 47.8151012)",,
180395710,,Szondy utca,residential,False,False,259.02,"LINESTRING (20.9068607 47.8153644, 20.9068831 47.8157098, 20.9069233 47.8159862, 20.9068741 47.8161874, 20.9067981 47.8167131, 20.9067176 47.8170405, 20.906515 47.817668)",,
180395846,,,residential,False,False,195.25499999999997,"LINESTRING (20.9068607 47.8153644, 20.9067086 47.8154395, 20.9063105 47.8157489, 20.9057111 47.8162445, 20.9052324 47.8165689, 20.9050936 47.8166524)",,
180395738,,Deák Ferenc utca,residential,False,True,2.915,"LINESTRING (20.9097032 47.8160218, 20.9097324 47.8160392)",,
180395738,,Deák Ferenc utca,residential,False,False,197.371,"LINESTRING (20.9097032 47.8160218, 20.9095713 47.815943, 20.9092314 47.8156381, 20.9089205 47.8153468, 20.9087438 47.8151575, 20.9085268 47.8148721, 20.9083121 47.8145958, 20.9082607 47.8145447)",,
"[180395739, 284869803]",,"['Bem József utca', 'Deák Ferenc utca']",residential,False,False,455.231,"LINESTRING (20.9097032 47.8160218, 20.9100624 47.8158086, 20.9099797 47.8157065, 20.9099573 47.8153851, 20.9098343 47.813823, 20.9098007 47.8137509, 20.909718 47.8137058, 20.9092908 47.8134986, 20.9092237 47.8135241, 20.9088792 47.813802, 20.9086377 47.8140138, 20.9083022 47.8144658, 20.9082607 47.8145447)",,
180395738,,Deák Ferenc utca,residential,False,False,2.915,"LINESTRING (20.9097324 47.8160392, 20.9097032 47.8160218)",,
180395767,,,residential,False,False,30.27,"LINESTRING (20.9097324 47.8160392, 20.9096882 47.8163098)",,
180395767,,,residential,False,True,30.27,"LINESTRING (20.9096882 47.8163098, 20.9097324 47.8160392)",,
180395861,,Szemere utca,residential,False,False,265.381,"LINESTRING (20.9096882 47.8163098, 20.9094858 47.8164351, 20.9090461 47.8167601, 20.9087519 47.816947, 20.9080371 47.8173123, 20.9071356 47.8177414, 20.9069505 47.8178171)",,
180395761,,,residential,False,False,113.042,"LINESTRING (20.9036444 47.8163256, 20.9051108 47.8165783)",,
180395800,,Szabadság utca,residential,False,False,184.552,"LINESTRING (20.9014627 47.8163992, 20.9009542 47.815961, 20.899943 47.8150903)",,
180395800,,Szabadság utca,residential,False,True,58.655,"LINESTRING (20.9014627 47.8163992, 20.9016743 47.8165815, 20.9019153 47.8167475, 20.9019907 47.8167875)",,
284860952,,Attila utca,residential,False,True,59.760999999999996,"LINESTRING (20.9014627 47.8163992, 20.9014147 47.8164674, 20.9012447 47.8168368, 20.9011992 47.8169057)",,
77604935,3307,Szent István utca,secondary,False,True,8.339,"LINESTRING (20.9051108 47.8165783, 20.9050936 47.8166524)",,
180395761,,,residential,False,True,113.042,"LINESTRING (20.9051108 47.8165783, 20.9036444 47.8163256)",,
77604935,3307,Szent István utca,secondary,False,False,170.378,"LINESTRING (20.9051108 47.8165783, 20.9051391 47.8164567, 20.9052014 47.8160015, 20.9052616 47.8150503)",,
180395784,,Attila utca,residential,False,False,60.543,"LINESTRING (20.9019907 47.8167875, 20.9011992 47.8169057)",,
180395800,,Szabadság utca,residential,False,False,58.655,"LINESTRING (20.9019907 47.8167875, 20.9019153 47.8167475, 20.9016743 47.8165815, 20.9014627 47.8163992)",,
180395800,,Szabadság utca,residential,False,True,111.81700000000001,"LINESTRING (20.9019907 47.8167875, 20.9022522 47.816926, 20.9028641 47.8171605, 20.9032102 47.8172518, 20.9032958 47.8172658)",,
180395784,,Attila utca,residential,False,True,60.543,"LINESTRING (20.9011992 47.8169057, 20.9019907 47.8167875)",,
284860952,,Attila utca,residential,False,False,59.760999999999996,"LINESTRING (20.9011992 47.8169057, 20.9012447 47.8168368, 20.9014147 47.8164674, 20.9014627 47.8163992)",,
284860952,,Attila utca,residential,False,True,45.629,"LINESTRING (20.9011992 47.8169057, 20.9011118 47.8170381, 20.9009872 47.8172901)",,
77604935,3307,Szent István utca,secondary,False,True,12.501,"LINESTRING (20.9047968 47.8172415, 20.9047362 47.8173463)",,
77604935,3307,Szent István utca,secondary,False,False,69.181,"LINESTRING (20.9047968 47.8172415, 20.9048953 47.8170712, 20.9050936 47.8166524)",,
180395794,,Dobó utca,residential,False,True,62.85099999999999,"LINESTRING (20.9047968 47.8172415, 20.9051544 47.8174146, 20.9053979 47.8175271, 20.9054549 47.8175866)",,
180395712,,Petőfi utca,residential,False,True,329.096,"LINESTRING (20.9032958 47.8172658, 20.9032477 47.8177014, 20.9032164 47.8179687, 20.903194 47.8181159, 20.9029346 47.8186145, 20.9027019 47.8191041, 20.9025409 47.8194346, 20.9024872 47.8195787, 20.9023843 47.8197229, 20.9020736 47.8200741)",,
180395800,,Szabadság utca,residential,False,False,111.81700000000001,"LINESTRING (20.9032958 47.8172658, 20.9032102 47.8172518, 20.9028641 47.8171605, 20.9022522 47.816926, 20.9019907 47.8167875)",,
180395800,,Szabadság utca,residential,False,True,108.055,"LINESTRING (20.9032958 47.8172658, 20.9034265 47.8172871, 20.9047362 47.8173463)",,
180395736,,Attila utca,residential,False,False,13.9,"LINESTRING (20.9009872 47.8172901, 20.901013 47.8174139)",,
284860695,,,residential,False,True,15.64,"LINESTRING (20.9009872 47.8172901, 20.9008794 47.8174107)",,
