osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed
172896563,Citera utca,residential,False,True,314.741,"LINESTRING (20.1098004 46.3685926, 20.1097398 46.3679153, 20.1095859 46.3662399, 20.1095315 46.3658558, 20.1095188 46.365769)",,,
183291490,Alkotmány körút,secondary,False,True,92.993,"LINESTRING (20.1098004 46.3685926, 20.10933 46.368597, 20.1088182 46.3685563, 20.1085946 46.3685319)",2,4525,
113783799,Alkotmány körút,secondary,False,True,96.885,"LINESTRING (20.1067293 46.3678207, 20.1057909 46.3672377)",2,4525,30
"[107961172, 172893534]",Akácfa utca,residential,False,False,313.584,"LINESTRING (20.1067293 46.3678207, 20.1068428 46.3677405, 20.109361 46.3658274, 20.1095188 46.365769)",,,
107961172,Akácfa utca,residential,False,True,298.64799999999997,"LINESTRING (20.1067293 46.3678207, 20.1066385 46.3678863, 20.1041224 46.3698151)",,,
183291490,Alkotmány körút,secondary,False,False,89.352,"LINESTRING (20.1067293 46.3678207, 20.1071958 46.3680804, 20.1076732 46.3682891)",2,4525,
546593855,Őz utca,residential,False,False,172.82,"LINESTRING (20.1041224 46.3698151, 20.1024845 46.3687482)",,,
107961172,Akácfa utca,residential,False,False,298.64799999999997,"LINESTRING (20.1041224 46.3698151, 20.1066385 46.3678863, 20.1067293 46.3678207)",,,
172896567,Rigó utca,residential,False,False,102.452,"LINESTRING (20.1077765 46.3646836, 20.1086554 46.36399)",,,
172893535,Kis körút,residential,False,True,156.471,"LINESTRING (20.1077765 46.3646836, 20.1072452 46.3643672, 20.1069236 46.3642362, 20.1066561 46.3641457, 20.106291 46.3640816, 20.1060075 46.3640419)",,,
172896567,Rigó utca,residential,False,True,206.648,"LINESTRING (20.1077765 46.3646836, 20.1065349 46.3656265, 20.1061207 46.365947, 20.1059741 46.3660644)",,,
172896579,Kis utca,residential,False,False,180.172,"LINESTRING (20.1077765 46.3646836, 20.1093316 46.3656663, 20.1094322 46.3657268, 20.1095188 46.365769)",,,
113784587,Kolozsvári utca,residential,False,True,111.049,"LINESTRING (20.1061761 46.3612603, 20.1072674 46.3619162)",,,
546593623,Nyírfa utca,residential,False,False,212.487,"LINESTRING (20.1061761 46.3612603, 20.1045803 46.3625136, 20.1043707 46.3627083)",,,
69332198,Sport utca,residential,False,False,79.012,"LINESTRING (20.1024845 46.3687482, 20.1031775 46.3682226)",,,
546593855,Őz utca,residential,False,True,172.82,"LINESTRING (20.1024845 46.3687482, 20.1041224 46.3698151)",,,
113784587,Kolozsvári utca,residential,False,False,91.727,"LINESTRING (20.108154 46.3624695, 20.1072674 46.3619162)",,,
113784587,Kolozsvári utca,residential,False,True,144.202,"LINESTRING (20.108154 46.3624695, 20.1095422 46.3633436)",,,
113784587,Kolozsvári utca,residential,False,False,144.202,"LINESTRING (20.1095422 46.3633436, 20.108154 46.3624695)",,,
172896567,Rigó utca,residential,False,True,98.978,"LINESTRING (20.1095422 46.3633436, 20.1086554 46.36399)",,,
587214103,Rigó utca,residential,False,False,114.052,"LINESTRING (20.1095422 46.3633436, 20.1105661 46.3626001)",,,
113784587,Kolozsvári utca,residential,False,True,86.885,"LINESTRING (20.1095422 46.3633436, 20.1098717 46.3635599, 20.1100786 46.3636749, 20.1103344 46.3637588, 20.110461 46.3637745)",,,
113783799,Alkotmány körút,secondary,False,False,190.22699999999998,"LINESTRING (20.1032179 46.3656342, 20.1032978 46.365684, 20.1036685 46.3659149, 20.1050581 46.3667806)",2,4525,30
113783799,Alkotmány körút,secondary,False,True,80.555,"LINESTRING (20.1032179 46.3656342, 20.1029575 46.3654719, 20.1024387 46.3651487)",2,4525,30
164086946,Homok dűlő,residential,False,False,215.359,"LINESTRING (20.1032179 46.3656342, 20.103141 46.3656917, 20.1022371 46.3663675, 20.1013354 46.3670706)",,,
164086946,Homok dűlő,residential,False,False,404.758,"LINESTRING (20.1013354 46.3670706, 20.0978592 46.3698086)",,,
164086968,Strand utca,residential,False,True,190.751,"LINESTRING (20.1013354 46.3670706, 20.1031775 46.3682226)",,,
164086946,Homok dűlő,residential,False,True,215.35899999999998,"LINESTRING (20.1013354 46.3670706, 20.1022371 46.3663675, 20.103141 46.3656917, 20.1032179 46.3656342)",,,
69332198,Sport utca,residential,False,True,79.012,"LINESTRING (20.1031775 46.3682226, 20.1024845 46.3687482)",,,
164086968,Strand utca,residential,False,False,190.751,"LINESTRING (20.1031775 46.3682226, 20.1013354 46.3670706)",,,
69332198,Sport utca,residential,False,False,215.71099999999998,"LINESTRING (20.1031775 46.3682226, 20.1049916 46.3668316, 20.1050581 46.3667806)",,,
183291490,Alkotmány körút,secondary,False,False,75.958,"LINESTRING (20.1076732 46.3682891, 20.1082245 46.368465, 20.1085946 46.3685319)",2,4525,
183291490,Alkotmány körút,secondary,False,True,89.352,"LINESTRING (20.1076732 46.3682891, 20.1071958 46.3680804, 20.1067293 46.3678207)",2,4525,
113784587,Kolozsvári utca,residential,False,False,111.049,"LINESTRING (20.1072674 46.3619162, 20.1061761 46.3612603)",,,
113784587,Kolozsvári utca,residential,False,True,91.727,"LINESTRING (20.1072674 46.3619162, 20.108154 46.3624695)",,,
172896559,Bod Árpád utca,residential,False,False,144.076,"LINESTRING (20.1072674 46.3619162, 20.1066067 46.3624342, 20.1064258 46.3626043, 20.1063389 46.3627415, 20.1062524 46.362979)",,,
172893524,Szent István utca,residential,False,False,120.583,"LINESTRING (20.100062 46.3622074, 20.0999668 46.3622819, 20.0990841 46.3629346, 20.0989924 46.3630018)",,,
172893548,Széchenyi utca,residential,False,False,150.885,"LINESTRING (20.100062 46.3622074, 20.1014718 46.3631073, 20.1015055 46.3631288)",,,
172893525,Gyöngyvirág utca,residential,False,False,148.095,"LINESTRING (20.1043707 46.3627083, 20.1046809 46.3627988, 20.1053585 46.3628694, 20.1062524 46.362979)",,,
546593623,Nyírfa utca,residential,False,False,176.531,"LINESTRING (20.1043707 46.3627083, 20.1042356 46.3628324, 20.1041027 46.3630014, 20.1039837 46.3632187, 20.103908 46.363449, 20.1038792 46.3636409, 20.1038832 46.3637417, 20.103943 46.3638812, 20.1041413 46.3641841)",,,
546593623,Nyírfa utca,residential,False,True,212.487,"LINESTRING (20.1043707 46.3627083, 20.1045803 46.3625136, 20.1061761 46.3612603)",,,
172896559,Bod Árpád utca,residential,False,False,119.674,"LINESTRING (20.1062524 46.362979, 20.1060075 46.3640419)",,,
172893525,Gyöngyvirág utca,residential,False,False,222.259,"LINESTRING (20.1062524 46.362979, 20.1066616 46.3630251, 20.1069077 46.363074, 20.1071896 46.3631357, 20.1073151 46.3631822, 20.1075633 46.3632813, 20.1078313 46.3634273, 20.1081311 46.3636253, 20.1086554 46.36399)",,,
172893525,Gyöngyvirág utca,residential,False,True,148.095,"LINESTRING (20.1062524 46.362979, 20.1053585 46.3628694, 20.1046809 46.3627988, 20.1043707 46.3627083)",,,
172896559,Bod Árpád utca,residential,False,True,144.076,"LINESTRING (20.1062524 46.362979, 20.1063389 46.3627415, 20.1064258 46.3626043, 20.1066067 46.3624342, 20.1072674 46.3619162)",,,
113783799,Alkotmány körút,secondary,False,False,152.315,"LINESTRING (20.0989924 46.3630018, 20.0991382 46.3630926, 20.1004254 46.3639002, 20.1004616 46.3639229)",2,4525,30
172893524,Szent István utca,residential,False,True,120.583,"LINESTRING (20.0989924 46.3630018, 20.0990841 46.3629346, 20.0999668 46.3622819, 20.100062 46.3622074)",,,
172893548,Széchenyi utca,residential,False,True,150.885,"LINESTRING (20.1015055 46.3631288, 20.1014718 46.3631073, 20.100062 46.3622074)",,,
172896557,Petőfi Sándor utca,residential,False,True,119.219,"LINESTRING (20.1015055 46.3631288, 20.1005439 46.3638597, 20.1004616 46.3639229)",,,
113784587,Kolozsvári utca,residential,False,False,86.885,"LINESTRING (20.110461 46.3637745, 20.1103344 46.3637588, 20.1100786 46.3636749, 20.1098717 46.3635599, 20.1095422 46.3633436)",,,
