osmid,oneway,lanes,name,highway,maxspeed,reversed,length,bridge,geometry,ref
"[309845074, 309845076, 309845071]",False,3,Dózsa György út,tertiary,50,True,263.293,yes,"LINESTRING (18.3935248 47.5817903, 18.3936408 47.5818658, 18.3947444 47.5826009, 18.395718 47.583214, 18.3960772 47.5834145)",
"[368629327, 334471087]",False,,Erdész utca,residential,,False,168.521,,"LINESTRING (18.3935248 47.5817903, 18.393397 47.5818992, 18.392836 47.582397, 18.3924995 47.5826955, 18.3921618 47.5829951)",
99859802,False,,Álmos vezér utca,residential,,False,10.104,,"LINESTRING (18.3946744 47.5861785, 18.3947926 47.5862221)",
334471105,True,2,Győri út,tertiary,,False,23.976,,"LINESTRING (18.3946744 47.5861785, 18.394825 47.5859883)",
334471150,False,,Mozdony út,residential,50,True,31.717,,"LINESTRING (18.3946744 47.5861785, 18.394297 47.5860498)",
304346644,True,2,Köztársaság útja,tertiary,50,False,182.077,,"LINESTRING (18.3990075 47.5804697, 18.3989699 47.5805232, 18.3989666 47.580528, 18.3979676 47.5819493)",
792715718,False,,,residential,,True,9.183,,"LINESTRING (18.3990075 47.5804697, 18.3989802 47.5804617, 18.3988958 47.5804359)",
"[892109456, 186836485]",False,,Szent Borbála tér,residential,,True,121.44300000000001,,"LINESTRING (18.3990075 47.5804697, 18.3991657 47.5805158, 18.3992219 47.5805377, 18.3992484 47.5805518, 18.3994083 47.5806366, 18.3996503 47.580764, 18.3997389 47.5808261, 18.3997886 47.5809074, 18.3998134 47.5809768, 18.3998057 47.5810608, 18.3998005 47.581081, 18.3997456 47.5812927)",
"[101386650, 136106564]",False,,"['Stúdium tér', 'Kós Károly utca']",residential,,True,132.32799999999997,,"LINESTRING (18.3989744 47.5876316, 18.3990207 47.5875654, 18.3991279 47.587421, 18.3991655 47.5873663, 18.3995436 47.5868576, 18.3996586 47.5867029, 18.3997595 47.5865659)",
304347108,False,,Álmos vezér utca,residential,,True,142.54500000000002,,"LINESTRING (18.3989744 47.5876316, 18.3988621 47.5875916, 18.3982435 47.5873849, 18.3973748 47.5870947, 18.3972737 47.5870593)",
186836484,False,,Komáromi utca,residential,,False,338.74,,"LINESTRING (18.3972737 47.5870593, 18.3973327 47.5869752, 18.3976649 47.5865194, 18.3979601 47.5861198, 18.3979691 47.5861076, 18.3984554 47.5854493, 18.398549 47.5853226, 18.3986439 47.5851144, 18.3987234 47.5849777, 18.3988986 47.584421, 18.3989359 47.5842483)",
304347108,False,,Álmos vezér utca,residential,,False,142.545,,"LINESTRING (18.3972737 47.5870593, 18.3973748 47.5870947, 18.3982435 47.5873849, 18.3988621 47.5875916, 18.3989744 47.5876316)",
310277054,False,,Álmos vezér utca,residential,,True,117.187,,"LINESTRING (18.3972737 47.5870593, 18.396996 47.5869796, 18.3969805 47.586974, 18.3958734 47.5865926)",
241661601,False,,Mozdony út,residential,50,False,74.368,,"LINESTRING (18.3933926 47.5857768, 18.3935595 47.5858217, 18.3938549 47.5859031, 18.3939695 47.5859381, 18.3940695 47.5859712, 18.394297 47.5860498)",
310277044,False,,Jedlik Ányos utca,residential,50,False,902.827,,"LINESTRING (18.3933926 47.5857768, 18.3934604 47.5857095, 18.3936882 47.5854837, 18.3937848 47.5853879, 18.3943004 47.5847013, 18.3945856 47.5843437, 18.3950361 47.5838401, 18.3952793 47.5835385, 18.3956637 47.5828797, 18.3957735 47.5826733, 18.3958011 47.5826064, 18.3958723 47.5822779, 18.3960376 47.5818796, 18.3963399 47.5812515, 18.3967783 47.5804827, 18.3970626 47.5800533, 18.3972161 47.579843, 18.3973462 47.5797186, 18.3974817 47.5796223, 18.3975875 47.5795733, 18.3977642 47.5795324, 18.3979731 47.5795224, 18.3981434 47.5795314, 18.3983091 47.5795574, 18.398395 47.5795774, 18.3985573 47.5796203, 18.399185 47.5798138, 18.3993129 47.5798589)",
792715722,False,,Jedlik Ányos utca,residential,,True,10.307,,"LINESTRING (18.399437 47.5798987, 18.3993129 47.5798589)",
792715721,True,2,Köztársaság útja,tertiary,50,False,71.204,,"LINESTRING (18.399437 47.5798987, 18.399152 47.5802859, 18.3990305 47.5804393, 18.399028 47.5804427, 18.3990075 47.5804697)",
99859802,False,,Álmos vezér utca,residential,,True,10.104,,"LINESTRING (18.3947926 47.5862221, 18.3946744 47.5861785)",
310277043,True,2,Győri út,secondary,50,False,222.809,,"LINESTRING (18.3947926 47.5862221, 18.3945182 47.5866428, 18.3935113 47.5880296)",8109
"[858853050, 310277054]",False,,Álmos vezér utca,residential,,False,90.939,,"LINESTRING (18.3947926 47.5862221, 18.3951343 47.5863324, 18.3958734 47.5865926)",
