osmid,name,highway,oneway,reversed,length,geometry,ref
102399128,Harruckern tér,residential,False,False,63.342000000000006,"LINESTRING (21.2526689 46.5293927, 21.2527799 46.5293288, 21.2531643 46.5291076, 21.253304 46.5290272)",
102399178,Gyulai út,secondary,False,True,80.91,"LINESTRING (21.2526689 46.5293927, 21.2527121 46.5295211, 21.2529074 46.5301016)",4444
102399206,Lőkösházi út,secondary,False,False,121.26499999999999,"LINESTRING (21.2526689 46.5293927, 21.2526395 46.5293093, 21.2522951 46.5283329)",4435;4444
"[265686273, 495731234]",Kétegyházi út,secondary,False,True,245.495,"LINESTRING (21.2526689 46.5293927, 21.2526005 46.5294176, 21.2525506 46.5294343, 21.2508092 46.5300188, 21.2497608 46.5303244)",4435
102399178,Gyulai út,secondary,False,False,60.953,"LINESTRING (21.253239 46.5312417, 21.2530916 46.530703)",4444
102399178,Gyulai út,secondary,False,True,278.233,"LINESTRING (21.253239 46.5312417, 21.2533812 46.5316278, 21.253558 46.5321078, 21.2537887 46.5327868, 21.2539067 46.5336946)",4444
102399223,Semmelweis utca,residential,False,True,276.28200000000004,"LINESTRING (21.253239 46.5312417, 21.2531602 46.5312588, 21.251098 46.5317064, 21.2497485 46.5318548)",
102399162,,residential,False,True,33.246,"LINESTRING (21.2530916 46.530703, 21.2535052 46.5306112)",
102399178,Gyulai út,secondary,False,False,68.341,"LINESTRING (21.2530916 46.530703, 21.2529074 46.5301016)",4444
102399178,Gyulai út,secondary,False,True,60.953,"LINESTRING (21.2530916 46.530703, 21.253239 46.5312417)",4444
102399220,Virág utca,residential,False,False,291.038,"LINESTRING (21.2501121 46.5338853, 21.2539067 46.5336946)",
102399146,Batthyány utca,residential,False,False,228.157,"LINESTRING (21.2501121 46.5338853, 21.2500011 46.5327196, 21.2499272 46.5323338, 21.2497485 46.5318548)",
102399123,Hősök útja,residential,False,True,205.94,"LINESTRING (21.2539449 46.5262842, 21.2541852 46.526776, 21.255091 46.5279546)",
102399146,Batthyány utca,residential,False,True,170.685,"LINESTRING (21.2497608 46.5303244, 21.2497676 46.5303941, 21.2498039 46.5307653, 21.2497238 46.5313334, 21.2497177 46.5316089, 21.2497485 46.5318548)",
102399218,Arany János utca,residential,False,False,169.191,"LINESTRING (21.2497608 46.5303244, 21.2497411 46.5302831, 21.2490707 46.5288788)",
"[265686273, 495731234]",Kétegyházi út,secondary,False,False,245.49499999999998,"LINESTRING (21.2497608 46.5303244, 21.2508092 46.5300188, 21.2525506 46.5294343, 21.2526005 46.5294176, 21.2526689 46.5293927)",4435
265686273,Kétegyházi út,secondary,False,True,124.659,"LINESTRING (21.2497608 46.5303244, 21.2483321 46.5307148, 21.2482449 46.5307356)",4435
102399122,Kiss Ernő utca,residential,False,False,100.941,"LINESTRING (21.2560893 46.531291, 21.2573962 46.5311657)",
265686953,Kossuth Lajos utca,residential,False,False,98.898,"LINESTRING (21.2560893 46.531291, 21.2557873 46.5304262)",
265686953,Kossuth Lajos utca,residential,False,True,247.267,"LINESTRING (21.2560893 46.531291, 21.2560973 46.5313259, 21.2565675 46.5333883, 21.2565889 46.533488)",
102399166,Táncsics Mihály utca,residential,False,False,95.093,"LINESTRING (21.2575588 46.5276024, 21.2571626 46.5268728, 21.2571197 46.5268024)",
102399166,Táncsics Mihály utca,residential,False,True,109.59,"LINESTRING (21.2575588 46.5276024, 21.2576645 46.5278765, 21.2576889 46.5281226, 21.2576238 46.5285757)",
102399204,Kígyó utca,residential,False,False,197.097,"LINESTRING (21.2464703 46.5272381, 21.2467881 46.5254791)",
102399204,Kígyó utca,residential,False,True,433.521,"LINESTRING (21.2464703 46.5272381, 21.2461868 46.5283192, 21.2462244 46.5285735, 21.2463111 46.5288237, 21.2466575 46.5293446, 21.2470557 46.5298317, 21.2472984 46.530063, 21.2474969 46.5303158, 21.2478331 46.5308052, 21.2478629 46.5308416)",
671822873,Zrínyi utca,residential,False,False,147.018,"LINESTRING (21.2464703 46.5272381, 21.2473822 46.5273568, 21.2483743 46.527395)",
102399166,Táncsics Mihály utca,residential,False,True,131.045,"LINESTRING (21.2563798 46.5257395, 21.2571197 46.5268024)",
102399180,Dózsa György utca,residential,False,False,109.671,"LINESTRING (21.2490707 46.5288788, 21.2504759 46.5286835)",
102399218,Arany János utca,residential,False,False,173.389,"LINESTRING (21.2490707 46.5288788, 21.2486824 46.5280775, 21.2483743 46.527395)",
102399218,Arany János utca,residential,False,True,169.191,"LINESTRING (21.2490707 46.5288788, 21.2497411 46.5302831, 21.2497608 46.5303244)",
