osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge
201365152,4219,Kossuth utca,secondary,50,False,True,5.459,"LINESTRING (21.3779303 46.7408712, 21.3778664 46.740849)",,
201365152,4219,Kossuth utca,secondary,50,False,False,209.285,"LINESTRING (21.3779303 46.7408712, 21.3780058 46.7409075, 21.378082 46.7409481, 21.3781788 46.7410138, 21.3789142 46.7416388, 21.3798199 46.7422291)",,
201755269,,Árpád utca,residential,,False,False,122.249,"LINESTRING (21.3779303 46.7408712, 21.3778802 46.7409164, 21.3776754 46.7411931, 21.3773881 46.7415567, 21.3771902 46.7418014, 21.377152 46.7418305)",,
201365152,4219,Kossuth utca,secondary,50,False,True,52.209,"LINESTRING (21.3828698 46.743726, 21.382279 46.7434882)",,
100784503,,Templom tér,residential,,False,False,108.64,"LINESTRING (21.3828698 46.743726, 21.3829058 46.7436676, 21.3833311 46.7433223, 21.3837465 46.7429587)",,
201365152,4219,Kossuth utca,secondary,50,False,False,139.843,"LINESTRING (21.3828698 46.743726, 21.3829795 46.7438208, 21.383054 46.7439174, 21.3835633 46.7448837)",,
47157537,4252,Árpád fejedelem tér,secondary,50,False,False,102.162,"LINESTRING (21.3846249 46.7461455, 21.3847864 46.7460524, 21.385668 46.7455683)",,
"[227458116, 173767469]",4219,Szent István tér,secondary,50,False,False,20.602,"LINESTRING (21.3846249 46.7461455, 21.384472 46.746239, 21.384428 46.7462722)",3,
890945156,4219,Kossuth utca,secondary,50,False,True,162.33200000000002,"LINESTRING (21.3846249 46.7461455, 21.3845239 46.7460463, 21.3842872 46.7457901, 21.383997 46.745476, 21.3837807 46.7452245, 21.3835824 46.7449199, 21.3835633 46.7448837)",3,
47157537,4252,Árpád fejedelem tér,secondary,50,False,True,102.162,"LINESTRING (21.385668 46.7455683, 21.3847864 46.7460524, 21.3846249 46.7461455)",,
173767491,4252,Szalontai út,secondary,50,False,False,137.954,"LINESTRING (21.385668 46.7455683, 21.3857384 46.7456239, 21.3864186 46.7461608, 21.3866134 46.7463146, 21.3868689 46.7464964)",,
"[279076202, 276504207]",42345,Árpád fejedelem tér,tertiary,50,False,False,65.912,"LINESTRING (21.385668 46.7455683, 21.3857698 46.7455062, 21.3863139 46.745174)",,
100784503,,Templom tér,residential,,False,True,108.64000000000001,"LINESTRING (21.3837465 46.7429587, 21.3833311 46.7433223, 21.3829058 46.7436676, 21.3828698 46.743726)",,
201365129,,Veress Sándor utca,residential,,False,False,215.13800000000003,"LINESTRING (21.3837465 46.7429587, 21.3841767 46.7431029, 21.3842736 46.7431343, 21.3846295 46.7432496, 21.3848063 46.7433197, 21.3850327 46.7434791, 21.3860174 46.7440761)",,
