osmid,highway,oneway,reversed,length,ref,geometry,name
139088703,secondary,False,False,21.853,,"LINESTRING (73.8850575 25.0550593, 73.8851048 25.0552511)",
894928325,primary,False,False,8.313,SH12,"LINESTRING (73.8859836 25.0584368, 73.8860635 25.0584181)",
1037448636,primary,False,True,45.912,SH12,"LINESTRING (73.8859836 25.0584368, 73.8855726 25.0586153)",
139088703,secondary,False,True,365.33500000000004,,"LINESTRING (73.8859836 25.0584368, 73.8859689 25.0583037, 73.8854092 25.056232, 73.8851048 25.0552511)",
175787438,tertiary,False,True,10.092,,"LINESTRING (73.8923906 25.054653, 73.8924375 25.0546353, 73.8924815 25.0546556)",
894928324,tertiary,False,True,22.359,,"LINESTRING (73.8923906 25.054653, 73.8923326 25.0546536, 73.8922946 25.0546815, 73.8922788 25.0547089, 73.8922664 25.0547334, 73.8922622 25.0547796)",
175787438,tertiary,False,False,59.875,,"LINESTRING (73.8929669 25.0564194, 73.8928259 25.0558963)",
894928325,primary,False,True,95.517,SH12,"LINESTRING (73.8929669 25.0564194, 73.8928213 25.0564833, 73.8920796 25.0567202)",
520446663,tertiary,False,False,124.071,,"LINESTRING (73.8859378 25.0610221, 73.8853925 25.0600216)",Jain Temple Road
520446663,tertiary,False,True,114.469,,"LINESTRING (73.8859378 25.0610221, 73.8864216 25.0619536)",Jain Temple Road
895030568,unclassified,False,False,109.50099999999999,,"LINESTRING (73.8859378 25.0610221, 73.8861839 25.0609189, 73.8863114 25.0611958, 73.886541 25.0615825)",
520446663,tertiary,False,False,114.469,,"LINESTRING (73.8864216 25.0619536, 73.8859378 25.0610221)",Jain Temple Road
520446663,tertiary,False,True,68.648,,"LINESTRING (73.8848408 25.0589099, 73.885131 25.0594685)",Jain Temple Road
1037448636,primary,False,False,55.252,SH12,"LINESTRING (73.8848408 25.0589099, 73.8853436 25.0587113)",
1037448636,primary,False,True,84.404,SH12,"LINESTRING (73.8848408 25.0589099, 73.8847272 25.0589564, 73.8843688 25.0590659, 73.884043 25.0591367)",
520446665,unclassified,False,False,55.975,,"LINESTRING (73.8916685 25.0584515, 73.891583 25.0579541)",
520446665,unclassified,False,True,88.966,,"LINESTRING (73.8914439 25.057164, 73.891583 25.0579541)",
520446667,unclassified,False,False,71.643,,"LINESTRING (73.8914439 25.057164, 73.8921115 25.0569418)",
520446667,unclassified,False,True,124.83,,"LINESTRING (73.8914439 25.057164, 73.89028 25.0575495)",
520446666,unclassified,False,False,187.588,,"LINESTRING (73.8903886 25.05782, 73.8921648 25.057313)",
520446669,unclassified,False,True,19.191,,"LINESTRING (73.8903886 25.05782, 73.8903235 25.0576578)",
