osmid,ref,name,highway,oneway,reversed,length,geometry
748090936,SH124,Basavana Bagevadi Road,primary,False,False,49.796,"LINESTRING (75.97246 16.570859, 75.9728939 16.5710251)"
748090936,SH124,Basavana Bagevadi Road,primary,False,True,35.909,"LINESTRING (75.97246 16.570859, 75.9721534 16.5707251)"
823104034,,,residential,False,True,36.602,"LINESTRING (75.97246 16.570859, 75.9721414 16.5709819)"
157698471,,,secondary,False,True,291.316,"LINESTRING (75.9753355 16.5780112, 75.9754114 16.5776733, 75.975413 16.576458, 75.975331 16.575495, 75.9753511 16.5754043)"
748090936,SH124,Basavana Bagevadi Road,primary,False,True,35.041,"LINESTRING (75.975316 16.572649, 75.9751033 16.5724087)"
157698467,SH61,,primary,False,False,31.799,"LINESTRING (75.975316 16.572649, 75.9753753 16.5725218, 75.9754384 16.5723882)"
157698467,SH61,,primary,False,True,116.67500000000001,"LINESTRING (75.975316 16.572649, 75.9753654 16.5728272, 75.9755049 16.5733825, 75.9754832 16.5736755)"
437482181,,,primary,False,True,35.786,"LINESTRING (75.9754384 16.5723882, 75.9751033 16.5724087)"
157698467,SH61,,primary,False,True,31.799,"LINESTRING (75.9754384 16.5723882, 75.9753753 16.5725218, 75.975316 16.572649)"
157698467,SH61,,primary,False,False,9.421,"LINESTRING (75.9754695 16.5737592, 75.9754832 16.5736755)"
157698467,SH61,,primary,False,True,235.071,"LINESTRING (75.9754695 16.5737592, 75.9753225 16.5740098, 75.9752124 16.5742123, 75.9750141 16.574445, 75.9745674 16.5747361, 75.9742065 16.5748949, 75.9738089 16.5750145)"
157698471,,,secondary,False,False,186.565,"LINESTRING (75.9754695 16.5737592, 75.975569 16.574074, 75.97551 16.574687, 75.9753511 16.5754043)"
214799677,,,tertiary,False,True,25.62,"LINESTRING (75.9745152 16.571777, 75.974505 16.5715468)"
748090936,SH124,Basavana Bagevadi Road,primary,False,False,83.917,"LINESTRING (75.9745152 16.571777, 75.974611 16.5718813, 75.9750393 16.5723402)"
748090936,SH124,Basavana Bagevadi Road,primary,False,True,184.365,"LINESTRING (75.9745152 16.571777, 75.974405 16.571657, 75.9741757 16.5715008, 75.973781 16.57129, 75.973045 16.571083, 75.9729866 16.5710606)"
157698467,SH61,,primary,False,True,9.421,"LINESTRING (75.9754832 16.5736755, 75.9754695 16.5737592)"
157698467,SH61,,primary,False,False,116.675,"LINESTRING (75.9754832 16.5736755, 75.9755049 16.5733825, 75.9753654 16.5728272, 75.975316 16.572649)"
748090936,SH124,Basavana Bagevadi Road,primary,False,False,10.225,"LINESTRING (75.9750393 16.5723402, 75.9751033 16.5724087)"
437482182,,,unclassified,False,True,50.254,"LINESTRING (75.9750393 16.5723402, 75.9747314 16.5725214, 75.9746216 16.5725122)"
748090936,SH124,Basavana Bagevadi Road,primary,False,True,83.917,"LINESTRING (75.9750393 16.5723402, 75.974611 16.5718813, 75.9745152 16.571777)"
437482182,,,unclassified,False,False,119.863,"LINESTRING (75.9721291 16.5723643, 75.97239 16.5722812, 75.9727408 16.5722217, 75.9731729 16.5721714, 75.9732309 16.5721666)"
437482182,,,unclassified,False,True,27.107,"LINESTRING (75.9721291 16.5723643, 75.9720176 16.5724345, 75.9719091 16.5724857)"
437482184,,,unclassified,False,True,150.192,"LINESTRING (75.9721291 16.5723643, 75.9721616 16.5730059, 75.9722359 16.5731774, 75.972249 16.5736999)"
437482181,,,primary,False,False,35.786,"LINESTRING (75.9751033 16.5724087, 75.9754384 16.5723882)"
748090936,SH124,Basavana Bagevadi Road,primary,False,False,35.041,"LINESTRING (75.9751033 16.5724087, 75.975316 16.572649)"
748090936,SH124,Basavana Bagevadi Road,primary,False,True,10.225,"LINESTRING (75.9751033 16.5724087, 75.9750393 16.5723402)"
437482182,,,unclassified,False,False,50.254,"LINESTRING (75.9746216 16.5725122, 75.9747314 16.5725214, 75.9750393 16.5723402)"
437482182,,,unclassified,False,True,156.69799999999998,"LINESTRING (75.9746216 16.5725122, 75.974531 16.5724894, 75.9742994 16.572423, 75.9738435 16.5723361, 75.973698 16.5723201, 75.9735929 16.5722114, 75.9734664 16.572192, 75.9733399 16.5721577, 75.9732309 16.5721666)"
823104042,,,residential,False,True,143.652,"LINESTRING (75.9746216 16.5725122, 75.9744323 16.5727823, 75.9740567 16.5729306, 75.97346 16.5730083)"
437482184,,,unclassified,False,False,51.065,"LINESTRING (75.9722606 16.574159, 75.972249 16.5736999)"
823104038,,,residential,False,False,203.929,"LINESTRING (75.9722606 16.574159, 75.9728707 16.5741521, 75.9730033 16.5736437, 75.972249 16.5736999)"
823104039,,,residential,False,True,37.06,"LINESTRING (75.9722606 16.574159, 75.9719239 16.5740757)"
437482184,,,unclassified,False,True,117.908,"LINESTRING (75.9722606 16.574159, 75.9722283 16.5748361, 75.972208 16.5749917, 75.9722033 16.5752174)"
437482180,,,tertiary,False,False,46.888000000000005,"LINESTRING (75.9713865 16.5748362, 75.9716431 16.5749203, 75.9718012 16.5749769)"
823104037,,,residential,False,False,164.046,"LINESTRING (75.9713865 16.5748362, 75.9714269 16.5739049, 75.9716257 16.5737708, 75.9719471 16.5737343)"
157698467,SH61,,primary,False,False,79.906,"LINESTRING (75.9722033 16.5752174, 75.9729496 16.5751484)"
157698467,SH61,,primary,False,True,3.801,"LINESTRING (75.9722033 16.5752174, 75.9721678 16.5752207)"
437482184,,,unclassified,False,False,117.908,"LINESTRING (75.9722033 16.5752174, 75.972208 16.5749917, 75.9722283 16.5748361, 75.9722606 16.574159)"
157698467,SH61,,primary,False,False,3.801,"LINESTRING (75.9721678 16.5752207, 75.9722033 16.5752174)"
437482180,,,tertiary,False,True,48.416000000000004,"LINESTRING (75.9721678 16.5752207, 75.9720042 16.5750627, 75.9718692 16.5750012, 75.9718012 16.5749769)"
748090936,SH124,Basavana Bagevadi Road,primary,False,False,65.358,"LINESTRING (75.9708725 16.5701656, 75.9714305 16.5704094)"
823104029,,,residential,False,True,239.544,"LINESTRING (75.9708725 16.5701656, 75.9708449 16.5703959, 75.9706755 16.5705018, 75.9707049 16.5708407, 75.9706313 16.5708549, 75.9705355 16.5710526, 75.9706166 16.571335, 75.9704545 16.5713703, 75.9701083 16.571688, 75.9700714 16.5718716)"
214799677,,,tertiary,False,False,195.04900000000004,"LINESTRING (75.9743809 16.5698004, 75.974469 16.57029, 75.9744847 16.5708628, 75.9745005 16.5714457, 75.974505 16.5715468)"
823104028,,,residential,False,False,237.16599999999997,"LINESTRING (75.9743809 16.5698004, 75.9739904 16.5699158, 75.9737915 16.5703465, 75.973158 16.5704665, 75.9729296 16.5707066, 75.972878 16.570876, 75.9728939 16.5710251)"
748090936,SH124,Basavana Bagevadi Road,primary,False,False,10.639,"LINESTRING (75.9728939 16.5710251, 75.9729866 16.5710606)"
748090936,SH124,Basavana Bagevadi Road,primary,False,True,49.796,"LINESTRING (75.9728939 16.5710251, 75.97246 16.570859)"
823104028,,,residential,False,True,237.16599999999997,"LINESTRING (75.9728939 16.5710251, 75.972878 16.570876, 75.9729296 16.5707066, 75.973158 16.5704665, 75.9737915 16.5703465, 75.9739904 16.5699158, 75.9743809 16.5698004)"
823104029,,,residential,False,False,239.54399999999998,"LINESTRING (75.9700714 16.5718716, 75.9701083 16.571688, 75.9704545 16.5713703, 75.9706166 16.571335, 75.9705355 16.5710526, 75.9706313 16.5708549, 75.9707049 16.5708407, 75.9706755 16.5705018, 75.9708449 16.5703959, 75.9708725 16.5701656)"
823104030,,,residential,False,True,101.79599999999999,"LINESTRING (75.9700714 16.5718716, 75.9705503 16.571801, 75.9709996 16.5716668)"
823104030,,,residential,False,False,58.18,"LINESTRING (75.9712649 16.5725978, 75.9712206 16.5720763)"
437482182,,,unclassified,False,False,70.325,"LINESTRING (75.9712649 16.5725978, 75.9714615 16.5725946, 75.9718577 16.57251, 75.9719091 16.5724857)"
823104030,,,residential,False,False,51.265,"LINESTRING (75.9712206 16.5720763, 75.9709996 16.5716668)"
823104030,,,residential,False,True,58.18,"LINESTRING (75.9712206 16.5720763, 75.9712649 16.5725978)"
823104036,,,residential,False,False,64.546,"LINESTRING (75.9712206 16.5720763, 75.9718259 16.5720954)"
823104030,,,residential,False,True,51.265,"LINESTRING (75.9709996 16.5716668, 75.9712206 16.5720763)"
823104031,,,residential,False,False,53.505,"LINESTRING (75.9709996 16.5716668, 75.9711911 16.571222)"
823104030,,,residential,False,False,101.79599999999999,"LINESTRING (75.9709996 16.5716668, 75.9705503 16.571801, 75.9700714 16.5718716)"
823104031,,,residential,False,False,28.795,"LINESTRING (75.9711911 16.571222, 75.971309 16.570989)"
823104031,,,residential,False,True,53.505,"LINESTRING (75.9711911 16.571222, 75.9709996 16.5716668)"
823104032,,,residential,False,False,56.662,"LINESTRING (75.9711911 16.571222, 75.971722 16.5712492)"
823104031,,,residential,False,True,28.795,"LINESTRING (75.971309 16.570989, 75.9711911 16.571222)"
823104033,,,residential,False,False,88.718,"LINESTRING (75.971309 16.570989, 75.9721414 16.5709819)"
823104031,,,residential,False,False,65.812,"LINESTRING (75.971309 16.570989, 75.9713532 16.5707066, 75.9714305 16.5704094)"
748090936,SH124,Basavana Bagevadi Road,primary,False,False,84.665,"LINESTRING (75.9714305 16.5704094, 75.9721534 16.5707251)"
748090936,SH124,Basavana Bagevadi Road,primary,False,True,65.358,"LINESTRING (75.9714305 16.5704094, 75.9708725 16.5701656)"
823104031,,,residential,False,True,65.812,"LINESTRING (75.9714305 16.5704094, 75.9713532 16.5707066, 75.971309 16.570989)"
748090936,SH124,Basavana Bagevadi Road,primary,False,True,10.639,"LINESTRING (75.9729866 16.5710606, 75.9728939 16.5710251)"
748090936,SH124,Basavana Bagevadi Road,primary,False,False,184.365,"LINESTRING (75.9729866 16.5710606, 75.973045 16.571083, 75.973781 16.57129, 75.9741757 16.5715008, 75.974405 16.571657, 75.9745152 16.571777)"
823104032,,,residential,False,True,162.553,"LINESTRING (75.9729866 16.5710606, 75.9729812 16.5713138, 75.971722 16.5712492)"
823104033,,,residential,False,False,28.584,"LINESTRING (75.9721414 16.5709819, 75.9721534 16.5707251)"
823104033,,,residential,False,True,88.718,"LINESTRING (75.9721414 16.5709819, 75.971309 16.570989)"
823104034,,,residential,False,False,36.602,"LINESTRING (75.9721414 16.5709819, 75.97246 16.570859)"
748090936,SH124,Basavana Bagevadi Road,primary,False,False,35.909,"LINESTRING (75.9721534 16.5707251, 75.97246 16.570859)"
748090936,SH124,Basavana Bagevadi Road,primary,False,True,84.665,"LINESTRING (75.9721534 16.5707251, 75.9714305 16.5704094)"
823104033,,,residential,False,True,28.584,"LINESTRING (75.9721534 16.5707251, 75.9721414 16.5709819)"
823104032,,,residential,False,True,56.662,"LINESTRING (75.971722 16.5712492, 75.9711911 16.571222)"
823104032,,,residential,False,False,162.553,"LINESTRING (75.971722 16.5712492, 75.9729812 16.5713138, 75.9729866 16.5710606)"
823104035,,,residential,False,False,96.30999999999999,"LINESTRING (75.971722 16.5712492, 75.9717068 16.5716315, 75.9717289 16.5718433, 75.9717878 16.5719492, 75.9718259 16.5720954)"
437482182,,,unclassified,False,False,27.107,"LINESTRING (75.9719091 16.5724857, 75.9720176 16.5724345, 75.9721291 16.5723643)"
437482182,,,unclassified,False,True,70.325,"LINESTRING (75.9719091 16.5724857, 75.9718577 16.57251, 75.9714615 16.5725946, 75.9712649 16.5725978)"
823104035,,,residential,False,True,44.312,"LINESTRING (75.9719091 16.5724857, 75.9718541 16.5722034, 75.9718259 16.5720954)"
