osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,bridge
390023635,Cornelius Street,residential,False,False,168.139,"LINESTRING (77.9704634 8.5587483, 77.9703006 8.5587555, 77.970039 8.5587883, 77.9698312 8.5580152, 77.9697668 8.5579462, 77.9697105 8.5577579)",,,
1176803765,Alwarthirunagari - Nazerath - Sathankulam - Ittamozhi - Valliyoor Road,primary,False,False,202.334,"LINESTRING (77.9704634 8.5587483, 77.9703838 8.5588244, 77.9703516 8.5589199, 77.9703703 8.5590499, 77.9706561 8.5605008)",2,SH93,
1176803765,Alwarthirunagari - Nazerath - Sathankulam - Ittamozhi - Valliyoor Road,primary,False,True,139.245,"LINESTRING (77.9704634 8.5587483, 77.9715934 8.5585353, 77.9716991 8.558488)",2,SH93,
1176803765,Alwarthirunagari - Nazerath - Sathankulam - Ittamozhi - Valliyoor Road,primary,False,False,175.507,"LINESTRING (77.97073 8.560847, 77.9691882 8.5612554)",2,SH93,
1176803765,Alwarthirunagari - Nazerath - Sathankulam - Ittamozhi - Valliyoor Road,primary,False,True,39.344,"LINESTRING (77.97073 8.560847, 77.9706561 8.5605008)",2,SH93,
1187911153,Nazareth - Eral Road,secondary,False,False,24.632,"LINESTRING (77.97073 8.560847, 77.970789 8.5610607)",,MDR1160,
"[1241530163, 390022990]",,unclassified,False,False,112.528,"LINESTRING (77.97073 8.560847, 77.9715024 8.5606884, 77.9715424 8.5609169)",,,
390023637,,residential,False,False,222.463,"LINESTRING (77.9716991 8.558488, 77.9717946 8.5585433, 77.9729213 8.5584047, 77.9736882 8.5582804)",,,
1176803765,Alwarthirunagari - Nazerath - Sathankulam - Ittamozhi - Valliyoor Road,primary,False,False,139.245,"LINESTRING (77.9716991 8.558488, 77.9715934 8.5585353, 77.9704634 8.5587483)",2,SH93,
1176803765,Alwarthirunagari - Nazerath - Sathankulam - Ittamozhi - Valliyoor Road,primary,False,True,251.944,"LINESTRING (77.9716991 8.558488, 77.971741 8.5583629, 77.9713409 8.5569039, 77.9712159 8.556294)",2,SH93,
390023358,,residential,False,True,25.788,"LINESTRING (77.9691882 8.5612554, 77.969315 8.5614505)",,,
1176803765,Alwarthirunagari - Nazerath - Sathankulam - Ittamozhi - Valliyoor Road,primary,False,False,29.311,"LINESTRING (77.9691882 8.5612554, 77.9689273 8.5613095)",2,SH93,
1176803765,Alwarthirunagari - Nazerath - Sathankulam - Ittamozhi - Valliyoor Road,primary,False,True,175.507,"LINESTRING (77.9691882 8.5612554, 77.97073 8.560847)",2,SH93,
