osmid,ref,highway,oneway,reversed,length,geometry,tunnel
827489063,NH133A,trunk,False,True,262.84700000000004,"LINESTRING (87.8568868 24.6356282, 87.8571939 24.635688, 87.8573511 24.6357221, 87.8575699 24.6357753, 87.8581327 24.6359123, 87.8583705 24.635935, 87.8585388 24.6359452, 87.8594373 24.6358263)",
"[1056174533, 827489062, 1056174540, 1056174541, 263386060, 1063921871]",NH133A,trunk,False,False,703.3990000000001,"LINESTRING (87.8568868 24.6356282, 87.8569955 24.6350736, 87.8572003 24.6342863, 87.8572281 24.6341697, 87.8572244 24.6340533, 87.8572137 24.6340316, 87.8571976 24.6340115, 87.8571906 24.6340051, 87.8571782 24.6339975, 87.8571537 24.6339875, 87.8569606 24.6339606, 87.8568533 24.6339917, 87.8567744 24.6340999, 87.8567179 24.6343105, 87.8566575 24.6345153, 87.8565744 24.6347774, 87.8564349 24.6355441, 87.8564054 24.6355636, 87.8563492 24.6355775, 87.8562275 24.6356535, 87.8557373 24.636067, 87.8552248 24.6364931, 87.855075 24.6366162, 87.8549238 24.6367012, 87.8547511 24.6367685, 87.8541748 24.63688, 87.8539312 24.6369021)",yes
1063921877,,unclassified,False,True,233.95800000000003,"LINESTRING (87.8568868 24.6356282, 87.8568412 24.6358343, 87.8567681 24.636045, 87.856746 24.6361086, 87.8566012 24.6365267, 87.8561405 24.6376169)",
263386060,NH133A,trunk,False,False,13.388,"LINESTRING (87.8539312 24.6369021, 87.8537994 24.6369141)",
1064951367,,unclassified,False,True,5.925,"LINESTRING (87.8539312 24.6369021, 87.8539263 24.6369552)",
"[1056174533, 827489062, 1056174540, 1056174541, 263386060, 1063921871]",NH133A,trunk,False,True,703.3989999999998,"LINESTRING (87.8539312 24.6369021, 87.8541748 24.63688, 87.8547511 24.6367685, 87.8549238 24.6367012, 87.855075 24.6366162, 87.8552248 24.6364931, 87.8557373 24.636067, 87.8562275 24.6356535, 87.8563492 24.6355775, 87.8564054 24.6355636, 87.8564349 24.6355441, 87.8565744 24.6347774, 87.8566575 24.6345153, 87.8567179 24.6343105, 87.8567744 24.6340999, 87.8568533 24.6339917, 87.8569606 24.6339606, 87.8571537 24.6339875, 87.8571782 24.6339975, 87.8571906 24.6340051, 87.8571976 24.6340115, 87.8572137 24.6340316, 87.8572244 24.6340533, 87.8572281 24.6341697, 87.8572003 24.6342863, 87.8569955 24.6350736, 87.8568868 24.6356282)",yes
1064951367,,unclassified,False,False,5.925,"LINESTRING (87.8539263 24.6369552, 87.8539312 24.6369021)",
1064951373,,unclassified,False,False,9.862,"LINESTRING (87.8539263 24.6369552, 87.8540182 24.636985)",
1064951373,,unclassified,False,True,13.616,"LINESTRING (87.8539263 24.6369552, 87.8537994 24.6369141)",
1063921877,,unclassified,False,False,233.95800000000003,"LINESTRING (87.8561405 24.6376169, 87.8566012 24.6365267, 87.856746 24.6361086, 87.8567681 24.636045, 87.8568412 24.6358343, 87.8568868 24.6356282)",
1064951370,,residential,False,False,389.05100000000004,"LINESTRING (87.8561405 24.6376169, 87.8563893 24.6375945, 87.8569552 24.6375763, 87.8571524 24.6375824, 87.8574273 24.6375884, 87.8578699 24.6376104, 87.8581998 24.637614, 87.8583728 24.6375933, 87.8588368 24.6375165, 87.8592043 24.6374592, 87.8599647 24.6373581)",
1064951373,,unclassified,False,True,124.462,"LINESTRING (87.8551729 24.6373739, 87.8540182 24.636985)",
1064951373,,unclassified,False,False,124.462,"LINESTRING (87.8540182 24.636985, 87.8551729 24.6373739)",
1064951373,,unclassified,False,True,9.862,"LINESTRING (87.8540182 24.636985, 87.8539263 24.6369552)",
263386060,NH133A,trunk,False,True,13.388,"LINESTRING (87.8537994 24.6369141, 87.8539312 24.6369021)",
1064951373,,unclassified,False,False,13.616,"LINESTRING (87.8537994 24.6369141, 87.8539263 24.6369552)",
827489063,NH133A,trunk,False,False,262.84700000000004,"LINESTRING (87.8594373 24.6358263, 87.8585388 24.6359452, 87.8583705 24.635935, 87.8581327 24.6359123, 87.8575699 24.6357753, 87.8573511 24.6357221, 87.8571939 24.635688, 87.8568868 24.6356282)",
1064951371,,residential,False,True,184.633,"LINESTRING (87.8594373 24.6358263, 87.859962 24.6366461, 87.8599647 24.6373581)",
1064951370,,residential,False,True,389.051,"LINESTRING (87.8599647 24.6373581, 87.8592043 24.6374592, 87.8588368 24.6375165, 87.8583728 24.6375933, 87.8581998 24.637614, 87.8578699 24.6376104, 87.8574273 24.6375884, 87.8571524 24.6375824, 87.8569552 24.6375763, 87.8563893 24.6375945, 87.8561405 24.6376169)",
1064951371,,residential,False,False,184.633,"LINESTRING (87.8599647 24.6373581, 87.859962 24.6366461, 87.8594373 24.6358263)",
