osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,access
806898056,Edavanna Wandoor Road,secondary,False,True,60.336,"LINESTRING (76.2360102 11.195537, 76.2354806 11.1956936)",,,,
34752021,Thrikkalangode-Thiruvali-Wandoor-Kalikavu Road,secondary,False,True,71.963,"LINESTRING (76.2360102 11.195537, 76.2366303 11.19541, 76.236656 11.1954047)",,,,
244605126,wandoor - Nilambur Road,primary,False,True,119.533,"LINESTRING (76.2360102 11.195537, 76.2360419 11.1957517, 76.2360968 11.1960241, 76.236156 11.1963188, 76.2362113 11.1965935)",2,SH73,80,yes
803315146,Valanchery - Nilambur Road,primary,False,True,216.797,"LINESTRING (76.2360102 11.195537, 76.2358683 11.1946769, 76.2358659 11.1946616, 76.2357277 11.1939962, 76.235654 11.193757, 76.2356143 11.1936288)",2,SH73,40,
803315146,Valanchery - Nilambur Road,primary,False,False,37.769,"LINESTRING (76.2354966 11.1932178, 76.2355917 11.1935444)",2,SH73,40,
478006900,Hospital Road,unclassified,False,False,224.601,"LINESTRING (76.2354966 11.1932178, 76.2359124 11.1930103, 76.2364274 11.1927156, 76.2369853 11.1926156, 76.2374077 11.192541)",,,,
798625310,,unclassified,False,True,41.079,"LINESTRING (76.2354966 11.1932178, 76.235424 11.1932478, 76.2353305 11.1932865, 76.2351482 11.193358)",,,,
803315146,Valanchery - Nilambur Road,primary,False,False,9.703,"LINESTRING (76.2355917 11.1935444, 76.2356143 11.1936288)",2,SH73,40,
803315146,Valanchery - Nilambur Road,primary,False,True,37.769,"LINESTRING (76.2355917 11.1935444, 76.2354966 11.1932178)",2,SH73,40,
478006899,C.H. Byepass Road,tertiary,False,False,300.8,"LINESTRING (76.2355917 11.1935444, 76.2365741 11.1936154, 76.2378348 11.1936996, 76.2382747 11.1936944, 76.2383432 11.1936862)",,,,
478006900,Hospital Road,unclassified,False,True,143.638,"LINESTRING (76.2384712 11.1928097, 76.2384804 11.1925424, 76.2384809 11.1924419, 76.2379069 11.1924788, 76.2375443 11.1925311)",,,,
806898056,Edavanna Wandoor Road,secondary,False,False,60.336,"LINESTRING (76.2354806 11.1956936, 76.2360102 11.195537)",,,,
478006901,,tertiary,False,False,229.484,"LINESTRING (76.2354806 11.1956936, 76.2351903 11.1948515, 76.2348861 11.1945224, 76.2347719 11.1943989, 76.2348309 11.1942305, 76.2350546 11.1939132)",,,,
