osmid,highway,oneway,reversed,length,geometry
590904026,residential,False,True,43.807,"LINESTRING (112.6574213 -7.4597048, 112.6572643 -7.4600667)"
590904035,residential,False,True,46.193,"LINESTRING (112.6574213 -7.4597048, 112.65784 -7.4597196)"
590904035,residential,False,False,69.443,"LINESTRING (112.6574213 -7.4597048, 112.6569723 -7.459694, 112.6567916 -7.459696)"
590904026,residential,False,False,43.807,"LINESTRING (112.6572643 -7.4600667, 112.6574213 -7.4597048)"
590904029,residential,False,True,61.676,"LINESTRING (112.6572643 -7.4600667, 112.6567064 -7.4600261)"
590904029,residential,False,False,101.251,"LINESTRING (112.6572643 -7.4600667, 112.6572539 -7.4601308, 112.6572546 -7.460154, 112.657274 -7.4601856, 112.6575302 -7.4602983, 112.6575516 -7.4602996, 112.6575687 -7.4602963, 112.6575825 -7.4602897, 112.6575929 -7.460272, 112.6577844 -7.4598825)"
590904029,residential,False,False,61.676,"LINESTRING (112.6567064 -7.4600261, 112.6572643 -7.4600667)"
590904032,residential,False,False,37.888,"LINESTRING (112.6567064 -7.4600261, 112.6567916 -7.459696)"
590904032,residential,False,True,95.946,"LINESTRING (112.6567064 -7.4600261, 112.6566893 -7.4601071, 112.6566853 -7.4601208, 112.6566739 -7.4601304, 112.6566584 -7.4601354, 112.6566383 -7.4601361, 112.6563744 -7.4601168, 112.656356 -7.4601095, 112.6563483 -7.4601005, 112.656348 -7.4600869, 112.6563527 -7.4600683, 112.6564375 -7.4596892)"
590904032,residential,False,True,37.888,"LINESTRING (112.6567916 -7.459696, 112.6567064 -7.4600261)"
590904035,residential,False,False,39.048,"LINESTRING (112.6567916 -7.459696, 112.6564375 -7.4596892)"
590904035,residential,False,True,69.443,"LINESTRING (112.6567916 -7.459696, 112.6569723 -7.459694, 112.6574213 -7.4597048)"
590904035,residential,False,True,39.048,"LINESTRING (112.6564375 -7.4596892, 112.6567916 -7.459696)"
590904032,residential,False,False,95.94599999999998,"LINESTRING (112.6564375 -7.4596892, 112.6563527 -7.4600683, 112.656348 -7.4600869, 112.6563483 -7.4601005, 112.656356 -7.4601095, 112.6563744 -7.4601168, 112.6566383 -7.4601361, 112.6566584 -7.4601354, 112.6566739 -7.4601304, 112.6566853 -7.4601208, 112.6566893 -7.4601071, 112.6567064 -7.4600261)"
590904035,residential,False,False,19.829,"LINESTRING (112.6580194 -7.4597322, 112.65784 -7.4597196)"
590904035,residential,False,True,20.711,"LINESTRING (112.6580194 -7.4597322, 112.6581042 -7.459566)"
590949617,residential,False,False,23.597,"LINESTRING (112.6580194 -7.4597322, 112.6579411 -7.4599297)"
590904035,residential,False,False,20.711,"LINESTRING (112.6581042 -7.459566, 112.6580194 -7.4597322)"
590904035,residential,False,True,38.677,"LINESTRING (112.6581042 -7.459566, 112.6584207 -7.459716)"
"[750035952, 590949669, 590904022]",residential,False,"[False, True]",538.815,"LINESTRING (112.6581042 -7.459566, 112.6581229 -7.459434, 112.6581202 -7.4594087, 112.6581001 -7.4593768, 112.6580572 -7.4593662, 112.6565633 -7.4593477, 112.6565418 -7.4593449, 112.6565304 -7.4593329, 112.6565284 -7.4593183, 112.6565284 -7.4592957, 112.6565672 -7.4590497, 112.656576 -7.4590311, 112.6565833 -7.4590217, 112.6565974 -7.4590178, 112.6566208 -7.4590168, 112.6582137 -7.4590337, 112.6586339 -7.4590417, 112.65865 -7.4590483, 112.658659 -7.4590596, 112.6586607 -7.4590733, 112.6586607 -7.4591095, 112.6586419 -7.459172, 112.6584207 -7.459716)"
590904035,residential,False,False,39.369,"LINESTRING (112.6600618 -7.4604342, 112.6597317 -7.4602992)"
590949672,residential,False,True,285.188,"LINESTRING (112.6600618 -7.4604342, 112.6603209 -7.4598878, 112.6603706 -7.4597863, 112.6607461 -7.4583077, 112.6608273 -7.4579945)"
590949617,residential,False,True,23.597,"LINESTRING (112.6579411 -7.4599297, 112.6580194 -7.4597322)"
590949618,residential,False,False,12.733,"LINESTRING (112.6579411 -7.4599297, 112.6580465 -7.4599765)"
590949618,residential,False,True,18.056,"LINESTRING (112.6579411 -7.4599297, 112.6577844 -7.4598825)"
