osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed
37894726,False,21,Jalan Supriyadi,trunk,False,155.87,"LINESTRING (111.9019313 -8.0732004, 111.9020278 -8.0731982, 111.9021648 -8.073195, 111.9027348 -8.0731387, 111.9033442 -8.0731408)",
43392507,False,,Jalan P.Diponegoro,secondary,True,110.67,"LINESTRING (111.9019313 -8.0732004, 111.9018972 -8.0729872, 111.9018089 -8.0722127)",
158409592,False,,Jalan Ki Mangun Sarkoro,primary,False,110.108,"LINESTRING (111.9019313 -8.0732004, 111.9019505 -8.0733671, 111.902078 -8.0741798)",
158409603,False,21,Jalan Yos Sudarso,trunk,True,253.34400000000002,"LINESTRING (111.9019313 -8.0732004, 111.9017141 -8.0732048, 111.9006065 -8.0732272, 111.9004073 -8.0732426, 111.9002904 -8.0732335, 111.8996316 -8.073251)",
96322098,False,,,residential,False,93.384,"LINESTRING (111.8973003 -8.0757479, 111.8981437 -8.0758374)",
96322118,False,,,tertiary,False,84.248,"LINESTRING (111.8973003 -8.0757479, 111.8971883 -8.0764974)",
96322118,False,,,tertiary,True,52.519,"LINESTRING (111.8973003 -8.0757479, 111.8973774 -8.0752818)",
96322098,False,,,residential,True,51.065,"LINESTRING (111.9025076 -8.0770015, 111.9020529 -8.0769108)",
158409592,False,,Jalan Ki Mangun Sarkoro,primary,True,32.888,"LINESTRING (111.9025076 -8.0770015, 111.9024647 -8.0767088)",
96377516,False,,,residential,False,208.737,"LINESTRING (111.902078 -8.0741798, 111.903937 -8.0745489)",
158409592,False,,Jalan Ki Mangun Sarkoro,primary,False,52.661,"LINESTRING (111.902078 -8.0741798, 111.9021557 -8.0746471)",
158409592,False,,Jalan Ki Mangun Sarkoro,primary,True,110.108,"LINESTRING (111.902078 -8.0741798, 111.9019505 -8.0733671, 111.9019313 -8.0732004)",
97027865,False,,,residential,False,88.48,"LINESTRING (111.9015294 -8.0706119, 111.9023329 -8.0706288)",
43392507,False,,Jalan P.Diponegoro,secondary,False,109.513,"LINESTRING (111.9015294 -8.0706119, 111.9016029 -8.0711013, 111.9017224 -8.0715769)",
43392507,False,,Jalan P.Diponegoro,secondary,True,90.15,"LINESTRING (111.9015294 -8.0706119, 111.9015041 -8.0703988, 111.9014656 -8.0701423, 111.901423 -8.0698081)",
97027865,False,,,residential,True,119.278,"LINESTRING (111.9015294 -8.0706119, 111.9009789 -8.0705827, 111.9004473 -8.0705593)",
97027848,False,,,residential,False,28.254,"LINESTRING (111.8999494 -8.068683, 111.9002055 -8.0686666)",
97027848,False,,,residential,True,73.742,"LINESTRING (111.8999494 -8.068683, 111.8992815 -8.068733)",
97027865,False,,,residential,True,72.684,"LINESTRING (111.9038848 -8.0706644, 111.9032246 -8.0706643)",
97027899,False,,,residential,True,95.23,"LINESTRING (111.9038848 -8.0706644, 111.9037803 -8.0710842, 111.9037423 -8.0712519, 111.903689 -8.0714985)",
37894726,False,21,Jalan Supriyadi,trunk,False,54.045,"LINESTRING (111.9033442 -8.0731408, 111.9035021 -8.0731312, 111.9038348 -8.0731342)",
37894726,False,21,Jalan Supriyadi,trunk,True,155.87,"LINESTRING (111.9033442 -8.0731408, 111.9027348 -8.0731387, 111.9021648 -8.073195, 111.9020278 -8.0731982, 111.9019313 -8.0732004)",
97027899,False,,,residential,False,143.269,"LINESTRING (111.9033442 -8.0731408, 111.9034342 -8.0726319, 111.9036016 -8.0718781)",
97027899,False,,,residential,False,43.293,"LINESTRING (111.9036016 -8.0718781, 111.903689 -8.0714985)",
97027899,False,,,residential,True,143.269,"LINESTRING (111.9036016 -8.0718781, 111.9034342 -8.0726319, 111.9033442 -8.0731408)",
682340968,False,,,residential,True,210.50300000000001,"LINESTRING (111.9036016 -8.0718781, 111.9033614 -8.0718202, 111.9031307 -8.0717644, 111.9029792 -8.0717193, 111.9027257 -8.0716502, 111.902377 -8.0716157, 111.9017224 -8.0715769)",
43392507,False,,Jalan P.Diponegoro,secondary,False,25.387,"LINESTRING (111.9012324 -8.0685294, 111.9012727 -8.0687542)",
97027848,False,,,residential,True,114.081,"LINESTRING (111.9012324 -8.0685294, 111.9002055 -8.0686666)",
97027848,False,,,residential,False,105.517,"LINESTRING (111.8983234 -8.0687578, 111.8992815 -8.068733)",
158239055,False,,Jalan Kyai Maja,tertiary,True,197.432,"LINESTRING (111.8983234 -8.0687578, 111.898155 -8.0705255)",
158239055,False,,Jalan Kyai Maja,tertiary,True,143.333,"LINESTRING (111.8979272 -8.0720263, 111.8976919 -8.0732941)",
158239055,False,,Jalan Kyai Maja,tertiary,False,168.9,"LINESTRING (111.8979272 -8.0720263, 111.8979655 -8.071604, 111.8980198 -8.0713528, 111.898155 -8.0705255)",
158239693,False,,Jalan Yos Sudarso Gang 2,residential,True,244.673,"LINESTRING (111.8979272 -8.0720263, 111.8968313 -8.0720175, 111.895705 -8.0720375)",20
158390853,False,,,residential,True,183.478,"LINESTRING (111.8979272 -8.0720263, 111.8983758 -8.072193, 111.8988868 -8.0723938, 111.8994969 -8.0725773)",
158239055,False,,Jalan Kyai Maja,tertiary,False,143.333,"LINESTRING (111.8976919 -8.0732941, 111.8979272 -8.0720263)",
158409603,False,21,Jalan Yos Sudarso,trunk,False,177.564,"LINESTRING (111.8976919 -8.0732941, 111.8993044 -8.0732605)",
96322118,False,,,tertiary,False,223.72700000000003,"LINESTRING (111.8976919 -8.0732941, 111.8976107 -8.0737986, 111.8975638 -8.0740987, 111.8974967 -8.0744838, 111.8973774 -8.0752818)",
