osmid,oneway,highway,reversed,length,geometry
481321850,True,tertiary,False,10.996,"LINESTRING (56.3987755 27.3929298, 56.3988528 27.393001)"
1192776060,False,residential,False,277.336,"LINESTRING (56.3987755 27.3929298, 56.3989283 27.3927238, 56.3991643 27.3923797, 56.3993387 27.392176, 56.3993776 27.3921332, 56.3994111 27.3920772, 56.3994312 27.3920093, 56.3994433 27.3919438, 56.3994768 27.3917355, 56.3994835 27.391645, 56.3994822 27.3915497, 56.3993776 27.390971, 56.3993461 27.3906209)"
481321853,False,tertiary_link,False,9.909,"LINESTRING (56.3987767 27.3930591, 56.3988528 27.393001)"
481321845,True,tertiary,False,353.708,"LINESTRING (56.3987767 27.3930591, 56.3987166 27.3930041, 56.3983141 27.3926054, 56.3979597 27.3922605, 56.3974333 27.3917612, 56.3965341 27.3908753, 56.3963603 27.3907108)"
481321853,False,tertiary_link,True,9.909,"LINESTRING (56.3988528 27.393001, 56.3987767 27.3930591)"
481321850,True,tertiary,False,126.48400000000001,"LINESTRING (56.3988528 27.393001, 56.3991967 27.393318, 56.3994944 27.3936085, 56.3997253 27.3938338)"
481321845,True,tertiary,False,312.522,"LINESTRING (56.3963603 27.3907108, 56.3941946 27.388661)"
481321854,False,tertiary_link,False,8.529,"LINESTRING (56.3963603 27.3907108, 56.396429 27.3906643)"
481321854,False,tertiary_link,True,8.529,"LINESTRING (56.396429 27.3906643, 56.3963603 27.3907108)"
481321850,True,tertiary,False,342.294,"LINESTRING (56.396429 27.3906643, 56.3965064 27.3907388, 56.3970697 27.3912937, 56.3972333 27.3914485, 56.3976544 27.391851, 56.3978904 27.3920582, 56.3980728 27.3922392, 56.398215 27.3923749, 56.3983786 27.3925392, 56.3987755 27.3929298)"
481321855,False,tertiary_link,False,9.221,"LINESTRING (56.3941946 27.388661, 56.394262 27.3886036)"
481321845,True,tertiary,False,137.99699999999999,"LINESTRING (56.3941946 27.388661, 56.3934985 27.3880022, 56.3932091 27.3877831)"
481321855,False,tertiary_link,True,9.221,"LINESTRING (56.394262 27.3886036, 56.3941946 27.388661)"
481321850,True,tertiary,False,171.25099999999998,"LINESTRING (56.394262 27.3886036, 56.3946208 27.3889384, 56.395176 27.3894623, 56.395451 27.3897249)"
836878557,False,residential,False,406.34299999999996,"LINESTRING (56.394262 27.3886036, 56.394857 27.3883446, 56.3960712 27.3878222, 56.3968931 27.3875236, 56.3972948 27.3872582, 56.3976226 27.386694)"
481321856,False,tertiary_link,False,7.603,"LINESTRING (56.3932091 27.3877831, 56.3932696 27.3877408)"
481321856,False,tertiary_link,True,7.603,"LINESTRING (56.3932696 27.3877408, 56.3932091 27.3877831)"
481321850,True,tertiary,False,137.41400000000002,"LINESTRING (56.3932696 27.3877408, 56.3934111 27.3878429, 56.3936337 27.3880191, 56.3937089 27.3880763, 56.3937866 27.3881382, 56.3938912 27.3882406, 56.3940441 27.3884002, 56.394262 27.3886036)"
481321850,True,tertiary,False,229.57600000000002,"LINESTRING (56.3907612 27.3858197, 56.3910011 27.386004, 56.3914868 27.3863678, 56.3922605 27.3869688, 56.3925188 27.3871713)"
1192776061,False,residential,False,80.112,"LINESTRING (56.395451 27.3897249, 56.3962474 27.3895869)"
481321850,True,tertiary,False,106.083,"LINESTRING (56.395451 27.3897249, 56.3958144 27.390072, 56.3961808 27.3904251)"
1192776061,False,residential,True,80.112,"LINESTRING (56.3962474 27.3895869, 56.395451 27.3897249)"
