osmid,name,highway,junction,oneway,reversed,length,geometry,maxspeed,ref,lanes,bridge
301652510,میدان ملاجامی,primary,roundabout,True,False,44.42999999999999,"LINESTRING (45.7267942 36.766625, 45.7267003 36.7666162, 45.7266312 36.7666013, 45.7265419 36.7665538, 45.7264791 36.7664945, 45.7264307 36.7663992)",,,,
422600989,خیابان حافظ,secondary,,True,False,159.683,"LINESTRING (45.7267942 36.766625, 45.7264284 36.7666994, 45.7252509 36.7669314, 45.7250524 36.7669641)",,,,
301652510,میدان ملاجامی,primary,roundabout,True,False,92.672,"LINESTRING (45.7268491 36.7655085, 45.7271764 36.7662996)",,,,
301655569,جمهوری اسلامی,tertiary,,True,False,68.445,"LINESTRING (45.7217799 36.7649907, 45.7217585 36.7643754)",40,,,
301652503,میدان جمهوری اسلامی (چوار چرا),tertiary,roundabout,True,False,40.356,"LINESTRING (45.7217799 36.7649907, 45.7218551 36.7649965, 45.721925 36.7650194, 45.7219837 36.7650574, 45.7220262 36.7651074, 45.7220491 36.765165, 45.7220502 36.7652255)",,,,
301652503,میدان جمهوری اسلامی (چوار چرا),tertiary,roundabout,True,False,32.796,"LINESTRING (45.7220502 36.7652255, 45.7220239 36.7652931, 45.7219708 36.7653497, 45.721897 36.7653888, 45.7218112 36.7654058, 45.7217967 36.7654049)",,,,
301652503,میدان جمهوری اسلامی (چوار چرا),tertiary,roundabout,True,False,31.854,"LINESTRING (45.7215357 36.7651701, 45.7215629 36.7651019, 45.7216174 36.7650451, 45.7216927 36.7650065, 45.7217799 36.7649907)",,,,
452525386,طالقانی,tertiary,,True,False,96.377,"LINESTRING (45.7215357 36.7651701, 45.7214564 36.7651713, 45.7204542 36.7651477)",60,,,
301652510,میدان ملاجامی,primary,roundabout,True,False,17.073,"LINESTRING (45.7269787 36.7665845, 45.7269063 36.7666051, 45.7268349 36.7666187, 45.7267942 36.766625)",,,,
301652510,میدان ملاجامی,primary,roundabout,True,False,37.969,"LINESTRING (45.7271764 36.7662996, 45.7271656 36.7663653, 45.7271374 36.7664478, 45.7270992 36.7665005, 45.72705 36.766544, 45.7269787 36.7665845)",,,,
301652510,میدان ملاجامی,primary,roundabout,True,False,24.275,"LINESTRING (45.726406 36.7653782, 45.7264954 36.765379, 45.7266024 36.7653881, 45.7266758 36.7654023)",,,,
"[462830821, 301652526]","['قاضی محمد', 'امام خمینی']",secondary,,True,False,80.992,"LINESTRING (45.7268996 36.7652321, 45.7269574 36.7651556, 45.7269747 36.7650688, 45.7270283 36.7648712, 45.7269639 36.7646305, 45.7269191 36.7645343)",,,,
301652510,میدان ملاجامی,primary,roundabout,True,False,19.688,"LINESTRING (45.7266758 36.7654023, 45.7267415 36.765428, 45.7267975 36.7654622, 45.7268491 36.7655085)",,,,
301652526,قاضی محمد,secondary,,True,False,28.243000000000002,"LINESTRING (45.7266758 36.7654023, 45.7267328 36.7653832, 45.726795 36.7653492, 45.7268337 36.7653117, 45.7268996 36.7652321)",,,,
301652513,بلوار خضر عمری,primary,,True,False,87.44500000000001,"LINESTRING (45.7165375 36.7676311, 45.7165013 36.767687, 45.7164766 36.7677388, 45.7164491 36.7678103, 45.7164227 36.7678981, 45.7163999 36.7679849, 45.7163371 36.7682243, 45.7163202 36.7683933)",,11,,
301652507,میدان مادر,primary,roundabout,True,False,21.916,"LINESTRING (45.7165474 36.7674472, 45.7165727 36.7674904, 45.7165808 36.7675377, 45.716571 36.7675847, 45.7165603 36.7676058, 45.7165375 36.7676311)",,11,,
400131382,,residential,,False,True,30.519,"LINESTRING (45.7176835 36.7666675, 45.7178603 36.7669026)",30,,,
459204956,شهید مامند گلابی,secondary,,False,False,29.57,"LINESTRING (45.7176835 36.7666675, 45.7179916 36.7665685)",,,,
459204956,شهید مامند گلابی,secondary,,False,True,72.916,"LINESTRING (45.7176835 36.7666675, 45.7174506 36.7667652, 45.7172323 36.7668682, 45.7169612 36.7669754)",,,,
"[589096683, 458559636]",صلاح الدین ایوبی شرقی,tertiary,,True,False,145.39,"LINESTRING (45.7251182 36.7607431, 45.7250545 36.7607899, 45.7238386 36.7610332, 45.7237732 36.7611026, 45.7237462 36.7612483)",,,,
452524891,صلاح الدین ایوبی شرقی,tertiary,,True,False,25.135,"LINESTRING (45.7217016 36.7613861, 45.7219766 36.7613355)",40,,,
452541648,صلاح الدین ایوبی غریی,tertiary,,True,False,5.972,"LINESTRING (45.7217016 36.7613861, 45.7216373 36.7614013)",30,,,
422600987,خیابان حافظ,secondary,,True,False,58.414,"LINESTRING (45.7238146 36.7671095, 45.7240306 36.7670781, 45.7242862 36.7670238, 45.7244476 36.766987, 45.7244515 36.7669863)",,,,
424472178,نماز,primary,roundabout,True,False,14.745000000000001,"LINESTRING (45.7238146 36.7671095, 45.72385 36.7671266, 45.7238767 36.767152, 45.7238917 36.7671829, 45.7238935 36.767216)",,,,
424472178,نماز,primary,roundabout,True,False,9.593,"LINESTRING (45.7237445 36.7673038, 45.7237105 36.7672946, 45.723681 36.7672782, 45.7236585 36.7672558)",,,,
301658995,هشت متری ۱ شرقی,residential,,False,True,78.763,"LINESTRING (45.7170653 36.761247, 45.7179254 36.7610829)",30,,,
452541648,صلاح الدین ایوبی غریی,tertiary,,True,False,98.58,"LINESTRING (45.71968 36.7618224, 45.7186072 36.7620399)",30,,,
422821007,,residential,,False,False,33.197,"LINESTRING (45.71968 36.7618224, 45.7197247 36.7619295, 45.719809 36.7621024)",30,,,
424472177,,tertiary,,True,False,39.842,"LINESTRING (45.7244618 36.7667089, 45.7245579 36.7667873, 45.7246303 36.7668357, 45.7247103 36.7668777, 45.72482 36.766917)",90,,,
"[610195481, 460621052]",خیابان حافظ,secondary,,True,False,69.53500000000001,"LINESTRING (45.72482 36.766917, 45.7249434 36.7669022, 45.7250683 36.7668889, 45.7251278 36.766878, 45.7255871 36.7668027)",,,,
301659008,وفایی,tertiary,,True,False,48.06,"LINESTRING (45.7173375 36.7622919, 45.7172273 36.7618688)",,,,
430473860,صلاح الدین ایوبی غربی,tertiary,,False,True,96.287,"LINESTRING (45.7173375 36.7622919, 45.7162901 36.7625058)",,,,
366469196,طالقانی شرقی,tertiary,,True,False,78.775,"LINESTRING (45.7239633 36.7652899, 45.7248473 36.7653095)",,,,
301655575,طالقانی شرقی,tertiary,,True,False,170.56500000000003,"LINESTRING (45.7239633 36.7652899, 45.7226819 36.7652468, 45.7221176 36.7652276, 45.7220502 36.7652255)",50,,3,
422600991,خیابان امام شافعی,tertiary,,True,False,95.128,"LINESTRING (45.7239633 36.7652899, 45.7240156 36.7655969, 45.7240554 36.7658307, 45.7241538 36.7661302)",50,,,
301658995,هشت متری ۱ شرقی,residential,,False,False,47.497,"LINESTRING (45.7191376 36.7608533, 45.71862 36.7609558)",30,,,
452547086,,residential,,True,False,100.1,"LINESTRING (45.7191376 36.7608533, 45.7195977 36.7616746)",30,,,
301658994,سید نظام,tertiary,,True,False,175.964,"LINESTRING (45.7237462 36.7612483, 45.7237834 36.7618599, 45.7238423 36.7628289)",,,,
459431212,,secondary_link,,True,False,29.338,"LINESTRING (45.7270931 36.7653996, 45.726989 36.7653801, 45.7269603 36.7653698, 45.7269381 36.7653551, 45.7269203 36.7653359, 45.726909 36.7653134, 45.7269028 36.7652834, 45.7268996 36.7652321)",,,,
459431213,,tertiary,,True,False,26.996000000000002,"LINESTRING (45.7270931 36.7653996, 45.7269817 36.7654078, 45.7269365 36.765421, 45.7268976 36.7654438, 45.7268694 36.7654726, 45.7268491 36.7655085)",,,,
400131382,,residential,,False,False,30.519,"LINESTRING (45.7178603 36.7669026, 45.7176835 36.7666675)",30,,,
400131383,,residential,,False,False,18.418,"LINESTRING (45.7178603 36.7669026, 45.717938 36.7667491)",30,,,
400131374,,residential,,False,False,205.261,"LINESTRING (45.7178603 36.7669026, 45.7177735 36.7672303, 45.7176554 36.7676706, 45.7175157 36.7681828, 45.7173479 36.768702)",30,,,
400131374,,residential,,False,True,13.094,"LINESTRING (45.7173074 36.7688152, 45.7173479 36.768702)",30,,,
563685363,حمزه اقا منگور,residential,,True,False,94.097,"LINESTRING (45.7173074 36.7688152, 45.7163142 36.7685269)",,,,
427495848,,residential,,False,False,41.542,"LINESTRING (45.7195069 36.7680965, 45.7199606 36.768183)",30,,,
400131384,خیابان بهیار,residential,,False,False,133.978,"LINESTRING (45.7195069 36.7680965, 45.7193299 36.768596, 45.7192425 36.768865, 45.7191035 36.7692572)",30,,,
400131384,خیابان بهیار,residential,,False,True,104.622,"LINESTRING (45.7195069 36.7680965, 45.719647 36.7676652, 45.7198132 36.7671882)",30,,,
400131383,,residential,,False,True,20.642,"LINESTRING (45.7179916 36.7665685, 45.717938 36.7667491)",30,,,
459204956,شهید مامند گلابی,secondary,,False,True,29.57,"LINESTRING (45.7179916 36.7665685, 45.7176835 36.7666675)",,,,
