osmid,oneway,name,highway,maxspeed,reversed,length,geometry,junction
137329167,True,بلوار ولیعصر,secondary,50,False,31.336,"LINESTRING (46.2421525 34.2805781, 46.2424325 34.280739)",
540957028,False,,residential,,False,266.694,"LINESTRING (46.2421525 34.2805781, 46.242423 34.2803045, 46.242703 34.2800804, 46.2433507 34.2796414, 46.243891 34.2792439, 46.2441221 34.2791109, 46.2443117 34.278986)",
137329092,True,میدان مدرس,secondary,,False,11.795,"LINESTRING (46.2424325 34.280739, 46.2424723 34.2807551, 46.2425044 34.2807776, 46.2425283 34.2808061)",roundabout
137329092,True,میدان مدرس,secondary,,False,27.057000000000002,"LINESTRING (46.2425283 34.2808061, 46.2425425 34.2808389, 46.242546 34.2808734, 46.2425385 34.2809077, 46.2425206 34.2809391, 46.2424934 34.2809656, 46.2424587 34.2809854, 46.2424192 34.2809972)",roundabout
137329185,True,,tertiary,,False,79.87899999999999,"LINESTRING (46.2425283 34.2808061, 46.2426778 34.2809513, 46.2427982 34.2811109, 46.2429823 34.2814146)",
137329092,True,میدان مدرس,secondary,,False,30.873,"LINESTRING (46.2422262 34.2808966, 46.2422242 34.2808605, 46.2422317 34.2808264, 46.2422497 34.2807949, 46.2422769 34.2807684, 46.2423114 34.2807486, 46.242351 34.2807369, 46.2423929 34.2807341, 46.2424325 34.280739)",roundabout
137329180,True,بلوار ولیعصر,secondary,50,False,242.819,"LINESTRING (46.2422262 34.2808966, 46.2420169 34.2806349, 46.2404473 34.2792877)",
137329092,True,میدان مدرس,secondary,,False,3.764,"LINESTRING (46.2422418 34.2809279, 46.2422262 34.2808966)",roundabout
522104014,False,,tertiary,,False,17.906,"LINESTRING (46.2422418 34.2809279, 46.242133 34.2810615)",
137329092,True,میدان مدرس,secondary,,False,19.323,"LINESTRING (46.2424192 34.2809972, 46.2423772 34.281, 46.2423359 34.2809938, 46.2422979 34.2809789, 46.2422658 34.2809565, 46.2422418 34.2809279)",roundabout
