osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction
451818660,باهنر,tertiary,50,False,True,93.363,"LINESTRING (51.5285637 32.5479516, 51.5278718 32.5473476)",
529241561,,tertiary,20,True,False,34.78,"LINESTRING (51.5285637 32.5479516, 51.5288053 32.548189)",
451820743,رجائی,tertiary,50,False,False,62.822,"LINESTRING (51.5315095 32.5508404, 51.5310574 32.5504233)",
451820743,رجائی,tertiary,50,False,True,48.493,"LINESTRING (51.5315095 32.5508404, 51.5318338 32.5511802)",
529394002,سعیدی,residential,30,False,False,90.356,"LINESTRING (51.5315095 32.5508404, 51.5314075 32.5509016, 51.5309545 32.5511736, 51.5307204 32.5513071)",
529394020,حسن پور,residential,30,False,True,118.41199999999999,"LINESTRING (51.5315095 32.5508404, 51.5320561 32.5503612, 51.532242 32.5502045, 51.532184 32.5500328)",
529241559,,secondary_link,20,False,True,6.692,"LINESTRING (51.5302163 32.547062, 51.5301578 32.5470275)",
1088914724,مطهری,secondary,50,True,False,188.516,"LINESTRING (51.5302163 32.547062, 51.5289964 32.5484099)",
460915272,ابن سینا,residential,30,False,False,96.45,"LINESTRING (51.5302163 32.547062, 51.5302776 32.5471972, 51.5304504 32.5475079, 51.5306399 32.5476813, 51.5307243 32.5478062)",
791633643,میدان مطهری,secondary,50,True,False,52.119,"LINESTRING (51.5325089 32.5447754, 51.5321435 32.5451287)",roundabout
529241556,بوستان,residential,30,False,False,56.287,"LINESTRING (51.5325089 32.5447754, 51.53281 32.5448212, 51.5330984 32.5448716)",
529241556,بوستان,residential,30,False,True,20.745,"LINESTRING (51.5338121 32.5452914, 51.5336805 32.5451414)",
460915263,,residential,30,False,True,161.317,"LINESTRING (51.5338121 32.5452914, 51.5339935 32.5451664, 51.534155 32.5450238, 51.5343396 32.5448925, 51.5346511 32.5446963, 51.5347627 32.5446201, 51.5347858 32.5445812, 51.5349127 32.5444677, 51.5347761 32.5442991)",
