osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,tunnel,bridge
530893734,True,کنارگذر لشگری,primary,50,False,25.178,"LINESTRING (51.0651865 35.7547584, 51.064941 35.754866)",,,,
1268741026,True,خیابان کشاورز,tertiary_link,40,False,40.835,"LINESTRING (51.0651865 35.7547584, 51.0651702 35.7548407, 51.0651756 35.7548983, 51.0653013 35.7551001)",,,,
314833635,False,خیابان شهدا,tertiary,40,False,111.779,"LINESTRING (51.0690957 35.7548815, 51.070264 35.7545474)",,,,
314833635,False,خیابان شهدا,tertiary,40,True,108.609,"LINESTRING (51.0690957 35.7548815, 51.0679606 35.7552063)",,,,
320364643,True,خیابان مهدیه,residential,30,False,67.893,"LINESTRING (51.0690957 35.7548815, 51.0694576 35.7554168)",,,,
314833635,False,خیابان شهدا,tertiary,40,True,111.779,"LINESTRING (51.070264 35.7545474, 51.0690957 35.7548815)",,,,
879193479,False,خیابان شهرداری,tertiary,40,False,62.187,"LINESTRING (51.070264 35.7545474, 51.0699352 35.7540559)",,,,
314833933,True,,trunk_link,,False,89.494,"LINESTRING (51.0710564 35.7519699, 51.0702894 35.7524801)",,,,
666257799,True,بزرگراه لشگری,trunk,80,False,116.095,"LINESTRING (51.0710564 35.7519699, 51.0709358 35.7520203, 51.069934 35.75248)",3,32,,
683871853,True,,trunk_link,,False,32.071,"LINESTRING (51.0702894 35.7524801, 51.069934 35.75248)",,,,
530893734,True,کنارگذر لشگری,primary,50,False,214.777,"LINESTRING (51.0702894 35.7524801, 51.0682486 35.7533426, 51.0681791 35.7533733)",,,,
314888365,True,,trunk_link,,False,192.257,"LINESTRING (51.0655064 35.754254, 51.066004 35.7539542, 51.0662089 35.7538385, 51.0665256 35.7536778, 51.0668535 35.7535115, 51.0672694 35.7532848)",,,,
314886534,True,کنارگذر لشگری,primary,60,False,145.902,"LINESTRING (51.0672694 35.7532848, 51.0680686 35.752939, 51.0686924 35.7526619)",,,,
314886534,True,کنارگذر لشگری,primary,60,False,19.058,"LINESTRING (51.069069 35.7525041, 51.0692666 35.7524436)",,,,
"[314889784, 314889788, 314889783]",True,,"['tertiary', 'primary_link']",,False,188.14199999999997,"LINESTRING (51.069069 35.7525041, 51.0692257 35.7523879, 51.0692471 35.7523482, 51.0692492 35.7523057, 51.0692268 35.7522624, 51.0692023 35.7522367, 51.0691544 35.7522116, 51.0691033 35.752218, 51.0690456 35.7522305, 51.0689764 35.7522615, 51.0688986 35.7522994, 51.0688651 35.7523428, 51.0688524 35.7523906, 51.0688483 35.7524421, 51.0692682 35.7530513, 51.0694019 35.7532543)",1,,yes,
472634501,True,خیابان شهرداری,tertiary,40,False,63.246,"LINESTRING (51.0708578 35.7554393, 51.070523 35.7549396)",,,,
879193479,False,خیابان شهرداری,tertiary,40,False,88.695,"LINESTRING (51.0698686 35.7539563, 51.0694019 35.7532543)",,,,
879193479,False,خیابان شهرداری,tertiary,40,True,12.601,"LINESTRING (51.0698686 35.7539563, 51.0699352 35.7540559)",,,,
320364635,False,حقیقی,residential,30,False,134.87,"LINESTRING (51.0698686 35.7539563, 51.0711795 35.7535761, 51.0712763 35.7535488)",,,,
1072578721,False,شهیدان اسحاقیان,residential,30,True,42.09,"LINESTRING (51.06715 35.7538211, 51.067319 35.7541739)",,,,
530893734,True,کنارگذر لشگری,primary,50,False,205.596,"LINESTRING (51.06715 35.7538211, 51.0668224 35.7539637, 51.0653655 35.7546684, 51.0651865 35.7547584)",,,,
320364627,False,,residential,30,True,108.705,"LINESTRING (51.0687555 35.7543781, 51.067654 35.7547739)",,,,
320364643,True,خیابان مهدیه,residential,30,False,63.841,"LINESTRING (51.0687555 35.7543781, 51.0690957 35.7548815)",,,,
683871852,True,,residential,30,False,112.321,"LINESTRING (51.0687555 35.7543781, 51.0699352 35.7540559)",,,,
320364627,False,,residential,30,False,108.705,"LINESTRING (51.067654 35.7547739, 51.0687555 35.7543781)",,,,
750633304,False,شهیدان اسحاقیان,residential,30,True,55.473,"LINESTRING (51.067654 35.7547739, 51.0679606 35.7552063)",,,,
"[750633304, 1072578721, 1072578722]",False,شهیدان اسحاقیان,residential,30,False,73.24600000000001,"LINESTRING (51.067654 35.7547739, 51.0674251 35.754364, 51.0673215 35.7541784, 51.067319 35.7541739)",,,,yes
472634501,True,خیابان شهرداری,tertiary,40,False,49.479,"LINESTRING (51.070523 35.7549396, 51.070264 35.7545474)",,,,
750633303,False,توحید,residential,30,True,109.81,"LINESTRING (51.070523 35.7549396, 51.0694576 35.7554168)",,,,
314833635,False,خیابان شهدا,tertiary,40,False,108.609,"LINESTRING (51.0679606 35.7552063, 51.0690957 35.7548815)",,,,
750633304,False,شهیدان اسحاقیان,residential,30,False,55.473,"LINESTRING (51.0679606 35.7552063, 51.067654 35.7547739)",,,,
314833635,False,خیابان شهدا,tertiary,40,True,82.468,"LINESTRING (51.0679606 35.7552063, 51.0674221 35.7553604, 51.0670986 35.7554527)",,,,
750633303,False,توحید,residential,30,False,109.81,"LINESTRING (51.0694576 35.7554168, 51.070523 35.7549396)",,,,
"[472634496, 472634497, 472634498]",True,,secondary_link,,False,216.91699999999997,"LINESTRING (51.0693727 35.7495109, 51.0695121 35.7496796, 51.0699256 35.750645, 51.0699169 35.7507051, 51.069874 35.7507323, 51.069823 35.7507567, 51.0697935 35.750768, 51.0697557 35.7507727, 51.0697005 35.750766, 51.0696522 35.7507347, 51.0694704 35.7503416)",,,,
491070442,False,ناصریه,tertiary,40,False,80.529,"LINESTRING (51.0694704 35.7503416, 51.068676 35.7506715)",,,,
472634498,True,,secondary_link,,False,125.21000000000001,"LINESTRING (51.0694704 35.7503416, 51.0692094 35.7497513, 51.0691826 35.7496731, 51.0691504 35.7492562)",,,,
523877513,False,ایثار,residential,30,False,90.921,"LINESTRING (51.0691504 35.7492562, 51.0681961 35.7495184)",,,,
782396962,True,بلوار امیرکبیر,secondary,50,False,120.654,"LINESTRING (51.0691504 35.7492562, 51.0686944 35.7482362)",,,,
472634499,True,,primary_link,,False,93.33399999999999,"LINESTRING (51.0688056 35.7524693, 51.0687971 35.7524168, 51.0687984 35.7523734, 51.0688131 35.7523249, 51.0688677 35.7522636, 51.0689351 35.7522235, 51.0690088 35.7521992, 51.069056 35.7521819, 51.0691086 35.7521683, 51.0691652 35.7521779, 51.0692384 35.7521969, 51.0693176 35.7522335, 51.0693928 35.7522591, 51.0694503 35.7522765, 51.0695719 35.7522693)",1,,,
495225913,True,,primary_link,,False,82.64600000000002,"LINESTRING (51.0688056 35.7524693, 51.0687547 35.752426, 51.068731 35.7524141, 51.0687053 35.7524055, 51.0686802 35.7523997, 51.0686548 35.7523975, 51.0686307 35.7523975, 51.0685938 35.7523991, 51.0685569 35.7524062, 51.0685073 35.7524231, 51.0684617 35.7524454, 51.0684288 35.7524715, 51.0684053 35.752502, 51.0683946 35.7525357, 51.0683946 35.7525695, 51.0684074 35.7526016, 51.0684322 35.7526261, 51.0684743 35.75265, 51.0685124 35.7526622, 51.0685857 35.7526694, 51.0686924 35.7526619)",,,,
879193479,False,خیابان شهرداری,tertiary,40,True,88.695,"LINESTRING (51.0694019 35.7532543, 51.0698686 35.7539563)",,,,
"[472634500, 472634502]",True,,tertiary,,False,102.70100000000001,"LINESTRING (51.0694019 35.7532543, 51.0692245 35.7530638, 51.0688056 35.7524693)",1,,yes,
314886534,True,کنارگذر لشگری,primary,60,False,226.756,"LINESTRING (51.0650784 35.7542832, 51.0658144 35.7539392, 51.0672694 35.7532848)",,,,
490903883,False,عباسی,residential,,False,77.82900000000001,"LINESTRING (51.0650784 35.7542832, 51.0649528 35.7541781, 51.0647746 35.7536438)",,,,
490903883,False,عباسی,residential,,True,77.82900000000001,"LINESTRING (51.0647746 35.7536438, 51.0649528 35.7541781, 51.0650784 35.7542832)",,,,
490903884,False,,residential,,False,124.77099999999999,"LINESTRING (51.0647746 35.7536438, 51.0653059 35.7534979, 51.0660488 35.7532128)",,,,
490903885,False,,residential,,False,164.916,"LINESTRING (51.0647746 35.7536438, 51.0641686 35.7538658, 51.0639321 35.7539862, 51.0634632 35.7542249, 51.0631708 35.754349)",,,,
490903884,False,,residential,,True,124.77099999999999,"LINESTRING (51.0660488 35.7532128, 51.0653059 35.7534979, 51.0647746 35.7536438)",,,,
490903885,False,,residential,,True,164.916,"LINESTRING (51.0631708 35.754349, 51.0634632 35.7542249, 51.0639321 35.7539862, 51.0641686 35.7538658, 51.0647746 35.7536438)",,,,
491070441,False,معراج,residential,30,True,106.54,"LINESTRING (51.0680873 35.7468418, 51.0669717 35.7471552)",,,,
491070442,False,ناصریه,tertiary,40,True,51.669,"LINESTRING (51.063261 35.7528076, 51.0637727 35.7525991)",,,,
523877492,False,علی مددی,residential,30,False,278.254,"LINESTRING (51.063261 35.7528076, 51.0629151 35.750321)",,,,
491070443,False,محسنی,residential,30,True,148.998,"LINESTRING (51.0620827 35.7502265, 51.0608333 35.7511025)",,,,
523877490,False,پاسداران,residential,30,False,42.683,"LINESTRING (51.0620827 35.7502265, 51.0625443 35.7503102)",,,,
491070443,False,محسنی,residential,30,False,148.998,"LINESTRING (51.0608333 35.7511025, 51.0620827 35.7502265)",,,,
491070442,False,ناصریه,tertiary,40,False,165.358,"LINESTRING (51.068676 35.7506715, 51.0670269 35.7513198)",,,,
491070442,False,ناصریه,tertiary,40,True,80.529,"LINESTRING (51.068676 35.7506715, 51.0694704 35.7503416)",,,,
491070448,False,مصلی,residential,30,False,135.335,"LINESTRING (51.068676 35.7506715, 51.0681961 35.7495184)",,,,
491070448,False,مصلی,residential,30,True,119.571,"LINESTRING (51.0677762 35.7484985, 51.0681961 35.7495184)",,,,
523877483,False,لطفی,residential,30,False,87.846,"LINESTRING (51.0677762 35.7484985, 51.0686944 35.7482362)",,,,
523877483,False,لطفی,residential,30,True,75.527,"LINESTRING (51.0677762 35.7484985, 51.0669868 35.7487241)",,,,
320364643,True,خیابان مهدیه,residential,30,False,9.838,"LINESTRING (51.0681791 35.7533733, 51.0681705 35.7534615)",,,,
530893734,True,کنارگذر لشگری,primary,50,False,9.839,"LINESTRING (51.0681791 35.7533733, 51.068083 35.7534151)",,,,
320364643,True,خیابان مهدیه,residential,30,False,114.781,"LINESTRING (51.0681705 35.7534615, 51.0687555 35.7543781)",,,,
492106270,False,,residential,30,False,9.432,"LINESTRING (51.0681705 35.7534615, 51.068083 35.7534151)",,,,
492106270,False,,residential,30,True,9.432,"LINESTRING (51.068083 35.7534151, 51.0681705 35.7534615)",,,,
530893734,True,کنارگذر لشگری,primary,50,False,95.533,"LINESTRING (51.068083 35.7534151, 51.0676333 35.7536106, 51.06715 35.7538211)",,,,
314886534,True,کنارگذر لشگری,primary,60,False,38.247,"LINESTRING (51.0686924 35.7526619, 51.069069 35.7525041)",,,,
491070441,False,معراج,residential,30,False,106.54,"LINESTRING (51.0669717 35.7471552, 51.0680873 35.7468418)",,,,
491070441,False,معراج,residential,30,True,53.354,"LINESTRING (51.0669717 35.7471552, 51.0664127 35.7473114)",,,,
523877470,False,ذوالفقاری,residential,30,True,49.553,"LINESTRING (51.0669717 35.7471552, 51.0668438 35.7468444, 51.0667978 35.7467325)",,,,
491070441,False,معراج,residential,30,False,164.033,"LINESTRING (51.0646918 35.7477862, 51.0664127 35.7473114)",,,,
491070441,False,معراج,residential,30,True,270.176,"LINESTRING (51.0646918 35.7477862, 51.0618736 35.7486061)",,,,
523877474,False,انقلاب,residential,30,True,53.497,"LINESTRING (51.0646918 35.7477862, 51.0646743 35.7473053)",,,,
541102744,False,انقلاب,residential,30,False,112.006,"LINESTRING (51.0646918 35.7477862, 51.0647053 35.7479708, 51.0647294 35.7482581, 51.0647696 35.7485302, 51.0648078 35.7487887)",,,,
491070441,False,معراج,residential,30,False,53.354,"LINESTRING (51.0664127 35.7473114, 51.0669717 35.7471552)",,,,
491070441,False,معراج,residential,30,True,164.033,"LINESTRING (51.0664127 35.7473114, 51.0646918 35.7477862)",,,,
523877477,False,,residential,30,False,57.13,"LINESTRING (51.0664127 35.7473114, 51.0666111 35.7477993)",,,,
523877477,False,,residential,30,True,53.231,"LINESTRING (51.0669868 35.7487241, 51.0668023 35.7482694)",,,,
523877483,False,لطفی,residential,30,False,75.527,"LINESTRING (51.0669868 35.7487241, 51.0677762 35.7484985)",,,,
523877483,False,لطفی,residential,30,True,84.727,"LINESTRING (51.0669868 35.7487241, 51.0661012 35.7489771)",,,,
523877477,False,,residential,30,False,55.047,"LINESTRING (51.0666111 35.7477993, 51.0668023 35.7482694)",,,,
523877477,False,,residential,30,True,57.13,"LINESTRING (51.0666111 35.7477993, 51.0664127 35.7473114)",,,,
523877478,False,شاهد چهارم,residential,30,True,143.751,"LINESTRING (51.0666111 35.7477993, 51.0651018 35.7482126)",,,,
523877477,False,,residential,30,False,53.231,"LINESTRING (51.0668023 35.7482694, 51.0669868 35.7487241)",,,,
523877477,False,,residential,30,True,55.047,"LINESTRING (51.0668023 35.7482694, 51.0666111 35.7477993)",,,,
523877479,False,شاهد سوم,residential,30,True,148.871,"LINESTRING (51.0668023 35.7482694, 51.0652253 35.7486623)",,,,
523877480,False,میثاق,residential,30,True,245.134,"LINESTRING (51.0622393 35.7495061, 51.0648078 35.7487887)",,,,
523877481,False,ایرانمهر,residential,30,False,60.257,"LINESTRING (51.0622393 35.7495061, 51.0624482 35.7500208)",,,,
523877481,False,ایرانمهر,residential,30,True,105.377,"LINESTRING (51.0622393 35.7495061, 51.0618736 35.7486061)",,,,
491070441,False,معراج,residential,30,False,270.176,"LINESTRING (51.0618736 35.7486061, 51.0646918 35.7477862)",,,,
523877481,False,ایرانمهر,residential,30,False,105.377,"LINESTRING (51.0618736 35.7486061, 51.0622393 35.7495061)",,,,
523877481,False,ایرانمهر,residential,30,True,33.328,"LINESTRING (51.0625443 35.7503102, 51.0624482 35.7500208)",,,,
523877490,False,پاسداران,residential,30,False,33.484,"LINESTRING (51.0625443 35.7503102, 51.0629151 35.750321)",,,,
523877490,False,پاسداران,residential,30,True,42.683,"LINESTRING (51.0625443 35.7503102, 51.0620827 35.7502265)",,,,
523877481,False,ایرانمهر,residential,30,False,33.328,"LINESTRING (51.0624482 35.7500208, 51.0625443 35.7503102)",,,,
523877481,False,ایرانمهر,residential,30,True,60.257,"LINESTRING (51.0624482 35.7500208, 51.0622393 35.7495061)",,,,
523877483,False,لطفی,residential,30,False,234.138,"LINESTRING (51.0624482 35.7500208, 51.0648955 35.7493216)",,,,
523877483,False,لطفی,residential,30,True,87.846,"LINESTRING (51.0686944 35.7482362, 51.0677762 35.7484985)",,,,
782396962,True,بلوار امیرکبیر,secondary,50,False,164.446,"LINESTRING (51.0686944 35.7482362, 51.0682964 35.7473277, 51.0680873 35.7468418)",,,,
523877484,False,شاهد دوم غربی,residential,30,True,97.107,"LINESTRING (51.0652789 35.749719, 51.0662892 35.7494184)",,,,
523877486,False,شاهد اول غربی,residential,30,False,96.591,"LINESTRING (51.0654815 35.750171, 51.06649 35.74988)",,,,
523877483,False,لطفی,residential,30,False,84.727,"LINESTRING (51.0661012 35.7489771, 51.0669868 35.7487241)",,,,
523877487,False,جانبازان,residential,30,False,51.921,"LINESTRING (51.0661012 35.7489771, 51.0662892 35.7494184)",,,,
523877483,False,لطفی,residential,30,True,115.35399999999998,"LINESTRING (51.0661012 35.7489771, 51.065161 35.7492457, 51.0648955 35.7493216)",,,,
523877484,False,شاهد دوم غربی,residential,30,False,97.107,"LINESTRING (51.0662892 35.7494184, 51.0652789 35.749719)",,,,
523877487,False,جانبازان,residential,30,False,54.432,"LINESTRING (51.0662892 35.7494184, 51.06649 35.74988)",,,,
523877487,False,جانبازان,residential,30,True,51.921,"LINESTRING (51.0662892 35.7494184, 51.0661012 35.7489771)",,,,
683296139,False,شاهد دوم شرقی,residential,,False,112.689,"LINESTRING (51.0662892 35.7494184, 51.0674816 35.7491175)",,,,
523877486,False,شاهد اول غربی,residential,30,True,96.591,"LINESTRING (51.06649 35.74988, 51.0654815 35.750171)",,,,
523877487,False,جانبازان,residential,30,False,53.642,"LINESTRING (51.06649 35.74988, 51.0666671 35.7503405)",,,,
523877487,False,جانبازان,residential,30,True,54.432,"LINESTRING (51.06649 35.74988, 51.0662892 35.7494184)",,,,
683296140,False,شاهد اول شرقی,residential,,False,106.823,"LINESTRING (51.06649 35.74988, 51.0676192 35.7495918)",,,,
523877487,False,جانبازان,residential,30,True,53.642,"LINESTRING (51.0666671 35.7503405, 51.06649 35.74988)",,,,
523877490,False,پاسداران,residential,30,False,45.563,"LINESTRING (51.0666671 35.7503405, 51.0668786 35.7502914, 51.0671481 35.7502164)",,,,
523877490,False,پاسداران,residential,30,True,147.52,"LINESTRING (51.0666671 35.7503405, 51.0659847 35.7505547, 51.065846 35.7505875, 51.0656977 35.7505939, 51.065439 35.750576, 51.0650912 35.7505412)",,,,
523877488,False,,residential,30,False,110.229,"LINESTRING (51.0642216 35.7500475, 51.0630536 35.7503376)",,,,
523877488,False,,residential,30,True,110.229,"LINESTRING (51.0630536 35.7503376, 51.0642216 35.7500475)",,,,
523877490,False,پاسداران,residential,30,False,39.579,"LINESTRING (51.0630536 35.7503376, 51.0634889 35.7503811)",,,,
