osmid,name,highway,oneway,reversed,length,geometry,junction
134168501,خیابان امام خمینی,tertiary,False,False,64.57,"LINESTRING (55.2725552 30.868231, 55.2729427 30.868707)",
134168501,خیابان امام خمینی,tertiary,False,True,31.652,"LINESTRING (55.2725552 30.868231, 55.2723657 30.8679974)",
1110814567,,tertiary,False,True,71.108,"LINESTRING (55.2725552 30.868231, 55.2720063 30.8686634)",
1111164117,خیابان طالقانی,tertiary,False,False,79.989,"LINESTRING (55.2725552 30.868231, 55.272959 30.8680274, 55.2732885 30.8678834)",
134168501,خیابان امام خمینی,tertiary,False,False,48.629,"LINESTRING (55.2734926 30.8693826, 55.2737839 30.8697414)",
134168501,خیابان امام خمینی,tertiary,False,True,7.254,"LINESTRING (55.2734926 30.8693826, 55.2734491 30.8693291)",
242948961,رازی جنوبی,tertiary,False,False,65.069,"LINESTRING (55.2734926 30.8693826, 55.2729102 30.8696868)",
134168501,خیابان امام خمینی,tertiary,False,False,51.63,"LINESTRING (55.2756466 30.8720389, 55.2759583 30.8724184)",
134168501,خیابان امام خمینی,tertiary,False,True,21.284,"LINESTRING (55.2756466 30.8720389, 55.2755214 30.8718805)",
242948839,خیابان شریعتی,tertiary,False,True,33.309,"LINESTRING (55.2756466 30.8720389, 55.2753694 30.8722209)",
1110814553,خیابان قدس,tertiary,False,False,60.549,"LINESTRING (55.2756466 30.8720389, 55.2762082 30.8717856)",
242949019,خیابان امامزاده,tertiary,False,False,10.361,"LINESTRING (55.2758118 30.8755963, 55.2757142 30.8756371)",
242949019,خیابان امامزاده,tertiary,False,True,56.765,"LINESTRING (55.2758118 30.8755963, 55.2763683 30.8754161)",
1114979421,امامزاده ۴,residential,False,True,71.533,"LINESTRING (55.2758118 30.8755963, 55.2753947 30.8750618)",
242949019,خیابان امامزاده,tertiary,False,False,44.622,"LINESTRING (55.2747193 30.8760583, 55.2743157 30.8762609)",
242949019,خیابان امامزاده,tertiary,False,True,32.123,"LINESTRING (55.2747193 30.8760583, 55.2750162 30.8759222)",
407423244,امامزاده ۷,residential,False,True,85.103,"LINESTRING (55.2747193 30.8760583, 55.2750505 30.8767689)",
242949019,خیابان امامزاده,tertiary,False,False,26.578,"LINESTRING (55.2739138 30.8764627, 55.2736885 30.8766032)",
242949019,خیابان امامزاده,tertiary,False,True,41.476,"LINESTRING (55.2739138 30.8764627, 55.2742899 30.8762758)",
1110817051,,residential,False,True,95.6,"LINESTRING (55.2714259 30.8679627, 55.2720063 30.8686634)",
1110817053,,residential,False,False,26.366999999999997,"LINESTRING (55.2714259 30.8679627, 55.2713339 30.8680206, 55.2712031 30.8681029)",
242948990,,residential,False,False,63.073,"LINESTRING (55.275593 30.8680035, 55.2750605 30.8683394)",
242948956,شبستان ۸,residential,False,False,128.703,"LINESTRING (55.275593 30.8680035, 55.2762882 30.8688134, 55.2763568 30.8688639, 55.2764372 30.8688903)",
242949012,نواب,tertiary,False,True,45.508,"LINESTRING (55.2685838 30.8680113, 55.2689186 30.8683027)",
