osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry
303331432,True,2,2,ڕێگای هەولێر - موسڵ,trunk,60,False,155.811,"LINESTRING (43.6828127 36.2712157, 43.6845468 36.2711216)"
959715383,False,,,,trunk_link,,False,15.549,"LINESTRING (43.6828127 36.2712157, 43.6828007 36.2710762)"
349765078,True,,,,tertiary,,False,15.657,"LINESTRING (43.675434 36.2759729, 43.6753763 36.27584)"
304580660,False,,,,residential,,False,33.588,"LINESTRING (43.6791563 36.2673497, 43.6792069 36.267649)"
"[1266415978, 304580663]",False,,,,residential,,True,241.246,"LINESTRING (43.6791563 36.2673497, 43.6773596 36.267527, 43.6772901 36.2675935, 43.6772793 36.2676583, 43.6774188 36.2679265, 43.6777139 36.2680476)"
506336066,True,,,,trunk_link,,False,17.699,"LINESTRING (43.6773424 36.2710568, 43.6771618 36.2711211)"
682708363,True,2,2,ڕێگای هەولێر - موسڵ,trunk,60,False,191.371,"LINESTRING (43.6773424 36.2710568, 43.6752555 36.2706947)"
959715382,False,,,,trunk_link,,False,16.263,"LINESTRING (43.6845468 36.2711216, 43.684531 36.2709759)"
321698498,False,,,,unclassified,,True,97.214,"LINESTRING (43.6785177 36.2709615, 43.6774535 36.2707936)"
304580660,False,,,,residential,,True,333.278,"LINESTRING (43.6785177 36.2709615, 43.6786252 36.2705221, 43.6790115 36.268844, 43.6791729 36.2680115)"
321698498,False,,,,unclassified,,False,128.788,"LINESTRING (43.6785177 36.2709615, 43.6791001 36.2710349, 43.6799409 36.2711182)"
959715382,False,,,,trunk_link,,True,16.263,"LINESTRING (43.684531 36.2709759, 43.6845468 36.2711216)"
321698498,False,,,,unclassified,,True,155.52,"LINESTRING (43.684531 36.2709759, 43.6832355 36.2710527, 43.6828007 36.2710762)"
321698496,False,,,,secondary,,False,16.569,"LINESTRING (43.6825678 36.2714698, 43.682383 36.2714724)"
283095117,True,,,GASHA Company St,tertiary,,False,219.93300000000002,"LINESTRING (43.6825678 36.2714698, 43.6823659 36.2717782, 43.6821799 36.2720623, 43.6819917 36.2723497, 43.6817505 36.272697, 43.6815912 36.2729506, 43.6814227 36.2732188)"
321698496,False,,,,secondary,,True,129.956,"LINESTRING (43.6825678 36.2714698, 43.6834853 36.2714142, 43.6840133 36.2713817)"
321703987,False,,,,trunk_link,,True,17.272,"LINESTRING (43.6784139 36.2710881, 43.6783844 36.2712416)"
303331432,True,2,2,ڕێگای هەولێر - موسڵ,trunk,60,False,136.84,"LINESTRING (43.6784139 36.2710881, 43.678709 36.2711335, 43.6794198 36.2712135, 43.6799267 36.2712438)"
321703987,False,,,,trunk_link,,False,17.272,"LINESTRING (43.6783844 36.2712416, 43.6784139 36.2710881)"
682708363,True,2,2,ڕێگای هەولێر - موسڵ,trunk,60,False,95.647,"LINESTRING (43.6783844 36.2712416, 43.6773424 36.2710568)"
682708363,True,2,2,ڕێگای هەولێر - موسڵ,trunk,60,False,114.875,"LINESTRING (43.6796531 36.2713779, 43.6791649 36.2713497, 43.6785936 36.2712719, 43.6783844 36.2712416)"
321703988,True,,,,trunk_link,,False,20.498,"LINESTRING (43.6798392 36.271485, 43.6796531 36.2713779)"
321698496,False,,,,secondary,,False,243.64800000000002,"LINESTRING (43.6798392 36.271485, 43.6796355 36.2714744, 43.6791086 36.2714211, 43.6788732 36.2713926, 43.6781818 36.2712982, 43.6771618 36.2711211)"
321698496,False,,,,secondary,,True,228.242,"LINESTRING (43.6798392 36.271485, 43.680002 36.2714934, 43.680466 36.2715151, 43.6809065 36.2715124, 43.6814579 36.271507, 43.682383 36.2714724)"
