osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref
64776629,2,Cluainn Craoibh,residential,30,False,False,22.261,"LINESTRING (-7.1071376 53.4578302, -7.1071996 53.4577758, -7.1073263 53.4576645)",
92030647,2,Mullingar Road,secondary,60,False,False,99.81700000000001,"LINESTRING (-7.1071376 53.4578302, -7.1077465 53.4580955, -7.1080215 53.4581966, -7.1083867 53.4583317)",R148
"[92030648, 92030647]",2,Mullingar Road,secondary,"['60', '50']",False,True,86.58099999999999,"LINESTRING (-7.1071376 53.4578302, -7.1066503 53.4575985, -7.1061163 53.4573439)",R148
92038949,2,Heathfield,residential,,False,True,22.637,"LINESTRING (-7.1063266 53.4571717, -7.1065869 53.4573037)",
64776627,2,Heathfield,residential,,False,True,23.677,"LINESTRING (-7.1063266 53.4571717, -7.1061558 53.4573098, -7.1061163 53.4573439)",
92038949,2,Heathfield,residential,,False,False,52.71600000000001,"LINESTRING (-7.1063266 53.4571717, -7.1060976 53.4571068, -7.1058675 53.4570362, -7.1056533 53.4569254)",
64776628,2,Cluainn Craoibh,residential,30,False,False,35.049,"LINESTRING (-7.1077649 53.457841, -7.1073802 53.4576862, -7.1073263 53.4576645)",
64776628,2,Cluainn Craoibh,residential,30,False,True,51.760000000000005,"LINESTRING (-7.1066785 53.4574039, -7.1072811 53.4576464, -7.1073263 53.4576645)",
64776628,2,Cluainn Craoibh,residential,30,False,False,51.760000000000005,"LINESTRING (-7.1073263 53.4576645, -7.1072811 53.4576464, -7.1066785 53.4574039)",
64776628,2,Cluainn Craoibh,residential,30,False,True,35.049,"LINESTRING (-7.1073263 53.4576645, -7.1073802 53.4576862, -7.1077649 53.457841)",
64776629,2,Cluainn Craoibh,residential,30,False,False,68.795,"LINESTRING (-7.1073263 53.4576645, -7.1074579 53.457549, -7.1079096 53.4571525)",
64776629,2,Cluainn Craoibh,residential,30,False,True,22.261,"LINESTRING (-7.1073263 53.4576645, -7.1071996 53.4577758, -7.1071376 53.4578302)",
92030648,2,Mullingar Road,secondary,50,False,True,39.392,"LINESTRING (-7.1061163 53.4573439, -7.105654 53.4571209)",R148
64776627,2,Heathfield,residential,,False,False,23.677,"LINESTRING (-7.1061163 53.4573439, -7.1061558 53.4573098, -7.1063266 53.4571717)",
"[92030648, 92030647]",2,Mullingar Road,secondary,"['60', '50']",False,False,86.58099999999999,"LINESTRING (-7.1061163 53.4573439, -7.1066503 53.4575985, -7.1071376 53.4578302)",R148
"[66668827, 92030647]",2,Mullingar Road,secondary,60,False,True,174.122,"LINESTRING (-7.1106224 53.4591564, -7.1101421 53.4589813, -7.1083867 53.4583317)",R148
149748807,2,,residential,30,False,True,96.486,"LINESTRING (-7.1106224 53.4591564, -7.1106619 53.4591091, -7.1107148 53.459075, -7.1115617 53.4584951)",
92038949,2,Heathfield,residential,,False,False,22.637,"LINESTRING (-7.1065869 53.4573037, -7.1063266 53.4571717)",
92030648,2,Mullingar Road,secondary,50,False,False,117.80699999999999,"LINESTRING (-7.102371 53.4554135, -7.1031859 53.4558851, -7.1036584 53.4561447)",R148
"[149748868, 149748839]",2,,"['unclassified', 'residential']",50,False,True,170.99099999999999,"LINESTRING (-7.102371 53.4554135, -7.1022783 53.4554773, -7.1021869 53.4555402, -7.1019101 53.4558778, -7.1015644 53.4563285, -7.100828 53.4560902)",
"[64776629, 700555510]",2,Cluainn Craoibh,residential,30,False,True,52.994,"LINESTRING (-7.1103367 53.4555729, -7.1098977 53.4554817, -7.1098253 53.4554881, -7.1097736 53.4555159, -7.1096655 53.4556108)",
92038949,2,Heathfield,residential,,False,True,41.525,"LINESTRING (-7.1051535 53.4566998, -7.1056533 53.4569254)",
92038949,2,Heathfield,residential,,False,False,41.525,"LINESTRING (-7.1056533 53.4569254, -7.1051535 53.4566998)",
92038949,2,Heathfield,residential,,False,True,52.71600000000001,"LINESTRING (-7.1056533 53.4569254, -7.1058675 53.4570362, -7.1060976 53.4571068, -7.1063266 53.4571717)",
"[149748827, 149748829]",2,,residential,50,False,False,104.28800000000001,"LINESTRING (-7.1056533 53.4569254, -7.1062686 53.4563808, -7.1063814 53.4562405, -7.1064062 53.4561154)",
149748818,2,,residential,,False,True,141.074,"LINESTRING (-7.107915 53.4579143, -7.1079686 53.45786, -7.1081215 53.4579111, -7.1085098 53.4581154, -7.1089893 53.4582969, -7.10913 53.4583263, -7.1095974 53.4584682, -7.1096772 53.4584924)",
149748864,2,,residential,30,False,True,7.242,"LINESTRING (-7.1101063 53.4579302, -7.1100125 53.4578967)",
149748807,2,,residential,30,False,True,9.307,"LINESTRING (-7.1115617 53.4584951, -7.1116529 53.4584314)",
149748872,2,,residential,30,False,True,48.742,"LINESTRING (-7.1115617 53.4584951, -7.1109664 53.4582372)",
149748807,2,,residential,30,False,False,96.486,"LINESTRING (-7.1115617 53.4584951, -7.1107148 53.459075, -7.1106619 53.4591091, -7.1106224 53.4591564)",
