osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,bridge,maxspeed,junction,tunnel,width
4019513,False,2,unclassified,False,65.278,"LINESTRING (9.1082384 45.4342767, 9.1082982 45.4343088, 9.1083579 45.4343409, 9.1087421 45.4345614, 9.1088268 45.4346121, 9.1088671 45.4346239, 9.1088988 45.4346339)",,,,,,,
213930818,False,,secondary,False,5.635,"LINESTRING (9.1088093 45.4339459, 9.1087689 45.4339039)",SP59,Via Vittorio Emanuele Secondo,,,,,
29015600,False,,secondary,True,80.61099999999999,"LINESTRING (9.1088093 45.4339459, 9.1088608 45.4340011, 9.1092233 45.4343689, 9.109315 45.4344344, 9.1094387 45.4345172)",SP59,Via Vittorio Emanuele Secondo,,,,,
"[29062345, 305408228, 29015814]",True,,secondary,False,58.038,"LINESTRING (9.1088093 45.4339459, 9.1087779 45.4339616, 9.1084817 45.4341094, 9.1084212 45.4341396, 9.1082384 45.4342767)",,Viale Liberazione,yes,,,,
32870862,False,,residential,False,185.161,"LINESTRING (9.1101339 45.435104, 9.1104168 45.4347345, 9.1112625 45.4336392)",,Via privata Verganti,,,,,
"[1203533467, 392519773]",False,3,secondary,False,86.303,"LINESTRING (9.1101339 45.435104, 9.1100344 45.4350599, 9.1099476 45.4350158, 9.1098523 45.4349585, 9.1097794 45.4349065, 9.1097127 45.4348443, 9.1096108 45.4347301, 9.1094685 45.4345541, 9.1094387 45.4345172)",SP59,Via Vittorio Emanuele Secondo,,50,,,
178169779,False,,residential,True,9.572,"LINESTRING (9.1137033 45.4292124, 9.1137609 45.4291364)",,Via Giuseppe Verdi,,,,,
45246593,True,,tertiary,False,97.52799999999999,"LINESTRING (9.1137033 45.4292124, 9.1135981 45.4291845, 9.1126556 45.4289342, 9.1125344 45.428902)",,Via Galileo Galilei,,,,,
216265136,False,,residential,False,93.831,"LINESTRING (9.1137033 45.4292124, 9.1136615 45.4292729, 9.1136404 45.4293035, 9.1132179 45.4299164, 9.1131796 45.429972)",,Via Giuseppe Verdi,,,,,
32871081,True,,residential,False,60.559,"LINESTRING (9.1153381 45.4301776, 9.1150157 45.4305514, 9.1149582 45.4306179, 9.1149362 45.4306435)",,Via Raffaello Sanzio,,,,,
178169794,False,,residential,True,159.52200000000002,"LINESTRING (9.1122075 45.4312336, 9.1122459 45.4311805, 9.1125544 45.4307625, 9.1127673 45.4304734, 9.112826 45.430402, 9.1129587 45.4302406, 9.1131066 45.4300608, 9.1131796 45.429972)",,Via Dante Alighieri,,,,,
178169801,False,,residential,True,145.68200000000002,"LINESTRING (9.1122075 45.4312336, 9.1119119 45.4311031, 9.1113902 45.4308729, 9.1112355 45.4308105, 9.1110489 45.4307424, 9.110641 45.4306415, 9.110598 45.4306346, 9.1105635 45.430642)",,Via Vincenzo Monti,,,,,
213802067,False,,residential,False,80.52199999999999,"LINESTRING (9.1122075 45.4312336, 9.1122756 45.4312618, 9.1129269 45.431539, 9.1130912 45.4316075)",,Via Vincenzo Monti,,,,,
24834255,False,,residential,True,58.937,"LINESTRING (9.1110462 45.432792, 9.1108172 45.4327034, 9.1107123 45.4326657, 9.1106156 45.4326405, 9.1103514 45.4325928)",,Via Alessandro Manzoni,,,,,
178169797,True,,residential,False,117.067,"LINESTRING (9.1110462 45.432792, 9.1110833 45.4327406, 9.1116968 45.4319073, 9.1117344 45.4318565)",,Via Dante Alighieri,,,,,
24834255,False,,residential,False,58.937,"LINESTRING (9.1103514 45.4325928, 9.1106156 45.4326405, 9.1107123 45.4326657, 9.1108172 45.4327034, 9.1110462 45.432792)",,Via Alessandro Manzoni,,,,,
"[214405150, 24834255]",False,,residential,True,138.578,"LINESTRING (9.1103514 45.4325928, 9.1098628 45.4325148, 9.1097034 45.4324826, 9.1096021 45.4324575, 9.1093652 45.432397, 9.109327 45.4323859, 9.1092787 45.4323711, 9.1092563 45.4323595, 9.109261 45.4323329, 9.1092849 45.4322749, 9.1094702 45.4319465)",,"['Via Camillo Benso Conte di Cavour', 'Via Alessandro Manzoni']",,,,,
243644958,True,,residential,False,118.86200000000001,"LINESTRING (9.1103514 45.4325928, 9.1103803 45.4325194, 9.1107325 45.4316388, 9.1107516 45.4315979, 9.1107671 45.4315645)",,Via Giacomo Leopardi,,,,,
214405150,False,,residential,False,66.704,"LINESTRING (9.1101331 45.4307381, 9.1098499 45.4313041)",,Via Camillo Benso Conte di Cavour,,,,,
178169784,True,,residential,False,55.864,"LINESTRING (9.1101331 45.4307381, 9.1100166 45.4306825, 9.1095411 45.4304556)",,Via Ventiquattro Maggio,,,,,
214405151,True,,residential,False,67.601,"LINESTRING (9.1095411 45.4304556, 9.1093535 45.4304376, 9.1087407 45.4303995, 9.1086794 45.4303942)",,Via Ventiquattro Maggio,,,,,
162204462,True,,residential,False,67.408,"LINESTRING (9.1096301 45.4298961, 9.1098434 45.4293641, 9.1098622 45.4293122)",,Via Ugo Foscolo,,,,,
162204464,True,,residential,False,62.611000000000004,"LINESTRING (9.1096301 45.4298961, 9.1096177 45.4299467, 9.1095411 45.4304556)",,Via Ugo Foscolo,,,,,
32870557,False,2,tertiary,False,9.661,"LINESTRING (9.1103368 45.4283185, 9.1103596 45.4282331)",,Via Ugo Foscolo,,50,,,
1135214406,True,,tertiary,False,19.109,"LINESTRING (9.1103368 45.4283185, 9.1101103 45.4282532)",,Viale della Resistenza,,,,,
32870555,False,,residential,False,56.98,"LINESTRING (9.1040305 45.4290044, 9.1042569 45.4285857, 9.1042899 45.4285254)",,,,,,,
178169796,True,,residential,False,60.829,"LINESTRING (9.1073137 45.4300547, 9.1072884 45.4301032, 9.1070403 45.430567)",,Via Venticinque Aprile,,,,,
214405149,True,,residential,False,285.853,"LINESTRING (9.1073137 45.4300547, 9.1072428 45.4300365, 9.1050029 45.4294664, 9.1044237 45.4293056, 9.10424 45.4291617, 9.104155 45.4290978, 9.1040305 45.4290044)",,Via Ventiquattro Maggio,,,,,
214405151,True,,residential,False,113.06099999999999,"LINESTRING (9.1086794 45.4303942, 9.1086124 45.4303777, 9.1073977 45.4300763, 9.1073137 45.4300547)",,Via Ventiquattro Maggio,,,,,
32870861,True,,residential,False,116.47800000000001,"LINESTRING (9.1080655 45.4315922, 9.1093424 45.4319159, 9.1094702 45.4319465)",,Via Roma,,,,,
178169804,True,,residential,False,77.89800000000001,"LINESTRING (9.1080655 45.4315922, 9.1083941 45.4309598, 9.1084065 45.4309338)",,Via Giuseppe Garibaldi,,,,,
214416963,False,,residential,True,28.559,"LINESTRING (9.1084065 45.4309338, 9.1087497 45.431023)",,Via Venti Settembre,,,,,
178169804,True,,residential,False,63.668000000000006,"LINESTRING (9.1084065 45.4309338, 9.1086613 45.4304298, 9.1086794 45.4303942)",,Via Giuseppe Garibaldi,,,,,
214416971,True,,residential,False,114.146,"LINESTRING (9.1084065 45.4309338, 9.1083472 45.430917, 9.1070403 45.430567)",,Via Venti Settembre,,,,,
162204458,True,,unclassified,False,77.526,"LINESTRING (9.1090085 45.4297364, 9.1089861 45.429776, 9.1087031 45.4303478, 9.1086794 45.4303942)",,Via Giuseppe Garibaldi,,,,,
214405156,True,,residential,False,51.66,"LINESTRING (9.1090085 45.4297364, 9.109061 45.4297512, 9.1095578 45.4298794, 9.1096301 45.4298961)",,Via Quattro Novembre,,,,,
1126984768,True,,residential,False,9.003,"LINESTRING (9.1036791 45.4274333, 9.1035708 45.4274054)",,Via Piave,,,,,
53536994,True,,tertiary,False,96.57,"LINESTRING (9.1036791 45.4274333, 9.1036443 45.4274998, 9.103308 45.4281429, 9.1032911 45.4281752, 9.1032527 45.4282486)",,Viale della Resistenza,,,,,
217870080,False,,secondary,False,9.19,"LINESTRING (9.1027151 45.4292961, 9.1026038 45.4292691)",SP59,Via Vittorio Emanuele Secondo,,,,,
29979782,False,,secondary,True,23.862000000000002,"LINESTRING (9.1027151 45.4292961, 9.1028137 45.429321, 9.1030028 45.4293688)",SP59,Via Vittorio Emanuele Secondo,,50,,,
129305526,False,,residential,False,80.208,"LINESTRING (9.1040795 45.4265447, 9.1031208 45.4262847)",,Via Gorizia,,,,,
129305526,False,,residential,True,132.495,"LINESTRING (9.1040795 45.4265447, 9.1056678 45.4269657)",,Via Gorizia,,,,,
29050012,True,,residential,False,70.158,"LINESTRING (9.1040795 45.4265447, 9.1038667 45.4270188, 9.1038094 45.4271465)",,Via Isonzo,,,,,
178169788,True,,residential,False,92.064,"LINESTRING (9.1076732 45.4293945, 9.1076953 45.4293521, 9.1078234 45.4291404, 9.1080977 45.4286222)",,Via Venticinque Aprile,,,,,
178169796,True,,residential,False,78.594,"LINESTRING (9.1076732 45.4293945, 9.1076473 45.4294363, 9.1073137 45.4300547)",,Via Venticinque Aprile,,,,,
214405156,True,,residential,False,110.92,"LINESTRING (9.1076732 45.4293945, 9.1077391 45.4294126, 9.1088972 45.4297086, 9.1090085 45.4297364)",,Via Quattro Novembre,,,,,
178169778,False,,residential,False,186.609,"LINESTRING (9.1098622 45.4293122, 9.1099826 45.4293331, 9.1100629 45.4293458, 9.1118254 45.429612, 9.1121996 45.4296664)",,Via Giuseppe Parini,,,,,
397988347,True,,residential,False,65.719,"LINESTRING (9.1098622 45.4293122, 9.1099038 45.4292292, 9.1101267 45.4287511)",,Via Ugo Foscolo,,,,,
213930824,False,,residential,False,7.065,"LINESTRING (9.1149362 45.4306435, 9.1148567 45.4306131)",,Via dei Lavoratori,,,,,
213930813,True,,residential,False,63.281,"LINESTRING (9.1132371 45.4340846, 9.1129811 45.4346246)",,Via Santa Adele,,,,,
213802069,True,,residential,False,82.173,"LINESTRING (9.1132371 45.4340846, 9.1122893 45.4339492, 9.1122051 45.4339374)",,Via degli Artigiani,,,,,
213802080,True,,residential,False,68.097,"LINESTRING (9.1136741 45.4331837, 9.1145335 45.4332902)",,Via Giuseppe Mazzini,,,,,
213930813,True,,residential,False,105.88600000000001,"LINESTRING (9.1136741 45.4331837, 9.1136329 45.4332423, 9.1132371 45.4340846)",,Via Santa Adele,,,,,
213930813,True,,residential,False,69.264,"LINESTRING (9.1145129 45.4321892, 9.1140507 45.432721)",,Via Santa Adele,,,,,
213802067,False,,residential,True,68.54599999999999,"LINESTRING (9.1145129 45.4321892, 9.1143403 45.4321211, 9.1137496 45.4318841)",,Via Vincenzo Monti,,,,,
32871077,True,,residential,False,107.809,"LINESTRING (9.1141168 45.4342146, 9.114147 45.4341453, 9.1145039 45.4333542, 9.1145335 45.4332902)",,Via Armando Diaz,,,,,
213802069,True,,residential,False,70.149,"LINESTRING (9.1141168 45.4342146, 9.1140269 45.4342004, 9.1133535 45.4341006, 9.1132371 45.4340846)",,Via degli Artigiani,,,,,
