osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,maxspeed
74735706,True,SS605,Via Roma,unclassified,False,93.341,"LINESTRING (17.8122103 40.5559426, 17.8115318 40.5566051)",,
114233838,False,,Corte Tarallo Lavino,residential,True,104.364,"LINESTRING (17.8122103 40.5559426, 17.8119491 40.5557838, 17.8110483 40.555784)",,
942932830,False,,,unclassified,True,19.848,"LINESTRING (17.8104039 40.5577268, 17.8102411 40.5578555)",,
"[114078014, 1162858078]",True,SS605,"['Piazza Giuseppe Garibaldi', 'Via Federico II Svevo']",unclassified,False,74.074,"LINESTRING (17.8104039 40.5577268, 17.8104419 40.5577451, 17.8106289 40.557873, 17.8107378 40.557961, 17.8109022 40.5581147, 17.8109613 40.5581858, 17.810988 40.5582178)",,
114078014,True,SS605,Via Federico II Svevo,unclassified,False,81.512,"LINESTRING (17.811073 40.5589233, 17.8107969 40.5596257)",,
987445473,True,,Via dottore Emanuele Cavaliere,unclassified,False,85.7,"LINESTRING (17.811073 40.5589233, 17.8120862 40.5589615)",1,
779343899,False,SS605,Via Brindisi,secondary,True,147.493,"LINESTRING (17.8095576 40.5617191, 17.8109463 40.5625231)",2,
"[315313940, 1102382661]",False,SS605,"['Piazza Vittorio Emanuele secondo', 'Via Brindisi']",secondary,False,64.557,"LINESTRING (17.8095576 40.5617191, 17.8094837 40.5616654, 17.8090056 40.5613176)",2,
942932828,False,,Piazza Vittorio Emanuele secondo,secondary,False,14.816,"LINESTRING (17.8078554 40.5607689, 17.8076879 40.5607294)",2,
315313940,False,SS605,Piazza Vittorio Emanuele secondo,secondary,True,47.34400000000001,"LINESTRING (17.8078554 40.5607689, 17.8080591 40.5608239, 17.8082351 40.5608829, 17.8083694 40.5609368)",2,
"[114078011, 675773567]",True,SS605,"['Via Dottor Roberto Antonucci', 'Piazza Emmanuele secondo']",secondary,False,44.655,"LINESTRING (17.8078554 40.5607689, 17.8076845 40.5609552, 17.8075391 40.5610903)",1,
56683995,False,,Via Luca Antonio Resta,residential,False,52.690999999999995,"LINESTRING (17.8080814 40.5595829, 17.8081762 40.559421, 17.8081558 40.5593857, 17.8081445 40.5593298, 17.8082504 40.559145)",,
56683995,False,,Via Luca Antonio Resta,residential,True,28.146,"LINESTRING (17.8083962 40.5589174, 17.8082504 40.559145)",,
114185621,False,,Piazzetta dei Giovanomo,residential,True,16.697,"LINESTRING (17.8083962 40.5589174, 17.8082497 40.5588166)",,
56683995,False,,Via Luca Antonio Resta,residential,False,73.899,"LINESTRING (17.8083962 40.5589174, 17.8084246 40.5588803, 17.8085032 40.5588414, 17.8085997 40.5587936, 17.808894 40.558674, 17.8090733 40.5585837, 17.809126 40.5585613)",,
955367674,False,,Piazza Giacomo Matteotti,residential,False,21.0,"LINESTRING (17.8101049 40.5581693, 17.8099228 40.5582068, 17.8098632 40.5582114)",,
955367674,False,,Piazza Giacomo Matteotti,residential,True,38.813,"LINESTRING (17.8101049 40.5581693, 17.8100905 40.5581166, 17.8098886 40.5580799, 17.8098679 40.5580977, 17.8098632 40.5582114)",,
56684020,False,,Via Guglielmo Marconi,secondary,True,59.144,"LINESTRING (17.8066233 40.5605349, 17.8069306 40.5605825, 17.8073042 40.5606577)",2,
74562270,True,,Via Manfredi Svevo,secondary,False,70.765,"LINESTRING (17.8066233 40.5605349, 17.8066166 40.5601701, 17.8066592 40.5599595, 17.8066765 40.5599025)",1,
608972943,False,,Via Guglielmo Marconi,secondary,False,70.89099999999999,"LINESTRING (17.8066233 40.5605349, 17.8059353 40.5604636, 17.8057922 40.5604468)",2,
74562270,True,,Via Manfredi Svevo,secondary,False,77.416,"LINESTRING (17.8068263 40.5595561, 17.8070401 40.5590641, 17.8071828 40.5589228)",1,
114077014,True,,Via Arco Ferraro,residential,False,111.37,"LINESTRING (17.8082754 40.5556997, 17.8079809 40.5556569, 17.8077095 40.5556325, 17.8073493 40.5556413, 17.8069676 40.5556779)",,
74735710,True,,Via dei Malvindi,secondary,False,139.384,"LINESTRING (17.8100483 40.5560726, 17.8101211 40.5561213, 17.8102142 40.5561917, 17.8109733 40.5569783, 17.8110721 40.5570512)",1,
315313932,False,SS605,Via Sandonaci,secondary,True,46.965,"LINESTRING (17.8100483 40.5560726, 17.8101567 40.5559756, 17.8104076 40.5557503)",2,
71599331,True,,Via Melissa Bassi,unclassified,False,101.49,"LINESTRING (17.8097576 40.5574999, 17.8087583 40.5569933)",,
74562268,True,SS605,Via Gualtiero D'Ocra,secondary,False,160.78799999999998,"LINESTRING (17.8097576 40.5574999, 17.8098633 40.5571315, 17.8098832 40.5570502, 17.8100056 40.5564626, 17.8100483 40.5560726)",,
779343899,False,SS605,Via Brindisi,secondary,False,147.493,"LINESTRING (17.8109463 40.5625231, 17.8095576 40.5617191)",2,
114078012,True,,Via Epifanio Ferdinando,unclassified,False,96.636,"LINESTRING (17.8109463 40.5625231, 17.8111988 40.5617267, 17.8112142 40.5616782)",1,20
779343899,False,SS605,Via Brindisi,secondary,True,96.105,"LINESTRING (17.8109463 40.5625231, 17.8116524 40.562924, 17.8118573 40.5630408)",2,
114204129,True,,Via Profilo,residential,False,41.954,"LINESTRING (17.8085221 40.5568242, 17.8080337 40.5568925)",,
331996649,True,,Via Torre Santa Susanna,unclassified,False,89.825,"LINESTRING (17.8085221 40.5568242, 17.8083637 40.5560254)",,
74735701,True,,Via Maja Materdona,secondary,False,36.992,"LINESTRING (17.8125325 40.5575332, 17.8129317 40.5576699)",,
114078012,True,,Via Epifanio Ferdinando,unclassified,False,70.969,"LINESTRING (17.8125325 40.5575332, 17.8127356 40.5569139)",1,20
608971535,True,,Via Maja Materdona,secondary,False,64.35,"LINESTRING (17.8129317 40.5576699, 17.8136932 40.5576837)",,
74735706,True,SS605,Via Roma,unclassified,False,83.301,"LINESTRING (17.8110721 40.5570512, 17.8104742 40.5576469)",,
114078005,True,,Via Iacopo da Mesagne,secondary,False,62.883,"LINESTRING (17.8110721 40.5570512, 17.8113592 40.5571812, 17.8117363 40.5573037)",1,
74770215,True,,Via Giuseppe Giusti,unclassified,False,13.294,"LINESTRING (17.8137158 40.5561675, 17.813562 40.5561422)",,
74770223,False,,Via R. Devicienti,residential,False,109.233,"LINESTRING (17.8137158 40.5561675, 17.8134117 40.5571223)",,
74770215,True,,Via Giuseppe Giusti,unclassified,False,48.227,"LINESTRING (17.813562 40.5561422, 17.8130501 40.5560569, 17.8130044 40.5560493)",,
74770215,True,,Via Giuseppe Giusti,unclassified,False,57.813,"LINESTRING (17.8143818 40.556287, 17.8137158 40.5561675)",,
74770224,True,,Via Solferino,unclassified,False,112.648,"LINESTRING (17.8143818 40.556287, 17.8138207 40.557206)",,
74770223,False,,Via R. Devicienti,residential,True,109.233,"LINESTRING (17.8134117 40.5571223, 17.8137158 40.5561675)",,
