osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction
32908550,Via del Cristo,tertiary,50,False,False,119.781,"LINESTRING (10.9344072 44.5428496, 10.9343536 44.5426683, 10.9342616 44.5425374, 10.934135 44.5424091, 10.9339865 44.542313, 10.9337423 44.542214, 10.9334401 44.5421175, 10.9334272 44.5421152)",,
32908550,Via del Cristo,tertiary,50,False,False,201.46300000000002,"LINESTRING (10.9323946 44.5419285, 10.9321982 44.5418476, 10.9320172 44.541733, 10.931823 44.5415305, 10.9308477 44.540513)",,
32908550,Via del Cristo,tertiary,50,False,True,84.68599999999999,"LINESTRING (10.9323946 44.5419285, 10.9327694 44.5420238, 10.9331988 44.5420751, 10.9334272 44.5421152)",,
189122395,Via del Cristo,tertiary,50,True,False,24.924,"LINESTRING (10.9303782 44.5400093, 10.9306 44.5401682)",1,
1156540569,,tertiary,50,True,False,5.344,"LINESTRING (10.9306 44.5401682, 10.9306673 44.5401712)",1,roundabout
189122385,Via Canobbia,residential,50,True,False,21.494,"LINESTRING (10.9309863 44.540163, 10.9308168 44.5403139)",1,
205203946,Via Canobbia,residential,,False,False,486.469,"LINESTRING (10.9309863 44.540163, 10.9366444 44.5384673)",,
1156540575,,tertiary,50,True,False,7.246,"LINESTRING (10.9304285 44.5402853, 10.9304408 44.5402539, 10.9304629 44.5402254)",1,roundabout
205203950,Via del Cristo,tertiary,50,True,False,16.91,"LINESTRING (10.9307992 44.5403649, 10.9308346 44.540473, 10.9308477 44.540513)",1,
"[1156540570, 1156540567]",,tertiary,50,True,False,15.171,"LINESTRING (10.9307992 44.5403649, 10.9307634 44.5404025, 10.9307125 44.54043, 10.9306519 44.5404442)",1,roundabout
189122391,Via Paletti,residential,50,True,False,23.142,"LINESTRING (10.9301843 44.5403994, 10.9304285 44.5402853)",1,
189122396,Via del Cristo,tertiary,50,True,False,17.301,"LINESTRING (10.9308477 44.540513, 10.9306519 44.5404442)",1,
32908550,Via del Cristo,tertiary,50,False,True,201.46300000000002,"LINESTRING (10.9308477 44.540513, 10.931823 44.5415305, 10.9320172 44.541733, 10.9321982 44.5418476, 10.9323946 44.5419285)",,
205085940,Via Canobbia,residential,,False,True,234.063,"LINESTRING (10.9366394 44.53665, 10.9367504 44.5370364, 10.9367327 44.537067, 10.9363243 44.5371281, 10.9362713 44.537173, 10.9363706 44.5375174, 10.9366444 44.5384673)",,
205203946,Via Canobbia,residential,,False,True,486.469,"LINESTRING (10.9366444 44.5384673, 10.9309863 44.540163)",,
205085940,Via Canobbia,residential,,False,False,234.06300000000002,"LINESTRING (10.9366444 44.5384673, 10.9363706 44.5375174, 10.9362713 44.537173, 10.9363243 44.5371281, 10.9367327 44.537067, 10.9367504 44.5370364, 10.9366394 44.53665)",,
205204275,Via Canobbia,residential,50,True,False,25.299,"LINESTRING (10.9306673 44.5401712, 10.9308386 44.5401664, 10.9309863 44.540163)",1,
1156540568,,tertiary,50,True,False,21.382,"LINESTRING (10.9306673 44.5401712, 10.9307292 44.5401903, 10.9307783 44.5402233, 10.9308087 44.5402662, 10.9308168 44.5403139)",1,roundabout
205203952,Via Paletti,residential,50,True,False,25.491999999999997,"LINESTRING (10.9305046 44.5404181, 10.9304329 44.5404099, 10.9301843 44.5403994)",1,
1156540572,,tertiary,50,True,False,16.708,"LINESTRING (10.9305046 44.5404181, 10.930467 44.5403918, 10.9304407 44.5403593, 10.9304276 44.5403229, 10.9304285 44.5402853)",1,roundabout
1156540573,,tertiary,50,True,False,12.324,"LINESTRING (10.9306519 44.5404442, 10.9306001 44.5404451, 10.9305498 44.5404362, 10.9305046 44.5404181)",1,roundabout
1156540571,,tertiary,50,True,False,5.867,"LINESTRING (10.9308168 44.5403139, 10.9308114 44.54034, 10.9307992 44.5403649)",1,roundabout
783606754,Via dei Diritti Umani,unclassified,50,False,True,77.334,"LINESTRING (10.9326904 44.5429346, 10.9327182 44.5427911, 10.9327409 44.542699, 10.932852 44.5422488)",,
783606753,,unclassified,50,True,False,53.147,"LINESTRING (10.932852 44.5422488, 10.9328325 44.5422013, 10.932806 44.5421666, 10.932721 44.5420812, 10.932624 44.5420463, 10.9325009 44.5420067, 10.932441 44.5419764, 10.9323946 44.5419285)",,
783606754,Via dei Diritti Umani,unclassified,50,False,False,77.334,"LINESTRING (10.932852 44.5422488, 10.9327409 44.542699, 10.9327182 44.5427911, 10.9326904 44.5429346)",,
32908550,Via del Cristo,tertiary,50,False,False,84.68599999999999,"LINESTRING (10.9334272 44.5421152, 10.9331988 44.5420751, 10.9327694 44.5420238, 10.9323946 44.5419285)",,
32908550,Via del Cristo,tertiary,50,False,True,119.781,"LINESTRING (10.9334272 44.5421152, 10.9334401 44.5421175, 10.9337423 44.542214, 10.9339865 44.542313, 10.934135 44.5424091, 10.9342616 44.5425374, 10.9343536 44.5426683, 10.9344072 44.5428496)",,
783606752,,unclassified,50,True,False,51.998,"LINESTRING (10.9334272 44.5421152, 10.9333724 44.5421262, 10.9332406 44.5421138, 10.9331349 44.5421076, 10.9330489 44.5421223, 10.9329879 44.5421417, 10.9329094 44.5421876, 10.9328819 44.5422137, 10.932852 44.5422488)",,
205203951,Via del Cristo,tertiary,50,True,False,24.949,"LINESTRING (10.9304629 44.5402254, 10.9303782 44.5400093)",1,
205203949,,tertiary,50,True,False,12.922,"LINESTRING (10.9304629 44.5402254, 10.9304937 44.5402014, 10.9305433 44.540179, 10.9306 44.5401682)",1,roundabout
