osmid,name,highway,width,oneway,reversed,length,geometry,lanes,bridge
32814098,Piazza Alessandro Manzoni,unclassified,5,False,False,44.935,"LINESTRING (8.9708069 45.5535948, 8.9711025 45.5537506, 8.971268 45.5538378)",,
"[32814098, 44849259]","['Via Marzorati', 'Piazza Alessandro Manzoni']",unclassified,5,False,True,151.935,"LINESTRING (8.9708069 45.5535948, 8.9707264 45.5536169, 8.9705152 45.5536748, 8.97045 45.553702, 8.9704035 45.5537214, 8.9703194 45.5537673, 8.9696228 45.5543645, 8.9694329 45.5545273)",2,
"[44849232, 44849261]","['Piazza Alessandro Manzoni', ""Via dell'Annunciata""]",unclassified,,False,"[False, True]",31.502000000000002,"LINESTRING (8.9708069 45.5535948, 8.9706862 45.5534997, 8.970547 45.5533778)",,
31905387,Via Giosuè Carducci,unclassified,,False,False,87.536,"LINESTRING (8.9708881 45.5559656, 8.9703715 45.5566648)",2,
"[77808937, 77808932, 31905383]",Via Delio Tessa,unclassified,,False,False,207.547,"LINESTRING (8.9708881 45.5559656, 8.9700364 45.555767, 8.9696389 45.555676, 8.9683487 45.5553984)",2,yes
32446318,Via Giuseppe Toniolo,unclassified,,False,False,50.208,"LINESTRING (8.9708881 45.5559656, 8.9711085 45.5560145, 8.9715039 45.5560996)",,
32446347,Piazza Crivelli,unclassified,,True,False,87.078,"LINESTRING (8.9718139 45.5552667, 8.9720585 45.55534, 8.972256 45.554931, 8.9720248 45.5548988)",,
44849255,Via Giosuè Carducci,unclassified,5,True,False,124.495,"LINESTRING (8.9718139 45.5552667, 8.9717411 45.5552561, 8.9715057 45.5551885, 8.9711304 45.5556519, 8.9710677 45.5557354, 8.9708881 45.5559656)",,
31905387,Via Giosuè Carducci,unclassified,,False,True,87.536,"LINESTRING (8.9703715 45.5566648, 8.9708881 45.5559656)",2,
32446316,Via Giacomo Leopardi,unclassified,,False,False,60.328,"LINESTRING (8.9703715 45.5566648, 8.9710239 45.5569575)",,
32446316,Via Giacomo Leopardi,unclassified,,False,False,60.426,"LINESTRING (8.9725737 45.5576318, 8.9732315 45.5579202)",,
32446316,Via Giacomo Leopardi,unclassified,,False,True,63.308,"LINESTRING (8.9725737 45.5576318, 8.9718722 45.5573439)",,
32446326,Via Dante Alighieri,residential,,False,False,137.917,"LINESTRING (8.9725737 45.5576318, 8.9727714 45.5573993, 8.9731578 45.5565385, 8.9731867 45.5564742)",,
32446330,Via Gaspare Cogliati,unclassified,,False,False,41.992,"LINESTRING (8.9743918 45.5566011, 8.974671 45.556278)",,
32446330,Via Gaspare Cogliati,unclassified,,False,True,15.429,"LINESTRING (8.9743918 45.5566011, 8.9742873 45.556719)",,
32446334,Via Ventiquattro Maggio,unclassified,,True,False,167.336,"LINESTRING (8.9743918 45.5566011, 8.9755926 45.5578492)",,
32446316,Via Giacomo Leopardi,unclassified,,False,True,60.426,"LINESTRING (8.9732315 45.5579202, 8.9725737 45.5576318)",,
32446315,Via Filippo Meda,unclassified,,True,False,59.723,"LINESTRING (8.9742873 45.556719, 8.9739049 45.5571846)",,
32446330,Via Gaspare Cogliati,unclassified,,False,False,15.429,"LINESTRING (8.9742873 45.556719, 8.9743918 45.5566011)",,
32446318,Via Giuseppe Toniolo,unclassified,,False,True,89.918,"LINESTRING (8.9742873 45.556719, 8.9733551 45.5565082, 8.9731867 45.5564742)",,
32446316,Via Giacomo Leopardi,unclassified,,False,False,63.308,"LINESTRING (8.9718722 45.5573439, 8.9725737 45.5576318)",,
32446316,Via Giacomo Leopardi,unclassified,,False,True,78.793,"LINESTRING (8.9718722 45.5573439, 8.9710239 45.5569575)",,
32446320,Via Ugo Foscolo,residential,,False,False,41.034,"LINESTRING (8.9718722 45.5573439, 8.9715944 45.5576575)",,
32446328,Via Torquato Tasso,residential,,False,True,122.892,"LINESTRING (8.9718722 45.5573439, 8.9724437 45.5563137)",,
32446322,Via Giovanni Boccaccio,residential,,False,False,102.454,"LINESTRING (8.9715039 45.5560996, 8.9710239 45.5569575)",,
32446318,Via Giuseppe Toniolo,unclassified,,False,False,76.958,"LINESTRING (8.9715039 45.5560996, 8.9716691 45.5561336, 8.97211 45.5562333, 8.9724437 45.5563137)",,
32446318,Via Giuseppe Toniolo,unclassified,,False,True,50.208,"LINESTRING (8.9715039 45.5560996, 8.9711085 45.5560145, 8.9708881 45.5559656)",,
32446322,Via Giovanni Boccaccio,residential,,False,True,43.135,"LINESTRING (8.9708102 45.5573154, 8.9710239 45.5569575)",,
32446325,Largo Piazzi,residential,,False,False,71.937,"LINESTRING (8.9708102 45.5573154, 8.9715944 45.5576575)",,
32446320,Via Ugo Foscolo,residential,,False,True,41.034,"LINESTRING (8.9715944 45.5576575, 8.9718722 45.5573439)",,
32446325,Largo Piazzi,residential,,False,True,71.937,"LINESTRING (8.9715944 45.5576575, 8.9708102 45.5573154)",,
32446318,Via Giuseppe Toniolo,unclassified,,False,False,89.918,"LINESTRING (8.9731867 45.5564742, 8.9733551 45.5565082, 8.9742873 45.556719)",,
32446318,Via Giuseppe Toniolo,unclassified,,False,True,60.54,"LINESTRING (8.9731867 45.5564742, 8.9727322 45.5563747, 8.9724437 45.5563137)",,
32446326,Via Dante Alighieri,residential,,False,True,137.917,"LINESTRING (8.9731867 45.5564742, 8.9731578 45.5565385, 8.9727714 45.5573993, 8.9725737 45.5576318)",,
32446328,Via Torquato Tasso,residential,,False,False,122.892,"LINESTRING (8.9724437 45.5563137, 8.9718722 45.5573439)",,
32446318,Via Giuseppe Toniolo,unclassified,,False,False,60.54,"LINESTRING (8.9724437 45.5563137, 8.9727322 45.5563747, 8.9731867 45.5564742)",,
32446318,Via Giuseppe Toniolo,unclassified,,False,True,76.958,"LINESTRING (8.9724437 45.5563137, 8.97211 45.5562333, 8.9716691 45.5561336, 8.9715039 45.5560996)",,
32446345,Via Giovanni Pascoli,residential,,False,True,68.597,"LINESTRING (8.9755926 45.5578492, 8.9748002 45.5581189)",,
32446315,Via Filippo Meda,unclassified,,True,False,22.53,"LINESTRING (8.9733885 45.55775, 8.9732315 45.5579202)",,
32446316,Via Giacomo Leopardi,unclassified,,False,False,78.793,"LINESTRING (8.9710239 45.5569575, 8.9718722 45.5573439)",,
32446316,Via Giacomo Leopardi,unclassified,,False,True,60.328,"LINESTRING (8.9710239 45.5569575, 8.9703715 45.5566648)",,
32446322,Via Giovanni Boccaccio,residential,,False,False,43.135,"LINESTRING (8.9710239 45.5569575, 8.9708102 45.5573154)",,
32446322,Via Giovanni Boccaccio,residential,,False,True,102.454,"LINESTRING (8.9710239 45.5569575, 8.9715039 45.5560996)",,
32446347,Piazza Crivelli,unclassified,,True,False,44.083,"LINESTRING (8.9720248 45.5548988, 8.9719262 45.5550671, 8.9718139 45.5552667)",,
