osmid,highway,oneway,reversed,length,geometry,bridge,lanes,ref,name,maxspeed
26741824,tertiary,False,True,74.073,"LINESTRING (140.7155898 36.7182836, 140.7148318 36.7185567)",,,,,
26741864,tertiary,False,False,23.958,"LINESTRING (140.7155898 36.7182836, 140.7156001 36.7184989)",,,,,
320788685,tertiary,False,True,36.107,"LINESTRING (140.7155898 36.7182836, 140.7155702 36.7181876, 140.7155366 36.7180909, 140.7154814 36.7179718)",,,,,
"[26741977, 1197837482, 26741980]",tertiary,False,False,324.804,"LINESTRING (140.7155898 36.7182836, 140.7169251 36.7180936, 140.7178706 36.7179426, 140.7191685 36.7177337)",yes,,,,
26741824,tertiary,False,False,74.073,"LINESTRING (140.7148318 36.7185567, 140.7155898 36.7182836)",,,,,
104465980,tertiary,False,True,39.09,"LINESTRING (140.7148318 36.7185567, 140.7144264 36.7186908)",,,,,
"[198704553, 198705439]",unclassified,False,"[False, True]",151.362,"LINESTRING (140.7148318 36.7185567, 140.7148281 36.7184771, 140.7147032 36.7182678, 140.7140201 36.7173724)",,,,,
26741864,tertiary,False,True,41.408,"LINESTRING (140.7156103 36.7188712, 140.7156001 36.7184989)",,,,,
"[26741864, 106234868, 1199659253, 1199659254, 374014364]",tertiary,False,False,203.53499999999997,"LINESTRING (140.7156103 36.7188712, 140.7155902 36.7193009, 140.7155708 36.7195296, 140.715564 36.7196341, 140.7155533 36.7197148, 140.7155294 36.7198907, 140.7153985 36.7203494, 140.7153018 36.7206783)",yes,,,,
198704880,unclassified,False,True,82.179,"LINESTRING (140.7156103 36.7188712, 140.7157192 36.7188691, 140.7162975 36.718858, 140.7165077 36.7187745)",,,,,
198705190,unclassified,False,False,167.787,"LINESTRING (140.7156103 36.7188712, 140.7153653 36.7188091, 140.7152744 36.7188092, 140.7147653 36.7189848, 140.7138647 36.7192953)",,,,,
26741934,trunk,False,False,116.519,"LINESTRING (140.7192082 36.7166863, 140.7191685 36.7177337)",,2,6,陸前浜街道,
198704488,unclassified,False,True,62.968,"LINESTRING (140.7192082 36.7166863, 140.7185041 36.7167324)",,,,,
198705477,unclassified,False,True,62.25,"LINESTRING (140.7192082 36.7166863, 140.7199056 36.7166566)",,,,,
26741934,trunk,False,True,104.63399999999999,"LINESTRING (140.7192082 36.7166863, 140.7191735 36.7163737, 140.719054 36.7157539)",,2,6,陸前浜街道,
26741934,trunk,False,True,116.519,"LINESTRING (140.7191685 36.7177337, 140.7192082 36.7166863)",,2,6,陸前浜街道,
444492200,residential,False,True,68.813,"LINESTRING (140.7191685 36.7177337, 140.7199252 36.717611)",,,,,
1197838754,trunk,False,False,44.857,"LINESTRING (140.7191685 36.7177337, 140.7191569 36.718137)",,2,6,陸前浜街道,
"[26741977, 1197837482, 26741980]",tertiary,False,True,324.80400000000003,"LINESTRING (140.7191685 36.7177337, 140.7178706 36.7179426, 140.7169251 36.7180936, 140.7155898 36.7182836)",yes,,,,
198705290,residential,False,True,157.755,"LINESTRING (140.718953 36.7223706, 140.7188537 36.7223962, 140.7182089 36.7224586, 140.717901 36.722466, 140.7178527 36.7224671, 140.7176534 36.7224737, 140.717566 36.7225031, 140.7175099 36.7225499, 140.7174232 36.7225827, 140.7172424 36.7226261)",,,,,
198705775,residential,False,False,142.391,"LINESTRING (140.718953 36.7223706, 140.7191019 36.7223278, 140.7192359 36.7222851, 140.719465 36.7222225, 140.7202328 36.7217521, 140.7203029 36.7217111)",,,,,
"[374014344, 1197838754, 425953444]",trunk,False,True,232.17600000000002,"LINESTRING (140.718953 36.7223706, 140.7190288 36.7207129, 140.7190337 36.7206052, 140.7190484 36.720284)",yes,2,6,陸前浜街道,
1197838754,trunk,False,False,80.437,"LINESTRING (140.7190815 36.7195611, 140.7190484 36.720284)",,2,6,陸前浜街道,
1197838754,trunk,False,True,17.345,"LINESTRING (140.7190815 36.7195611, 140.7190911 36.7194053)",,2,6,陸前浜街道,
82288625,unclassified,False,False,111.105,"LINESTRING (140.7190815 36.7195611, 140.7191896 36.7197117, 140.7192709 36.7198752, 140.7193851 36.7201334, 140.7195083 36.7203237, 140.7196329 36.7204501)",,,,,
198704941,unclassified,False,False,102.741,"LINESTRING (140.7203277 36.7175186, 140.7206539 36.7184048)",,,,,
444492200,residential,False,False,37.318,"LINESTRING (140.7203277 36.7175186, 140.7199252 36.717611)",,,,,
444492200,residential,False,True,43.974,"LINESTRING (140.7203277 36.7175186, 140.7207233 36.7172823)",,,,,
198704780,unclassified,False,False,106.139,"LINESTRING (140.7199252 36.717611, 140.7199056 36.7166566)",,,,,
198704780,unclassified,False,True,74.18,"LINESTRING (140.7199252 36.717611, 140.7199303 36.7182781)",,,,,
444492200,residential,False,False,68.813,"LINESTRING (140.7199252 36.717611, 140.7191685 36.7177337)",,,,,
444492200,residential,False,True,37.318,"LINESTRING (140.7199252 36.717611, 140.7203277 36.7175186)",,,,,
106234868,tertiary,False,False,21.579,"LINESTRING (140.7153018 36.7206783, 140.7152671 36.7208159, 140.7152591 36.7208692)",,,,,
"[26741864, 106234868, 1199659253, 1199659254, 374014364]",tertiary,False,True,203.535,"LINESTRING (140.7153018 36.7206783, 140.7153985 36.7203494, 140.7155294 36.7198907, 140.7155533 36.7197148, 140.715564 36.7196341, 140.7155708 36.7195296, 140.7155902 36.7193009, 140.7156103 36.7188712)",yes,,,,
