osmid,highway,oneway,reversed,length,geometry,bridge,lanes,ref,name,tunnel
114598643,tertiary,False,False,9.527,"LINESTRING (140.7272279 39.7000347, 140.7273373 39.7000507)",,,,,
114598783,tertiary,False,False,4.267,"LINESTRING (140.7272279 39.7000347, 140.7271782 39.7000315)",,,,,
114598688,tertiary,False,False,171.012,"LINESTRING (140.7272279 39.7000347, 140.7272494 39.6998856, 140.7274691 39.698508)",,,,,
"[501113163, 114598348, 757634197]",tertiary,False,True,342.684,"LINESTRING (140.7272279 39.7000347, 140.7272244 39.7001244, 140.727176 39.7006148, 140.7270341 39.7017388, 140.7270043 39.701961, 140.7269304 39.7025426, 140.7268408 39.7031016)",yes,,,,
114598783,tertiary,False,True,146.701,"LINESTRING (140.7254763 39.6998745, 140.7255627 39.6998898, 140.7269878 39.7000101, 140.7271782 39.7000315)",,,,,
114599107,unclassified,False,True,33.244,"LINESTRING (140.7254763 39.6998745, 140.7254917 39.6997917, 140.7255392 39.6995795)",,,,,
114599526,unclassified,False,False,89.486,"LINESTRING (140.7254763 39.6998745, 140.7253493 39.7004016, 140.7252366 39.7006559)",,,,,
113776805,trunk_link,True,False,179.856,"LINESTRING (140.7301276 39.695992, 140.7304034 39.6962925, 140.7305904 39.6965138, 140.7307267 39.6966756, 140.7308728 39.6969172, 140.7310287 39.6972037, 140.7311023 39.6974119)",,1,,,
443768465,trunk,False,True,532.4440000000001,"LINESTRING (140.7301276 39.695992, 140.7306281 39.6964516, 140.7307838 39.6966217, 140.7309607 39.6968355, 140.73113 39.6970812, 140.7312322 39.6972614, 140.7313506 39.6974691, 140.7315803 39.6979695, 140.7318069 39.6984349, 140.7320161 39.6987845, 140.7321663 39.6989828, 140.7323305 39.69919, 140.732584 39.6994356, 140.7333586 39.7000095)",,2,46,生保内バイパス,
113776690,tertiary,False,False,94.01400000000001,"LINESTRING (140.7304029 39.6988109, 140.7305404 39.698839, 140.731075 39.699005, 140.7314078 39.6991463)",,,,,
"[113776709, 113776773]",tertiary,False,False,174.589,"LINESTRING (140.7304029 39.6988109, 140.7305074 39.6983585, 140.7306341 39.697872, 140.7306741 39.6977392, 140.7307286 39.6976418, 140.7308117 39.6975597, 140.7311023 39.6974119)",,,,,
114598643,tertiary,False,True,98.83800000000001,"LINESTRING (140.7304029 39.6988109, 140.7303845 39.6989177, 140.7302821 39.6993161, 140.7301592 39.699679)",,,,,
114598812,tertiary,False,True,253.754,"LINESTRING (140.7304029 39.6988109, 140.7302727 39.6987817, 140.7296507 39.6986748, 140.7285279 39.6986083, 140.7275393 39.6985176, 140.7274691 39.698508)",,,,,
113776690,tertiary,False,True,183.645,"LINESTRING (140.7337672 39.7002219, 140.7334524 39.7001973, 140.7326196 39.6997825, 140.732095 39.699513, 140.731927 39.6994196)",,,,,
443768465,trunk,False,False,42.211,"LINESTRING (140.7337672 39.7002219, 140.7335544 39.7001189, 140.7333586 39.7000095)",,2,46,生保内バイパス,
113776688,trunk_link,True,False,356.20700000000005,"LINESTRING (140.7311023 39.6974119, 140.731216 39.6976207, 140.7313867 39.6979492, 140.73169 39.6984929, 140.7319366 39.6988589, 140.7322156 39.6991988, 140.7325583 39.6995574, 140.7329491 39.6998481, 140.7333586 39.7000095)",,1,,,
"[113776721, 113776706, 113776787]",tertiary,False,False,37.492000000000004,"LINESTRING (140.7311023 39.6974119, 140.7312207 39.6973781, 140.7313813 39.6973265, 140.7315061 39.6972814)",,,,,yes
"[113776709, 113776773]",tertiary,False,True,174.589,"LINESTRING (140.7311023 39.6974119, 140.7308117 39.6975597, 140.7307286 39.6976418, 140.7306741 39.6977392, 140.7306341 39.697872, 140.7305074 39.6983585, 140.7304029 39.6988109)",,,,,
113776690,tertiary,False,False,53.821,"LINESTRING (140.7314078 39.6991463, 140.731927 39.6994196)",,,,,
113776690,tertiary,False,True,94.01400000000001,"LINESTRING (140.7314078 39.6991463, 140.731075 39.699005, 140.7305404 39.698839, 140.7304029 39.6988109)",,,,,
"[413946418, 114598427]",residential,False,True,92.934,"LINESTRING (140.7314078 39.6991463, 140.7318855 39.6990456, 140.732468 39.698969)",,,,,yes
113776719,trunk_link,True,False,187.267,"LINESTRING (140.7315061 39.6972814, 140.7312873 39.6969843, 140.731083 39.6967542, 140.7307897 39.6964811, 140.7304803 39.696204, 140.7301276 39.695992)",,1,,,
"[113776721, 113776706, 113776787]",tertiary,False,True,37.492000000000004,"LINESTRING (140.7315061 39.6972814, 140.7313813 39.6973265, 140.7312207 39.6973781, 140.7311023 39.6974119)",,,,,yes
113776690,tertiary,False,True,53.821,"LINESTRING (140.731927 39.6994196, 140.7314078 39.6991463)",,,,,
113776690,tertiary,False,False,183.645,"LINESTRING (140.731927 39.6994196, 140.732095 39.699513, 140.7326196 39.6997825, 140.7334524 39.7001973, 140.7337672 39.7002219)",,,,,
114598168,unclassified,False,True,192.73,"LINESTRING (140.731927 39.6994196, 140.731906 39.699551, 140.731877 39.6998216, 140.7317344 39.6998098, 140.7314367 39.699785, 140.7301592 39.699679)",,,,,
114599487,residential,False,False,97.93699999999998,"LINESTRING (140.7258933 39.6968627, 140.7258489 39.6968937, 140.7257743 39.6969869, 140.725523 39.69736, 140.7253636 39.6976392)",,,,,
569209911,residential,False,False,25.104,"LINESTRING (140.7258933 39.6968627, 140.7258859 39.6966993, 140.7258612 39.69664)",,,,,
569209911,residential,False,True,127.75500000000001,"LINESTRING (140.7258933 39.6968627, 140.7260518 39.6971397, 140.7261674 39.6972306, 140.7262883 39.6974381, 140.7265588 39.6977767, 140.7266343 39.6978509)",,,,,
114598585,unclassified,False,True,74.51,"LINESTRING (140.7272209 39.701109, 140.7271388 39.7017761)",,,,,
114599083,unclassified,False,True,44.46,"LINESTRING (140.7272209 39.701109, 140.7277387 39.701143)",,,,,
