osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access
39479065,7,7,五日市街道,primary,40,False,False,58.427,"LINESTRING (139.3309249 35.7330261, 139.3315352 35.7332012)",
39479065,7,7,五日市街道,primary,40,False,True,36.273,"LINESTRING (139.3309249 35.7330261, 139.3305558 35.7328971)",
835428727,,29,新奥多摩街道,primary,40,False,False,79.167,"LINESTRING (139.3309249 35.7330261, 139.3302887 35.7335162)",
39479065,7,7,五日市街道,primary,40,False,True,58.427,"LINESTRING (139.3315352 35.7332012, 139.3309249 35.7330261)",
39479065,7,7,五日市街道,primary,40,False,False,70.131,"LINESTRING (139.3315352 35.7332012, 139.3320083 35.7333186, 139.3321958 35.7333412, 139.3322875 35.7333522)",
134129895,,,,unclassified,,False,False,77.36,"LINESTRING (139.3337494 35.7349356, 139.3344843 35.7352936)",
39478524,,,,unclassified,,False,False,60.489,"LINESTRING (139.3337494 35.7349356, 139.3340548 35.734566, 139.3341234 35.7344842)",
134129895,,,,unclassified,,False,True,16.62,"LINESTRING (139.3337494 35.7349356, 139.3336964 35.7349098, 139.3335915 35.7348587)",
134130165,,,,residential,,False,True,73.112,"LINESTRING (139.3341234 35.7344842, 139.3348255 35.7348121)",
39478524,,,,unclassified,,False,True,60.489,"LINESTRING (139.3341234 35.7344842, 139.3340548 35.734566, 139.3337494 35.7349356)",
134130165,,,,residential,,False,False,83.116,"LINESTRING (139.3341234 35.7344842, 139.3339097 35.7343755, 139.3342685 35.7339175)",
134130062,,,図書館通り,unclassified,,False,False,61.766,"LINESTRING (139.3348255 35.7348121, 139.3344843 35.7352936)",
134130062,,,図書館通り,unclassified,,False,True,57.941,"LINESTRING (139.3348255 35.7348121, 139.3351552 35.734365)",
134130165,,,,residential,,False,False,73.112,"LINESTRING (139.3348255 35.7348121, 139.3341234 35.7344842)",
134129895,,,,unclassified,,False,False,65.425,"LINESTRING (139.3344843 35.7352936, 139.3351058 35.7355964)",
134129895,,,,unclassified,,False,True,77.36,"LINESTRING (139.3344843 35.7352936, 139.3337494 35.7349356)",
134130062,,,図書館通り,unclassified,,False,False,75.483,"LINESTRING (139.3344843 35.7352936, 139.3340611 35.7358791)",
134130062,,,図書館通り,unclassified,,False,True,61.766,"LINESTRING (139.3344843 35.7352936, 139.3348255 35.7348121)",
39478590,,,,residential,,False,False,67.956,"LINESTRING (139.3351552 35.734365, 139.3358006 35.7346797)",
39478590,,,,residential,,False,True,94.242,"LINESTRING (139.3351552 35.734365, 139.3342685 35.7339175)",
134130062,,,図書館通り,unclassified,,False,False,57.941,"LINESTRING (139.3351552 35.734365, 139.3348255 35.7348121)",
134130416,,,図書館通り,unclassified,,False,True,29.334,"LINESTRING (139.3351552 35.734365, 139.3353212 35.7341382)",
39478590,,,,residential,,False,False,94.242,"LINESTRING (139.3342685 35.7339175, 139.3351552 35.734365)",
134130165,,,,residential,,False,False,48.637,"LINESTRING (139.3342685 35.7339175, 139.3345175 35.7335296)",
134130165,,,,residential,,False,True,83.116,"LINESTRING (139.3342685 35.7339175, 139.3339097 35.7343755, 139.3341234 35.7344842)",
39478590,,,,residential,,False,True,67.956,"LINESTRING (139.3358006 35.7346797, 139.3351552 35.734365)",
39478636,,,,unclassified,,False,False,143.455,"LINESTRING (139.3358006 35.7346797, 139.3361319 35.7342768, 139.3366136 35.733748, 139.3366173 35.7336806, 139.3366217 35.7336001)",
39478636,,,,unclassified,,False,True,119.879,"LINESTRING (139.3358006 35.7346797, 139.3354497 35.7350835, 139.3351058 35.7355964)",
134129895,,,,unclassified,,False,True,65.425,"LINESTRING (139.3351058 35.7355964, 139.3344843 35.7352936)",
134129994,,,,unclassified,,False,True,111.495,"LINESTRING (139.3351058 35.7355964, 139.3345373 35.7364866)",
39478636,,,,unclassified,,False,False,119.879,"LINESTRING (139.3351058 35.7355964, 139.3354497 35.7350835, 139.3358006 35.7346797)",
134130416,,,図書館通り,unclassified,,False,False,41.184,"LINESTRING (139.3357078 35.7336101, 139.3354747 35.7339285)",
