osmid,name,highway,oneway,reversed,length,geometry
180566399,улица Мырзагул Шиманулы,tertiary,False,False,194.204,"LINESTRING (59.614097 47.8262495, 59.6122603 47.8250127)"
180566399,улица Мырзагул Шиманулы,tertiary,False,True,183.535,"LINESTRING (59.614097 47.8262495, 59.6158119 47.8274322)"
319699002,улица Идирис Ургенишбаев,tertiary,False,False,69.094,"LINESTRING (59.614097 47.8262495, 59.6147094 47.8257836)"
319699002,улица Идирис Ургенишбаев,tertiary,False,True,166.078,"LINESTRING (59.614097 47.8262495, 59.6125764 47.8273397)"
180566398,улица Айтеке Би,tertiary,False,False,120.978,"LINESTRING (59.619326 47.8313779, 59.6182528 47.830761, 59.6180982 47.8306678)"
252710270,улица Желтоксан,tertiary,False,True,78.91900000000001,"LINESTRING (59.619326 47.8313779, 59.619295 47.83139, 59.6192636 47.831397, 59.6191175 47.8314127, 59.6190928 47.8314175, 59.6190704 47.8314265, 59.6184546 47.8317571)"
1181963671,улица Желтоксан,tertiary,False,False,73.292,"LINESTRING (59.619326 47.8313779, 59.6194834 47.8313003, 59.6201173 47.8309877)"
180566398,улица Айтеке Би,tertiary,False,True,191.059,"LINESTRING (59.6125764 47.8273397, 59.6144808 47.8284876)"
319699002,улица Идирис Ургенишбаев,tertiary,False,False,166.078,"LINESTRING (59.6125764 47.8273397, 59.614097 47.8262495)"
319699002,улица Идирис Ургенишбаев,tertiary,False,True,153.623,"LINESTRING (59.6125764 47.8273397, 59.6111894 47.8283603)"
180566398,улица Айтеке Би,tertiary,False,False,191.807,"LINESTRING (59.6125764 47.8273397, 59.6120827 47.8270439, 59.6107087 47.8261555)"
180566399,улица Мырзагул Шиманулы,tertiary,False,False,157.145,"LINESTRING (59.6206743 47.8307131, 59.6191835 47.8297153)"
1181963671,улица Желтоксан,tertiary,False,True,51.586,"LINESTRING (59.6206743 47.8307131, 59.6201173 47.8309877)"
602674270,улица Желтоксан,residential,False,False,102.13,"LINESTRING (59.6206743 47.8307131, 59.6210615 47.8305206, 59.6217738 47.8301665)"
180566399,улица Мырзагул Шиманулы,tertiary,False,True,149.852,"LINESTRING (59.6094793 47.8230416, 59.6108392 47.8240328)"
180774003,улица Мажит Садыков,residential,False,True,184.222,"LINESTRING (59.6170746 47.8241306, 59.6153618 47.822938)"
