osmid,ref,name,highway,oneway,reversed,length,geometry
316046383,KC-34,улица Талгата Бигельдинова,tertiary,False,False,185.832,"LINESTRING (70.9530694 51.9957858, 70.9531595 51.9941155)"
178057148,Р-52,Нұрмағамбетов көшесі,primary,False,True,399.331,"LINESTRING (70.9530694 51.9957858, 70.9547485 51.9958203, 70.956766 51.9958618, 70.9588988 51.9959057)"
278799895,,улица Узакбаева,tertiary,False,False,141.391,"LINESTRING (70.9530694 51.9957858, 70.9530491 51.9961882, 70.9529636 51.9969758, 70.952898 51.9970444)"
316046382,Р-52,Нұрмағамбетов көшесі,primary,False,False,182.181,"LINESTRING (70.9530694 51.9957858, 70.9505358 51.9957385, 70.9504097 51.9957361)"
277736512,,улица Абылай хана,living_street,False,False,102.791,"LINESTRING (70.9537109 51.9923545, 70.9541249 51.9923615, 70.9549853 51.9923818, 70.9552112 51.9923871)"
277736512,,улица Абылай хана,living_street,False,True,127.86599999999999,"LINESTRING (70.9537109 51.9923545, 70.9533341 51.9923256, 70.9523852 51.9922872, 70.9518492 51.9922691)"
316046383,KC-34,улица Талгата Бигельдинова,tertiary,False,True,206.519,"LINESTRING (70.9537109 51.9923545, 70.9535366 51.9924368, 70.9533846 51.9925553, 70.9533061 51.9927143, 70.9531986 51.9933914, 70.9531595 51.9941155)"
277736512,,улица Абылай хана,living_street,False,False,67.819,"LINESTRING (70.9552112 51.9923871, 70.9562001 51.9924217)"
277736512,,улица Абылай хана,living_street,False,True,102.791,"LINESTRING (70.9552112 51.9923871, 70.9549853 51.9923818, 70.9541249 51.9923615, 70.9537109 51.9923545)"
513056971,,,residential,False,True,218.352,"LINESTRING (70.9552112 51.9923871, 70.9555489 51.9918935, 70.9565252 51.9919827, 70.9572226 51.9922007, 70.9575874 51.9924542)"
277736512,,улица Абылай хана,living_street,False,True,101.491,"LINESTRING (70.9590694 51.9924717, 70.9575874 51.9924542)"
277736505,,улица Абая,residential,False,False,103.374,"LINESTRING (70.9590694 51.9924717, 70.9591375 51.9926072, 70.9590963 51.9930648, 70.9590901 51.9933943)"
277736512,,улица Абылай хана,living_street,False,False,218.62800000000001,"LINESTRING (70.9590694 51.9924717, 70.9602764 51.9925204, 70.9618163 51.9925716, 70.9619698 51.9925695, 70.9622575 51.9925656)"
316046383,KC-34,улица Талгата Бигельдинова,tertiary,False,True,185.832,"LINESTRING (70.9531595 51.9941155, 70.9530694 51.9957858)"
277736521,,улица Горького,living_street,False,False,191.48900000000003,"LINESTRING (70.9531595 51.9941155, 70.9535313 51.9941105, 70.9540453 51.9941272, 70.9546322 51.9941835, 70.9552315 51.9942297, 70.9558849 51.9942335, 70.9559437 51.9942332)"
316046383,KC-34,улица Талгата Бигельдинова,tertiary,False,False,206.519,"LINESTRING (70.9531595 51.9941155, 70.9531986 51.9933914, 70.9533061 51.9927143, 70.9533846 51.9925553, 70.9535366 51.9924368, 70.9537109 51.9923545)"
277736505,,улица Абая,residential,False,False,98.00599999999999,"LINESTRING (70.9590309 51.9941853, 70.9590036 51.9942997, 70.9589433 51.994683, 70.9589904 51.9949928, 70.9589991 51.9950621)"
277736505,,улица Абая,residential,False,True,88.35899999999998,"LINESTRING (70.9590309 51.9941853, 70.9591066 51.9938684, 70.9590875 51.9935341, 70.9590901 51.9933943)"
277736521,,улица Горького,living_street,False,True,211.943,"LINESTRING (70.9590309 51.9941853, 70.9582365 51.9941874, 70.9573957 51.9942002, 70.9569629 51.9941784, 70.9564135 51.994231, 70.9559437 51.9942332)"
178057148,Р-52,Нұрмағамбетов көшесі,primary,False,False,4.651,"LINESTRING (70.9589667 51.9959071, 70.9588988 51.9959057)"
178057148,Р-52,Нұрмағамбетов көшесі,primary,False,True,186.178,"LINESTRING (70.9589667 51.9959071, 70.9606964 51.9959427, 70.9616845 51.995963)"
277736505,,улица Абая,residential,False,True,94.068,"LINESTRING (70.9589667 51.9959071, 70.9589855 51.9956214, 70.9590146 51.9951845, 70.9589991 51.9950621)"
278799940,,,residential,False,False,121.309,"LINESTRING (70.9519493 51.9911848, 70.9518867 51.9917117, 70.9518058 51.9920555, 70.9518492 51.9922691)"
277736512,,улица Абылай хана,living_street,False,False,64.533,"LINESTRING (70.9509079 51.9922399, 70.9518492 51.9922691)"
278799986,,переулок Гостиничный,residential,False,False,93.99,"LINESTRING (70.9509079 51.9922399, 70.9508401 51.9927671, 70.9507898 51.993082)"
277736512,,улица Абылай хана,living_street,False,True,64.533,"LINESTRING (70.9518492 51.9922691, 70.9509079 51.9922399)"
277736512,,улица Абылай хана,living_street,False,False,127.86599999999999,"LINESTRING (70.9518492 51.9922691, 70.9523852 51.9922872, 70.9533341 51.9923256, 70.9537109 51.9923545)"
278799940,,,residential,False,True,121.309,"LINESTRING (70.9518492 51.9922691, 70.9518058 51.9920555, 70.9518867 51.9917117, 70.9519493 51.9911848)"
277736512,,улица Абылай хана,living_street,False,False,64.767,"LINESTRING (70.9622575 51.9925656, 70.9625696 51.9925614, 70.9632024 51.9925826)"
277736512,,улица Абылай хана,living_street,False,True,218.62800000000001,"LINESTRING (70.9622575 51.9925656, 70.9619698 51.9925695, 70.9618163 51.9925716, 70.9602764 51.9925204, 70.9590694 51.9924717)"
277736512,,улица Абылай хана,living_street,False,True,64.767,"LINESTRING (70.9632024 51.9925826, 70.9625696 51.9925614, 70.9622575 51.9925656)"
278799986,,переулок Гостиничный,residential,False,False,87.869,"LINESTRING (70.9505072 51.9949483, 70.9504775 51.9952858, 70.9504097 51.9957361)"
