osmid,name,highway,oneway,reversed,length,geometry,lanes,ref
385737495,Мырзабекова,residential,False,False,315.074,"LINESTRING (78.2386577 44.9036074, 78.2385723 44.9035375, 78.2369979 44.9022497, 78.2363778 44.901764, 78.2361585 44.9015906, 78.2360172 44.901479)",,
385737492,Байтурсынова,residential,False,True,289.722,"LINESTRING (78.2279724 44.8995971, 78.2281513 44.8995218, 78.2282138 44.8995116, 78.2282835 44.8995268, 78.2284129 44.8995763, 78.2288602 44.8997681, 78.2290345 44.8998156, 78.2292277 44.8998308, 78.2296345 44.8998387, 78.2306687 44.8997821, 78.2315014 44.8997164)",,
500337386,Алматы-Өскемен,trunk,True,False,464.529,"LINESTRING (78.2279724 44.8995971, 78.2293945 44.9010852, 78.2298043 44.9015141, 78.2298607 44.9015802, 78.2306251 44.9024754, 78.2308148 44.9026837, 78.231191 44.9030966)",2,A-3
385737504,,tertiary,False,False,102.795,"LINESTRING (78.2337046 44.8972071, 78.2345777 44.8978942)",,
385737496,Измайлова,residential,False,True,205.486,"LINESTRING (78.2374095 44.8972367, 78.2382689 44.8978384, 78.2385986 44.8982241, 78.2390782 44.8986453)",,
385737504,,tertiary,False,True,102.795,"LINESTRING (78.2345777 44.8978942, 78.2337046 44.8972071)",,
385737504,,tertiary,False,False,140.765,"LINESTRING (78.2345777 44.8978942, 78.2355275 44.8987637, 78.2355946 44.8988388, 78.2356291 44.8989125)",,
649491036,Конаева,residential,False,False,179.53,"LINESTRING (78.2309022 44.8979623, 78.2293028 44.8991126)",,
649491036,Конаева,residential,False,True,16.47,"LINESTRING (78.2309022 44.8979623, 78.2310481 44.8978562)",,
"[1181248916, 649491031]","['Балпык би', 'Мырзабекова']",residential,False,False,199.894,"LINESTRING (78.2309022 44.8979623, 78.2323013 44.898995, 78.2328185 44.8989925)",,
385737548,,residential,False,True,73.167,"LINESTRING (78.2390782 44.8986453, 78.2383483 44.8990523)",,
385737496,Измайлова,residential,False,False,205.486,"LINESTRING (78.2390782 44.8986453, 78.2385986 44.8982241, 78.2382689 44.8978384, 78.2374095 44.8972367)",,
1181248916,Балпык би,residential,False,True,16.689,"LINESTRING (78.2356291 44.8989125, 78.2354174 44.8989187)",,
