osmid,highway,oneway,reversed,length,geometry
540399786,unclassified,False,True,56.931,"LINESTRING (76.9814041 43.681336, 76.9807837 43.6813992, 76.9807023 43.6814009)"
825397647,unclassified,False,False,471.216,"LINESTRING (76.9814041 43.681336, 76.9825307 43.6808705, 76.9834211 43.6804613, 76.9836787 43.6803429, 76.9855777 43.6792954, 76.9862505 43.6789645)"
825397647,unclassified,False,False,237.3,"LINESTRING (76.9862505 43.6789645, 76.9865111 43.6788376, 76.9889987 43.6782056)"
825397647,unclassified,False,True,471.216,"LINESTRING (76.9862505 43.6789645, 76.9855777 43.6792954, 76.9836787 43.6803429, 76.9834211 43.6804613, 76.9825307 43.6808705, 76.9814041 43.681336)"
1168216528,unclassified,False,True,106.724,"LINESTRING (76.9862505 43.6789645, 76.9860403 43.678706, 76.9858675 43.6783885, 76.9856916 43.6780963)"
1168205299,unclassified,False,False,74.734,"LINESTRING (76.9821471 43.6730103, 76.9818463 43.6733147, 76.9817467 43.6733941, 76.9816471 43.6734308, 76.9814987 43.6734073)"
1168205304,unclassified,False,True,168.214,"LINESTRING (76.9821471 43.6730103, 76.9821416 43.6730493, 76.9821336 43.6731153, 76.9821792 43.6733403, 76.9822221 43.6735556, 76.982273 43.6737264, 76.9823616 43.673965, 76.982442 43.6741978, 76.9825466 43.6744888)"
1168205299,unclassified,False,False,23.714,"LINESTRING (76.9814987 43.6734073, 76.9814113 43.6733, 76.9813544 43.6732214)"
1168205299,unclassified,False,True,74.734,"LINESTRING (76.9814987 43.6734073, 76.9816471 43.6734308, 76.9817467 43.6733941, 76.9818463 43.6733147, 76.9821471 43.6730103)"
1168205303,unclassified,False,False,147.269,"LINESTRING (76.9814987 43.6734073, 76.98164 43.6735925, 76.9817768 43.6737574, 76.9819404 43.6739223, 76.9821094 43.6740659, 76.9823052 43.6742288, 76.982442 43.6743782, 76.9825466 43.6744888)"
1168205299,unclassified,False,True,16.497999999999998,"LINESTRING (76.9812536 43.6730923, 76.9812974 43.6731427, 76.9813544 43.6732214)"
1168205301,unclassified,False,False,16.514,"LINESTRING (76.9812536 43.6730923, 76.9812216 43.673156, 76.981176 43.6732297)"
"[1168216537, 1168205301]",unclassified,False,False,214.115,"LINESTRING (76.981176 43.6732297, 76.9810982 43.6732879, 76.9809963 43.6733985, 76.9806922 43.6737695, 76.9804681 43.6740296, 76.9801272 43.6743302, 76.9796321 43.674793)"
1168205301,unclassified,False,True,16.514,"LINESTRING (76.981176 43.6732297, 76.9812216 43.673156, 76.9812536 43.6730923)"
1168205302,unclassified,False,True,14.648,"LINESTRING (76.981176 43.6732297, 76.9812323 43.6732161, 76.9812699 43.6732142, 76.9813544 43.6732214)"
1168205299,unclassified,False,False,16.497999999999998,"LINESTRING (76.9813544 43.6732214, 76.9812974 43.6731427, 76.9812536 43.6730923)"
1168205299,unclassified,False,True,23.714,"LINESTRING (76.9813544 43.6732214, 76.9814113 43.6733, 76.9814987 43.6734073)"
1168205302,unclassified,False,False,14.648,"LINESTRING (76.9813544 43.6732214, 76.9812699 43.6732142, 76.9812323 43.6732161, 76.981176 43.6732297)"
"[1168216528, 1168205303]",unclassified,False,False,349.741,"LINESTRING (76.9825466 43.6744888, 76.9827451 43.674708, 76.9831028 43.675038, 76.9834344 43.6753014, 76.98378 43.6755986, 76.9840975 43.6758587, 76.9843964 43.6761222, 76.9846299 43.6764397, 76.9850231 43.6770485)"
1168205303,unclassified,False,True,147.269,"LINESTRING (76.9825466 43.6744888, 76.982442 43.6743782, 76.9823052 43.6742288, 76.9821094 43.6740659, 76.9819404 43.6739223, 76.9817768 43.6737574, 76.98164 43.6735925, 76.9814987 43.6734073)"
1168205304,unclassified,False,False,168.214,"LINESTRING (76.9825466 43.6744888, 76.982442 43.6741978, 76.9823616 43.673965, 76.982273 43.6737264, 76.9822221 43.6735556, 76.9821792 43.6733403, 76.9821336 43.6731153, 76.9821416 43.6730493, 76.9821471 43.6730103)"
1168216528,unclassified,False,False,97.69399999999999,"LINESTRING (76.9850231 43.6770485, 76.9850596 43.677105, 76.9853584 43.6775711, 76.985534 43.6778456)"
1168216529,unclassified,False,False,99.784,"LINESTRING (76.9850231 43.6770485, 76.9851425 43.6771582, 76.9852896 43.6773423, 76.98539 43.6774537, 76.9854764 43.6775821, 76.9855324 43.6777189, 76.985534 43.6778456)"
"[1168216528, 1168205303]",unclassified,False,True,349.741,"LINESTRING (76.9850231 43.6770485, 76.9846299 43.6764397, 76.9843964 43.6761222, 76.9840975 43.6758587, 76.98378 43.6755986, 76.9834344 43.6753014, 76.9831028 43.675038, 76.9827451 43.674708, 76.9825466 43.6744888)"
1168216528,unclassified,False,False,30.624000000000002,"LINESTRING (76.985534 43.6778456, 76.985648 43.6780237, 76.9856916 43.6780963)"
1168216528,unclassified,False,True,97.69399999999999,"LINESTRING (76.985534 43.6778456, 76.9853584 43.6775711, 76.9850596 43.677105, 76.9850231 43.6770485)"
1168216529,unclassified,False,True,99.784,"LINESTRING (76.985534 43.6778456, 76.9855324 43.6777189, 76.9854764 43.6775821, 76.98539 43.6774537, 76.9852896 43.6773423, 76.9851425 43.6771582, 76.9850231 43.6770485)"
1168216528,unclassified,False,False,106.72399999999999,"LINESTRING (76.9856916 43.6780963, 76.9858675 43.6783885, 76.9860403 43.678706, 76.9862505 43.6789645)"
1168216528,unclassified,False,True,30.624000000000002,"LINESTRING (76.9856916 43.6780963, 76.985648 43.6780237, 76.985534 43.6778456)"
1168216530,unclassified,False,False,270.958,"LINESTRING (76.9856916 43.6780963, 76.9857986 43.6781647, 76.985892 43.6782002, 76.9860298 43.6782339, 76.9862143 43.6782491, 76.9865038 43.6782525, 76.9869591 43.6782491, 76.9874868 43.6782643, 76.9877927 43.6782728, 76.9880612 43.6782542, 76.9882947 43.6782305, 76.9885353 43.6782187, 76.9888738 43.6782035, 76.9889987 43.6782056)"
825397647,unclassified,False,False,22.192,"LINESTRING (76.9889987 43.6782056, 76.9891075 43.678178, 76.9892563 43.6781342)"
