osmid,name,highway,oneway,reversed,length,geometry,junction
621241517,улица Хамита Таимбетова,tertiary,False,False,316.081,"LINESTRING (70.7954872 48.0032944, 70.7928294 48.0010768)",
355235502,улица Альсеита,tertiary,False,True,687.1510000000001,"LINESTRING (70.7954872 48.0032944, 70.7956456 48.0034567, 70.7960516 48.0038218, 70.7979687 48.0054881, 70.798238 48.0057646, 70.7984265 48.0060717, 70.7987732 48.0069314, 70.799452 48.0087511)",
621396087,улица Битабара,residential,False,False,227.03,"LINESTRING (70.7954872 48.0032944, 70.793894 48.0041299, 70.7930776 48.0045471)",
621241517,улица Хамита Таимбетова,tertiary,False,True,316.081,"LINESTRING (70.7928294 48.0010768, 70.7954872 48.0032944)",
220958594,,residential,False,False,225.666,"LINESTRING (70.7928294 48.0010768, 70.7926256 48.0011812, 70.7908827 48.0020742, 70.7904212 48.0023106)",
220958594,,residential,False,True,225.666,"LINESTRING (70.7904212 48.0023106, 70.7908827 48.0020742, 70.7926256 48.0011812, 70.7928294 48.0010768)",
621396083,улица Бирлик,residential,True,False,317.677,"LINESTRING (70.7904212 48.0023106, 70.7905088 48.0023946, 70.7930776 48.0045471)",
220958583,,residential,False,False,219.166,"LINESTRING (70.7901304 48.0025053, 70.7890726 48.0030545, 70.7889438 48.0031214, 70.7881534 48.0035318, 70.7878033 48.0037138)",
"[621396083, 621396085, 220958606]",улица Бирлик,residential,True,False,576.1080000000001,"LINESTRING (70.7901304 48.0025053, 70.7900124 48.0024039, 70.7878752 48.000557, 70.7878839 48.0004868, 70.7879451 48.0004296, 70.7880415 48.0004013, 70.7881459 48.0004101, 70.7903204 48.0022257, 70.7904212 48.0023106)",
220958620,улица Ыкыласа Дукенова,residential,False,True,45.212,"LINESTRING (70.7874263 48.0033949, 70.7878033 48.0037138)",
220958620,улица Ыкыласа Дукенова,residential,False,False,45.212,"LINESTRING (70.7878033 48.0037138, 70.7874263 48.0033949)",
220958620,улица Ыкыласа Дукенова,residential,False,True,38.565,"LINESTRING (70.7878033 48.0037138, 70.7881249 48.0039858)",
220958583,,residential,False,True,219.166,"LINESTRING (70.7878033 48.0037138, 70.7881534 48.0035318, 70.7889438 48.0031214, 70.7890726 48.0030545, 70.7901304 48.0025053)",
220958620,улица Ыкыласа Дукенова,residential,False,False,38.565,"LINESTRING (70.7881249 48.0039858, 70.7878033 48.0037138)",
220958620,улица Ыкыласа Дукенова,residential,False,True,98.568,"LINESTRING (70.7881249 48.0039858, 70.7889469 48.004681)",
621396087,улица Битабара,residential,False,False,33.555,"LINESTRING (70.7930776 48.0045471, 70.7927278 48.0047376)",
621396087,улица Битабара,residential,False,True,227.03,"LINESTRING (70.7930776 48.0045471, 70.793894 48.0041299, 70.7954872 48.0032944)",
220958620,улица Ыкыласа Дукенова,residential,False,False,98.568,"LINESTRING (70.7889469 48.004681, 70.7881249 48.0039858)",
