osmid,lanes,ref,name,highway,oneway,reversed,length,bridge,geometry,width,maxspeed
984198879,2,P55,Rēzekne — Dagda,primary,False,False,94.37,,"LINESTRING (27.5436644 56.0978532, 27.5445397 56.0985474)",,
"[147576594, 339538708, 339538709, 15717770]",2,P55,"['Rēzekne — Dagda', 'Daugavpils iela']",primary,False,True,274.936,yes,"LINESTRING (27.5436644 56.0978532, 27.543421 56.09766, 27.5424141 56.0968669, 27.5423285 56.0967995, 27.5418362 56.0964144, 27.5415365 56.0962171, 27.5413486 56.0961279, 27.5408885 56.0959491)",,
26610162,,,Rēzeknes iela,tertiary,False,False,71.42,,"LINESTRING (27.5427794 56.0945275, 27.5418614 56.0941398)",,
26610162,,,Rēzeknes iela,tertiary,False,True,20.51,,"LINESTRING (27.5427794 56.0945275, 27.5430537 56.0946305)",,
984198870,,,Liepājas iela,tertiary,True,False,77.77,,"LINESTRING (27.5427794 56.0945275, 27.5420254 56.0950863)",,
26610162,,,Rēzeknes iela,tertiary,False,True,71.42,,"LINESTRING (27.5418614 56.0941398, 27.5427794 56.0945275)",,
26610162,,,Rēzeknes iela,tertiary,False,False,66.03399999999999,,"LINESTRING (27.5418614 56.0941398, 27.5415831 56.0938662, 27.541336 56.0936233)",,
37854692,,,Skolas iela,residential,False,False,28.292,,"LINESTRING (27.5418614 56.0941398, 27.5418005 56.094182, 27.5415674 56.0943343)",5,
13522832,,V606,Alejas iela,secondary,False,True,139.985,,"LINESTRING (27.539817 56.0928162, 27.5397333 56.0929883, 27.5395504 56.0931429, 27.5393335 56.0933262, 27.5391112 56.0934534, 27.5390256 56.0935024, 27.5384917 56.0938121)",,50
13864909,,V606,Asūnes iela,secondary,False,False,209.32999999999998,,"LINESTRING (27.539817 56.0928162, 27.5395261 56.092506, 27.5394421 56.0923844, 27.5393856 56.0921021, 27.5393752 56.092079, 27.5393178 56.0919508, 27.5392562 56.0918504, 27.5392504 56.091841, 27.5391256 56.0917253, 27.5387949 56.0914872, 27.5383123 56.0911782)",,50
37854701,,,Ezera iela,residential,False,False,123.74199999999999,,"LINESTRING (27.539817 56.0928162, 27.5399876 56.0926839, 27.5409319 56.0920467, 27.5411022 56.0919684)",5,
147576584,,,Asūnes iela,tertiary,False,True,132.36399999999998,,"LINESTRING (27.539817 56.0928162, 27.5401083 56.0929149, 27.5409066 56.0932656, 27.5410519 56.0933545, 27.5412063 56.0934752, 27.541336 56.0936233)",,
44098057,,V616,Liepājas iela,secondary,False,False,198.16299999999998,,"LINESTRING (27.536942 56.0986574, 27.5376302 56.0982222, 27.538056 56.0977224, 27.5383311 56.0975417, 27.538836 56.0972418)",,50
26610162,,,Rēzeknes iela,tertiary,False,False,143.646,,"LINESTRING (27.5450102 56.0953003, 27.5447274 56.0952509, 27.544473 56.0951996, 27.5441509 56.0950861, 27.5439403 56.0950037, 27.5437722 56.0949292, 27.5430537 56.0946305)",,
26610164,,,Narūtas iela,residential,False,False,135.4,,"LINESTRING (27.5324088 56.0956935, 27.5324653 56.0957559, 27.5333923 56.0967806)",,
41203204,2,P60,Alejas iela,primary,False,False,32.626999999999995,,"LINESTRING (27.5324088 56.0956935, 27.532678 56.0956214, 27.532883 56.0955665)",,50
41203204,2,P60,Alejas iela,primary,False,True,54.666,,"LINESTRING (27.5324088 56.0956935, 27.5323118 56.0957197, 27.5318534 56.0958435, 27.5316156 56.0959078)",,50
26610162,,,Rēzeknes iela,tertiary,False,True,66.03399999999999,,"LINESTRING (27.541336 56.0936233, 27.5415831 56.0938662, 27.5418614 56.0941398)",,
147576584,,,Asūnes iela,tertiary,False,False,132.364,,"LINESTRING (27.541336 56.0936233, 27.5412063 56.0934752, 27.5410519 56.0933545, 27.5409066 56.0932656, 27.5401083 56.0929149, 27.539817 56.0928162)",,
13864909,,V606,Asūnes iela,secondary,False,True,209.32999999999998,,"LINESTRING (27.5383123 56.0911782, 27.5387949 56.0914872, 27.5391256 56.0917253, 27.5392504 56.091841, 27.5392562 56.0918504, 27.5393178 56.0919508, 27.5393752 56.092079, 27.5393856 56.0921021, 27.5394421 56.0923844, 27.5395261 56.092506, 27.539817 56.0928162)",,50
37854699,,,Jaunatnes iela,residential,False,False,254.345,,"LINESTRING (27.5297092 56.0977864, 27.5333923 56.0967806)",5,
37854688,,,Tirgus iela,residential,False,False,365.212,,"LINESTRING (27.5297092 56.0977864, 27.5300588 56.098141, 27.5302638 56.0982584, 27.5321339 56.098852, 27.5322606 56.0988788, 27.5324186 56.0988665, 27.534551 56.0982254)",5,
26610164,,,Narūtas iela,residential,False,True,176.024,,"LINESTRING (27.534551 56.0982254, 27.5342153 56.0977744, 27.5333923 56.0967806)",,
