osmid,highway,oneway,reversed,length,name,geometry,junction
174188437,tertiary,False,True,15.739,,"LINESTRING (16.1443348 29.1612243, 16.1441812 29.1612695)",
181252237,primary,True,False,74.171,طريق ودان,"LINESTRING (16.1443348 29.1612243, 16.14491 29.1616632)",
181422355,residential,False,False,120.453,,"LINESTRING (16.1443348 29.1612243, 16.1446694 29.1611395, 16.1449161 29.1610786, 16.1455491 29.1610274)",
102630613,tertiary,True,False,93.801,waddan- zillah ودان-زله,"LINESTRING (16.1417538 29.1597119, 16.1418108 29.1588698)",
181252237,primary,True,False,8.354,طريق ودان,"LINESTRING (16.1417538 29.1597119, 16.1418383 29.159726)",
172952464,tertiary,False,True,6.698,,"LINESTRING (16.137587 29.1611278, 16.1376178 29.1611817)",
181252237,primary,True,False,113.447,طريق ودان,"LINESTRING (16.137587 29.1611278, 16.1386038 29.1606253)",
581986682,residential,False,True,40.993,,"LINESTRING (16.137587 29.1611278, 16.1373995 29.1607975)",
671508909,tertiary,True,False,7.96,,"LINESTRING (16.1418101 29.1587879, 16.1418919 29.1587832)",
102630613,tertiary,True,False,147.68099999999998,waddan- zillah ودان-زله,"LINESTRING (16.1418101 29.1587879, 16.1418061 29.1583475, 16.1418235 29.1582058, 16.1418477 29.1581063, 16.1418933 29.1579973, 16.1419536 29.1579036, 16.1422044 29.1575453)",
581986682,residential,False,False,114.741,,"LINESTRING (16.1365771 29.1590151, 16.1370031 29.1599776)",
172911579,tertiary,False,False,156.50199999999998,,"LINESTRING (16.1365771 29.1590151, 16.1366428 29.1590291, 16.136726 29.1590256, 16.1371672 29.1589624, 16.1377063 29.158905, 16.1380094 29.1588827, 16.1381758 29.1588804)",
172911579,tertiary,False,False,195.569,,"LINESTRING (16.1395182 29.159237, 16.1398541 29.1591814, 16.1407855 29.1590186, 16.1412549 29.1589413, 16.1414903 29.1588833)",
172911579,tertiary,False,True,90.757,,"LINESTRING (16.1395182 29.159237, 16.139423 29.1592417, 16.1393344 29.1592335, 16.1392479 29.1592153, 16.1389697 29.1591263, 16.138633 29.1590034)",
174510394,residential,False,True,72.975,,"LINESTRING (16.1395182 29.159237, 16.1394508 29.1593932, 16.139372 29.1594648, 16.1389814 29.159654)",
181252237,primary,True,False,72.43299999999999,طريق ودان,"LINESTRING (16.1424374 29.1599106, 16.1427677 29.1600763, 16.1430589 29.1602685)",
671739193,residential,False,True,165.493,,"LINESTRING (16.1424374 29.1599106, 16.1424673 29.1598185, 16.1424887 29.1596522, 16.1424941 29.1592985, 16.1424941 29.1591673, 16.1424673 29.1591041, 16.1423787 29.1589471, 16.1423278 29.1588792, 16.1422715 29.1588581, 16.1421964 29.1588745, 16.1418892 29.1589987)",
102630613,tertiary,True,False,47.823,waddan- zillah ودان-زله,"LINESTRING (16.1422044 29.1575453, 16.1425006 29.1572017)",
181422356,residential,False,True,9.596,,"LINESTRING (16.1422044 29.1575453, 16.1422694 29.1576103)",
172952464,tertiary,False,False,63.389,,"LINESTRING (16.1399326 29.1650721, 16.1396241 29.1645697)",
