osmid,highway,oneway,reversed,length,geometry,name,maxspeed,lanes
257575801,residential,False,False,367.28099999999995,"LINESTRING (24.6672982 54.784683, 24.6672702 54.7845627, 24.6672425 54.7844735, 24.6675727 54.7844288, 24.6677041 54.7844122, 24.6679649 54.7843793, 24.668343 54.7843114, 24.6685899 54.7842489, 24.6686466 54.7842321, 24.6688597 54.784169, 24.66912 54.7840846, 24.6693992 54.7839838, 24.6697567 54.7838132, 24.6697979 54.783795, 24.670057 54.7836803, 24.670215 54.7836486, 24.6703455 54.7836407, 24.6704768 54.7836539, 24.6705913 54.7836953, 24.6706707 54.7837455, 24.6707638 54.7838458, 24.6709064 54.7840175, 24.6710432 54.7841821, 24.6711058 54.7842367, 24.6711729 54.7842772, 24.6712477 54.7843001, 24.6713531 54.7843133, 24.6714523 54.7843045, 24.6715521 54.7842748, 24.6715817 54.7842635)",,,
292166498,residential,False,False,266.789,"LINESTRING (24.6672982 54.784683, 24.6675758 54.7846971, 24.6678469 54.7847255, 24.6682814 54.7848125, 24.6686634 54.7849369, 24.6692379 54.7851882, 24.6696176 54.7853498, 24.669662 54.7853693, 24.6698404 54.7854433, 24.6702964 54.7855872, 24.6707092 54.7856849, 24.6709784 54.7857121)",Draugystės g.,50,
292166498,residential,False,True,152.125,"LINESTRING (24.6672982 54.784683, 24.6670935 54.7846844, 24.6668762 54.7846952, 24.6657832 54.7847831, 24.6656196 54.784794, 24.665144 54.7848228, 24.6649423 54.784837)",Draugystės g.,50,
26068766,residential,False,False,362.84799999999996,"LINESTRING (24.6709784 54.7857121, 24.6709836 54.785839, 24.6709883 54.7859058, 24.6710058 54.7861105, 24.6710409 54.7864779, 24.6710235 54.7865192, 24.671001 54.7865725, 24.6707415 54.7870156, 24.6705562 54.7872874, 24.6704655 54.7874922, 24.6704282 54.7876391, 24.6704517 54.7879432, 24.6704639 54.7880289, 24.6704806 54.7881474, 24.6705008 54.7883068, 24.6705427 54.7886374, 24.6705617 54.7887949, 24.6705671 54.7888241, 24.670582 54.7889154)",Trakų g.,50,
292166498,residential,False,False,46.23500000000001,"LINESTRING (24.6709784 54.7857121, 24.671167 54.7857173, 24.6716144 54.7856993, 24.6716979 54.7856954)",Draugystės g.,50,
292166498,residential,False,True,266.789,"LINESTRING (24.6709784 54.7857121, 24.6707092 54.7856849, 24.6702964 54.7855872, 24.6698404 54.7854433, 24.669662 54.7853693, 24.6696176 54.7853498, 24.6692379 54.7851882, 24.6686634 54.7849369, 24.6682814 54.7848125, 24.6678469 54.7847255, 24.6675758 54.7846971, 24.6672982 54.784683)",Draugystės g.,50,
26068766,residential,False,True,362.84800000000007,"LINESTRING (24.670582 54.7889154, 24.6705671 54.7888241, 24.6705617 54.7887949, 24.6705427 54.7886374, 24.6705008 54.7883068, 24.6704806 54.7881474, 24.6704639 54.7880289, 24.6704517 54.7879432, 24.6704282 54.7876391, 24.6704655 54.7874922, 24.6705562 54.7872874, 24.6707415 54.7870156, 24.671001 54.7865725, 24.6710235 54.7865192, 24.6710409 54.7864779, 24.6710058 54.7861105, 24.6709883 54.7859058, 24.6709836 54.785839, 24.6709784 54.7857121)",Trakų g.,50,
204022809,tertiary,False,False,165.421,"LINESTRING (24.670582 54.7889154, 24.6722241 54.7887621, 24.6731287 54.7886768)",Sabališkių g.,50,2
"[204022809, 1270589673]",tertiary,False,False,138.862,"LINESTRING (24.6731287 54.7886768, 24.6742004 54.7885722, 24.6749079 54.7885032, 24.6750005 54.7884941, 24.675265 54.7884714)",Sabališkių g.,50,"['2', '3']"
204022809,tertiary,False,True,165.421,"LINESTRING (24.6731287 54.7886768, 24.6722241 54.7887621, 24.670582 54.7889154)",Sabališkių g.,50,2
