osmid,oneway,lanes,name,highway,reversed,length,geometry,junction,ref,access
261478089,True,2,Jalan Padang,secondary,False,78.747,"LINESTRING (113.9878085 4.3909029, 113.9879682 4.3908353, 113.9881403 4.3907774, 113.9882968 4.3907521, 113.9884934 4.3907535)",,,
349942332,True,,Jalan Padang,secondary,False,125.02999999999999,"LINESTRING (113.9878085 4.3909029, 113.9878532 4.3908464, 113.9878767 4.390817, 113.9878994 4.3907777, 113.9879165 4.3907471, 113.9879215 4.3907086, 113.9879215 4.3906655, 113.9879132 4.3906248, 113.987896 4.3905639, 113.9878759 4.3905045, 113.9878491 4.3904478, 113.9878242 4.3903894, 113.9877987 4.3903367, 113.9877716 4.390293, 113.9877483 4.3902533, 113.9876964 4.3901787, 113.9876202 4.3900729, 113.9875011 4.389935)",,,
"[389643488, 649881176]",True,,Jalan Bendahara,tertiary,False,256.83799999999997,"LINESTRING (113.9862101 4.3931665, 113.9862626 4.3933399, 113.9864234 4.3936952, 113.986436 4.393755, 113.9864621 4.3941217, 113.9864643 4.3941482, 113.9864804 4.394325, 113.9865306 4.3948064, 113.9865409 4.3948672, 113.9866615 4.3954145)",,,
423601373,True,,,tertiary,False,15.116,"LINESTRING (113.9862101 4.3931665, 113.9862748 4.3931878, 113.986343 4.3931866)",roundabout,,
1232828669,False,,Jalan Nahkoda Gampar,tertiary,True,8.898,"LINESTRING (113.9866615 4.3954145, 113.986739 4.3953937)",,,
"[1232828670, 1232828671]",True,,Jalan Bendahara,tertiary,False,130.56799999999998,"LINESTRING (113.9866615 4.3954145, 113.9867038 4.3955856, 113.9867218 4.3956619, 113.9869082 4.3963077, 113.9869574 4.3965504)",,,
271988006,True,,Jalan South Yu Seng,unclassified,False,22.275,"LINESTRING (113.9876923 4.3951184, 113.9878515 4.3952406)",,,
1232831691,False,,Jalan Nahkoda Gampar,tertiary,True,22.163,"LINESTRING (113.9876923 4.3951184, 113.9878805 4.3950512)",,,
1232831691,False,,Jalan Nahkoda Gampar,tertiary,False,83.34299999999999,"LINESTRING (113.9876923 4.3951184, 113.987381 4.395204, 113.9869687 4.3953215)",,,
271988006,True,,Jalan South Yu Seng,unclassified,False,7.973,"LINESTRING (113.9886194 4.3971042, 113.9886557 4.3971661)",,,
189796948,True,2,Jalan Miri–Pujut,trunk,False,52.365,"LINESTRING (113.9922071 4.39389, 113.9924281 4.3943062)",,1-80A,yes
273634692,True,,Jalan Setia Raja,unclassified,False,39.547,"LINESTRING (113.9922071 4.39389, 113.9921759 4.3940733, 113.9921544 4.3941562, 113.9921263 4.3942355)",,,
189796944,True,2,,secondary,False,44.676,"LINESTRING (113.9890263 4.3906896, 113.9890158 4.390603, 113.989004 4.3905295, 113.988995 4.3904533, 113.9889741 4.3903279, 113.9889683 4.3902921)",roundabout,,
189796944,True,2,,secondary,False,53.525,"LINESTRING (113.9889683 4.3902921, 113.9889345 4.3902233, 113.9888921 4.3901765, 113.9888044 4.3901281, 113.9887689 4.390112, 113.988703 4.3900893, 113.9886237 4.3900788, 113.9885712 4.3900902)",roundabout,,
284850594,True,2,Miri–Bintulu,trunk_link,False,123.96900000000001,"LINESTRING (113.9889683 4.3902921, 113.9889468 4.3900843, 113.9889312 4.3899006, 113.9889084 4.389757, 113.9888754 4.3895965, 113.9888202 4.3894431, 113.9887712 4.3893301, 113.988715 4.3892169)",,1-79B,yes
189796944,True,2,,secondary,False,85.944,"LINESTRING (113.9884846 4.3901241, 113.9883756 4.3902105, 113.9883093 4.3903299, 113.9882864 4.3904165, 113.9883125 4.3905368, 113.988354 4.3906164, 113.9884934 4.3907535)",roundabout,,
349942357,True,2,Jalan Padang,secondary,False,54.123000000000005,"LINESTRING (113.9884846 4.3901241, 113.9883224 4.3901742, 113.9881965 4.3902053, 113.9881002 4.390212, 113.9880083 4.3902056)",,,
189796944,True,2,,secondary,False,18.734,"LINESTRING (113.9884934 4.3907535, 113.988534 4.3907779, 113.9885865 4.3908114, 113.9886366 4.3908429)",roundabout,,
