osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed
905519874,2,Avenida Francisco I. Madero,secondary,False,True,141.055,"LINESTRING (-98.1684545 19.333826, -98.1673794 19.3330644)",
845459149,2,Juan Cuamatzi,secondary,True,False,99.717,"LINESTRING (-98.1684545 19.333826, -98.1687411 19.3334404, -98.1688727 19.3332893, -98.168923 19.3332559, -98.168985 19.3332382, -98.1691019 19.3332254)",
"[845476786, 845476787]",2,5 de Mayo,residential,True,False,98.529,"LINESTRING (-98.1684983 19.3342583, -98.1682781 19.334535, -98.1682402 19.3345573, -98.1682032 19.33454, -98.1677936 19.3342925)",40
"[845476785, 885163987]",2,"['Francisco I. Madero', 'Avenida Francisco I. Madero']",secondary,True,False,64.912,"LINESTRING (-98.1684983 19.3342583, -98.1686648 19.3340464, -98.1686804 19.3340184, -98.168664 19.3339939, -98.1684545 19.333826)",
903888239,1,Avenida Miguel Hidalgo,secondary,True,False,75.76,"LINESTRING (-98.1691287 19.3345905, -98.1684983 19.3342583)",
845460228,2,Avenida Emiliano Zapata,secondary,True,False,196.072,"LINESTRING (-98.1691287 19.3345905, -98.1697633 19.3337724, -98.1702464 19.3331775)",
38379527,2,Avenida Emiliano Zapata,secondary,True,False,20.675,"LINESTRING (-98.1702464 19.3331775, -98.1703746 19.3330363)",
38379521,2,Avenida Juan Cuamatzi,secondary,False,True,276.338,"LINESTRING (-98.1702464 19.3331775, -98.1703529 19.3332187, -98.1704566 19.3332774, -98.1709177 19.3335915, -98.1715449 19.3341014, -98.1723182 19.3347013)",
845476371,,,residential,False,False,61.317,"LINESTRING (-98.1695842 19.3332021, -98.1692362 19.3336451)",
845459149,2,Juan Cuamatzi,secondary,True,False,69.682,"LINESTRING (-98.1695842 19.3332021, -98.1700962 19.333166, -98.1702464 19.3331775)",
32345170,2,Calle José María Morelos y Pavón,tertiary,False,False,63.858,"LINESTRING (-98.1718536 19.3298196, -98.1712792 19.3296298)",40
32345633,,Calle Ocampo,residential,False,True,138.225,"LINESTRING (-98.1718536 19.3298196, -98.1711262 19.330856)",40
32345170,2,Calle José María Morelos y Pavón,tertiary,False,False,50.389,"LINESTRING (-98.1702217 19.3292603, -98.1697875 19.3290667)",40
32345170,2,Calle José María Morelos y Pavón,tertiary,False,True,118.323,"LINESTRING (-98.1702217 19.3292603, -98.1712792 19.3296298)",40
1074914561,,Calle 20 de Noviembre,residential,False,False,98.645,"LINESTRING (-98.1702217 19.3292603, -98.1696808 19.3299859)",40
32345170,2,Calle José María Morelos y Pavón,tertiary,False,True,90.05799999999999,"LINESTRING (-98.1689622 19.3288544, -98.1694139 19.3289364, -98.1697875 19.3290667)",40
32345580,,Calle Venustiano Carranza,residential,False,True,62.749,"LINESTRING (-98.1703746 19.3330363, -98.1709565 19.3329061)",40
38379527,2,Avenida Emiliano Zapata,secondary,True,False,59.086,"LINESTRING (-98.1703746 19.3330363, -98.170742 19.3326336)",
32345603,,2 de Octubre,residential,False,False,85.899,"LINESTRING (-98.1723182 19.3347013, -98.1715439 19.3349522)",40
38379521,2,Avenida Juan Cuamatzi,secondary,False,False,276.33799999999997,"LINESTRING (-98.1723182 19.3347013, -98.1715449 19.3341014, -98.1709177 19.3335915, -98.1704566 19.3332774, -98.1703529 19.3332187, -98.1702464 19.3331775)",
38379521,2,Avenida Juan Cuamatzi,secondary,False,True,17.133,"LINESTRING (-98.1723182 19.3347013, -98.1723757 19.3347479, -98.1724445 19.3347989)",
32345580,,Calle Venustiano Carranza,residential,False,False,62.749,"LINESTRING (-98.1709565 19.3329061, -98.1703746 19.3330363)",40
32345580,,Calle Venustiano Carranza,residential,False,True,110.312,"LINESTRING (-98.1709565 19.3329061, -98.1711536 19.3328665, -98.1715028 19.3328289, -98.1719994 19.3327895)",40
"[845474099, 845474100, 32345605]",,Calle Primero de Abril,residential,False,True,199.813,"LINESTRING (-98.1709565 19.3329061, -98.1721744 19.3338434, -98.172205 19.333855, -98.1722333 19.333837, -98.1723663 19.333683, -98.1723897 19.3336698, -98.1724165 19.3336769)",40
32345170,2,Calle José María Morelos y Pavón,tertiary,False,True,50.389,"LINESTRING (-98.1697875 19.3290667, -98.1702217 19.3292603)",40
32345170,2,Calle José María Morelos y Pavón,tertiary,False,False,90.05799999999999,"LINESTRING (-98.1697875 19.3290667, -98.1694139 19.3289364, -98.1689622 19.3288544)",40
32345625,,Avenida Mariano Matamoros,residential,False,True,5.415,"LINESTRING (-98.1664617 19.3343178, -98.1665006 19.3343498)",40
845481306,,Calle 20 de Noviembre,residential,False,True,75.605,"LINESTRING (-98.1664617 19.3343178, -98.1668924 19.3337727)",40
32345625,,Avenida Mariano Matamoros,residential,False,False,60.510999999999996,"LINESTRING (-98.1664617 19.3343178, -98.1663907 19.3342702, -98.1659915 19.3340027)",40
845476788,,Calle Álvaro Obregón,residential,True,False,260.59,"LINESTRING (-98.170742 19.3326336, -98.1686652 19.3313484)",40
857618384,2,Avenida Emiliano Zapata,secondary,False,False,203.605,"LINESTRING (-98.170742 19.3326336, -98.1712917 19.3320394, -98.1714 19.3319143, -98.1715142 19.3318408, -98.1715844 19.3317956, -98.1720545 19.3315795, -98.1722228 19.331502)",
845481309,,Avenida 5 de Mayo,residential,False,False,199.138,"LINESTRING (-98.1644227 19.3321961, -98.1660142 19.3331718)",40
845481309,,Avenida 5 de Mayo,residential,False,True,20.031,"LINESTRING (-98.1644227 19.3321961, -98.1642617 19.3320993)",40
905523902,,Calle 16 de Septiembre,residential,False,True,115.213,"LINESTRING (-98.1644227 19.3321961, -98.1650574 19.3313506)",40
32345625,,Avenida Mariano Matamoros,residential,False,False,132.004,"LINESTRING (-98.1683446 19.3356955, -98.1673519 19.3349662)",40
845479632,2,Avenida Emiliano Zapata Norte,secondary,False,False,87.355,"LINESTRING (-98.1683446 19.3356955, -98.1677195 19.3362144)",
845479632,2,Avenida Emiliano Zapata Norte,secondary,False,True,6.742,"LINESTRING (-98.1683446 19.3356955, -98.1683852 19.3356485)",
32345625,,Avenida Mariano Matamoros,residential,False,False,49.273,"LINESTRING (-98.1638497 19.3325761, -98.1634738 19.3323105)",40
32345627,,Calle 5 de Mayo,residential,False,False,68.408,"LINESTRING (-98.1638497 19.3325761, -98.1642617 19.3320993)",40
32345625,,Avenida Mariano Matamoros,residential,False,True,222.28600000000003,"LINESTRING (-98.1638497 19.3325761, -98.1649601 19.3333117, -98.1651539 19.3334415, -98.1655813 19.3337278)",40
32345627,,Calle 5 de Mayo,residential,False,True,59.158,"LINESTRING (-98.1638497 19.3325761, -98.1636007 19.3329023, -98.1634825 19.3329691)",40
32345627,,Calle 5 de Mayo,residential,False,True,68.408,"LINESTRING (-98.1642617 19.3320993, -98.1638497 19.3325761)",40
845481309,,Avenida 5 de Mayo,residential,False,False,20.031,"LINESTRING (-98.1642617 19.3320993, -98.1644227 19.3321961)",40
845481309,,Avenida 5 de Mayo,residential,False,True,67.545,"LINESTRING (-98.1642617 19.3320993, -98.1637703 19.3317069)",40
32345610,,Calle 20 de Noviembre,residential,True,False,125.251,"LINESTRING (-98.169352 19.3304271, -98.1686652 19.3313484)",40
32345628,,Calle 5 de Febrero,residential,False,False,178.223,"LINESTRING (-98.169352 19.3304271, -98.1685826 19.3298976, -98.1679274 19.3295605)",40
32345613,2,Calle 16 de Septiembre,tertiary,False,False,33.593,"LINESTRING (-98.1668668 19.3289995, -98.166676 19.3292421)",40
32345628,,Calle 5 de Febrero,residential,False,True,127.577,"LINESTRING (-98.1668668 19.3289995, -98.1679274 19.3295605)",40
32345628,,Calle 5 de Febrero,residential,False,False,127.577,"LINESTRING (-98.1679274 19.3295605, -98.1668668 19.3289995)",40
845797925,,,residential,False,True,48.011,"LINESTRING (-98.1679274 19.3295605, -98.1676577 19.3299093)",
32345628,,Calle 5 de Febrero,residential,False,True,178.223,"LINESTRING (-98.1679274 19.3295605, -98.1685826 19.3298976, -98.169352 19.3304271)",40
32345630,,Calle Melchor Ocampo,residential,False,False,107.805,"LINESTRING (-98.1722228 19.331502, -98.1713475 19.3309943)",40
