osmid,name,highway,oneway,reversed,length,geometry
235181082,Calle 20 de Noviembre,residential,False,False,99.349,"LINESTRING (-106.8799829 30.1495172, -106.8797073 30.1503783)"
235181082,Calle 20 de Noviembre,residential,False,True,42.996,"LINESTRING (-106.8799829 30.1495172, -106.8801016 30.1491444)"
235224869,,residential,False,True,142.732,"LINESTRING (-106.8799829 30.1495172, -106.8798856 30.1495451, -106.8798226 30.1495503, -106.8796945 30.149537, -106.8790233 30.1493543, -106.8785566 30.1492372)"
848380360,Calle 21 de Marzo,residential,True,False,10.965,"LINESTRING (-106.8830553 30.1495613, -106.8830828 30.1494656)"
235181082,Calle 20 de Noviembre,residential,False,False,112.987,"LINESTRING (-106.8804771 30.1479592, -106.8801713 30.1489403)"
235181082,Calle 20 de Noviembre,residential,False,True,72.019,"LINESTRING (-106.8804771 30.1479592, -106.8806782 30.1473353)"
235202195,Calle Francisco Javier Mina,residential,False,False,114.616,"LINESTRING (-106.8804771 30.1479592, -106.8816237 30.148241)"
235202195,Calle Francisco Javier Mina,residential,False,True,140.763,"LINESTRING (-106.8804771 30.1479592, -106.8790703 30.147609)"
235202216,Calle Benito Juárez,residential,False,False,144.038,"LINESTRING (-106.8869117 30.1508166, -106.8854687 30.1504687)"
235203595,Calle Álvaro Obregón,residential,False,False,140.361,"LINESTRING (-106.8869117 30.1508166, -106.8864986 30.1520273)"
235203595,Calle Álvaro Obregón,residential,False,True,137.861,"LINESTRING (-106.8869117 30.1508166, -106.8871102 30.1501533, -106.8872765 30.1496176)"
235181082,Calle 20 de Noviembre,residential,False,False,56.848,"LINESTRING (-106.8808848 30.1467183, -106.8807185 30.1472089)"
235181082,Calle 20 de Noviembre,residential,False,True,138.586,"LINESTRING (-106.8808848 30.1467183, -106.8812683 30.1455169)"
235202203,Calle Belisario Domínguez,residential,False,False,83.295,"LINESTRING (-106.8808848 30.1467183, -106.8800452 30.1465339)"
235202203,Calle Belisario Domínguez,residential,False,True,138.027,"LINESTRING (-106.8808848 30.1467183, -106.8822688 30.1470477)"
235206091,Calle Emiliano Zapata,residential,False,True,14.639,"LINESTRING (-106.8842509 30.1497312, -106.8842134 30.1498588)"
235206091,Calle Emiliano Zapata,residential,False,False,89.20100000000001,"LINESTRING (-106.8842509 30.1497312, -106.8842952 30.1495804, -106.8844816 30.1489542)"
848380359,,residential,True,False,117.19899999999998,"LINESTRING (-106.8842509 30.1497312, -106.8841168 30.1497045, -106.8837118 30.1495514, -106.8835898 30.1495236, -106.8834852 30.149512, -106.8832351 30.1494964, -106.8831646 30.1494877, -106.8830828 30.1494656)"
235181082,Calle 20 de Noviembre,residential,False,False,138.586,"LINESTRING (-106.8812683 30.1455169, -106.8808848 30.1467183)"
235202221,Calle Ocampo,residential,False,False,139.837,"LINESTRING (-106.8812683 30.1455169, -106.8826711 30.1458485)"
235210417,Calle Francisco I. Madero,residential,True,False,11.634,"LINESTRING (-106.8828917 30.150111, -106.882773 30.1501313)"
848380360,Calle 21 de Marzo,residential,True,False,63.116,"LINESTRING (-106.8828917 30.150111, -106.8830553 30.1495613)"
235181082,Calle 20 de Noviembre,residential,False,False,42.996,"LINESTRING (-106.8801016 30.1491444, -106.8799829 30.1495172)"
235181082,Calle 20 de Noviembre,residential,False,True,23.664,"LINESTRING (-106.8801016 30.1491444, -106.8801713 30.1489403)"
235202229,Calle Benito Juárez,residential,False,True,139.392,"LINESTRING (-106.8801016 30.1491444, -106.8803658 30.1492117, -106.8814896 30.1495062)"
236511564,Calle Pino Suárez,residential,False,False,137.957,"LINESTRING (-106.8869117 30.1460457, -106.885533 30.1457024)"
236511564,Calle Pino Suárez,residential,False,True,140.086,"LINESTRING (-106.8869117 30.1460457, -106.8883064 30.1464098)"
842544140,Calle Francisco Villa,residential,False,True,90.161,"LINESTRING (-106.8869117 30.1460457, -106.8866622 30.1468273)"
235181082,Calle 20 de Noviembre,residential,False,False,138.549,"LINESTRING (-106.8793103 30.1516145, -106.8788999 30.1528089)"
235181082,Calle 20 de Noviembre,residential,False,True,56.237,"LINESTRING (-106.8793103 30.1516145, -106.8794578 30.1511251)"
235202182,Calle José María Morelos,residential,False,False,139.766,"LINESTRING (-106.8793103 30.1516145, -106.8807024 30.1519763)"
235202182,Calle José María Morelos,residential,False,True,86.558,"LINESTRING (-106.8793103 30.1516145, -106.8784493 30.1513872)"
235181082,Calle 20 de Noviembre,residential,False,False,88.098,"LINESTRING (-106.8786639 30.1535998, -106.8784171 30.1543628)"
235181082,Calle 20 de Noviembre,residential,False,True,90.824,"LINESTRING (-106.8786639 30.1535998, -106.8788999 30.1528089)"
235202194,Calle José Mariano Jiménez,residential,False,False,139.21,"LINESTRING (-106.8786639 30.1535998, -106.880058 30.1539378)"
235205308,Calle 16 de Septiembre,residential,False,False,33.239,"LINESTRING (-106.8786907 30.148829, -106.8787631 30.1485367)"
235205308,Calle 16 de Septiembre,residential,False,True,47.186,"LINESTRING (-106.8786907 30.148829, -106.8785566 30.1492372)"
235181082,Calle 20 de Noviembre,residential,False,False,75.035,"LINESTRING (-106.8797073 30.1503783, -106.879486 30.1510254)"
235181082,Calle 20 de Noviembre,residential,False,True,99.349,"LINESTRING (-106.8797073 30.1503783, -106.8799829 30.1495172)"
235202226,Calle Miguel Hidalgo,residential,False,False,114.225,"LINESTRING (-106.8797073 30.1503783, -106.8808512 30.1506555)"
235203592,Calle Enríquez,residential,False,True,143.364,"LINESTRING (-106.8883038 30.1511414, -106.8878987 30.1523822)"
235203595,Calle Álvaro Obregón,residential,False,False,90.686,"LINESTRING (-106.8885666 30.1456259, -106.8883064 30.1464098)"
235202182,Calle José María Morelos,residential,False,False,81.936,"LINESTRING (-106.8861178 30.1532832, -106.8869477 30.1534506)"
235202182,Calle José María Morelos,residential,False,True,142.268,"LINESTRING (-106.8861178 30.1532832, -106.8846935 30.1529365)"
235203595,Calle Álvaro Obregón,residential,False,False,138.922,"LINESTRING (-106.8861178 30.1532832, -106.8857074 30.1544811)"
235203595,Calle Álvaro Obregón,residential,False,True,52.928,"LINESTRING (-106.8861178 30.1532832, -106.886258 30.1528229)"
235202226,Calle Miguel Hidalgo,residential,False,True,140.284,"LINESTRING (-106.8878987 30.1523822, -106.8864986 30.1520273)"
235203592,Calle Enríquez,residential,False,False,143.364,"LINESTRING (-106.8878987 30.1523822, -106.8883038 30.1511414)"
235203592,Calle Enríquez,residential,False,True,140.391,"LINESTRING (-106.8878987 30.1523822, -106.8875125 30.1535998)"
235203595,Calle Álvaro Obregón,residential,False,True,73.817,"LINESTRING (-106.8872765 30.1496176, -106.8874642 30.1489739)"
842544139,Calle Francisco Javier Mina,residential,False,True,115.151,"LINESTRING (-106.8872765 30.1496176, -106.8861245 30.1493346)"
235203595,Calle Álvaro Obregón,residential,False,False,137.861,"LINESTRING (-106.8872765 30.1496176, -106.8871102 30.1501533, -106.8869117 30.1508166)"
235202226,Calle Miguel Hidalgo,residential,False,False,140.284,"LINESTRING (-106.8864986 30.1520273, -106.8878987 30.1523822)"
235202226,Calle Miguel Hidalgo,residential,False,True,119.32,"LINESTRING (-106.8864986 30.1520273, -106.8853066 30.1517288)"
