osmid,oneway,name,highway,reversed,length,geometry
870591148,True,Alfredo V. Bonfil,secondary,False,111.287,"LINESTRING (-90.8023728 19.0633422, -90.8034315 19.0633228)"
870593962,False,Plan de Ayala,residential,False,11.278,"LINESTRING (-90.8023728 19.0633422, -90.8023703 19.0632408)"
870593962,False,Plan de Ayala,residential,True,112.673,"LINESTRING (-90.8023728 19.0633422, -90.8023986 19.0643552)"
1225212074,False,Venustiano Carranza,secondary,True,12.968,"LINESTRING (-90.8066364 19.0632641, -90.8066341 19.0631475)"
1225212319,False,Venustiano Carranza,tertiary,True,111.267,"LINESTRING (-90.8066364 19.0632641, -90.8066601 19.0642645)"
870591152,False,,residential,False,109.328,"LINESTRING (-90.8064986 19.0590887, -90.8054589 19.0591202)"
875326347,False,Venustiano Carranza,tertiary,False,116.664,"LINESTRING (-90.8064986 19.0590887, -90.8065357 19.0601373)"
934166385,False,Venustiano Carranza,residential,True,107.268,"LINESTRING (-90.8064986 19.0590887, -90.8064739 19.0581243)"
999305798,False,,tertiary,True,113.68,"LINESTRING (-90.8064986 19.0590887, -90.8075799 19.0590631)"
870591149,True,Alfredo V. Bonfil,secondary,False,112.305,"LINESTRING (-90.8066341 19.0631475, -90.8055658 19.0631709)"
1225212074,False,Venustiano Carranza,secondary,False,12.968,"LINESTRING (-90.8066341 19.0631475, -90.8066364 19.0632641)"
1225212074,False,Venustiano Carranza,secondary,True,36.389,"LINESTRING (-90.8066341 19.0631475, -90.8066278 19.0628203)"
870593962,False,Plan de Ayala,residential,False,109.688,"LINESTRING (-90.8023703 19.0632408, -90.8023469 19.0622546)"
870593962,False,Plan de Ayala,residential,True,11.278,"LINESTRING (-90.8023703 19.0632408, -90.8023728 19.0633422)"
999305800,False,,secondary,False,140.342,"LINESTRING (-90.8111423 19.0589787, -90.8098074 19.0590103)"
870591153,False,Rojo Gómez,residential,True,120.203,"LINESTRING (-90.8111423 19.0589787, -90.8111208 19.0588695, -90.8110189 19.0587529, -90.8109277 19.058621, -90.8108794 19.0584994, -90.8108626 19.0579684)"
999305798,False,,tertiary,False,113.68,"LINESTRING (-90.8075799 19.0590631, -90.8064986 19.0590887)"
999305800,False,,secondary,True,10.156,"LINESTRING (-90.8075799 19.0590631, -90.8076765 19.0590608)"
1225212073,True,Emiliano Zapata,secondary,False,117.937,"LINESTRING (-90.8075799 19.0590631, -90.8076078 19.0601234)"
999305797,True,Emiliano Zapata,tertiary,False,10.975,"LINESTRING (-90.8076765 19.0590608, -90.8076236 19.0589757)"
999305800,False,,secondary,False,10.156,"LINESTRING (-90.8076765 19.0590608, -90.8075799 19.0590631)"
999305800,False,,secondary,True,112.881,"LINESTRING (-90.8076765 19.0590608, -90.8087502 19.0590354)"
870593961,False,Parcela Escolar,residential,True,113.248,"LINESTRING (-90.8099501 19.0641945, -90.8110273 19.0641682)"
897393751,False,Antonio Díaz Soto y Gama,unclassified,True,111.941,"LINESTRING (-90.8099501 19.0641945, -90.8099237 19.0631881)"
870593961,False,Parcela Escolar,residential,False,111.60900000000001,"LINESTRING (-90.8099501 19.0641945, -90.8096552 19.0642008, -90.8088884 19.0642171)"
875326343,False,Antonio Díaz Soto y Gama,unclassified,True,112.677,"LINESTRING (-90.8099501 19.0641945, -90.809954 19.0642582, -90.8099004 19.0643301, -90.8099728 19.0648195, -90.8099821 19.0651868)"
870591159,False,Antonio Díaz Soto y Gama,residential,True,114.349,"LINESTRING (-90.8098074 19.0590103, -90.8097786 19.0579823)"
897393751,False,Antonio Díaz Soto y Gama,unclassified,False,114.399,"LINESTRING (-90.8098074 19.0590103, -90.8098382 19.0600387)"
999305800,False,,secondary,False,111.146,"LINESTRING (-90.8098074 19.0590103, -90.8087502 19.0590354)"
999305800,False,,secondary,True,140.342,"LINESTRING (-90.8098074 19.0590103, -90.8111423 19.0589787)"
870593962,False,Plan de Ayala,residential,False,112.673,"LINESTRING (-90.8023986 19.0643552, -90.8023728 19.0633422)"
870593962,False,Plan de Ayala,residential,True,113.566,"LINESTRING (-90.8023986 19.0643552, -90.802421 19.0653763)"
1225212317,False,Parcela Escolar,residential,True,110.652,"LINESTRING (-90.8023986 19.0643552, -90.8034512 19.0643328)"
870591156,True,Emiliano Zapata,tertiary,False,110.062,"LINESTRING (-90.8077157 19.0642421, -90.807742 19.0652316)"
1225212318,False,Parcela Escolar,tertiary,False,110.968,"LINESTRING (-90.8077157 19.0642421, -90.8066601 19.0642645)"
1225212318,False,Parcela Escolar,tertiary,True,10.712,"LINESTRING (-90.8077157 19.0642421, -90.8078176 19.0642399)"
870591158,True,Emiliano Zapata,tertiary,False,115.691,"LINESTRING (-90.8078176 19.0642399, -90.8077896 19.0631998)"
870593961,False,Parcela Escolar,residential,True,112.566,"LINESTRING (-90.8078176 19.0642399, -90.8088884 19.0642171)"
1225212318,False,Parcela Escolar,tertiary,False,10.712,"LINESTRING (-90.8078176 19.0642399, -90.8077157 19.0642421)"
870591159,False,Antonio Díaz Soto y Gama,residential,False,114.349,"LINESTRING (-90.8097786 19.0579823, -90.8098074 19.0590103)"
870593964,False,Luis Cabrera,residential,False,113.939,"LINESTRING (-90.8097786 19.0579823, -90.8108626 19.0579684)"
870593964,False,Luis Cabrera,residential,True,94.242,"LINESTRING (-90.8117592 19.0579568, -90.8108626 19.0579684)"
870593964,False,Luis Cabrera,residential,False,94.242,"LINESTRING (-90.8108626 19.0579684, -90.8117592 19.0579568)"
870593964,False,Luis Cabrera,residential,True,113.939,"LINESTRING (-90.8108626 19.0579684, -90.8097786 19.0579823)"
870591153,False,Rojo Gómez,residential,False,120.203,"LINESTRING (-90.8108626 19.0579684, -90.8108794 19.0584994, -90.8109277 19.058621, -90.8110189 19.0587529, -90.8111208 19.0588695, -90.8111423 19.0589787)"
870593967,False,Miguel Hidalgo,residential,False,114.344,"LINESTRING (-90.8032947 19.0571451, -90.8033171 19.0581732)"
875326346,False,Otilio Montalvo,residential,False,109.716,"LINESTRING (-90.8032947 19.0571451, -90.8043383 19.057121)"
870591152,False,,residential,True,110.432,"LINESTRING (-90.8033391 19.0591845, -90.8043893 19.0591527)"
870593967,False,Miguel Hidalgo,residential,False,110.107,"LINESTRING (-90.8033391 19.0591845, -90.8033607 19.0601745)"
870593967,False,Miguel Hidalgo,residential,True,112.475,"LINESTRING (-90.8033391 19.0591845, -90.8033171 19.0581732)"
870591149,True,Alfredo V. Bonfil,secondary,False,111.086,"LINESTRING (-90.803427 19.0632177, -90.8023703 19.0632408)"
870593967,False,Miguel Hidalgo,residential,False,11.696,"LINESTRING (-90.803427 19.0632177, -90.8034315 19.0633228)"
870593967,False,Miguel Hidalgo,residential,True,110.184,"LINESTRING (-90.803427 19.0632177, -90.8034054 19.062227)"
