osmid,ref,name,highway,oneway,reversed,length,geometry
35927531,MEX 195,Carretera Parrilla - Huapinol,secondary,False,False,119.578,"LINESTRING (-92.9189699 17.910902, -92.9179928 17.9114424)"
1090308161,,,residential,False,False,16.156,"LINESTRING (-92.9189699 17.910902, -92.9190274 17.9110366)"
35927531,MEX 195,Carretera Parrilla - Huapinol,secondary,False,True,88.458,"LINESTRING (-92.9189699 17.910902, -92.9193922 17.910631, -92.9196466 17.910436)"
35927530,,Prolongacion Juan XXIII,tertiary,False,False,135.943,"LINESTRING (-92.9155847 17.9133894, -92.9143368 17.9136805)"
35927531,MEX 195,Carretera Parrilla - Huapinol,secondary,False,False,30.243,"LINESTRING (-92.9155847 17.9133894, -92.9155241 17.9136552)"
35927531,MEX 195,Carretera Parrilla - Huapinol,secondary,False,True,172.199,"LINESTRING (-92.9155847 17.9133894, -92.9157015 17.9130076, -92.9158474 17.9127463, -92.916019 17.9125584, -92.916328 17.9123379, -92.9165485 17.9122242)"
146950041,,Calle Juan XXIII,residential,False,True,212.37699999999998,"LINESTRING (-92.9155847 17.9133894, -92.9164879 17.9131266, -92.9168768 17.9130398, -92.9171611 17.9130194, -92.9175393 17.913022)"
415345767,,Privada Carlos Alberto Madrazo,residential,False,True,136.533,"LINESTRING (-92.9153974 17.9171762, -92.9166565 17.9169072)"
146950095,,Calle 4,residential,False,False,32.982,"LINESTRING (-92.9116369 17.9108086, -92.9115393 17.9105269)"
146950095,,Calle 4,residential,False,True,46.323,"LINESTRING (-92.9116369 17.9108086, -92.9117738 17.9112043)"
146950058,,Calle 2,residential,False,True,4.086,"LINESTRING (-92.9126256 17.9109664, -92.912643 17.9109992)"
415345801,,Calle 11,residential,False,False,46.958,"LINESTRING (-92.9126256 17.9109664, -92.9122009 17.911089)"
650730656,,Calle 2,residential,False,False,49.818,"LINESTRING (-92.9126256 17.9109664, -92.912466 17.9105449)"
650295983,,Cerrada Segunda Cerrada de Benito Juárez,residential,False,True,77.227,"LINESTRING (-92.9181064 17.9160455, -92.918071 17.9153518)"
650299186,,Calle Benito Juárez,residential,False,False,169.939,"LINESTRING (-92.9181064 17.9160455, -92.919712 17.9160044)"
650299186,,Calle Benito Juárez,residential,False,True,77.098,"LINESTRING (-92.9181064 17.9160455, -92.9173795 17.9160941)"
650299186,,Calle Benito Juárez,residential,False,True,169.939,"LINESTRING (-92.919712 17.9160044, -92.9181064 17.9160455)"
146950095,,Calle 4,residential,False,False,48.707,"LINESTRING (-92.9120623 17.9120355, -92.9119095 17.9116223)"
146950123,,Calle 3,residential,False,False,99.149,"LINESTRING (-92.9120623 17.9120355, -92.9111572 17.9122665)"
146950123,,Calle 3,residential,False,True,96.058,"LINESTRING (-92.9120623 17.9120355, -92.9129406 17.9118168)"
146950078,,Cerrada Coronel Gregorio Méndez Magaña,residential,False,True,99.138,"LINESTRING (-92.9190629 17.9167343, -92.9181259 17.9167314)"
902582220,,,residential,False,False,149.731,"LINESTRING (-92.9190629 17.9167343, -92.919095 17.9167143, -92.9191393 17.9166454, -92.9191178 17.9165076, -92.9190642 17.916431, -92.9180154 17.9164285)"
146950136,,Calle Carlos Alberto Madrazo,residential,False,False,50.846,"LINESTRING (-92.9174535 17.9148187, -92.9174404 17.9152758)"
415345776,,Privada Leandro León Arévalo,residential,False,False,57.748,"LINESTRING (-92.9174535 17.9148187, -92.9179993 17.9148181)"
415345776,,Privada Leandro León Arévalo,residential,False,True,233.44,"LINESTRING (-92.9174535 17.9148187, -92.9152492 17.9149092)"
