osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry
842863749,False,2,MEX 106,Calle Zempoala,primary,60,False,10.386,"LINESTRING (-99.2677362 19.0289019, -99.2678323 19.0289236)"
114576602,False,2,MEX 106,Calle Lázaro Cárdenas,primary,,True,75.771,"LINESTRING (-99.2677362 19.0289019, -99.2675418 19.0288942, -99.267287 19.0289018, -99.2670187 19.0289399)"
843189896,False,2,MOR,Avenida Cuernavaca,primary,,True,117.36500000000001,"LINESTRING (-99.2677362 19.0289019, -99.2677714 19.0284629, -99.2677939 19.0281817, -99.267808 19.0281373, -99.2678288 19.0280955, -99.2678516 19.0280657, -99.2678797 19.0280422, -99.2680444 19.027978)"
898024147,False,1,,Calle Morelos,residential,,False,59.042,"LINESTRING (-99.2680444 19.027978, -99.2686039 19.0280246)"
113603464,False,,,Calle Morelos,residential,,True,124.99199999999999,"LINESTRING (-99.2680444 19.027978, -99.2675686 19.0279586, -99.2673674 19.0279662, -99.2668632 19.0280473)"
843189896,False,2,MOR,Avenida Cuernavaca,primary,,False,117.365,"LINESTRING (-99.2680444 19.027978, -99.2678797 19.0280422, -99.2678516 19.0280657, -99.2678288 19.0280955, -99.267808 19.0281373, -99.2677939 19.0281817, -99.2677714 19.0284629, -99.2677362 19.0289019)"
843189896,False,2,MOR,Avenida Cuernavaca,primary,,True,60.179,"LINESTRING (-99.2680444 19.027978, -99.2681211 19.0279231, -99.2681667 19.0278774, -99.2681835 19.0278419, -99.2681909 19.0278039, -99.2682096 19.0274945)"
785195536,False,,,,residential,,False,63.462,"LINESTRING (-99.2672923 19.0267896, -99.2672896 19.0265817, -99.2672789 19.0265437, -99.2672306 19.0264727, -99.2670643 19.0262926)"
843189895,False,,,Calle Aldama,residential,,False,90.089,"LINESTRING (-99.2672923 19.0267896, -99.267751 19.0267719, -99.2681453 19.0267212)"
843189895,False,,,Calle Aldama,residential,,True,91.779,"LINESTRING (-99.2672923 19.0267896, -99.2669544 19.0267719, -99.2664233 19.0267136)"
"[785190666, 113603486]",False,,,Calle Hidalgo,residential,,False,126.55399999999999,"LINESTRING (-99.2668148 19.032495, -99.2666808 19.0324491, -99.2666405 19.0324238, -99.2666137 19.0323832, -99.2663924 19.031923, -99.266367 19.0319141, -99.2663509 19.0319129, -99.2660263 19.0320003, -99.2659794 19.0319991)"
842858577,False,,,Calle Matamoros,residential,,True,52.516000000000005,"LINESTRING (-99.2668148 19.032495, -99.2668766 19.0323173, -99.266898 19.0321728, -99.2668897 19.0320337)"
113603487,False,,,Calle Matamoros,residential,,False,96.403,"LINESTRING (-99.2664233 19.0267136, -99.2663938 19.0261227, -99.266375 19.0260492, -99.2662892 19.0258666)"
113603487,False,,,Calle Matamoros,residential,,True,91.56,"LINESTRING (-99.2664233 19.0267136, -99.2664689 19.0268454, -99.2666674 19.0271294, -99.2666808 19.0271903, -99.2666593 19.0274717)"
843189895,False,,,Calle Aldama,residential,,False,91.779,"LINESTRING (-99.2664233 19.0267136, -99.2669544 19.0267719, -99.2672923 19.0267896)"
843189895,False,,,Calle Aldama,residential,,True,137.499,"LINESTRING (-99.2664233 19.0267136, -99.2661497 19.0267338, -99.2653718 19.0268555, -99.2651267 19.0268535)"
842863749,False,2,MEX 106,Calle Zempoala,primary,60,True,10.386,"LINESTRING (-99.2678323 19.0289236, -99.2677362 19.0289019)"
113603471,False,,,Calle Cuauhtémoc,residential,,True,58.86,"LINESTRING (-99.2678323 19.0289236, -99.268003 19.0289299, -99.2683892 19.0289748)"
842863749,False,2,MEX 106,Calle Zempoala,primary,60,False,58.484,"LINESTRING (-99.2678323 19.0289236, -99.2680782 19.0290565, -99.2681721 19.0291478, -99.2682351 19.0292643)"
843189895,False,,,Calle Aldama,residential,,True,90.089,"LINESTRING (-99.2681453 19.0267212, -99.267751 19.0267719, -99.2672923 19.0267896)"
843189896,False,2,MOR,Avenida Cuernavaca,primary,,False,87.72699999999999,"LINESTRING (-99.2681453 19.0267212, -99.2681855 19.0267719, -99.2682002 19.0268093, -99.268207 19.026853, -99.2682096 19.0274945)"
