osmid,oneway,name,highway,reversed,length,geometry
625875392,True,Boulevard Hércules,residential,False,23.069,"LINESTRING (-103.7960402 28.0427602, -103.79582 28.0426876)"
784792580,False,Carretera a Hércules,secondary,True,69.36,"LINESTRING (-103.7960402 28.0427602, -103.7967347 28.0428758)"
642507243,False,Calle Zeus,residential,False,17.063,"LINESTRING (-103.7898921 28.0442391, -103.7899449 28.0443853)"
642507243,False,Calle Zeus,residential,True,70.199,"LINESTRING (-103.7898921 28.0442391, -103.7896655 28.0436403)"
"[625875392, 625875394]",True,Boulevard Hércules,residential,False,126.971,"LINESTRING (-103.7898921 28.0442391, -103.7894076 28.0443727, -103.7893444 28.0443796, -103.7893034 28.044367, -103.7892748 28.0443374, -103.7892522 28.0443001, -103.7890715 28.0438071)"
642201616,False,Calle Atenas,residential,False,19.161,"LINESTRING (-103.7872493 28.0407247, -103.7870747 28.0408018)"
642201616,False,Calle Atenas,residential,True,19.354,"LINESTRING (-103.7872493 28.0407247, -103.7874086 28.0406221)"
625875391,True,Boulevard Hércules,residential,False,77.90100000000001,"LINESTRING (-103.7872493 28.0407247, -103.7875307 28.0408701, -103.7877343 28.0409938, -103.7878448 28.0410767, -103.7878943 28.041127)"
642201620,False,,residential,False,37.948,"LINESTRING (-103.7880684 28.0411145, -103.7879818 28.0407819)"
625875394,True,Boulevard Hércules,residential,False,86.204,"LINESTRING (-103.7880684 28.0411145, -103.7879357 28.0409417, -103.7877814 28.0408222, -103.7876031 28.0407192, -103.7874086 28.0406221)"
642201616,False,Calle Atenas,residential,False,19.354,"LINESTRING (-103.7874086 28.0406221, -103.7872493 28.0407247)"
761829910,False,Calle Apolo,residential,True,49.843999999999994,"LINESTRING (-103.7874086 28.0406221, -103.7874784 28.0405724, -103.7875605 28.0405317, -103.7878597 28.0404219)"
625875392,True,Boulevard Hércules,residential,False,91.558,"LINESTRING (-103.7916631 28.0437358, -103.7907746 28.0439869)"
641531564,False,Avenida del Olimpo,residential,False,17.3,"LINESTRING (-103.7916631 28.0437358, -103.7917078 28.0438863)"
641531564,False,Avenida del Olimpo,residential,True,67.766,"LINESTRING (-103.7916631 28.0437358, -103.7914623 28.0431527)"
641531564,False,Avenida del Olimpo,residential,False,95.467,"LINESTRING (-103.7907815 28.0412353, -103.7910801 28.0420524)"
641899225,False,Calle Ulises,residential,False,40.755,"LINESTRING (-103.7907815 28.0412353, -103.7903857 28.0413462)"
641899225,False,Calle Ulises,residential,True,24.861,"LINESTRING (-103.7907815 28.0412353, -103.7910205 28.0411612)"
641531564,False,Avenida del Olimpo,residential,False,41.555,"LINESTRING (-103.7923261 28.045588, -103.7924628 28.0459417)"
641531564,False,Avenida del Olimpo,residential,True,67.27,"LINESTRING (-103.7923261 28.045588, -103.7921208 28.0450108)"
739033150,False,Calle Cronos,residential,True,96.12,"LINESTRING (-103.7923261 28.045588, -103.7932532 28.0453092)"
"[642507242, 739033150]",False,"['Calle Cronos', 'Calle Júpiter']",residential,"[False, True]",153.454,"LINESTRING (-103.7923261 28.045588, -103.7915835 28.0458053, -103.79151 28.0458125, -103.7914811 28.045808, -103.7914609 28.0457996, -103.7914309 28.045774, -103.7914161 28.0457413, -103.7912354 28.0452604)"
625875393,True,Boulevard Hércules,residential,False,214.723,"LINESTRING (-103.7917078 28.0438863, -103.7937923 28.0432996)"
641531564,False,Avenida del Olimpo,residential,False,64.839,"LINESTRING (-103.7917078 28.0438863, -103.7919115 28.044441)"
641531564,False,Avenida del Olimpo,residential,True,17.3,"LINESTRING (-103.7917078 28.0438863, -103.7916631 28.0437358)"
641531566,False,Calle Poseidón,residential,False,92.138,"LINESTRING (-103.7940352 28.0412199, -103.7931392 28.0414673)"
642514548,False,Calle Aquiles,residential,False,48.1,"LINESTRING (-103.7940352 28.0412199, -103.7938827 28.0408088)"
642514548,False,Calle Aquiles,residential,True,65.601,"LINESTRING (-103.7940352 28.0412199, -103.7942313 28.0417839)"
761829912,False,Prolongación Poseidón,residential,True,119.29,"LINESTRING (-103.7940352 28.0412199, -103.7951957 28.0409009)"
625875391,True,Boulevard Hércules,residential,False,60.342,"LINESTRING (-103.7885538 28.0427651, -103.7887483 28.0432799)"
766092745,False,Calle Poseidón,residential,False,82.297,"LINESTRING (-103.7885538 28.0427651, -103.7877523 28.0429827)"
766092745,False,Calle Poseidón,residential,True,13.116,"LINESTRING (-103.7885538 28.0427651, -103.7886811 28.0427292)"
625875394,True,Boulevard Hércules,residential,False,94.714,"LINESTRING (-103.7886811 28.0427292, -103.7883864 28.0419181)"
641531566,False,Calle Poseidón,residential,True,61.224,"LINESTRING (-103.7886811 28.0427292, -103.7892753 28.0425615)"
766092745,False,Calle Poseidón,residential,False,13.116,"LINESTRING (-103.7886811 28.0427292, -103.7885538 28.0427651)"
641531564,False,Avenida del Olimpo,residential,False,63.629,"LINESTRING (-103.7910801 28.0420524, -103.7912716 28.0425991)"
641531564,False,Avenida del Olimpo,residential,True,95.467,"LINESTRING (-103.7910801 28.0420524, -103.7907815 28.0412353)"
641531566,False,Calle Poseidón,residential,False,93.294,"LINESTRING (-103.7910801 28.0420524, -103.7901746 28.0423078)"
641531566,False,Calle Poseidón,residential,True,122.175,"LINESTRING (-103.7910801 28.0420524, -103.7922659 28.0417179)"
625875391,True,Boulevard Hércules,residential,False,63.788,"LINESTRING (-103.7883569 28.0422184, -103.7885538 28.0427651)"
641825032,False,Calle Artemisa,residential,False,119.057,"LINESTRING (-103.7883569 28.0422184, -103.7872032 28.0425494)"
