osmid,oneway,name,highway,reversed,length,lanes,maxspeed,bridge,geometry,junction
738973263,True,Carretera Punta de Mita,secondary,False,18.97,,,,"LINESTRING (-105.3870287 20.7499281, -105.386984 20.7500935)",
919072714,False,Carretera Punta de Mita,secondary,False,12.908,,,,"LINESTRING (-105.3870287 20.7499281, -105.3870464 20.7498132)",
1058655596,False,Avenida de la Langosta,residential,False,7.473,,,,"LINESTRING (-105.38442 20.7517427, -105.384375 20.7516903)",
1058655596,False,Avenida de la Langosta,residential,True,6.876,,,,"LINESTRING (-105.38442 20.7517427, -105.3844602 20.7517918)",
"[738973258, 1248889140, 1248889141]",True,Carretera a Punta de Mita,trunk,False,214.092,2,80,yes,"LINESTRING (-105.38442 20.7517427, -105.3845645 20.7516609, -105.3847212 20.7515907, -105.3855537 20.7512576, -105.385966 20.7510867, -105.3862977 20.7509564)",
245255137,True,Avenida de la Langosta,residential,False,101.905,,,,"LINESTRING (-105.383633 20.751013, -105.3837182 20.7510781, -105.3841122 20.7514598, -105.3842543 20.7516035, -105.3843389 20.7516405)",
389369289,True,,residential,False,9.745999999999999,,,,"LINESTRING (-105.383633 20.751013, -105.3836746 20.7509929, -105.3837037 20.7509585)",roundabout
389369289,True,,residential,False,13.524999999999999,,,,"LINESTRING (-105.3835365 20.7508292, -105.3835076 20.7508595, -105.3834933 20.7508978, -105.3834957 20.7509382)",roundabout
757744893,False,Avenida de la Langosta,residential,False,98.167,,,,"LINESTRING (-105.3835365 20.7508292, -105.3832518 20.7505485, -105.383056 20.7503368, -105.3828895 20.750187)",
245255139,False,Calle Sierra,residential,False,93.276,,,,"LINESTRING (-105.3828895 20.750187, -105.382696 20.7505002, -105.3824405 20.7509132)",
245255139,False,Calle Sierra,residential,True,96.579,,,,"LINESTRING (-105.3828895 20.750187, -105.3832005 20.7496354, -105.3833454 20.7494313)",
757744893,False,Avenida de la Langosta,residential,False,95.3,,,,"LINESTRING (-105.3828895 20.750187, -105.3826403 20.7499179, -105.3822666 20.7495588)",
757744893,False,Avenida de la Langosta,residential,True,98.167,,,,"LINESTRING (-105.3828895 20.750187, -105.383056 20.7503368, -105.3832518 20.7505485, -105.3835365 20.7508292)",
245393963,False,Calle Tiburón,residential,True,90.006,,,,"LINESTRING (-105.3819723 20.7492637, -105.3815331 20.7499612)",
245393963,False,Calle Tiburón,residential,False,105.649,,,,"LINESTRING (-105.3819723 20.7492637, -105.3819749 20.7490936, -105.3820084 20.7489808, -105.3822605 20.7483612)",
757744893,False,Avenida de la Langosta,residential,True,44.905,,,,"LINESTRING (-105.3819723 20.7492637, -105.3821358 20.7494159, -105.3822666 20.7495588)",
377261200,False,Calle Camarón,residential,False,90.543,,,,"LINESTRING (-105.3818267 20.7503036, -105.3814 20.7510134)",
377261200,False,Calle Camarón,residential,True,94.611,,,,"LINESTRING (-105.3818267 20.7503036, -105.3822666 20.7495588)",
917693805,False,Calle Delfín,residential,False,48.802,,,,"LINESTRING (-105.3818267 20.7503036, -105.3815331 20.7499612)",
917693805,False,Calle Delfín,residential,True,93.104,,,,"LINESTRING (-105.3818267 20.7503036, -105.3824405 20.7509132)",
377261200,False,Calle Camarón,residential,False,94.611,,,,"LINESTRING (-105.3822666 20.7495588, -105.3818267 20.7503036)",
377261200,False,Calle Camarón,residential,True,95.23400000000001,,,,"LINESTRING (-105.3822666 20.7495588, -105.3825503 20.7490878, -105.3827165 20.7488128)",
757744893,False,Avenida de la Langosta,residential,False,44.905,,,,"LINESTRING (-105.3822666 20.7495588, -105.3821358 20.7494159, -105.3819723 20.7492637)",
757744893,False,Avenida de la Langosta,residential,True,95.3,,,,"LINESTRING (-105.3822666 20.7495588, -105.3826403 20.7499179, -105.3828895 20.750187)",
245393966,False,Calle Pescador,residential,False,92.529,,,,"LINESTRING (-105.3835117 20.7475183, -105.3828402 20.7469723)",
245393966,False,Calle Pescador,residential,True,96.131,,,,"LINESTRING (-105.3835117 20.7475183, -105.3839972 20.7479034, -105.3842068 20.7480879)",
377261200,False,Calle Camarón,residential,False,70.122,,,,"LINESTRING (-105.3835117 20.7475183, -105.3832816 20.7478687, -105.3831646 20.7480589)",
245393966,False,Calle Pescador,residential,True,94.938,,,,"LINESTRING (-105.3842068 20.7480879, -105.3849006 20.7486429)",
245255139,False,Calle Sierra,residential,False,79.682,,,,"LINESTRING (-105.3842068 20.7480879, -105.3839965 20.7484108, -105.383811 20.7487015)",
245393966,False,Calle Pescador,residential,False,96.131,,,,"LINESTRING (-105.3842068 20.7480879, -105.3839972 20.7479034, -105.3835117 20.7475183)",
245393965,False,Calle Guachinango,residential,False,98.1,,,,"LINESTRING (-105.383811 20.7487015, -105.3831646 20.7480589)",
245393965,False,Calle Guachinango,residential,True,97.867,,,,"LINESTRING (-105.383811 20.7487015, -105.3844493 20.7493483)",
245255139,False,Calle Sierra,residential,False,94.515,,,,"LINESTRING (-105.383811 20.7487015, -105.3835048 20.7491654, -105.3833454 20.7494313)",
245255139,False,Calle Sierra,residential,True,79.682,,,,"LINESTRING (-105.383811 20.7487015, -105.3839965 20.7484108, -105.3842068 20.7480879)",
245255139,False,Calle Sierra,residential,False,94.251,,,,"LINESTRING (-105.3820076 20.7516431, -105.3815554 20.7523777)",
245255141,False,Calle Pez Vela,residential,False,94.31,,,,"LINESTRING (-105.3820076 20.7516431, -105.3814 20.7510134)",
245255141,False,Calle Pez Vela,residential,True,92.036,,,,"LINESTRING (-105.3820076 20.7516431, -105.3825874 20.7522685)",
245255139,False,Calle Sierra,residential,True,92.84799999999998,,,,"LINESTRING (-105.3820076 20.7516431, -105.382171 20.7513433, -105.3823319 20.7510825, -105.3824405 20.7509132)",
245255139,False,Calle Sierra,residential,False,93.7,,,,"LINESTRING (-105.3815554 20.7523777, -105.381112 20.7531113)",
245255139,False,Calle Sierra,residential,True,94.251,,,,"LINESTRING (-105.3815554 20.7523777, -105.3820076 20.7516431)",
245255143,False,Calle Dorado,residential,False,93.185,,,,"LINESTRING (-105.3815554 20.7523777, -105.3809441 20.7517649)",
245255143,False,Calle Dorado,residential,True,88.871,,,,"LINESTRING (-105.3815554 20.7523777, -105.3821366 20.7529637)",
245255139,False,Calle Sierra,residential,False,108.281,,,,"LINESTRING (-105.381112 20.7531113, -105.3805608 20.7539375)",
245255139,False,Calle Sierra,residential,True,93.7,,,,"LINESTRING (-105.381112 20.7531113, -105.3815554 20.7523777)",
245255140,False,Calle Pámpano,residential,False,92.463,,,,"LINESTRING (-105.381112 20.7531113, -105.3805394 20.7524751)",
245255140,False,Calle Pámpano,residential,True,90.42,,,,"LINESTRING (-105.381112 20.7531113, -105.3816576 20.7537445)",
245255140,False,Calle Pámpano,residential,False,43.911,,,,"LINESTRING (-105.379983 20.7517926, -105.3797007 20.7514989)",
245255140,False,Calle Pámpano,residential,True,95.428,,,,"LINESTRING (-105.379983 20.7517926, -105.3805394 20.7524751)",
245393963,False,Calle Tiburón,residential,True,60.536,,,,"LINESTRING (-105.379983 20.7517926, -105.3796972 20.7522669)",
245393963,False,Calle Tiburón,residential,False,87.826,,,,"LINESTRING (-105.379983 20.7517926, -105.3800919 20.7515872, -105.3801955 20.7513784, -105.380276 20.7512229, -105.3803216 20.7511352, -105.3803471 20.75108)",
245255141,False,Calle Pez Vela,residential,False,92.036,,,,"LINESTRING (-105.3825874 20.7522685, -105.3820076 20.7516431)",
245255144,False,Calle Coral,residential,False,95.008,,,,"LINESTRING (-105.3825874 20.7522685, -105.3830551 20.7515345)",
245255144,False,Calle Coral,residential,True,90.404,,,,"LINESTRING (-105.3825874 20.7522685, -105.3821366 20.7529637)",
245255141,False,Calle Pez Vela,residential,True,95.05199999999999,,,,"LINESTRING (-105.3825874 20.7522685, -105.3831069 20.752764, -105.3832382 20.752868)",
245255141,False,Calle Pez Vela,residential,True,94.31,,,,"LINESTRING (-105.3814 20.7510134, -105.3820076 20.7516431)",
377261200,False,Calle Camarón,residential,False,96.073,,,,"LINESTRING (-105.3814 20.7510134, -105.3809441 20.7517649)",
377261200,False,Calle Camarón,residential,True,90.543,,,,"LINESTRING (-105.3814 20.7510134, -105.3818267 20.7503036)",
245255142,False,Delfin,residential,True,6.395,,,,"LINESTRING (-105.3838348 20.7522706, -105.3838818 20.7523077)",
1248889140,True,Carretera a Punta de Mita,trunk,False,84.997,2,80,,"LINESTRING (-105.3838348 20.7522706, -105.3839573 20.7521244, -105.3841869 20.7519057, -105.38442 20.7517427)",
245255144,False,Calle Coral,residential,True,95.008,,,,"LINESTRING (-105.3830551 20.7515345, -105.3825874 20.7522685)",
917693805,False,Calle Delfín,residential,False,94.111,,,,"LINESTRING (-105.3830551 20.7515345, -105.3824405 20.7509132)",
245255144,False,Calle Coral,residential,False,82.25399999999999,,,,"LINESTRING (-105.3830551 20.7515345, -105.3833718 20.7510217, -105.3834303 20.7509596, -105.3834957 20.7509382)",
917693805,False,Calle Delfín,residential,True,101.64,,,,"LINESTRING (-105.3830551 20.7515345, -105.383621 20.752122, -105.3837095 20.7522135)",
917693805,False,Calle Delfín,residential,False,93.104,,,,"LINESTRING (-105.3824405 20.7509132, -105.3818267 20.7503036)",
917693805,False,Calle Delfín,residential,True,94.111,,,,"LINESTRING (-105.3824405 20.7509132, -105.3830551 20.7515345)",
245255139,False,Calle Sierra,residential,False,92.848,,,,"LINESTRING (-105.3824405 20.7509132, -105.3823319 20.7510825, -105.382171 20.7513433, -105.3820076 20.7516431)",
245255139,False,Calle Sierra,residential,True,93.276,,,,"LINESTRING (-105.3824405 20.7509132, -105.382696 20.7505002, -105.3828895 20.750187)",
245255143,False,Calle Dorado,residential,False,88.871,,,,"LINESTRING (-105.3821366 20.7529637, -105.3815554 20.7523777)",
245255144,False,Calle Coral,residential,False,90.404,,,,"LINESTRING (-105.3821366 20.7529637, -105.3825874 20.7522685)",
245255144,False,Calle Coral,residential,True,100.093,,,,"LINESTRING (-105.3821366 20.7529637, -105.3816576 20.7537445)",
"[917262448, 245255143]",False,"['Calle Dorado', 'Calle Turel']",residential,"[False, True]",169.718,,,,"LINESTRING (-105.3821366 20.7529637, -105.3825411 20.7531693, -105.3825748 20.7532325, -105.3825599 20.7532997, -105.3819094 20.7540379)",
245255143,False,Calle Dorado,residential,True,93.185,,,,"LINESTRING (-105.3809441 20.7517649, -105.3815554 20.7523777)",
377261200,False,Calle Camarón,residential,False,89.483,,,,"LINESTRING (-105.3809441 20.7517649, -105.3805394 20.7524751)",
377261200,False,Calle Camarón,residential,True,96.073,,,,"LINESTRING (-105.3809441 20.7517649, -105.3814 20.7510134)",
245255143,False,Calle Dorado,residential,False,98.299,,,,"LINESTRING (-105.3809441 20.7517649, -105.3808252 20.7516166, -105.3806986 20.7514669, -105.3805663 20.751318, -105.3804083 20.7511403, -105.3803471 20.75108)",
245255140,False,Calle Pámpano,residential,False,95.428,,,,"LINESTRING (-105.3805394 20.7524751, -105.379983 20.7517926)",
245255140,False,Calle Pámpano,residential,True,92.463,,,,"LINESTRING (-105.3805394 20.7524751, -105.381112 20.7531113)",
377261200,False,Calle Camarón,residential,False,79.4,,,,"LINESTRING (-105.3805394 20.7524751, -105.3801289 20.7530772)",
377261200,False,Calle Camarón,residential,True,89.483,,,,"LINESTRING (-105.3805394 20.7524751, -105.3809441 20.7517649)",
245255140,False,Calle Pámpano,residential,False,90.42,,,,"LINESTRING (-105.3816576 20.7537445, -105.381112 20.7531113)",
245255140,False,Calle Pámpano,residential,True,41.831,,,,"LINESTRING (-105.3816576 20.7537445, -105.3819094 20.7540379)",
245255144,False,Calle Coral,residential,False,100.093,,,,"LINESTRING (-105.3816576 20.7537445, -105.3821366 20.7529637)",
245255144,False,Calle Coral,residential,True,89.704,,,,"LINESTRING (-105.3816576 20.7537445, -105.3811973 20.7544268)",
245393964,False,Calle Marlín,residential,False,98.315,,,,"LINESTRING (-105.3839963 20.7500726, -105.3833454 20.7494313)",
245393964,False,Calle Marlín,residential,True,95.868,,,,"LINESTRING (-105.3839963 20.7500726, -105.3846234 20.7507046)",
389369290,False,Calle Coral,residential,False,93.302,,,,"LINESTRING (-105.3839963 20.7500726, -105.3844493 20.7493483)",
389369290,False,Calle Coral,residential,True,95.38499999999999,,,,"LINESTRING (-105.3839963 20.7500726, -105.3838458 20.7502954, -105.3835949 20.750675, -105.3835644 20.750735, -105.3835601 20.7508165)",
245393964,False,Calle Marlín,residential,False,94.902,,,,"LINESTRING (-105.3833454 20.7494313, -105.3827165 20.7488128)",
245393964,False,Calle Marlín,residential,True,98.315,,,,"LINESTRING (-105.3833454 20.7494313, -105.3839963 20.7500726)",
245255139,False,Calle Sierra,residential,False,96.579,,,,"LINESTRING (-105.3833454 20.7494313, -105.3832005 20.7496354, -105.3828895 20.750187)",
245255139,False,Calle Sierra,residential,True,94.515,,,,"LINESTRING (-105.3833454 20.7494313, -105.3835048 20.7491654, -105.383811 20.7487015)",
245393964,False,Calle Marlín,residential,True,94.902,,,,"LINESTRING (-105.3827165 20.7488128, -105.3833454 20.7494313)",
245393964,False,Calle Marlín,residential,False,69.065,,,,"LINESTRING (-105.3827165 20.7488128, -105.3826467 20.748745, -105.3822605 20.7483612)",
377261200,False,Calle Camarón,residential,False,95.23400000000001,,,,"LINESTRING (-105.3827165 20.7488128, -105.3825503 20.7490878, -105.3822666 20.7495588)",
377261200,False,Calle Camarón,residential,True,95.96799999999999,,,,"LINESTRING (-105.3827165 20.7488128, -105.3828537 20.7485805, -105.3830591 20.7482123, -105.3831646 20.7480589)",
245255147,False,Calle Róbalo,residential,False,101.624,,,,"LINESTRING (-105.3850879 20.7499979, -105.3856076 20.7492239)",
245255147,False,Calle Róbalo,residential,True,92.238,,,,"LINESTRING (-105.3850879 20.7499979, -105.3846234 20.7507046)",
245393965,False,Calle Guachinango,residential,False,98.117,,,,"LINESTRING (-105.3850879 20.7499979, -105.3844493 20.7493483)",
"[245393965, 1058657983]",False,Calle Guachinango,residential,True,134.76500000000001,,,,"LINESTRING (-105.3850879 20.7499979, -105.3854342 20.7503389, -105.3855617 20.7504631, -105.3855831 20.7505132, -105.3855776 20.7507021, -105.3855483 20.7509289, -105.3855443 20.751027)",
245255147,False,Calle Róbalo,residential,True,101.624,,,,"LINESTRING (-105.3856076 20.7492239, -105.3850879 20.7499979)",
245393966,False,Calle Pescador,residential,False,97.869,,,,"LINESTRING (-105.3856076 20.7492239, -105.3849006 20.7486429)",
245393966,False,Calle Pescador,residential,True,44.13,,,,"LINESTRING (-105.3856076 20.7492239, -105.385906 20.7495061)",
245393965,False,Calle Guachinango,residential,False,97.867,,,,"LINESTRING (-105.3844493 20.7493483, -105.383811 20.7487015)",
245393965,False,Calle Guachinango,residential,True,98.117,,,,"LINESTRING (-105.3844493 20.7493483, -105.3850879 20.7499979)",
389369290,False,Calle Coral,residential,False,91.403,,,,"LINESTRING (-105.3844493 20.7493483, -105.3849006 20.7486429)",
389369290,False,Calle Coral,residential,True,93.302,,,,"LINESTRING (-105.3844493 20.7493483, -105.3839963 20.7500726)",
245393966,False,Calle Pescador,residential,False,94.938,,,,"LINESTRING (-105.3849006 20.7486429, -105.3842068 20.7480879)",
