osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,bridge
426238954,Calle Mariano Jiménez,residential,False,True,61.62,,,"LINESTRING (-102.3399203 22.1737958, -102.3401212 22.1732738)",,
906457382,Carretera Pabellon de Hidalgo,tertiary,False,False,127.974,AGS 20,60,"LINESTRING (-102.3399203 22.1737958, -102.3410508 22.1742739)",,
1051091544,Calle Mariano Jiménez,secondary,False,False,101.773,AGS 54,20,"LINESTRING (-102.3399203 22.1737958, -102.3395187 22.1746321)",,
1051105536,Carretera Pabellon de Hidalgo,secondary,False,True,129.039,AGS 20,60,"LINESTRING (-102.3399203 22.1737958, -102.3387686 22.1733384)",,
906457382,Carretera Pabellon de Hidalgo,tertiary,False,False,46.027,AGS 20,60,"LINESTRING (-102.3410508 22.1742739, -102.3414584 22.1744438)",,
906457382,Carretera Pabellon de Hidalgo,tertiary,False,True,127.974,AGS 20,60,"LINESTRING (-102.3410508 22.1742739, -102.3399203 22.1737958)",,
949526974,Calle Ignacio Allende,tertiary,False,True,75.617,,,"LINESTRING (-102.3410508 22.1742739, -102.340777 22.1749049)",,
302353411,Calle 27 de Septiembre,residential,False,False,130.379,,20,"LINESTRING (-102.3391123 22.175497, -102.3379387 22.1750569)",,
302353412,Calle 27 de Septiembre,secondary,False,False,19.841,AGS 54,20,"LINESTRING (-102.3391123 22.175497, -102.33929 22.175566)",,
1051091544,Calle Mariano Jiménez,secondary,False,True,104.883,AGS 54,20,"LINESTRING (-102.3391123 22.175497, -102.3395187 22.1746321)",,
302353411,Calle 27 de Septiembre,residential,False,True,66.888,,20,"LINESTRING (-102.3373351 22.1748346, -102.3379387 22.1750569)",,
302353412,Calle 27 de Septiembre,secondary,False,True,36.432,AGS 54,20,"LINESTRING (-102.3396113 22.1757032, -102.33929 22.175566)",,
426238929,Calle Ignacio Aldama,residential,False,False,102.963,,,"LINESTRING (-102.3396113 22.1757032, -102.3400082 22.1748533)",,
302353413,Calle 27 de Septiembre,residential,False,False,75.982,,20,"LINESTRING (-102.3396113 22.1757032, -102.3399706 22.1758447, -102.3402858 22.1759801)",,
426238924,Calle Ignacio Allende,tertiary,True,False,73.231,,,"LINESTRING (-102.3402858 22.1759801, -102.340572 22.1753772)",,
302353413,Calle 27 de Septiembre,residential,False,True,75.982,,20,"LINESTRING (-102.3402858 22.1759801, -102.3399706 22.1758447, -102.3396113 22.1757032)",,
302353412,Calle 27 de Septiembre,secondary,False,False,36.432,AGS 54,20,"LINESTRING (-102.33929 22.175566, -102.3396113 22.1757032)",,
302353412,Calle 27 de Septiembre,secondary,False,True,19.841,AGS 54,20,"LINESTRING (-102.33929 22.175566, -102.3391123 22.175497)",,
302353480,Calle Ignacio Pérez,secondary,True,False,127.301,AGS 54,20,"LINESTRING (-102.33929 22.175566, -102.3388066 22.1766197)",1,
302353480,Calle Ignacio Pérez,secondary,True,False,120.125,AGS 54,20,"LINESTRING (-102.3388066 22.1766197, -102.3383881 22.1776281)",1,
426238933,Calle José María Chico,residential,False,False,37.125,,,"LINESTRING (-102.3388066 22.1766197, -102.3391391 22.1767488)",,
426238926,Calle Galeana,residential,False,False,150.12,,,"LINESTRING (-102.3383881 22.1776281, -102.3370666 22.1770579)",,
426238926,Calle Galeana,residential,False,True,35.982,,,"LINESTRING (-102.3383881 22.1776281, -102.3387073 22.1777598)",,
302353480,Calle Ignacio Pérez,secondary,True,False,160.176,AGS 54,20,"LINESTRING (-102.3383881 22.1776281, -102.337959 22.178572, -102.3379549 22.178591, -102.3379539 22.1786062, -102.3379563 22.1786239, -102.337959 22.1786382, -102.3379615 22.1786468, -102.3379643 22.1786538, -102.3379692 22.1786606, -102.3379751 22.1786663, -102.3380609 22.1787309, -102.3382326 22.178875)",1,
302353517,Calle Venustiano Carranza,secondary,False,False,54.223,AGS 54,60,"LINESTRING (-102.3382326 22.178875, -102.3386599 22.17916)",,
302353481,Calle Ignacio Aldama,secondary,True,False,133.293,AGS 54,20,"LINESTRING (-102.3382326 22.178875, -102.3382621 22.1788078, -102.3383345 22.1786303, -102.3387073 22.1777598)",1,
1051078593,Calle Venustiano Carranza,residential,False,False,66.8,,,"LINESTRING (-102.3382326 22.178875, -102.3381564 22.178876, -102.3381132 22.1788711, -102.3380774 22.1788598, -102.3378239 22.1787096, -102.3377846 22.1786922, -102.3377256 22.1786798, -102.3376401 22.1786698)",,
302353481,Calle Ignacio Aldama,secondary,True,False,120.891,AGS 54,20,"LINESTRING (-102.3387073 22.1777598, -102.3391391 22.1767488)",1,
426238926,Calle Galeana,residential,False,False,35.982,,,"LINESTRING (-102.3387073 22.1777598, -102.3383881 22.1776281)",,
426238926,Calle Galeana,residential,False,True,61.712,,,"LINESTRING (-102.3387073 22.1777598, -102.339261 22.1779722)",,
302353481,Calle Ignacio Aldama,secondary,True,False,126.023,AGS 54,20,"LINESTRING (-102.3391391 22.1767488, -102.3396113 22.1757032)",1,
426238933,Calle José María Chico,residential,False,False,70.034,,,"LINESTRING (-102.3391391 22.1767488, -102.3397548 22.1770164)",,
426238933,Calle José María Chico,residential,False,True,37.125,,,"LINESTRING (-102.3391391 22.1767488, -102.3388066 22.1766197)",,
302353517,Calle Venustiano Carranza,secondary,False,False,26.161,AGS 54,60,"LINESTRING (-102.339005 22.1793467, -102.339115 22.1793816, -102.3391874 22.1794026, -102.3392468 22.1794188)",,
302353517,Calle Venustiano Carranza,secondary,False,True,41.368,AGS 54,60,"LINESTRING (-102.339005 22.1793467, -102.3389165 22.1793132, -102.3388297 22.1792724, -102.338761 22.1792301, -102.3386599 22.17916)",,
1051078588,Calle Venustiano Carranza,residential,False,True,79.95400000000001,,,"LINESTRING (-102.339005 22.1793467, -102.3386697 22.1798323, -102.3385893 22.179954)",,
426238943,Calle Miguel Ramos Arizpe,residential,False,True,60.532,,,"LINESTRING (-102.3396944 22.1802658, -102.3402254 22.1800322)",,
1051078595,Carretera Rincón de Romos-Pabellón de Hidalgo,secondary,False,False,74.18799999999999,AGS 54,60,"LINESTRING (-102.3396944 22.1802658, -102.3398003 22.1805898, -102.3399129 22.1809015)",,
1051078595,Carretera Rincón de Romos-Pabellón de Hidalgo,secondary,False,True,69.732,AGS 54,60,"LINESTRING (-102.3396944 22.1802658, -102.3395885 22.1799293, -102.3395401 22.1797729, -102.3395013 22.1796648)",,
426238935,Calle Ingeniero Enrique Zúñiga,residential,False,False,22.514999999999997,,,"LINESTRING (-102.3395013 22.1796648, -102.3396555 22.1796013, -102.3396816 22.1795895, -102.3396974 22.1795769)",,
"[1051078594, 302353517, 302354530]","['Calle Venustiano Carranza', 'Carretera Rincón de Romos-Pabellón de Hidalgo']",secondary,False,True,38.599999999999994,AGS 54,60,"LINESTRING (-102.3395013 22.1796648, -102.3394845 22.1796355, -102.3394094 22.1795369, -102.3392806 22.1794307, -102.3392675 22.1794246, -102.3392468 22.1794188)",,yes
1051078595,Carretera Rincón de Romos-Pabellón de Hidalgo,secondary,False,False,69.732,AGS 54,60,"LINESTRING (-102.3395013 22.1796648, -102.3395401 22.1797729, -102.3395885 22.1799293, -102.3396944 22.1802658)",,
426238942,Calle Francisco Zarco,residential,False,True,69.247,,,"LINESTRING (-102.3399129 22.1809015, -102.3405218 22.1806371)",,
1051078595,Carretera Rincón de Romos-Pabellón de Hidalgo,secondary,False,False,77.33500000000001,AGS 54,60,"LINESTRING (-102.3399129 22.1809015, -102.3401208 22.1814357, -102.3401718 22.1815543)",,
1051078595,Carretera Rincón de Romos-Pabellón de Hidalgo,secondary,False,True,74.18799999999999,AGS 54,60,"LINESTRING (-102.3399129 22.1809015, -102.3398003 22.1805898, -102.3396944 22.1802658)",,
302353517,Calle Venustiano Carranza,secondary,False,True,54.223,AGS 54,60,"LINESTRING (-102.3386599 22.17916, -102.3382326 22.178875)",,
426238924,Calle Ignacio Allende,tertiary,True,False,145.861,,,"LINESTRING (-102.3386599 22.17916, -102.339261 22.1779722)",,
302353517,Calle Venustiano Carranza,secondary,False,False,41.368,AGS 54,60,"LINESTRING (-102.3386599 22.17916, -102.338761 22.1792301, -102.3388297 22.1792724, -102.3389165 22.1793132, -102.339005 22.1793467)",,
426238924,Calle Ignacio Allende,tertiary,True,False,43.308,,,"LINESTRING (-102.3397548 22.1770164, -102.3399508 22.1766718)",,
426238933,Calle José María Chico,residential,False,False,94.284,,,"LINESTRING (-102.3397548 22.1770164, -102.3405822 22.1773796)",,
426238933,Calle José María Chico,residential,False,True,70.034,,,"LINESTRING (-102.3397548 22.1770164, -102.3391391 22.1767488)",,
426238956,Calle Nueva,residential,False,False,209.327,,,"LINESTRING (-102.3387686 22.1733384, -102.3379387 22.1750569)",,
1051105536,Carretera Pabellon de Hidalgo,secondary,False,False,129.039,AGS 20,60,"LINESTRING (-102.3387686 22.1733384, -102.3399203 22.1737958)",,
1051105536,Carretera Pabellon de Hidalgo,secondary,False,True,87.07,AGS 20,60,"LINESTRING (-102.3387686 22.1733384, -102.3384262 22.1732121, -102.3379868 22.1730402)",,
302353411,Calle 27 de Septiembre,residential,False,False,66.888,,20,"LINESTRING (-102.3379387 22.1750569, -102.3373351 22.1748346)",,
302353411,Calle 27 de Septiembre,residential,False,True,130.379,,20,"LINESTRING (-102.3379387 22.1750569, -102.3391123 22.175497)",,
426238956,Calle Nueva,residential,False,False,51.749,,,"LINESTRING (-102.3379387 22.1750569, -102.3377567 22.1754907)",,
426238956,Calle Nueva,residential,False,True,209.327,,,"LINESTRING (-102.3379387 22.1750569, -102.3387686 22.1733384)",,
426238926,Calle Galeana,residential,False,False,30.643,,,"LINESTRING (-102.3370666 22.1770579, -102.3367895 22.1769574)",,
426238926,Calle Galeana,residential,False,True,150.12,,,"LINESTRING (-102.3370666 22.1770579, -102.3383881 22.1776281)",,
426238956,Calle Nueva,residential,False,False,183.24800000000002,,,"LINESTRING (-102.3370666 22.1770579, -102.3370604 22.1771039, -102.3370591 22.177156, -102.3370631 22.1772132, -102.3370671 22.1772628, -102.3373166 22.1785283, -102.3373273 22.1785855, -102.3373378 22.178683)",,
426238956,Calle Nueva,residential,False,True,188.904,,,"LINESTRING (-102.3370666 22.1770579, -102.3370712 22.1770207, -102.3370846 22.1769511, -102.3371087 22.1768418, -102.3371221 22.1767959, -102.3371369 22.1767549, -102.3377567 22.1754907)",,
426238924,Calle Ignacio Allende,tertiary,True,False,117.817,,,"LINESTRING (-102.339261 22.1779722, -102.3397548 22.1770164)",,
426238926,Calle Galeana,residential,False,False,61.712,,,"LINESTRING (-102.339261 22.1779722, -102.3387073 22.1777598)",,
426238927,Plaza s4 de Enero,residential,False,False,69.798,,,"LINESTRING (-102.3414584 22.1744438, -102.3412267 22.1750337)",,
906457382,Carretera Pabellon de Hidalgo,tertiary,False,True,46.027,AGS 20,60,"LINESTRING (-102.3414584 22.1744438, -102.3410508 22.1742739)",,
"[426238968, 906457382]","['Carretera Pabellon de Hidalgo', 'Camino Pabellón de Hidalgo']",tertiary,False,False,116.32,"['AGS 20', 'RURAL']","['30', '60']","LINESTRING (-102.3414584 22.1744438, -102.3417428 22.1745422, -102.341765 22.1745058, -102.341828 22.1744077, -102.3419085 22.1742947, -102.3420051 22.1741643, -102.3420748 22.1740823, -102.3422451 22.1739419)",,
426238930,Calle Plaza 24 de Enero,residential,False,True,43.464,,,"LINESTRING (-102.3409719 22.1755023, -102.340572 22.1753772)",,
1051089030,Plaza s4 de Enero,residential,False,False,55.174,,,"LINESTRING (-102.3409719 22.1755023, -102.3407604 22.1759582)",,
426238927,Plaza s4 de Enero,residential,False,True,58.42999999999999,,,"LINESTRING (-102.3409719 22.1755023, -102.3409939 22.1754484, -102.341179 22.175138, -102.3412267 22.1750337)",,
426238932,Calle Libertad,residential,False,False,132.268,,,"LINESTRING (-102.3409719 22.1755023, -102.3415686 22.1756866, -102.3418656 22.1758148, -102.3421471 22.1759704)",,
426238953,Calle Mariano Hidalgo,residential,False,False,87.562,,,"LINESTRING (-102.3407604 22.1759582, -102.3414994 22.1763478)",,
1051089030,Plaza s4 de Enero,residential,False,True,55.174,,,"LINESTRING (-102.3407604 22.1759582, -102.3409719 22.1755023)",,
1051089030,Plaza s4 de Enero,residential,False,False,107.855,,,"LINESTRING (-102.3407604 22.1759582, -102.3406908 22.1760669, -102.3406154 22.1761642, -102.3401901 22.1767715)",,
426238934,Calle Pípila,residential,False,False,80.564,,,"LINESTRING (-102.3401901 22.1767715, -102.340849 22.1771622)",,
426238934,Calle Pípila,residential,False,True,27.02,,,"LINESTRING (-102.3401901 22.1767715, -102.3399508 22.1766718)",,
1051089030,Plaza s4 de Enero,residential,False,True,107.85499999999999,,,"LINESTRING (-102.3401901 22.1767715, -102.3406154 22.1761642, -102.3406908 22.1760669, -102.3407604 22.1759582)",,
426238928,Calle Mariano Abasolo,residential,False,False,75.606,,,"LINESTRING (-102.3406843 22.1751185, -102.3400082 22.1748533)",,
949526974,Calle Ignacio Allende,tertiary,False,False,25.598,,,"LINESTRING (-102.3406843 22.1751185, -102.340777 22.1749049)",,
426238928,Calle Mariano Abasolo,residential,False,True,56.085,,,"LINESTRING (-102.3395187 22.1746321, -102.3400082 22.1748533)",,
1051091544,Calle Mariano Jiménez,secondary,False,False,104.883,AGS 54,20,"LINESTRING (-102.3395187 22.1746321, -102.3391123 22.175497)",,
1051091544,Calle Mariano Jiménez,secondary,False,True,101.773,AGS 54,20,"LINESTRING (-102.3395187 22.1746321, -102.3399203 22.1737958)",,
426238928,Calle Mariano Abasolo,residential,False,False,56.085,,,"LINESTRING (-102.3400082 22.1748533, -102.3395187 22.1746321)",,
426238928,Calle Mariano Abasolo,residential,False,True,75.606,,,"LINESTRING (-102.3400082 22.1748533, -102.3406843 22.1751185)",,
426238929,Calle Ignacio Aldama,residential,False,True,102.963,,,"LINESTRING (-102.3400082 22.1748533, -102.3396113 22.1757032)",,
426238924,Calle Ignacio Allende,tertiary,True,False,31.003,,,"LINESTRING (-102.340572 22.1753772, -102.3406843 22.1751185)",,
426238930,Calle Plaza 24 de Enero,residential,False,False,43.464,,,"LINESTRING (-102.340572 22.1753772, -102.3409719 22.1755023)",,
426238931,Calle Plaza 24 de Enero,residential,False,False,48.47,,,"LINESTRING (-102.340777 22.1749049, -102.3412267 22.1750337)",,
949526974,Calle Ignacio Allende,tertiary,False,False,75.617,,,"LINESTRING (-102.340777 22.1749049, -102.3410508 22.1742739)",,
949526974,Calle Ignacio Allende,tertiary,False,True,25.598,,,"LINESTRING (-102.340777 22.1749049, -102.3406843 22.1751185)",,
426238927,Plaza s4 de Enero,residential,False,True,69.798,,,"LINESTRING (-102.3412267 22.1750337, -102.3414584 22.1744438)",,
426238931,Calle Plaza 24 de Enero,residential,False,True,48.47,,,"LINESTRING (-102.3412267 22.1750337, -102.340777 22.1749049)",,
426238927,Plaza s4 de Enero,residential,False,False,58.42999999999999,,,"LINESTRING (-102.3412267 22.1750337, -102.341179 22.175138, -102.3409939 22.1754484, -102.3409719 22.1755023)",,
426238932,Calle Libertad,residential,False,True,132.26799999999997,,,"LINESTRING (-102.3421471 22.1759704, -102.3418656 22.1758148, -102.3415686 22.1756866, -102.3409719 22.1755023)",,
941781693,Calle Libertad,residential,False,False,40.661,,,"LINESTRING (-102.3421471 22.1759704, -102.3421901 22.1759601, -102.3424104 22.1759153, -102.3425311 22.1758855)",,
1051089031,Calle Mariano Balleza,residential,False,True,78.873,,,"LINESTRING (-102.3421471 22.1759704, -102.3420976 22.1759899, -102.3414994 22.1763478)",,
426238933,Calle José María Chico,residential,False,True,94.284,,,"LINESTRING (-102.3405822 22.1773796, -102.3397548 22.1770164)",,
1051089032,Calle José Santos Villa,residential,False,False,36.594,,,"LINESTRING (-102.3405822 22.1773796, -102.340849 22.1771622)",,
426238945,Calle José Santos Villa,residential,False,True,285.16900000000004,,,"LINESTRING (-102.3405822 22.1773796, -102.339807 22.178044, -102.3397131 22.1781284, -102.3396514 22.178193, -102.33959 22.1782626, -102.3393393 22.1785718, -102.3392075 22.1787562, -102.3391888 22.1787953, -102.339178 22.1788363, -102.339174 22.1788829, -102.339178 22.1789344, -102.3391854 22.1789735, -102.3392035 22.1790189, -102.3392279 22.1790738, -102.3392478 22.1791269, -102.3392565 22.1791754, -102.3392639 22.179225, -102.3392642 22.1792747, -102.3392625 22.1793306, -102.3392558 22.1793827, -102.3392468 22.1794188)",,
426238924,Calle Ignacio Allende,tertiary,True,False,84.295,,,"LINESTRING (-102.3399508 22.1766718, -102.3402858 22.1759801)",,
426238934,Calle Pípila,residential,False,False,27.02,,,"LINESTRING (-102.3399508 22.1766718, -102.3401901 22.1767715)",,
426238934,Calle Pípila,residential,False,True,80.564,,,"LINESTRING (-102.340849 22.1771622, -102.3401901 22.1767715)",,
1051089032,Calle José Santos Villa,residential,False,True,36.594,,,"LINESTRING (-102.340849 22.1771622, -102.3405822 22.1773796)",,
1051089032,Calle José Santos Villa,residential,False,False,59.238,,,"LINESTRING (-102.340849 22.1771622, -102.3409671 22.1770703, -102.3410469 22.1769834, -102.341127 22.1768703, -102.3412071 22.1767509)",,
1051068221,Calle Valentín Gómez Farías,residential,False,False,47.438,,,"LINESTRING (-102.3420011 22.1786376, -102.3418173 22.1782464)",,
1051068221,Calle Valentín Gómez Farías,residential,False,True,65.502,,,"LINESTRING (-102.3420011 22.1786376, -102.3422518 22.179179)",,
1051075133,Calle Ingeniero Teodoro Olivares,residential,False,True,116.069,,,"LINESTRING (-102.3420011 22.1786376, -102.3409738 22.1790673)",,
1051074408,Calle Francisco I. Madero,residential,False,False,37.296,,,"LINESTRING (-102.3406587 22.1783669, -102.3408021 22.1786749)",,
426238935,Calle Ingeniero Enrique Zúñiga,residential,False,False,114.973,,,"LINESTRING (-102.3406587 22.1783669, -102.3406767 22.1783495, -102.3407022 22.1783302, -102.3407371 22.1783104, -102.3416686 22.1779331)",,
426238935,Calle Ingeniero Enrique Zúñiga,residential,False,True,129.258,,,"LINESTRING (-102.3406587 22.1783669, -102.340267 22.1788164, -102.3400605 22.1790549, -102.3398858 22.1792824)",,
426238937,Calle Fray Servando Teresa de Mier,residential,False,False,23.014,,,"LINESTRING (-102.3398858 22.1792824, -102.3399616 22.1794771)",,
426238935,Calle Ingeniero Enrique Zúñiga,residential,False,False,129.25799999999998,,,"LINESTRING (-102.3398858 22.1792824, -102.3400605 22.1790549, -102.340267 22.1788164, -102.3406587 22.1783669)",,
426238935,Calle Ingeniero Enrique Zúñiga,residential,False,True,38.064,,,"LINESTRING (-102.3398858 22.1792824, -102.3398459 22.179343, -102.3397198 22.1795417, -102.3397084 22.1795609, -102.3396974 22.1795769)",,
1051078596,,residential,False,False,29.38,,,"LINESTRING (-102.3396974 22.1795769, -102.3399616 22.1794771)",,
426238935,Calle Ingeniero Enrique Zúñiga,residential,False,False,38.064,,,"LINESTRING (-102.3396974 22.1795769, -102.3397084 22.1795609, -102.3397198 22.1795417, -102.3398459 22.179343, -102.3398858 22.1792824)",,
426238935,Calle Ingeniero Enrique Zúñiga,residential,False,True,22.515,,,"LINESTRING (-102.3396974 22.1795769, -102.3396816 22.1795895, -102.3396555 22.1796013, -102.3395013 22.1796648)",,
426238937,Calle Fray Servando Teresa de Mier,residential,False,False,67.437,,,"LINESTRING (-102.3399616 22.1794771, -102.3402254 22.1800322)",,
426238937,Calle Fray Servando Teresa de Mier,residential,False,True,23.014,,,"LINESTRING (-102.3399616 22.1794771, -102.3398858 22.1792824)",,
