osmid,oneway,name,highway,maxspeed,access,reversed,length,geometry,lanes,bridge,junction
184939436,True,Calle Aldama,residential,20,yes,False,33.81,"LINESTRING (-100.5180506 21.293065, -100.5177851 21.2932418)",,,
435187077,True,Calle Galeana,residential,20,,False,55.296,"LINESTRING (-100.5180506 21.293065, -100.5179474 21.2935529)",,,
316976160,False,Calle 20 de Noviembre,residential,,,True,38.056,"LINESTRING (-100.5124257 21.2938208, -100.5126567 21.2935547)",,,
711095403,False,Calle General Anaya,residential,20,yes,False,75.149,"LINESTRING (-100.5124257 21.2938208, -100.5119427 21.2933166)",,,
711095403,False,Calle General Anaya,residential,20,yes,True,217.42,"LINESTRING (-100.5124257 21.2938208, -100.5129263 21.2943476, -100.5135708 21.2949735, -100.5138927 21.2952138)",,,
739613633,True,Calle Josefa Ortiz de Domínguez,residential,20,,False,160.64,"LINESTRING (-100.5207677 21.2943514, -100.5206776 21.2949497, -100.5205793 21.2957852)",,,
641709181,True,Calle Niños Héroes,tertiary,20,yes,False,68.971,"LINESTRING (-100.5150153 21.2951691, -100.5150053 21.2957893)",,,
449436351,False,Calle Aldama,residential,20,,False,69.371,"LINESTRING (-100.5150153 21.2951691, -100.5145367 21.2954895, -100.5144781 21.2955406)",,,
201017412,False,Calle Abasolo,residential,,,True,51.944,"LINESTRING (-100.5138927 21.2952138, -100.5141172 21.2947961)",,,
711095403,False,Calle General Anaya,residential,20,yes,True,70.702,"LINESTRING (-100.5138927 21.2952138, -100.5144781 21.2955406)",,,
711095403,False,Calle General Anaya,residential,20,yes,False,217.42,"LINESTRING (-100.5138927 21.2952138, -100.5135708 21.2949735, -100.5129263 21.2943476, -100.5124257 21.2938208)",,,
184939410,True,Calle Ignacio Allende,residential,20,yes,False,138.918,"LINESTRING (-100.517533 21.295917, -100.5180654 21.2956696, -100.5187728 21.2954491)",,,
202146396,True,Calle Michelena,residential,20,,False,86.846,"LINESTRING (-100.5134439 21.2965156, -100.5134292 21.2972965)",,,
740493746,True,Calle Jiménez,residential,20,yes,False,59.192,"LINESTRING (-100.5134439 21.2965156, -100.5132729 21.296466, -100.513104 21.2963715, -100.512974 21.2962358)",,,
184939410,True,Calle Ignacio Allende,residential,20,yes,False,45.968,"LINESTRING (-100.5162133 21.2966293, -100.5166009 21.2964281)",,,
189592248,True,Calle Artículo 27,residential,20,yes,False,267.591,"LINESTRING (-100.5162133 21.2966293, -100.5161275 21.2955259, -100.5162267 21.2951786, -100.5162723 21.2944538, -100.5162482 21.2942402)",,,
739613633,True,Calle Josefa Ortiz de Domínguez,residential,20,,False,42.217,"LINESTRING (-100.5203905 21.2970553, -100.5203414 21.2974322)",,,
184939417,True,Calle Rayón,secondary,20,yes,False,208.665,"LINESTRING (-100.5203905 21.2970553, -100.5191213 21.2972446, -100.5184007 21.2973459)",,,
740493747,True,Calle Allende,secondary,20,yes,False,72.814,"LINESTRING (-100.5141266 21.2972153, -100.5134292 21.2972965)",,,
740493746,True,Calle Jiménez,residential,20,yes,False,109.488,"LINESTRING (-100.5141266 21.2972153, -100.5138754 21.296825, -100.5137198 21.2966177, -100.5134439 21.2965156)",,,
664196422,False,Calle Niños Héroes,secondary,20,yes,False,29.458,"LINESTRING (-100.5150043 21.2972122, -100.5150077 21.2974771)",,,
740493747,True,Calle Allende,secondary,20,yes,False,90.932,"LINESTRING (-100.5150043 21.2972122, -100.5141266 21.2972153)",,,
184939410,True,Calle Ignacio Allende,residential,20,yes,False,141.253,"LINESTRING (-100.5150043 21.2972122, -100.5150886 21.2971879, -100.5155589 21.2969329, -100.5162133 21.2966293)",,,
739613633,True,Calle Josefa Ortiz de Domínguez,residential,20,,False,106.217,"LINESTRING (-100.5203414 21.2974322, -100.5202417 21.2983829)",,,
664196422,False,Calle Niños Héroes,secondary,20,yes,True,29.458,"LINESTRING (-100.5150077 21.2974771, -100.5150043 21.2972122)",,,
"[906321252, 641709182]",True,"['Calle Niños Héroes', 'Calle Hidalgo']",secondary,20,yes,False,91.80799999999999,"LINESTRING (-100.5150077 21.2974771, -100.5149986 21.2981466, -100.5151661 21.2981498)",1,,
734551265,True,Calle Bravo,residential,20,yes,False,67.417,"LINESTRING (-100.5182813 21.2979419, -100.5184007 21.2973459)",,,
184939409,True,Calle Hidalgo,secondary,20,yes,False,220.925,"LINESTRING (-100.5182813 21.2979419, -100.5193276 21.2976522, -100.5203414 21.2974322)",1,,
189595523,True,Calle Galeana,residential,20,yes,False,114.988,"LINESTRING (-100.5169845 21.2980975, -100.5167699 21.2991121)",,,
184939409,True,Calle Hidalgo,secondary,20,yes,False,135.974,"LINESTRING (-100.5169845 21.2980975, -100.5179869 21.2980225, -100.5182813 21.2979419)",1,,
740493746,True,Calle Jiménez,residential,20,yes,False,110.38499999999999,"LINESTRING (-100.5144538 21.2981224, -100.5144632 21.2977476, -100.5141266 21.2972153)",,,
"[186644200, 740493751]",False,"['Calle Jiménez', 'Calle Matamoros']",residential,20,yes,True,171.31400000000002,"LINESTRING (-100.5144538 21.2981224, -100.5144451 21.2987288, -100.514258 21.2996466)",,,
184939409,True,Calle Hidalgo,secondary,20,yes,False,188.477,"LINESTRING (-100.5151661 21.2981498, -100.5169845 21.2980975)",1,,
740493750,True,Calle Javier Mina,residential,20,yes,False,60.214,"LINESTRING (-100.5151661 21.2981498, -100.5151691 21.2986057, -100.5151613 21.298691)",,,
739613633,True,Calle Josefa Ortiz de Domínguez,residential,20,,False,108.621,"LINESTRING (-100.5199668 21.3004921, -100.5198333 21.301461)",,,
189596554,True,Calle J Ascencio,residential,20,yes,False,221.02299999999997,"LINESTRING (-100.5199668 21.3004921, -100.5197983 21.3004753, -100.5186561 21.3003607, -100.5185028 21.3003453, -100.5180655 21.3002775, -100.5178508 21.3002441)",,,
186169122,True,Calle Vicente Guerrero,residential,20,yes,False,50.976,"LINESTRING (-100.5141033 21.3000845, -100.5145843 21.3001811)",,,
186644200,False,Calle Matamoros,residential,20,yes,False,51.262,"LINESTRING (-100.5141033 21.3000845, -100.514258 21.2996466)",,,
186644200,False,Calle Matamoros,residential,20,yes,True,82.292,"LINESTRING (-100.5141033 21.3000845, -100.5140935 21.3001747, -100.5140232 21.3008208)",,,
186644200,False,Calle Matamoros,residential,20,yes,True,51.262,"LINESTRING (-100.514258 21.2996466, -100.5141033 21.3000845)",,,
"[186644200, 740493751]",False,"['Calle Jiménez', 'Calle Matamoros']",residential,20,yes,False,171.31400000000002,"LINESTRING (-100.514258 21.2996466, -100.5144451 21.2987288, -100.5144538 21.2981224)",,,
"[734551269, 734551270]",True,Calle Matamoros,residential,20,yes,False,26.001,"LINESTRING (-100.5140082 21.3010526, -100.5139992 21.30099, -100.5140232 21.3008208)",,yes,
734592867,True,Rivera del Río,residential,20,,False,70.202,"LINESTRING (-100.5140082 21.3010526, -100.5137303 21.3009921, -100.5133521 21.3008952)",,,
187047336,True,Calle Morelos,residential,20,yes,False,132.427,"LINESTRING (-100.5180225 21.2993495, -100.5167699 21.2991121)",,,
734551265,True,Calle Bravo,residential,20,yes,False,30.36,"LINESTRING (-100.5180225 21.2993495, -100.518044 21.2990772)",,,
187047336,True,Calle Morelos,residential,20,yes,False,173.105,"LINESTRING (-100.5167699 21.2991121, -100.5151613 21.298691)",,,
189595523,True,Calle Galeana,residential,20,yes,False,167.082,"LINESTRING (-100.5167699 21.2991121, -100.5165674 21.2999542, -100.5164711 21.3005875)",,,
187047653,True,Calle Morelos,residential,20,yes,False,218.558,"LINESTRING (-100.518044 21.2990772, -100.5188937 21.2991503, -100.5201447 21.2992579)",,,
734551265,True,Calle Bravo,residential,20,yes,False,128.767,"LINESTRING (-100.518044 21.2990772, -100.5181952 21.2985028, -100.5182813 21.2979419)",,,
"[739613632, 184939410]",True,Calle Ignacio Allende,residential,20,yes,False,83.065,"LINESTRING (-100.5187728 21.2954491, -100.519041 21.2953629, -100.5195004 21.2951398)",,,
202146396,True,Calle Michelena,residential,20,,False,80.945,"LINESTRING (-100.5134292 21.2972965, -100.5134959 21.2980218)",,,
740493747,True,Calle Allende,secondary,20,yes,False,85.394,"LINESTRING (-100.5134292 21.2972965, -100.5126058 21.2972615)",,,
189596322,True,Calle Ingeniero Moisés Rangel,secondary,20,yes,False,77.241,"LINESTRING (-100.5126058 21.2972615, -100.5123939 21.2979275)",,,
298883436,False,Allende,residential,20,yes,False,66.999,"LINESTRING (-100.5126058 21.2972615, -100.5121172 21.2972411, -100.5119596 21.2972431)",,,
713707062,False,Calle Verónica,residential,,,True,82.95400000000001,"LINESTRING (-100.5126058 21.2972615, -100.5125429 21.2971841, -100.5123364 21.2970044, -100.5120023 21.2967767)",,,
739944912,False,Calle Victoria,secondary,20,yes,False,17.077,"LINESTRING (-100.5123939 21.2979275, -100.5122295 21.2979386)",,,
740493748,True,Calle Victoria,secondary,20,yes,False,114.649,"LINESTRING (-100.5123939 21.2979275, -100.5134959 21.2980218)",,,
184939410,True,Calle Ignacio Allende,residential,20,yes,False,98.232,"LINESTRING (-100.5166009 21.2964281, -100.517427 21.2959945)",,,
184939436,True,Calle Aldama,residential,20,yes,False,12.785,"LINESTRING (-100.5163461 21.2941702, -100.5162482 21.2942402)",,,
184939410,True,Calle Ignacio Allende,residential,20,yes,False,13.959,"LINESTRING (-100.517427 21.2959945, -100.517533 21.295917)",,,
189595523,True,Calle Galeana,residential,20,yes,False,167.238,"LINESTRING (-100.517427 21.2959945, -100.5173828 21.2965243, -100.5172285 21.2969292, -100.5171011 21.297459)",,,
734551265,True,Calle Bravo,residential,20,yes,False,101.053,"LINESTRING (-100.5178508 21.3002441, -100.5180225 21.2993495)",,,
184939436,True,Calle Aldama,residential,20,yes,False,83.964,"LINESTRING (-100.5156156 21.2946618, -100.5150153 21.2951691)",,,
437448908,True,Calle Giro,residential,20,,False,69.217,"LINESTRING (-100.5156156 21.2946618, -100.5153352 21.2940968)",,,
184939417,True,Calle Rayón,secondary,20,yes,False,135.226,"LINESTRING (-100.5184007 21.2973459, -100.5171011 21.297459)",,,
