osmid,highway,oneway,reversed,length,name,geometry,junction
250593293,residential,False,True,73.484,,"LINESTRING (95.4612503 17.6466742, 95.4606017 17.6464403)",
249526949,primary,False,False,97.961,Nat Maw Road,"LINESTRING (95.4612503 17.6466742, 95.4611291 17.6462381, 95.4610466 17.6458155)",
249526949,primary,False,True,18.507,Nat Maw Road,"LINESTRING (95.4612503 17.6466742, 95.4612874 17.6467629, 95.4613385 17.6468145)",
110520767,primary,False,False,42.89,Nat Maw Road,"LINESTRING (95.4610326 17.6456924, 95.4609715 17.6453111)",
570545608,primary,True,False,11.089,,"LINESTRING (95.4610326 17.6456924, 95.461055 17.645696, 95.4610747 17.6457066, 95.4610895 17.645723, 95.4610974 17.6457432, 95.4610985 17.6457565)",roundabout
253368315,primary,False,True,137.612,Nat Maw Road,"LINESTRING (95.4582515 17.6416226, 95.4590819 17.6425741)",
249526949,primary,False,True,97.961,Nat Maw Road,"LINESTRING (95.4610466 17.6458155, 95.4611291 17.6462381, 95.4612503 17.6466742)",
570545608,primary,True,False,8.986,,"LINESTRING (95.4610466 17.6458155, 95.4610239 17.6458162, 95.4610054 17.6458109, 95.4609869 17.6457984, 95.4609751 17.6457829)",roundabout
110552989,residential,False,False,184.23000000000002,,"LINESTRING (95.4608698 17.6448583, 95.4603106 17.6452729, 95.4600766 17.6454843, 95.4599146 17.6456379, 95.4595948 17.6459779)",
253475944,primary,True,False,60.653,Nat Maw Road,"LINESTRING (95.4608698 17.6448583, 95.4608315 17.6447202, 95.4607099 17.6444955, 95.4606239 17.6443701)",
110528836,secondary,False,False,93.833,Bo Myat Tun Road,"LINESTRING (95.4610985 17.6457565, 95.4612729 17.6457798, 95.4615754 17.6458281, 95.4617646 17.6458522, 95.4619752 17.6458737)",
570545608,primary,True,False,9.148,,"LINESTRING (95.4610985 17.6457565, 95.4610892 17.6457866, 95.4610744 17.6458029, 95.4610466 17.6458155)",roundabout
110550863,tertiary,False,False,127.196,Bo Myat Tun Road,"LINESTRING (95.4599895 17.6482653, 95.4595815 17.6493411)",
110550863,tertiary,False,True,120.437,Bo Myat Tun Road,"LINESTRING (95.4599895 17.6482653, 95.4603365 17.6472339)",
250575852,residential,False,True,50.774,,"LINESTRING (95.4599895 17.6482653, 95.4604457 17.648405)",
249537226,residential,False,True,212.712,Myo Thu Gyi Pagoda Street,"LINESTRING (95.4652431 17.6441059, 95.4652084 17.6444429, 95.4652327 17.644772, 95.4652787 17.6453536, 95.4653363 17.6460125)",
249537228,residential,False,False,96.21000000000001,,"LINESTRING (95.4652431 17.6441059, 95.4651848 17.6434101, 95.465174 17.6432432)",
250772033,secondary,False,True,49.292,Bo Myat Tun Road,"LINESTRING (95.4652431 17.6441059, 95.4648512 17.6441484, 95.4647819 17.644162)",
250580299,primary,False,True,45.296,Myit Kwe Kyaung Road,"LINESTRING (95.4628883 17.648347, 95.4629881 17.6487431)",
570540061,primary,False,True,8.545,,"LINESTRING (95.4628883 17.648347, 95.4628333 17.6482908)",
110550866,residential,False,False,95.622,Sit Care Street,"LINESTRING (95.4628883 17.648347, 95.4634437 17.6482151, 95.4635132 17.6481974, 95.4635827 17.6481626, 95.4637382 17.648077)",
249526947,residential,False,False,111.097,Manawhari Road,"LINESTRING (95.4619752 17.6458737, 95.4630171 17.6459852)",
110528836,secondary,False,True,93.833,Bo Myat Tun Road,"LINESTRING (95.4619752 17.6458737, 95.4617646 17.6458522, 95.4615754 17.6458281, 95.4612729 17.6457798, 95.4610985 17.6457565)",
110550858,residential,False,False,288.46299999999997,Sin Akari Street,"LINESTRING (95.4619752 17.6458737, 95.4621044 17.6462674, 95.4622785 17.6467244, 95.4628119 17.647951, 95.4628943 17.6481497, 95.4628759 17.6482206, 95.4628333 17.6482908)",
"[250580304, 250772033]",secondary,False,False,150.86,Bo Myat Tun Road,"LINESTRING (95.4619752 17.6458737, 95.4619878 17.6457832, 95.4620671 17.6456638, 95.462195 17.6455192, 95.4623821 17.645311, 95.4624643 17.6452308, 95.4626306 17.6451095, 95.4628055 17.6449803, 95.4629337 17.6449154)",
110550866,residential,False,True,95.622,Sit Care Street,"LINESTRING (95.4637382 17.648077, 95.4635827 17.6481626, 95.4635132 17.6481974, 95.4634437 17.6482151, 95.4628883 17.648347)",
249526948,residential,False,False,232.784,Bo Ba Thein Street,"LINESTRING (95.4637382 17.648077, 95.4636754 17.6477801, 95.4636536 17.6476434, 95.4636679 17.6475283, 95.4637149 17.6473176, 95.4637396 17.6470672, 95.4637207 17.6468093, 95.4637045 17.6465789, 95.4636591 17.6463507, 95.463619 17.646005)",
250575857,residential,False,False,77.07000000000001,Sit Care Street,"LINESTRING (95.4637382 17.648077, 95.4638922 17.6485793, 95.4639959 17.6487174)",
"[249537226, 250580295]",residential,False,False,360.72900000000004,"['Myo Thu Gyi Pagoda Street', 'Shin Pin Thar Lyaung Street']","LINESTRING (95.4637382 17.648077, 95.4639405 17.6478592, 95.4642275 17.6477077, 95.4652977 17.6475068, 95.4654317 17.6474765, 95.4653677 17.6468466, 95.4653385 17.6464832, 95.4653539 17.6462292, 95.4653561 17.6461326, 95.4653363 17.6460125)",
110550863,tertiary,False,True,127.196,Bo Myat Tun Road,"LINESTRING (95.4595815 17.6493411, 95.4599895 17.6482653)",
570540647,tertiary,False,True,186.865,,"LINESTRING (95.4595815 17.6493411, 95.4585817 17.6489826, 95.4579559 17.6486939)",
570540647,tertiary,False,False,43.367,,"LINESTRING (95.4575875 17.648524, 95.4579559 17.6486939)",
"[250575841, 570540647]",tertiary,False,True,124.27600000000001,ဦးဝိစာရလမ်း,"LINESTRING (95.4575875 17.648524, 95.4578783 17.6481155, 95.4578796 17.6480759, 95.4578488 17.6480222, 95.457429 17.647685)",
110553802,residential,False,True,53.092,,"LINESTRING (95.4628478 17.6436689, 95.4632971 17.6434576)",
570484390,residential,False,True,105.9,,"LINESTRING (95.4628478 17.6436689, 95.462388 17.6428233)",
110553802,residential,False,False,103.023,,"LINESTRING (95.4628478 17.6436689, 95.4624049 17.6438902, 95.4619978 17.6441181)",
110553802,residential,False,False,42.945,,"LINESTRING (95.4612669 17.6445803, 95.460931 17.6447964)",
110553802,residential,False,True,23.355,,"LINESTRING (95.4612669 17.6445803, 95.4614498 17.6444631)",
570480679,residential,False,False,16.004,,"LINESTRING (95.4612669 17.6445803, 95.4614134 17.6446153)",
253368315,primary,False,False,36.314,Nat Maw Road,"LINESTRING (95.4594683 17.6430056, 95.4592435 17.6427591)",
111453760,residential,False,False,74.844,,"LINESTRING (95.4594683 17.6430056, 95.4590973 17.6433451, 95.4589852 17.6434936)",
253368315,primary,False,True,154.127,Nat Maw Road,"LINESTRING (95.4594683 17.6430056, 95.4599605 17.6435568, 95.46021 17.6438285, 95.460408 17.6440634)",
249526947,residential,False,False,182.253,Manawhari Road,"LINESTRING (95.463619 17.646005, 95.4640851 17.646034, 95.4644061 17.646048, 95.4649188 17.6460441, 95.4653363 17.6460125)",
249526947,residential,False,True,63.819,Manawhari Road,"LINESTRING (95.463619 17.646005, 95.4631316 17.6459907, 95.4630171 17.6459852)",
249526948,residential,False,True,232.784,Bo Ba Thein Street,"LINESTRING (95.463619 17.646005, 95.4636591 17.6463507, 95.4637045 17.6465789, 95.4637207 17.6468093, 95.4637396 17.6470672, 95.4637149 17.6473176, 95.4636679 17.6475283, 95.4636536 17.6476434, 95.4636754 17.6477801, 95.4637382 17.648077)",
249526947,residential,False,True,182.253,Manawhari Road,"LINESTRING (95.4653363 17.6460125, 95.4649188 17.6460441, 95.4644061 17.646048, 95.4640851 17.646034, 95.463619 17.646005)",
