osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction
32981690,Franciscanenlaan,living_street,15,False,True,192.486,"LINESTRING (4.6476758 52.1121597, 4.6480061 52.1137684, 4.647987 52.1138774)",,
260619257,Norbertijnenlaan,living_street,15,False,False,98.52899999999998,"LINESTRING (4.6476758 52.1121597, 4.6474848 52.1121656, 4.6472503 52.1122041, 4.6470159 52.1122633, 4.6467627 52.1123483, 4.6465684 52.1124568, 4.6464278 52.1125478)",,
33223222,Dominicanenlaan,living_street,15,False,False,137.115,"LINESTRING (4.6464278 52.1125478, 4.6465114 52.1126934, 4.6469819 52.1137327)",,
260619257,Norbertijnenlaan,living_street,15,False,False,79.991,"LINESTRING (4.6464278 52.1125478, 4.6463311 52.112612, 4.6460951 52.1127504, 4.6458044 52.1128762, 4.6454962 52.1129742)",,
260619257,Norbertijnenlaan,living_street,15,False,True,98.529,"LINESTRING (4.6464278 52.1125478, 4.6465684 52.1124568, 4.6467627 52.1123483, 4.6470159 52.1122633, 4.6472503 52.1122041, 4.6474848 52.1121656, 4.6476758 52.1121597)",,
32981688,Norbertijnenlaan,living_street,15,False,False,70.498,"LINESTRING (4.6469819 52.1137327, 4.6474541 52.1138044, 4.647987 52.1138774)",,
33223222,Dominicanenlaan,living_street,15,False,False,75.57600000000001,"LINESTRING (4.6469819 52.1137327, 4.647204 52.1142259, 4.647216 52.1142959, 4.6471974 52.1143928)",,
33223222,Dominicanenlaan,living_street,15,False,True,137.115,"LINESTRING (4.6469819 52.1137327, 4.6465114 52.1126934, 4.6464278 52.1125478)",,
260619257,Norbertijnenlaan,living_street,15,False,True,69.635,"LINESTRING (4.6469819 52.1137327, 4.6466926 52.113695, 4.6463526 52.1136695, 4.6459716 52.1136815)",,
32981688,Norbertijnenlaan,living_street,15,False,True,70.498,"LINESTRING (4.647987 52.1138774, 4.6474541 52.1138044, 4.6469819 52.1137327)",,
32981690,Franciscanenlaan,living_street,15,False,False,192.486,"LINESTRING (4.647987 52.1138774, 4.6480061 52.1137684, 4.6476758 52.1121597)",,
32981694,Clarissenlaan,living_street,15,False,False,85.085,"LINESTRING (4.6454962 52.1129742, 4.6459716 52.1136815)",,
260619257,Norbertijnenlaan,living_street,15,False,False,69.38499999999999,"LINESTRING (4.6454962 52.1129742, 4.6452111 52.1130546, 4.6449505 52.1130984, 4.6445192 52.1131154)",,
260619257,Norbertijnenlaan,living_street,15,False,True,79.991,"LINESTRING (4.6454962 52.1129742, 4.6458044 52.1128762, 4.6460951 52.1127504, 4.6463311 52.112612, 4.6464278 52.1125478)",,
"[33223217, 483642467, 33223213]",Renaissancelaan,residential,30,False,True,178.908,"LINESTRING (4.6471974 52.1143928, 4.6469581 52.1143634, 4.6457661 52.1141955, 4.6455597 52.1141852, 4.6454352 52.1141997, 4.6450623 52.1142886, 4.6446723 52.1143831)",yes,
33223222,Dominicanenlaan,living_street,15,False,True,75.576,"LINESTRING (4.6471974 52.1143928, 4.647216 52.1142959, 4.647204 52.1142259, 4.6469819 52.1137327)",,
32981694,Clarissenlaan,living_street,15,False,True,85.085,"LINESTRING (4.6459716 52.1136815, 4.6454962 52.1129742)",,
260619257,Norbertijnenlaan,living_street,15,False,False,69.63499999999999,"LINESTRING (4.6459716 52.1136815, 4.6463526 52.1136695, 4.6466926 52.113695, 4.6469819 52.1137327)",,
260619257,Norbertijnenlaan,living_street,15,False,True,73.196,"LINESTRING (4.6459716 52.1136815, 4.6454311 52.1138102, 4.6453194 52.1138111, 4.6451563 52.1137947, 4.6449497 52.1137576)",,
33221915,Triviumlaan,residential,30,False,False,177.844,"LINESTRING (4.6476085 52.1169918, 4.6470499 52.1171191, 4.6457518 52.117468, 4.645225 52.1176336)",,
150783751,Triviumlaan,living_street,15,False,True,73.545,"LINESTRING (4.6476085 52.1169918, 4.6475987 52.1169185, 4.6470947 52.1164187)",,
33223200,Augustijnenlaan,living_street,15,False,False,67.083,"LINESTRING (4.6412675 52.1148096, 4.6419202 52.1152605)",,
"[33223200, 33223206]",Augustijnenlaan,living_street,15,False,"[False, True]",257.396,"LINESTRING (4.6412675 52.1148096, 4.6408387 52.1145097, 4.6407888 52.1144639, 4.6407419 52.1144153, 4.640753 52.1143564, 4.6408378 52.1142897, 4.6415295 52.1140464, 4.6419258 52.1139678, 4.6423173 52.1139376, 4.6427213 52.1139666, 4.6433842 52.1140811)",,
33223208,Augustijnenlaan,living_street,15,False,True,165.728,"LINESTRING (4.6412675 52.1148096, 4.6420083 52.1145367, 4.6433842 52.1140811)",,
33223200,Augustijnenlaan,living_street,15,False,True,67.083,"LINESTRING (4.6419202 52.1152605, 4.6412675 52.1148096)",,
150783752,Sokrateslaan,living_street,15,False,False,73.13,"LINESTRING (4.6419202 52.1152605, 4.6426016 52.1157679)",,
483642467,Renaissancelaan,residential,30,False,False,211.935,"LINESTRING (4.6419202 52.1152605, 4.6433091 52.1147714, 4.6446723 52.1143831)",,
"[32981704, 483642467, 483642468]",Renaissancelaan,residential,30,False,True,149.436,"LINESTRING (4.6419202 52.1152605, 4.6416105 52.1153811, 4.6413025 52.115501, 4.641153 52.1155592, 4.6401185 52.1160222)",yes,
150783752,Sokrateslaan,living_street,15,False,False,63.472,"LINESTRING (4.6439386 52.1166965, 4.6445384 52.1171326)",,
150783752,Sokrateslaan,living_street,15,False,True,69.85,"LINESTRING (4.6439386 52.1166965, 4.6432619 52.1162254)",,
"[33221921, 32981724]",Platolaan,living_street,15,False,False,267.46399999999994,"LINESTRING (4.6439386 52.1166965, 4.6445167 52.1164821, 4.645339 52.1162434, 4.6466048 52.1159137, 4.6470228 52.1163463, 4.6470517 52.116376, 4.6470947 52.1164187)",,
150783752,Sokrateslaan,living_street,15,False,True,72.81,"LINESTRING (4.645225 52.1176336, 4.6445384 52.1171326)",,
33221915,Triviumlaan,residential,30,False,True,177.844,"LINESTRING (4.645225 52.1176336, 4.6457518 52.117468, 4.6470499 52.1171191, 4.6476085 52.1169918)",,
33223206,Augustijnenlaan,living_street,15,False,True,96.156,"LINESTRING (4.6446723 52.1143831, 4.6446091 52.1143174, 4.6433842 52.1140811)",,
"[33223217, 483642467, 33223213]",Renaissancelaan,residential,30,False,False,178.90800000000002,"LINESTRING (4.6446723 52.1143831, 4.6450623 52.1142886, 4.6454352 52.1141997, 4.6455597 52.1141852, 4.6457661 52.1141955, 4.6469581 52.1143634, 4.6471974 52.1143928)",yes,
483642467,Renaissancelaan,residential,30,False,True,211.935,"LINESTRING (4.6446723 52.1143831, 4.6433091 52.1147714, 4.6419202 52.1152605)",,
