osmid,name,highway,oneway,reversed,length,geometry,junction,maxspeed
83598176,Holben Parade,residential,False,False,7.308,"LINESTRING (175.2226178 -40.4644152, 175.2227041 -40.4644181)",,
83598176,Holben Parade,residential,False,True,110.27799999999999,"LINESTRING (175.2226178 -40.4644152, 175.222531 -40.4643946, 175.2224519 -40.4643659, 175.222354 -40.4643114, 175.2222131 -40.4642041, 175.2216445 -40.4637713)",,
138524461,Barber Street,residential,False,False,308.185,"LINESTRING (175.2226178 -40.4644152, 175.2225872 -40.4645526, 175.2214764 -40.4654165, 175.2213261 -40.4655144, 175.2212285 -40.4655534, 175.2211423 -40.4655748, 175.2210274 -40.4655825, 175.2196974 -40.4653768)",,
138524173,Hennessy Street East,residential,False,True,157.548,"LINESTRING (175.2276402 -40.4571929, 175.2276181 -40.4572559, 175.2274262 -40.4578685, 175.227383 -40.457931, 175.2273296 -40.4579785, 175.2272837 -40.4580051, 175.2272148 -40.4580316, 175.2271245 -40.4580478, 175.2270475 -40.458044, 175.2265918 -40.4579597)",,
138524175,Hennessy Street West,residential,False,False,130.543,"LINESTRING (175.2227401 -40.4572725, 175.2241809 -40.4575449, 175.2242375 -40.4575556)",,
138524187,Nash Parade,residential,False,False,7.113,"LINESTRING (175.2242628 -40.4574946, 175.2242375 -40.4575556)",,
138524173,Hennessy Street East,residential,False,False,203.722,"LINESTRING (175.2242628 -40.4574946, 175.2243346 -40.4575089, 175.2265918 -40.4579597)",,
138524187,Nash Parade,residential,False,True,7.113,"LINESTRING (175.2242375 -40.4575556, 175.2242628 -40.4574946)",,
138524175,Hennessy Street West,residential,False,True,130.543,"LINESTRING (175.2242375 -40.4575556, 175.2241809 -40.4575449, 175.2227401 -40.4572725)",,
138524187,Nash Parade,residential,False,False,210.688,"LINESTRING (175.2242375 -40.4575556, 175.2239735 -40.4584067, 175.2237515 -40.4594129)",,
138524171,Harrod Avenue,residential,False,False,114.65599999999999,"LINESTRING (175.2265918 -40.4579597, 175.2264044 -40.4585105, 175.2263925 -40.4586359, 175.2263991 -40.4587592, 175.2264195 -40.4588615, 175.2264721 -40.4589635)",,
