osmid,highway,oneway,reversed,length,geometry,name,maxspeed,junction
25525994,tertiary,False,False,61.897,"LINESTRING (71.6649444 29.3987064, 71.6643055 29.3987114)",,,
25525994,tertiary,False,True,11.373999999999999,"LINESTRING (71.6649444 29.3987064, 71.6650005 29.398706, 71.6650618 29.3987055)",,,
25525994,tertiary,False,False,64.696,"LINESTRING (71.6620179 29.3987295, 71.6613501 29.3987348)",,,
25525994,tertiary,False,True,37.163,"LINESTRING (71.6620179 29.3987295, 71.6624015 29.3987265)",,,
25525994,tertiary,False,True,28.115,"LINESTRING (71.6587229 29.3987555, 71.6590131 29.3987532)",,,
182208581,secondary,True,False,312.281,"LINESTRING (71.6587229 29.3987555, 71.6613044 29.3970736)",ریلوے روڈ,56,
25525994,tertiary,False,False,50.474,"LINESTRING (71.6613501 29.3987348, 71.6608291 29.3987389)",,,
25525994,tertiary,False,True,64.696,"LINESTRING (71.6613501 29.3987348, 71.6620179 29.3987295)",,,
182209630,residential,False,True,159.018,"LINESTRING (71.6613501 29.3987348, 71.6613075 29.3973052)",,20,
182208534,tertiary,False,False,113.124,"LINESTRING (71.6617869 29.3905763, 71.661428 29.3915444)",M Qasim Rd,20,
182209500,secondary,True,False,9.89,"LINESTRING (71.6683126 29.3923743, 71.6682228 29.3924166)",,56,
182208954,secondary,True,False,14.344,"LINESTRING (71.6682228 29.3924166, 71.6682228 29.3925456)",,56,
182209500,secondary,True,False,374.01,"LINESTRING (71.6682228 29.3924166, 71.6651354 29.3944359)",,56,
182209072,secondary,True,False,13.839,"LINESTRING (71.6683084 29.3924987, 71.6683126 29.3923743)",,56,
182208954,secondary,True,False,238.785,"LINESTRING (71.6682228 29.3925456, 71.668239 29.394693)",,56,
182209440,secondary,True,False,9.797,"LINESTRING (71.6682228 29.3925456, 71.6683084 29.3924987)",,56,
182208466,residential,False,False,218.006,"LINESTRING (71.6609 29.392891, 71.6587566 29.3922941)",Ghaznavi Road,20,
182208534,tertiary,False,False,99.734,"LINESTRING (71.6609 29.392891, 71.6606 29.393749)",M Qasim Rd,20,
182208534,tertiary,False,True,158.232,"LINESTRING (71.6609 29.392891, 71.661428 29.3915444)",M Qasim Rd,20,
182208466,residential,False,True,408.764,"LINESTRING (71.6609 29.392891, 71.6627951 29.3936851, 71.6630251 29.3937785, 71.6646895 29.394507)",Ghaznavi Road,20,
182208953,secondary,True,False,62.494,"LINESTRING (71.6683137 29.3930607, 71.6683084 29.3924987)",,56,
182208534,tertiary,False,False,113.004,"LINESTRING (71.6606 29.393749, 71.6602455 29.3947172)",M Qasim Rd,20,
182208534,tertiary,False,True,99.734,"LINESTRING (71.6606 29.393749, 71.6609 29.392891)",M Qasim Rd,20,
182208466,residential,False,False,408.764,"LINESTRING (71.6646895 29.394507, 71.6630251 29.3937785, 71.6627951 29.3936851, 71.6609 29.392891)",Ghaznavi Road,20,
410667457,secondary,True,False,25.660999999999998,"LINESTRING (71.6646895 29.394507, 71.6646657 29.3945811, 71.66467 29.394658, 71.6647017 29.3947297)",,,roundabout
182208534,tertiary,False,False,99.699,"LINESTRING (71.6602455 29.3947172, 71.65987 29.395552)",M Qasim Rd,20,
182208534,tertiary,False,True,113.004,"LINESTRING (71.6602455 29.3947172, 71.6606 29.393749)",M Qasim Rd,20,
182208887,residential,False,True,261.635,"LINESTRING (71.6602455 29.3947172, 71.6621287 29.3964037)",,20,
182209102,residential,False,False,53.366,"LINESTRING (71.6662025 29.3946563, 71.6662091 29.3951362)",,20,
182209186,residential,False,False,60.584,"LINESTRING (71.6662025 29.3946563, 71.6668274 29.394677)",,20,
182209186,residential,False,True,95.695,"LINESTRING (71.6662025 29.3946563, 71.6652148 29.3946459)",,20,
182208668,residential,False,True,49.828,"LINESTRING (71.6668274 29.394677, 71.6668314 29.3951251)",,20,
182209186,residential,False,False,136.767,"LINESTRING (71.6668274 29.394677, 71.668239 29.394693)",,20,
182209186,residential,False,True,60.584,"LINESTRING (71.6668274 29.394677, 71.6662025 29.3946563)",,20,
182209186,residential,False,False,12.054,"LINESTRING (71.668239 29.394693, 71.6683615 29.394712)",,20,
182209186,residential,False,True,136.767,"LINESTRING (71.668239 29.394693, 71.6668274 29.394677)",,20,
182208954,secondary,True,False,240.486,"LINESTRING (71.668239 29.394693, 71.668239 29.395809, 71.668453 29.396839)",,56,
182208953,secondary,True,False,183.675,"LINESTRING (71.6683615 29.394712, 71.6683137 29.3930607)",,56,
182209186,residential,False,True,12.054,"LINESTRING (71.6683615 29.394712, 71.668239 29.394693)",,20,
410667457,secondary,True,False,31.715,"LINESTRING (71.6650037 29.3948433, 71.6650798 29.3948171, 71.6651438 29.3947727, 71.6651902 29.3947139, 71.6652148 29.3946459)",,,roundabout
182208662,secondary,True,False,35.309,"LINESTRING (71.6650384 29.3951594, 71.6650037 29.3948433)",,56,
182208830,residential,False,True,113.446,"LINESTRING (71.6650384 29.3951594, 71.6662091 29.3951362)",,20,
182208668,residential,False,False,49.828,"LINESTRING (71.6668314 29.3951251, 71.6668274 29.394677)",,20,
182208668,residential,False,True,47.204,"LINESTRING (71.6668314 29.3951251, 71.6668351 29.3955496)",,20,
182208830,residential,False,False,60.301,"LINESTRING (71.6668314 29.3951251, 71.6662091 29.3951362)",,20,
182208662,secondary,True,False,43.807,"LINESTRING (71.6650774 29.3955519, 71.6650384 29.3951594)",,56,
182208681,residential,False,True,109.587,"LINESTRING (71.6650774 29.3955519, 71.6662085 29.3955405)",,20,
182208668,residential,False,False,47.204,"LINESTRING (71.6668351 29.3955496, 71.6668314 29.3951251)",,20,
182208668,residential,False,True,47.96,"LINESTRING (71.6668351 29.3955496, 71.6668389 29.3959809)",,20,
182208681,residential,False,False,60.713,"LINESTRING (71.6668351 29.3955496, 71.6662085 29.3955405)",,20,
182208534,tertiary,False,False,111.536,"LINESTRING (71.65987 29.395552, 71.6594988 29.3965015)",M Qasim Rd,20,
182208534,tertiary,False,True,99.699,"LINESTRING (71.65987 29.395552, 71.6602455 29.3947172)",M Qasim Rd,20,
182208662,secondary,True,False,47.748,"LINESTRING (71.6650961 29.395981, 71.6650774 29.3955519)",,56,
182208725,residential,False,False,108.052,"LINESTRING (71.6650961 29.395981, 71.6662114 29.3959732)",,20,
182208668,residential,False,False,47.96,"LINESTRING (71.6668389 29.3959809, 71.6668351 29.3955496)",,20,
182208668,residential,False,True,48.338,"LINESTRING (71.6668389 29.3959809, 71.6668428 29.3964156)",,20,
182208725,residential,False,True,60.797,"LINESTRING (71.6668389 29.3959809, 71.6662114 29.3959732)",,20,
182208580,secondary,True,False,111.055,"LINESTRING (71.6621287 29.3964037, 71.6612085 29.3969993)",ریلوے روڈ,56,
182208887,residential,False,False,261.635,"LINESTRING (71.6621287 29.3964037, 71.6602455 29.3947172)",,20,
182208674,residential,False,True,45.749,"LINESTRING (71.6590518 29.3963688, 71.6594988 29.3965015)",,20,
182209024,residential,False,False,107.382,"LINESTRING (71.6662144 29.3964156, 71.665106 29.39641)",,20,
182209024,residential,False,True,60.878,"LINESTRING (71.6662144 29.3964156, 71.6668428 29.3964156)",,20,
182209102,residential,False,False,48.315,"LINESTRING (71.6662144 29.3964156, 71.6662173 29.3968501)",,20,
182209102,residential,False,True,49.194,"LINESTRING (71.6662144 29.3964156, 71.6662114 29.3959732)",,20,
182208668,residential,False,False,48.338,"LINESTRING (71.6668428 29.3964156, 71.6668389 29.3959809)",,20,
182208668,residential,False,True,47.471,"LINESTRING (71.6668428 29.3964156, 71.6668465 29.3968425)",,20,
182209024,residential,False,False,60.878,"LINESTRING (71.6668428 29.3964156, 71.6662144 29.3964156)",,20,
182209478,residential,False,True,49.531,"LINESTRING (71.66296 29.39641, 71.662947 29.3968553)",,20,
301261266,residential,False,False,61.082,"LINESTRING (71.66296 29.39641, 71.6623295 29.3964107)",,,
301261266,residential,False,True,95.619,"LINESTRING (71.66296 29.39641, 71.663947 29.39641)",,,
182209537,residential,False,True,48.606,"LINESTRING (71.663947 29.39641, 71.6639518 29.3968471)",,20,
301261266,residential,False,False,95.619,"LINESTRING (71.663947 29.39641, 71.66296 29.39641)",,,
301261266,residential,False,True,97.073,"LINESTRING (71.663947 29.39641, 71.664949 29.3964059)",,,
182208541,secondary,True,False,48.161,"LINESTRING (71.664949 29.3964059, 71.6649537 29.396839)",Model Town Rd,56,
301261266,residential,False,False,97.073,"LINESTRING (71.664949 29.3964059, 71.663947 29.39641)",,,
182208662,secondary,True,False,47.712,"LINESTRING (71.665106 29.39641, 71.6650961 29.395981)",,56,
182209024,residential,False,True,107.382,"LINESTRING (71.665106 29.39641, 71.6662144 29.3964156)",,20,
182208534,tertiary,False,False,68.645,"LINESTRING (71.6594988 29.3965015, 71.659312 29.397097)",M Qasim Rd,20,
182208534,tertiary,False,True,111.536,"LINESTRING (71.6594988 29.3965015, 71.65987 29.395552)",M Qasim Rd,20,
182208674,residential,False,False,45.749,"LINESTRING (71.6594988 29.3965015, 71.6590518 29.3963688)",,20,
182208735,residential,False,True,174.636,"LINESTRING (71.6594988 29.3965015, 71.6612085 29.3969993)",,20,
182208984,residential,False,False,97.347,"LINESTRING (71.6639518 29.3968471, 71.662947 29.3968553)",,20,
182208984,residential,False,True,97.066,"LINESTRING (71.6639518 29.3968471, 71.6649537 29.396839)",,20,
182209537,residential,False,False,48.606,"LINESTRING (71.6639518 29.3968471, 71.663947 29.39641)",,20,
182209537,residential,False,True,48.62,"LINESTRING (71.6639518 29.3968471, 71.6639387 29.3972842)",,20,
182208984,residential,False,True,97.347,"LINESTRING (71.662947 29.3968553, 71.6639518 29.3968471)",,20,
182209478,residential,False,False,49.531,"LINESTRING (71.662947 29.3968553, 71.66296 29.39641)",,20,
182209478,residential,False,True,48.573,"LINESTRING (71.662947 29.3968553, 71.6629527 29.3972921)",,20,
182208541,secondary,True,False,48.606,"LINESTRING (71.6649537 29.396839, 71.664949 29.3972761)",Model Town Rd,56,
182208984,residential,False,False,97.066,"LINESTRING (71.6649537 29.396839, 71.6639518 29.3968471)",,20,
182208662,secondary,True,False,47.703,"LINESTRING (71.665106 29.396839, 71.665106 29.39641)",,56,
182209177,residential,False,False,107.667,"LINESTRING (71.665106 29.396839, 71.6662173 29.3968501)",,20,
182208661,residential,False,True,47.695,"LINESTRING (71.667809 29.396839, 71.6678149 29.3972679)",,20,
