osmid,name,highway,maxspeed,oneway,reversed,length,geometry
140416278,Muzaffargarh-Alipur Road,primary,80,False,False,271.739,"LINESTRING (71.0190591 29.5777119, 71.0194072 29.5771954, 71.0195311 29.5767282, 71.0195993 29.5760858, 71.0195929 29.5753653)"
997567834,,tertiary,,False,False,168.32,"LINESTRING (71.0190591 29.5777119, 71.0182428 29.5777306, 71.0173416 29.5779079)"
140416278,Muzaffargarh-Alipur Road,primary,80,False,False,590.423,"LINESTRING (71.0195929 29.5753653, 71.0196058 29.574657, 71.019577 29.574475, 71.0193215 29.5739848, 71.017464 29.5704577)"
140416278,Muzaffargarh-Alipur Road,primary,80,False,True,271.739,"LINESTRING (71.0195929 29.5753653, 71.0195993 29.5760858, 71.0195311 29.5767282, 71.0194072 29.5771954, 71.0190591 29.5777119)"
997567968,,residential,,False,False,178.498,"LINESTRING (71.0231996 29.5785192, 71.0229313 29.5775814, 71.0228455 29.5769469)"
1155899292,,tertiary,,False,False,310.551,"LINESTRING (71.0231996 29.5785192, 71.023956 29.5780713, 71.0249468 29.5771879, 71.0254682 29.5767228, 71.0255817 29.576667)"
187989437,,residential,,False,False,20.945,"LINESTRING (71.0176593 29.5703763, 71.017464 29.5704577)"
997567937,,tertiary,,False,False,1341.6259999999997,"LINESTRING (71.0176593 29.5703763, 71.0198549 29.5697016, 71.0211853 29.5693377, 71.0213929 29.5694338, 71.0228376 29.5704295, 71.0245005 29.5717265, 71.0248583 29.5724292, 71.0251979 29.5733035, 71.0254661 29.5750204, 71.0256056 29.5764387, 71.0255817 29.576667)"
187989437,,residential,,False,True,20.945,"LINESTRING (71.017464 29.5704577, 71.0176593 29.5703763)"
140416278,Muzaffargarh-Alipur Road,primary,80,False,True,590.423,"LINESTRING (71.017464 29.5704577, 71.0193215 29.5739848, 71.019577 29.574475, 71.0196058 29.574657, 71.0195929 29.5753653)"
997567937,,tertiary,,False,True,1341.6259999999997,"LINESTRING (71.0255817 29.576667, 71.0256056 29.5764387, 71.0254661 29.5750204, 71.0251979 29.5733035, 71.0248583 29.5724292, 71.0245005 29.5717265, 71.0228376 29.5704295, 71.0213929 29.5694338, 71.0211853 29.5693377, 71.0198549 29.5697016, 71.0176593 29.5703763)"
1155899292,,tertiary,,False,True,310.551,"LINESTRING (71.0255817 29.576667, 71.0254682 29.5767228, 71.0249468 29.5771879, 71.023956 29.5780713, 71.0231996 29.5785192)"
997567834,,tertiary,,False,True,168.32,"LINESTRING (71.0173416 29.5779079, 71.0182428 29.5777306, 71.0190591 29.5777119)"
997567968,,residential,,False,True,178.498,"LINESTRING (71.0228455 29.5769469, 71.0229313 29.5775814, 71.0231996 29.5785192)"
