osmid,name,highway,oneway,reversed,length,geometry
225301284,Tubusereia Road,tertiary,False,False,33.691,"LINESTRING (147.3220468 -9.5488913, 147.3219377 -9.5489871, 147.3217955 -9.5490619)"
225301284,Tubusereia Road,tertiary,False,True,106.82100000000001,"LINESTRING (147.3220468 -9.5488913, 147.3221676 -9.5485687, 147.3223782 -9.5481882, 147.3224754 -9.5480989, 147.3225193 -9.5480696)"
227387272,,residential,False,False,158.836,"LINESTRING (147.3220468 -9.5488913, 147.3222179 -9.5489972, 147.3224612 -9.5492671, 147.3228299 -9.5500554)"
225301284,Tubusereia Road,tertiary,False,False,363.61400000000003,"LINESTRING (147.3217955 -9.5490619, 147.3216983 -9.5490829, 147.3215727 -9.5490923, 147.3210157 -9.5490759, 147.3208688 -9.5491344, 147.3206104 -9.5491484, 147.3203142 -9.5490689, 147.3198899 -9.5488539, 147.3198283 -9.5488539, 147.3186645 -9.5493564)"
225301284,Tubusereia Road,tertiary,False,True,33.691,"LINESTRING (147.3217955 -9.5490619, 147.3219377 -9.5489871, 147.3220468 -9.5488913)"
227387275,,residential,False,True,333.04200000000003,"LINESTRING (147.3217955 -9.5490619, 147.3217093 -9.5490038, 147.3212494 -9.5488468, 147.3211636 -9.5487304, 147.3203299 -9.5477047, 147.3199973 -9.547419, 147.3199222 -9.5471968, 147.3197077 -9.5470064)"
227387290,,residential,False,False,49.856,"LINESTRING (147.3186645 -9.5493564, 147.3186801 -9.5498045)"
227387290,,residential,False,True,100.51,"LINESTRING (147.3186645 -9.5493564, 147.31827 -9.5485405)"
225301284,Tubusereia Road,tertiary,False,True,363.61400000000003,"LINESTRING (147.3186645 -9.5493564, 147.3198283 -9.5488539, 147.3198899 -9.5488539, 147.3203142 -9.5490689, 147.3206104 -9.5491484, 147.3208688 -9.5491344, 147.3210157 -9.5490759, 147.3215727 -9.5490923, 147.3216983 -9.5490829, 147.3217955 -9.5490619)"
227387273,,living_street,False,True,95.988,"LINESTRING (147.3207467 -9.5516484, 147.3207085 -9.5517595, 147.3206991 -9.5517753, 147.3207246 -9.5519116, 147.3207612 -9.5520737, 147.3207453 -9.5522653, 147.3205981 -9.5524446)"
227387285,,living_street,False,False,98.834,"LINESTRING (147.3207467 -9.5516484, 147.3208526 -9.5515783, 147.3209143 -9.5515776, 147.3209988 -9.5515651, 147.3211101 -9.551491, 147.3213116 -9.551048)"
227387285,,living_street,False,True,107.279,"LINESTRING (147.3207467 -9.5516484, 147.3206106 -9.5515003, 147.3204429 -9.5513085, 147.3204932 -9.5512523, 147.3205713 -9.5512702, 147.3207484 -9.5509581)"
227387274,,residential,False,False,59.458,"LINESTRING (147.3197828 -9.545377, 147.3199598 -9.545668, 147.3199512 -9.5458632)"
227387275,,residential,False,False,94.054,"LINESTRING (147.3197828 -9.545377, 147.319595 -9.5454193, 147.3195267 -9.5454731, 147.3195172 -9.5460427)"
227387279,,residential,False,False,113.12700000000001,"LINESTRING (147.322878 -9.548969, 147.3228319 -9.548778, 147.3226205 -9.548604, 147.3225851 -9.5485135, 147.3225776 -9.5482601, 147.3225193 -9.5480696)"
227387274,,residential,False,True,59.458,"LINESTRING (147.3199512 -9.5458632, 147.3199598 -9.545668, 147.3197828 -9.545377)"
227387290,,residential,False,False,100.51,"LINESTRING (147.31827 -9.5485405, 147.3186645 -9.5493564)"
227387282,,living_street,False,True,188.564,"LINESTRING (147.31827 -9.5485405, 147.3186991 -9.548276, 147.3189856 -9.5479052, 147.3192538 -9.5475454, 147.3194931 -9.5473873)"
227387283,,residential,False,True,77.584,"LINESTRING (147.31827 -9.5485405, 147.3181091 -9.548149, 147.3181198 -9.5478739)"
225301284,Tubusereia Road,tertiary,False,False,106.821,"LINESTRING (147.3225193 -9.5480696, 147.3224754 -9.5480989, 147.3223782 -9.5481882, 147.3221676 -9.5485687, 147.3220468 -9.5488913)"
227387279,,residential,False,True,113.12700000000001,"LINESTRING (147.3225193 -9.5480696, 147.3225776 -9.5482601, 147.3225851 -9.5485135, 147.3226205 -9.548604, 147.3228319 -9.548778, 147.322878 -9.548969)"
227387290,,residential,False,True,286.67400000000004,"LINESTRING (147.3184846 -9.5523388, 147.318506 -9.5514712, 147.3184524 -9.551376, 147.3184384 -9.5511321, 147.3185597 -9.5507412, 147.3186884 -9.5500429, 147.3186801 -9.5498045)"
227387270,,residential,False,False,78.003,"LINESTRING (147.3213116 -9.551048, 147.3219788 -9.5512913)"
227387270,,residential,False,True,327.957,"LINESTRING (147.3213116 -9.551048, 147.3207362 -9.5506321, 147.3203398 -9.5504998, 147.3202036 -9.5504637, 147.319984 -9.5503635, 147.3197157 -9.5503054, 147.3194027 -9.5501991, 147.3192055 -9.5500424, 147.3190071 -9.549836, 147.3186801 -9.5498045)"
227387285,,living_street,False,True,98.834,"LINESTRING (147.3213116 -9.551048, 147.3211101 -9.551491, 147.3209988 -9.5515651, 147.3209143 -9.5515776, 147.3208526 -9.5515783, 147.3207467 -9.5516484)"
227387275,,residential,False,False,333.042,"LINESTRING (147.3197077 -9.5470064, 147.3199222 -9.5471968, 147.3199973 -9.547419, 147.3203299 -9.5477047, 147.3211636 -9.5487304, 147.3212494 -9.5488468, 147.3217093 -9.5490038, 147.3217955 -9.5490619)"
227387275,,residential,False,True,110.416,"LINESTRING (147.3197077 -9.5470064, 147.3195789 -9.546689, 147.3195682 -9.5463716, 147.3195253 -9.5461705, 147.3195172 -9.5460427)"
227387287,,living_street,False,True,112.94500000000001,"LINESTRING (147.3197077 -9.5470064, 147.3193826 -9.5467307, 147.3188172 -9.5469323)"
227387290,,residential,False,True,49.856,"LINESTRING (147.3186801 -9.5498045, 147.3186645 -9.5493564)"
227387270,,residential,False,False,327.957,"LINESTRING (147.3186801 -9.5498045, 147.3190071 -9.549836, 147.3192055 -9.5500424, 147.3194027 -9.5501991, 147.3197157 -9.5503054, 147.319984 -9.5503635, 147.3202036 -9.5504637, 147.3203398 -9.5504998, 147.3207362 -9.5506321, 147.3213116 -9.551048)"
227387290,,residential,False,False,286.674,"LINESTRING (147.3186801 -9.5498045, 147.3186884 -9.5500429, 147.3185597 -9.5507412, 147.3184384 -9.5511321, 147.3184524 -9.551376, 147.318506 -9.5514712, 147.3184846 -9.5523388)"
227387275,,residential,False,False,110.416,"LINESTRING (147.3195172 -9.5460427, 147.3195253 -9.5461705, 147.3195682 -9.5463716, 147.3195789 -9.546689, 147.3197077 -9.5470064)"
227387275,,residential,False,True,94.054,"LINESTRING (147.3195172 -9.5460427, 147.3195267 -9.5454731, 147.319595 -9.5454193, 147.3197828 -9.545377)"
227387281,,residential,False,True,152.251,"LINESTRING (147.3195172 -9.5460427, 147.3193 -9.5457473, 147.3183451 -9.5460965)"
227387281,,residential,False,False,152.251,"LINESTRING (147.3183451 -9.5460965, 147.3193 -9.5457473, 147.3195172 -9.5460427)"
227387283,,residential,False,False,201.329,"LINESTRING (147.3183451 -9.5460965, 147.3183294 -9.5464726, 147.318307 -9.5468976, 147.3182807 -9.5474931, 147.3181198 -9.5478739)"
227387287,,living_street,False,False,112.94500000000001,"LINESTRING (147.3188172 -9.5469323, 147.3193826 -9.5467307, 147.3197077 -9.5470064)"
227387271,,residential,False,True,83.945,"LINESTRING (147.3181198 -9.5478739, 147.3175297 -9.5477576, 147.3173902 -9.5478422)"
227387283,,residential,False,False,77.584,"LINESTRING (147.3181198 -9.5478739, 147.3181091 -9.548149, 147.31827 -9.5485405)"
227387283,,residential,False,True,201.329,"LINESTRING (147.3181198 -9.5478739, 147.3182807 -9.5474931, 147.318307 -9.5468976, 147.3183294 -9.5464726, 147.3183451 -9.5460965)"
