osmid,lanes,ref,highway,oneway,reversed,length,name,geometry
1270220309,2,LI-1103,tertiary,False,True,8.4,,"LINESTRING (-79.006278 -8.1678277, -79.0063237 -8.1678882)"
94630218,,,residential,False,False,70.387,Calle Comandante Moore,"LINESTRING (-79.0097803 -8.1698138, -79.0096048 -8.1692051)"
94630218,,,residential,False,True,68.775,Calle Comandante Moore,"LINESTRING (-79.0097803 -8.1698138, -79.0099513 -8.1704087)"
94637152,,,residential,False,False,54.301,Jirón Rodolfo Espinar,"LINESTRING (-79.0097803 -8.1698138, -79.010259 -8.1696957)"
94637152,,,residential,False,True,49.819,Jirón Rodolfo Espinar,"LINESTRING (-79.0097803 -8.1698138, -79.0093411 -8.1699221)"
94603934,,,residential,True,False,114.864,Pasaje Odonovan,"LINESTRING (-79.0083779 -8.1728702, -79.0079512 -8.1719275)"
567956091,,,residential,False,True,76.775,Calle Sepulveda,"LINESTRING (-79.0083779 -8.1728702, -79.0076962 -8.1730165)"
933911469,,,residential,False,True,54.506,Jirón Ricardo Odonovan,"LINESTRING (-79.0083779 -8.1728702, -79.0084733 -8.1733512)"
933911470,,,residential,False,False,7.204,Calle Sepulveda,"LINESTRING (-79.0083779 -8.1728702, -79.0084416 -8.1728553)"
567956091,,,residential,False,False,76.775,Calle Sepulveda,"LINESTRING (-79.0076962 -8.1730165, -79.0083779 -8.1728702)"
567956091,,,residential,False,True,98.442,Calle Sepulveda,"LINESTRING (-79.0076962 -8.1730165, -79.006817 -8.173179)"
1187910193,,,residential,False,False,112.522,Jirón Salaverry,"LINESTRING (-79.0076962 -8.1730165, -79.0074973 -8.1720239)"
1187910193,,,residential,False,True,81.098,Jirón Salaverry,"LINESTRING (-79.0076962 -8.1730165, -79.007839 -8.173732)"
94616394,,,residential,False,False,57.515,Jirón José Inclan,"LINESTRING (-79.009758 -8.1715084, -79.0096212 -8.1710092)"
933911465,,,tertiary,True,False,62.867,Jirón Diego Ferré,"LINESTRING (-79.009758 -8.1715084, -79.0092014 -8.1716353)"
94616394,,,residential,False,True,111.62100000000001,Jirón José Inclan,"LINESTRING (-79.009758 -8.1715084, -79.0098909 -8.1720089, -79.0100133 -8.1724799)"
567956085,,,residential,False,False,66.632,Jirón Miguiel Grau,"LINESTRING (-79.0083341 -8.1701587, -79.0081967 -8.1695751)"
