osmid,lanes,name,highway,oneway,reversed,length,ref,geometry
22952784,2,Salbu-Pagatin Road,primary,False,False,12.505,,"LINESTRING (124.4821596 6.9764331, 124.4821209 6.9763274)"
88776588,2,Dulawan-Marbel Road,primary,False,False,7.049,940,"LINESTRING (124.4821596 6.9764331, 124.4821667 6.9764961)"
821931255,2,Dulawan-Marbel Road,primary,False,True,38.732,940,"LINESTRING (124.4821596 6.9764331, 124.4822692 6.9761022)"
22952784,2,Salbu-Pagatin Road,primary,False,True,173.678,,"LINESTRING (124.4810134 6.974944, 124.4812664 6.9751258, 124.481442 6.9752854, 124.4815673 6.9754316, 124.4819185 6.9759396, 124.4820268 6.9761171)"
974189725,2,,primary,False,True,180.34400000000002,,"LINESTRING (124.4810134 6.974944, 124.4814817 6.9750881, 124.4816816 6.9751471, 124.4818426 6.9751761, 124.4819615 6.9751846, 124.4820728 6.9751825, 124.4822565 6.9751664, 124.482397 6.9751471, 124.4825137 6.9751235, 124.4826064 6.9751002)"
22952784,2,Salbu-Pagatin Road,primary,False,False,25.587,,"LINESTRING (124.4821209 6.9763274, 124.4820268 6.9761171)"
22952784,2,Salbu-Pagatin Road,primary,False,True,12.505,,"LINESTRING (124.4821209 6.9763274, 124.4821596 6.9764331)"
131595430,,,unclassified,False,False,118.04599999999999,,"LINESTRING (124.4821209 6.9763274, 124.4814183 6.9768508, 124.4812809 6.9769826)"
88776588,2,Dulawan-Marbel Road,primary,False,True,7.049,940,"LINESTRING (124.4821667 6.9764961, 124.4821596 6.9764331)"
88776588,2,Dulawan-Marbel Road,primary,False,False,76.6,940,"LINESTRING (124.4821667 6.9764961, 124.4821927 6.9767921, 124.4822172 6.9771831)"
"[131595428, 131595429]",,,residential,False,True,185.06500000000003,,"LINESTRING (124.4821667 6.9764961, 124.4815824 6.9769338, 124.4815557 6.9769563, 124.4815437 6.9769819, 124.4815517 6.9770135, 124.4818121 6.9773019, 124.4818392 6.9773195, 124.4818649 6.9773177, 124.4818877 6.9772997, 124.4820513 6.9771846, 124.4820848 6.9771712, 124.4821183 6.9771659, 124.4822172 6.9771831)"
131595427,,,residential,False,False,103.97,,"LINESTRING (124.4812809 6.9769826, 124.4814353 6.9771287, 124.4816148 6.9772974, 124.4817444 6.9774292, 124.4818632 6.9775507, 124.4819402 6.9776489)"
131595430,,,unclassified,False,True,118.04599999999999,,"LINESTRING (124.4812809 6.9769826, 124.4814183 6.9768508, 124.4821209 6.9763274)"
88776588,2,Dulawan-Marbel Road,primary,False,True,35.863,940,"LINESTRING (124.4822374 6.977505, 124.4822172 6.9771831)"
131595432,,,residential,False,True,36.498,,"LINESTRING (124.4822374 6.977505, 124.4820144 6.9776121, 124.4819402 6.9776489)"
131595427,,,residential,False,True,103.97,,"LINESTRING (124.4819402 6.9776489, 124.4818632 6.9775507, 124.4817444 6.9774292, 124.4816148 6.9772974, 124.4814353 6.9771287, 124.4812809 6.9769826)"
131595432,,,residential,False,False,36.498,,"LINESTRING (124.4819402 6.9776489, 124.4820144 6.9776121, 124.4822374 6.977505)"
131595432,,,residential,False,True,416.399,,"LINESTRING (124.4819402 6.9776489, 124.4817848 6.9777439, 124.4814685 6.9779872, 124.4811487 6.9782482, 124.4810441 6.9783587, 124.4809918 6.9784425, 124.4809395 6.978581, 124.4808644 6.9788459, 124.4807437 6.9793304, 124.4807182 6.9794196, 124.4806874 6.9794768, 124.4806512 6.9795327, 124.4803508 6.9798815, 124.4803407 6.9799061, 124.4803474 6.9799301, 124.4805774 6.9801171, 124.481028 6.9804433)"
22952784,2,Salbu-Pagatin Road,primary,False,True,25.587,,"LINESTRING (124.4820268 6.9761171, 124.4821209 6.9763274)"
22952784,2,Salbu-Pagatin Road,primary,False,False,173.678,,"LINESTRING (124.4820268 6.9761171, 124.4819185 6.9759396, 124.4815673 6.9754316, 124.481442 6.9752854, 124.4812664 6.9751258, 124.4810134 6.974944)"
326334948,,,residential,False,False,27.942,,"LINESTRING (124.4820268 6.9761171, 124.4820908 6.9761354, 124.4821465 6.9761423, 124.4821969 6.976135, 124.4822692 6.9761022)"
821931255,2,Dulawan-Marbel Road,primary,False,False,38.732,940,"LINESTRING (124.4822692 6.9761022, 124.4821596 6.9764331)"
326334948,,,residential,False,True,27.942,,"LINESTRING (124.4822692 6.9761022, 124.4821969 6.976135, 124.4821465 6.9761423, 124.4820908 6.9761354, 124.4820268 6.9761171)"
821931255,2,Dulawan-Marbel Road,primary,False,True,117.546,940,"LINESTRING (124.4822692 6.9761022, 124.4825032 6.9753539, 124.4826064 6.9751002)"
88776588,2,Dulawan-Marbel Road,primary,False,False,35.863,940,"LINESTRING (124.4822172 6.9771831, 124.4822374 6.977505)"
88776588,2,Dulawan-Marbel Road,primary,False,True,76.6,940,"LINESTRING (124.4822172 6.9771831, 124.4821927 6.9767921, 124.4821667 6.9764961)"
"[131595428, 131595429]",,,residential,False,False,185.065,,"LINESTRING (124.4822172 6.9771831, 124.4821183 6.9771659, 124.4820848 6.9771712, 124.4820513 6.9771846, 124.4818877 6.9772997, 124.4818649 6.9773177, 124.4818392 6.9773195, 124.4818121 6.9773019, 124.4815517 6.9770135, 124.4815437 6.9769819, 124.4815557 6.9769563, 124.4815824 6.9769338, 124.4821667 6.9764961)"
821931255,2,Dulawan-Marbel Road,primary,False,False,117.546,940,"LINESTRING (124.4826064 6.9751002, 124.4825032 6.9753539, 124.4822692 6.9761022)"
974189725,2,,primary,False,False,180.344,,"LINESTRING (124.4826064 6.9751002, 124.4825137 6.9751235, 124.482397 6.9751471, 124.4822565 6.9751664, 124.4820728 6.9751825, 124.4819615 6.9751846, 124.4818426 6.9751761, 124.4816816 6.9751471, 124.4814817 6.9750881, 124.4810134 6.974944)"
131595432,,,residential,False,False,416.39900000000006,,"LINESTRING (124.481028 6.9804433, 124.4805774 6.9801171, 124.4803474 6.9799301, 124.4803407 6.9799061, 124.4803508 6.9798815, 124.4806512 6.9795327, 124.4806874 6.9794768, 124.4807182 6.9794196, 124.4807437 6.9793304, 124.4808644 6.9788459, 124.4809395 6.978581, 124.4809918 6.9784425, 124.4810441 6.9783587, 124.4811487 6.9782482, 124.4814685 6.9779872, 124.4817848 6.9777439, 124.4819402 6.9776489)"
