osmid,name,highway,oneway,reversed,length,geometry,lanes
38608278,City Hall Drive,tertiary,False,True,53.759,"LINESTRING (125.1731882 6.1127974, 125.1728562 6.112793, 125.172702 6.1127926)",
124314563,President Manuel Roxas Avenue,secondary,False,True,17.576,"LINESTRING (125.1731882 6.1127974, 125.1731834 6.1126974, 125.1731747 6.1126401)",5
511058699,Osmeña Street,tertiary,False,False,149.79199999999997,"LINESTRING (125.1731882 6.1127974, 125.173805 6.1127962, 125.174543 6.1127921)",
630200045,President Manuel Roxas Avenue,secondary,False,False,85.77799999999999,"LINESTRING (125.1731882 6.1127974, 125.1731866 6.1129611, 125.1731859 6.1133516, 125.1731839 6.1135688)",5
511058698,Gregorio Daproza Street,tertiary,False,True,153.661,"LINESTRING (125.170322 6.112784, 125.1689322 6.1127811)",
791211459,Pendatun Avenue,secondary,False,True,88.203,"LINESTRING (125.170322 6.112784, 125.170315 6.1135772)",4
38608278,City Hall Drive,tertiary,False,False,56.985,"LINESTRING (125.170322 6.112784, 125.1706076 6.1127855, 125.1708374 6.1127868)",
791211459,Pendatun Avenue,secondary,False,False,21.95,"LINESTRING (125.170322 6.112784, 125.1703352 6.1126765, 125.1703651 6.1125925)",4
628186371,President Manuel Roxas Avenue,secondary,False,False,13.523,"LINESTRING (125.1716817 6.1115462, 125.1718038 6.111539)",5
153958916,Pioneer Avenue,secondary,True,False,245.187,"LINESTRING (125.1716817 6.1115462, 125.1716833 6.1113923, 125.171684 6.1113296, 125.1716849 6.1112381, 125.1716989 6.1098814, 125.1717027 6.10952, 125.1717045 6.1093413)",2
791211459,Pendatun Avenue,secondary,False,True,80.97,"LINESTRING (125.1716817 6.1115462, 125.1715823 6.1115569, 125.1713279 6.1116047, 125.171291 6.1116173, 125.1712517 6.1116307, 125.1710363 6.1117349, 125.1709925 6.1117652)",4
60237883,Santol Street,residential,False,True,75.835,"LINESTRING (125.1702839 6.1148773, 125.169598 6.1148771)",
511058701,Udtog Matalam Street,unclassified,False,False,137.097,"LINESTRING (125.1702839 6.1148773, 125.1715239 6.1148775)",
791211459,Pendatun Avenue,secondary,False,False,144.606,"LINESTRING (125.1702839 6.1148773, 125.170315 6.1135772)",4
791211459,Pendatun Avenue,secondary,False,True,107.937,"LINESTRING (125.1702839 6.1148773, 125.1702839 6.115848)",4
38608279,Zapote Street,residential,False,False,75.78,"LINESTRING (125.1731946 6.114897, 125.1738799 6.114885)",
511058701,Udtog Matalam Street,unclassified,False,True,125.488,"LINESTRING (125.1731946 6.114897, 125.1720598 6.1148759)",
630200045,President Manuel Roxas Avenue,secondary,False,False,105.465,"LINESTRING (125.1731946 6.114897, 125.1731834 6.1158454)",5
630200045,President Manuel Roxas Avenue,secondary,False,True,147.694,"LINESTRING (125.1731946 6.114897, 125.1731839 6.1135688)",5
511058701,Udtog Matalam Street,unclassified,False,False,59.251,"LINESTRING (125.1715239 6.1148775, 125.1720598 6.1148759)",
511058701,Udtog Matalam Street,unclassified,False,True,137.097,"LINESTRING (125.1715239 6.1148775, 125.1702839 6.1148773)",
38608281,,unclassified,False,False,286.148,"LINESTRING (125.1715239 6.1148775, 125.1714984 6.1134805, 125.1714931 6.1133904, 125.1714863 6.1133325, 125.1714635 6.1132899, 125.1714072 6.1132565, 125.171301 6.1132313, 125.1709606 6.1131818, 125.1709056 6.1131672, 125.1708694 6.1131432, 125.1708504 6.1131147, 125.1708392 6.1130765, 125.1708385 6.1130152, 125.1708374 6.1127868)",2
38608278,City Hall Drive,tertiary,False,False,143.41299999999998,"LINESTRING (125.1708374 6.1127868, 125.1714946 6.1127903, 125.1715393 6.1127905, 125.1716632 6.1127912, 125.1718109 6.112792, 125.1718775 6.1127921, 125.1719682 6.1127928, 125.1721345 6.112791)",
38608278,City Hall Drive,tertiary,False,True,56.985,"LINESTRING (125.1708374 6.1127868, 125.1706076 6.1127855, 125.170322 6.112784)",
38608281,,unclassified,False,True,286.148,"LINESTRING (125.1708374 6.1127868, 125.1708385 6.1130152, 125.1708392 6.1130765, 125.1708504 6.1131147, 125.1708694 6.1131432, 125.1709056 6.1131672, 125.1709606 6.1131818, 125.171301 6.1132313, 125.1714072 6.1132565, 125.1714635 6.1132899, 125.1714863 6.1133325, 125.1714931 6.1133904, 125.1714984 6.1134805, 125.1715239 6.1148775)",2
511058701,Udtog Matalam Street,unclassified,False,False,125.488,"LINESTRING (125.1720598 6.1148759, 125.1731946 6.114897)",
511058701,Udtog Matalam Street,unclassified,False,True,59.251,"LINESTRING (125.1720598 6.1148759, 125.1715239 6.1148775)",
38608285,Senior Citizens Street,unclassified,False,False,189.85000000000002,"LINESTRING (125.1720598 6.1148759, 125.1720469 6.1133788, 125.1720589 6.1133272, 125.1720898 6.1132712, 125.1721358 6.1131898)",2
38608285,Senior Citizens Street,unclassified,False,False,44.344,"LINESTRING (125.1721358 6.1131898, 125.1721355 6.1129978, 125.1721345 6.112791)",2
38608285,Senior Citizens Street,unclassified,False,True,189.85,"LINESTRING (125.1721358 6.1131898, 125.1720898 6.1132712, 125.1720589 6.1133272, 125.1720469 6.1133788, 125.1720598 6.1148759)",2
"[977371795, 511058700]",,residential,False,False,106.386,"LINESTRING (125.1721358 6.1131898, 125.1724655 6.1131909, 125.1726966 6.1131917, 125.1726991 6.1130059, 125.172702 6.1127926)",
38608278,City Hall Drive,tertiary,False,True,62.745,"LINESTRING (125.172702 6.1127926, 125.1721345 6.112791)",
38608278,City Hall Drive,tertiary,False,False,53.759,"LINESTRING (125.172702 6.1127926, 125.1728562 6.112793, 125.1731882 6.1127974)",
"[977371795, 511058700]",,residential,False,True,106.386,"LINESTRING (125.172702 6.1127926, 125.1726991 6.1130059, 125.1726966 6.1131917, 125.1724655 6.1131909, 125.1721358 6.1131898)",
38608278,City Hall Drive,tertiary,False,False,62.745,"LINESTRING (125.1721345 6.112791, 125.172702 6.1127926)",
38608278,City Hall Drive,tertiary,False,True,143.413,"LINESTRING (125.1721345 6.112791, 125.1719682 6.1127928, 125.1718775 6.1127921, 125.1718109 6.112792, 125.1716632 6.1127912, 125.1715393 6.1127905, 125.1714946 6.1127903, 125.1708374 6.1127868)",
38608285,Senior Citizens Street,unclassified,False,True,44.344,"LINESTRING (125.1721345 6.112791, 125.1721355 6.1129978, 125.1721358 6.1131898)",2
52703528,President Elpidio Quirino Avenue,tertiary,False,True,223.25400000000002,"LINESTRING (125.1759528 6.1093436, 125.1759488 6.1103467, 125.1759485 6.1103776, 125.1759378 6.1113513)",4
