osmid,lanes,highway,oneway,reversed,length,name,bridge,geometry,ref,maxspeed
884734226,1,secondary,False,True,89.414,,,"LINESTRING (120.7632378 14.3179636, 120.7634742 14.3171928)",,
"[879491979, 879491980, 879491981]","['1', '2']",secondary,False,False,119.297,Naic-Ternate Road,yes,"LINESTRING (120.7632378 14.3179636, 120.7628733 14.3178655, 120.762477 14.3177601, 120.7621611 14.3177247)",,
890535740,,residential,False,False,78.844,,,"LINESTRING (120.7598281 14.323239, 120.7596899 14.3225427)",,
152457864,,unclassified,False,True,143.41299999999998,,,"LINESTRING (120.7615832 14.3202414, 120.7611753 14.3206245, 120.7609103 14.3209054, 120.7606605 14.3211702)",,
79156718,,residential,False,False,223.85399999999998,J. P. Rizal,,"LINESTRING (120.7622339 14.3198458, 120.7631102 14.3198807, 120.7634872 14.3198071, 120.7636786 14.3196569, 120.7637768 14.3195387, 120.7638377 14.3194654, 120.7640471 14.319236)",,
79156715,,secondary,False,True,71.32,J. Poblete Street,,"LINESTRING (120.7640471 14.319236, 120.7634692 14.3189232)",,
79156715,,secondary,False,False,33.724000000000004,J. Poblete Street,,"LINESTRING (120.7640471 14.319236, 120.764228 14.3193378, 120.7643284 14.3193634)",,
79156718,,residential,False,False,70.459,J. P. Rizal,,"LINESTRING (120.7640471 14.319236, 120.7641442 14.3190715, 120.764354 14.3186766)",,
79156718,,residential,False,True,223.85399999999998,J. P. Rizal,,"LINESTRING (120.7640471 14.319236, 120.7638377 14.3194654, 120.7637768 14.3195387, 120.7636786 14.3196569, 120.7634872 14.3198071, 120.7631102 14.3198807, 120.7622339 14.3198458)",,
79156718,,residential,False,False,148.27,J. P. Rizal,,"LINESTRING (120.764354 14.3186766, 120.7650147 14.3175069)",,
152457825,,unclassified,False,False,65.918,A. Mabini,,"LINESTRING (120.764354 14.3186766, 120.7637817 14.318467)",,
79156718,,residential,False,True,70.459,J. P. Rizal,,"LINESTRING (120.764354 14.3186766, 120.7641442 14.3190715, 120.7640471 14.319236)",,
79156718,,residential,False,True,148.27,J. P. Rizal,,"LINESTRING (120.7650147 14.3175069, 120.764354 14.3186766)",,
79156719,,residential,False,False,120.202,J. P. Rizal,,"LINESTRING (120.7650147 14.3175069, 120.7655557 14.3165615)",,
188564084,1,secondary,True,False,77.951,Captain Yoyo Jocson,,"LINESTRING (120.7650147 14.3175069, 120.7656503 14.3178418)",,
79156719,,residential,False,False,46.303,J. P. Rizal,,"LINESTRING (120.7655557 14.3165615, 120.7657436 14.316187)",,
79156719,,residential,False,True,120.202,J. P. Rizal,,"LINESTRING (120.7655557 14.3165615, 120.7650147 14.3175069)",,
939282244,1.5,residential,False,False,98.156,P. Burgos,,"LINESTRING (120.7655557 14.3165615, 120.7663375 14.3170147)",,
939282244,1.5,residential,False,True,70.231,P. Burgos,,"LINESTRING (120.7655557 14.3165615, 120.7649707 14.3162829)",,
79156714,,residential,False,False,114.263,Captain Abenas,,"LINESTRING (120.7657436 14.316187, 120.766666 14.3166941)",,
79156714,,residential,False,True,66.504,Captain Abenas,,"LINESTRING (120.7657436 14.316187, 120.7652024 14.3158994)",,
79156719,,residential,False,True,46.303,J. P. Rizal,,"LINESTRING (120.7657436 14.316187, 120.7655557 14.3165615)",,
