osmid,ref,highway,oneway,reversed,length,geometry,name
56810365,713,tertiary,False,True,104.703,"LINESTRING (122.803429 10.5183143, 122.8042359 10.5188215)",
626572459,713,residential,False,False,64.42,"LINESTRING (122.803429 10.5183143, 122.8031182 10.5188065)",
659007827,713,tertiary,False,False,113.608,"LINESTRING (122.8023363 10.5200448, 122.8014715 10.5194783)",
1046733238,,tertiary,False,True,110.093,"LINESTRING (122.8023363 10.5200448, 122.8031918 10.5205671)",
626572459,713,residential,False,True,162.077,"LINESTRING (122.8023363 10.5200448, 122.8028547 10.519236, 122.8031182 10.5188065)",
318320946,,residential,False,True,88.221,"LINESTRING (122.8031918 10.5205671, 122.8035928 10.5198786)",Riego Street
791197998,,tertiary,False,True,112.888,"LINESTRING (122.8031918 10.5205671, 122.8026666 10.5214412)",
1046733238,,tertiary,False,False,110.093,"LINESTRING (122.8031918 10.5205671, 122.8023363 10.5200448)",
492457960,,unclassified,False,False,139.619,"LINESTRING (122.8031918 10.5205671, 122.8034259 10.5207305, 122.804159 10.5211369, 122.8042818 10.5212188)",Yanson Street
791197998,,tertiary,False,False,7.58,"LINESTRING (122.8026335 10.5215011, 122.8026666 10.5214412)",
791197998,,tertiary,False,True,104.67,"LINESTRING (122.8026335 10.5215011, 122.8021252 10.5222988)",
318696220,,residential,False,True,109.38799999999999,"LINESTRING (122.8026335 10.5215011, 122.8018596 10.521134, 122.8017346 10.5210692)",
318321208,713,tertiary,False,False,101.919,"LINESTRING (122.7986176 10.5216681, 122.7978739 10.5222208)",Veraguth Street
318321208,713,tertiary,False,True,193.50199999999998,"LINESTRING (122.7986176 10.5216681, 122.7991086 10.521313, 122.7996323 10.5209279, 122.7998851 10.5207447, 122.800042 10.5206352)",Veraguth Street
318696219,,residential,False,True,215.263,"LINESTRING (122.7986176 10.5216681, 122.7988122 10.5218905, 122.7990392 10.5221441, 122.799228 10.5224179, 122.7995689 10.5229616, 122.7996156 10.5229796, 122.7997581 10.5229939, 122.7998422 10.5230165, 122.7998905 10.5230521)",
318321208,713,tertiary,False,True,119.776,"LINESTRING (122.8006429 10.520183, 122.8014715 10.5194783)",Veraguth Street
318321208,713,tertiary,False,False,82.729,"LINESTRING (122.8006429 10.520183, 122.80016 10.5205455, 122.800042 10.5206352)",Veraguth Street
318696220,,residential,False,False,155.00300000000001,"LINESTRING (122.8006429 10.520183, 122.8011944 10.5206699, 122.8015699 10.5209653, 122.8017346 10.5210692)",
318696257,,residential,False,True,89.659,"LINESTRING (122.8021252 10.5222988, 122.8013898 10.5219419)",
791197998,,tertiary,False,False,104.67,"LINESTRING (122.8021252 10.5222988, 122.8026335 10.5215011)",
791197998,,tertiary,False,True,148.236,"LINESTRING (122.8021252 10.5222988, 122.8014328 10.523445)",
