osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref
96107932,False,2,Karola Miarki,tertiary,50,True,36.93,"LINESTRING (18.9439767 50.3736718, 18.9437 50.3736926, 18.9436336 50.373699, 18.9434606 50.3737157)",
"[782181804, 233223159]",False,4,Bytomska,tertiary,50,True,196.93,"LINESTRING (18.9439767 50.3736718, 18.9439814 50.3735021, 18.9439852 50.3734543, 18.9440278 50.3729252, 18.9440596 50.3725514, 18.9440818 50.3722843, 18.9441097 50.3719029)",
368281750,False,4,Bytomska,tertiary,50,False,97.80199999999999,"LINESTRING (18.9439767 50.3736718, 18.9439567 50.3738956, 18.9439527 50.3739547, 18.9439342 50.3742279, 18.9439508 50.3745505)",
"[1235279816, 96107961, 1235279815]",False,2,Karola Miarki,tertiary,50,False,482.87300000000005,"LINESTRING (18.9367621 50.3738926, 18.9370218 50.373977, 18.9372225 50.3740363, 18.9373296 50.3740649, 18.9374383 50.3740832, 18.937553 50.3740899, 18.9376552 50.3740884, 18.9377508 50.3740783, 18.9380374 50.3740408, 18.9387049 50.3739536, 18.9393356 50.3738982, 18.9399468 50.3738439, 18.9407361 50.373785, 18.9410171 50.3737703, 18.9420384 50.3737653, 18.942511 50.3737728, 18.9427225 50.373773, 18.942825 50.3737661, 18.9434606 50.3737157)",
"[172176096, 368281751]",False,2,Karola Miarki,tertiary,50,True,215.08599999999998,"LINESTRING (18.9367621 50.3738926, 18.9365476 50.3737989, 18.9363087 50.3736822, 18.9358298 50.3734442, 18.9354638 50.3732623, 18.9350894 50.3730917, 18.9349112 50.3730143, 18.9342974 50.3727681)",
96107950,False,2,1 Maja,residential,50,False,134.815,"LINESTRING (18.9441097 50.3719029, 18.9439344 50.371904, 18.9436583 50.3719057, 18.9434703 50.3719214, 18.9431867 50.3719711, 18.9422795 50.3721824)",
"[782181804, 233223159]",False,4,Bytomska,tertiary,50,False,196.93,"LINESTRING (18.9441097 50.3719029, 18.9440818 50.3722843, 18.9440596 50.3725514, 18.9440278 50.3729252, 18.9439852 50.3734543, 18.9439814 50.3735021, 18.9439767 50.3736718)",
233223160,False,2,Bytomska,tertiary,,True,205.98000000000002,"LINESTRING (18.9437054 50.377888, 18.9437122 50.3777813, 18.9437147 50.3777374, 18.9437276 50.3775125, 18.943729 50.3774884, 18.943748 50.377156, 18.9438074 50.3765833, 18.943829 50.3763756, 18.9438513 50.3760381)",
580953544,False,2,Bytomska,tertiary,50,False,73.839,"LINESTRING (18.9437054 50.377888, 18.9436992 50.3779964, 18.9436673 50.3785516)",
"[150619901, 1204389407]",False,"['2', '3']",Pod Lipami,tertiary,,True,190.33799999999997,"LINESTRING (18.9437054 50.377888, 18.9435027 50.3779025, 18.942887 50.3779498, 18.9426391 50.3779688, 18.9425294 50.3779772, 18.9416744 50.3780308, 18.9410367 50.3780707)",
