osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,junction,maxspeed
200769847,Kościelna,residential,False,False,57.607,"LINESTRING (16.6762212 54.3577392, 16.676358 54.3577018, 16.6770303 54.3575245)",,,,
252135002,Józefa Chełmońskiego,residential,False,True,151.109,"LINESTRING (16.6762212 54.3577392, 16.6761138 54.3577649, 16.6760182 54.3577792, 16.6758988 54.3577857, 16.6742923 54.3577718, 16.6741342 54.3577826, 16.6739029 54.3577883)",,,,
252135000,Armii Krajowej,secondary,False,True,119.562,"LINESTRING (16.6737916 54.3567159, 16.6737827 54.3567934, 16.6737931 54.3568785, 16.6738713 54.3573871, 16.6738879 54.3575968, 16.6739029 54.3577883)",205,,,
23806101,Kościelna,residential,False,True,112.64799999999998,"LINESTRING (16.6806416 54.3573841, 16.6800482 54.3573184, 16.6798355 54.3572991, 16.67968 54.3572894, 16.6794617 54.3572896, 16.6792916 54.3572997, 16.678921 54.357327)",,,,
23806101,Kościelna,residential,False,False,46.931,"LINESTRING (16.6782044 54.3573883, 16.678921 54.357327)",,,,
439107327,Polanowska,residential,False,True,79.426,"LINESTRING (16.6782044 54.3573883, 16.6781251 54.3581011)",,,,
200769846,Kościelna,residential,False,True,34.364000000000004,"LINESTRING (16.6782044 54.3573883, 16.6779981 54.3573836, 16.6778323 54.3573882, 16.6776777 54.3574069)",,,,
201605050,Koszalińska,tertiary,False,False,80.726,"LINESTRING (16.6770303 54.3575245, 16.6775379 54.3581875)",,,,
200769847,Kościelna,residential,False,True,57.607,"LINESTRING (16.6770303 54.3575245, 16.676358 54.3577018, 16.6762212 54.3577392)",,,,
1222523096,Kościelna,residential,True,False,43.979,"LINESTRING (16.6770303 54.3575245, 16.6772664 54.3574899, 16.6776777 54.3574069)",,,,
200840966,Aleja Wojska Polskiego,residential,False,True,186.221,"LINESTRING (16.6740361 54.3652952, 16.6742982 54.3652747, 16.6752455 54.3652006, 16.6758626 54.3651523, 16.6766521 54.3650905, 16.6767437 54.3650834, 16.676777 54.3650808, 16.676885 54.3650723)",,,,
294896034,Aleja Wojska Polskiego,residential,False,False,113.631,"LINESTRING (16.6740361 54.3652952, 16.6737929 54.3653094, 16.6733913 54.3653193, 16.673243 54.3653229, 16.6722933 54.3654013)",,,,
"[456173843, 294896035, 200840943]",Armii Krajowej,secondary,False,False,148.752,"LINESTRING (16.6740361 54.3652952, 16.6740331 54.3651853, 16.6740185 54.3646575, 16.6740191 54.3644567, 16.6740636 54.3639582)",205,yes,,
23806007,Aleja Zachodnia,residential,False,True,24.691,"LINESTRING (16.676885 54.3650723, 16.676922 54.3652933)",,,,
200840966,Aleja Wojska Polskiego,residential,False,False,186.221,"LINESTRING (16.676885 54.3650723, 16.676777 54.3650808, 16.6767437 54.3650834, 16.6766521 54.3650905, 16.6758626 54.3651523, 16.6752455 54.3652006, 16.6742982 54.3652747, 16.6740361 54.3652952)",,,,
200840966,Aleja Wojska Polskiego,residential,False,True,154.616,"LINESTRING (16.676885 54.3650723, 16.6789973 54.3648604, 16.679237 54.3648363)",,,,
294896034,Aleja Wojska Polskiego,residential,False,True,74.174,"LINESTRING (16.6711658 54.3655173, 16.6722933 54.3654013)",,,,
23806044,Zielona,residential,False,False,267.361,"LINESTRING (16.6711658 54.3655173, 16.6713773 54.3662762, 16.6714673 54.366329, 16.6725721 54.3662551, 16.6726715 54.365991, 16.6724446 54.365814, 16.6722933 54.3654013)",,,,
294896034,Aleja Wojska Polskiego,residential,False,False,59.06,"LINESTRING (16.6711658 54.3655173, 16.6706841 54.3655502, 16.6703109 54.3656021, 16.6702691 54.3656079)",,,,
294896034,Aleja Wojska Polskiego,residential,False,False,74.174,"LINESTRING (16.6722933 54.3654013, 16.6711658 54.3655173)",,,,
23806044,Zielona,residential,False,True,267.361,"LINESTRING (16.6722933 54.3654013, 16.6724446 54.365814, 16.6726715 54.365991, 16.6725721 54.3662551, 16.6714673 54.366329, 16.6713773 54.3662762, 16.6711658 54.3655173)",,,,
294896034,Aleja Wojska Polskiego,residential,False,True,113.631,"LINESTRING (16.6722933 54.3654013, 16.673243 54.3653229, 16.6733913 54.3653193, 16.6737929 54.3653094, 16.6740361 54.3652952)",,,,
23806081,Henryka Sienkiewicza,residential,False,False,71.713,"LINESTRING (16.6755614 54.359523, 16.6744547 54.3595315)",,,,
23806081,Henryka Sienkiewicza,residential,False,True,19.518,"LINESTRING (16.6755614 54.359523, 16.6758626 54.3595259)",,,,
23806081,Henryka Sienkiewicza,residential,False,False,19.518,"LINESTRING (16.6758626 54.3595259, 16.6755614 54.359523)",,,,
23806024,Powstańców Warszawskich,residential,False,True,197.97700000000003,"LINESTRING (16.6758626 54.3595259, 16.6758791 54.360091, 16.6759032 54.3602496, 16.6759617 54.3603543, 16.6760756 54.3604852, 16.6764665 54.3609162, 16.6766627 54.3611243, 16.676724 54.3611894)",,,,
289379687,Plac Wolności,residential,False,False,53.998999999999995,"LINESTRING (16.6758626 54.3595259, 16.6758474 54.3591344, 16.6758509 54.3590404)",,,,
23806081,Henryka Sienkiewicza,residential,False,True,34.74,"LINESTRING (16.6739189 54.3595431, 16.6740734 54.3595394, 16.6744547 54.3595315)",,,,
1236105229,Armii Krajowej,secondary,False,False,195.132,"LINESTRING (16.6739189 54.3595431, 16.6739069 54.358349, 16.6739084 54.3579234, 16.6739029 54.3577883)",205,,,
"[1236105232, 1236105230, 1236105231]",Armii Krajowej,secondary,False,True,172.34799999999998,"LINESTRING (16.6739189 54.3595431, 16.67392 54.3596272, 16.6739264 54.360015, 16.6739358 54.3605811, 16.6739429 54.3610062, 16.6739413 54.361093)",205,,,
23806129,Jedności Narodowej,tertiary,True,False,14.331,"LINESTRING (16.6783574 54.3605781, 16.6785487 54.3605134)",,,,
675506512,Mikołaja Kopernika,tertiary,False,True,55.285,"LINESTRING (16.6783574 54.3605781, 16.6783032 54.3605975, 16.6779347 54.3607414, 16.6779214 54.3607468, 16.6776397 54.3608468)",,,,
200769843,Jedności Narodowej,residential,False,False,64.606,"LINESTRING (16.6787294 54.3610847, 16.6786147 54.360709, 16.6785738 54.3605749, 16.6785487 54.3605134)",,,,
252134999,Marii Curie-Skłodowskiej,residential,False,False,7.429,"LINESTRING (16.6786121 54.3632235, 16.6786699 54.3631658)",,,,
1175895162,Adama Mickiewicza,residential,False,True,60.355000000000004,"LINESTRING (16.6786121 54.3632235, 16.6778845 54.3633613, 16.6777257 54.3633905)",,,,
363890149,Basztowa,residential,True,False,127.75399999999999,"LINESTRING (16.6770844 54.3640979, 16.6772089 54.3641339, 16.6773366 54.3641645, 16.677551 54.3641859, 16.6781101 54.3642074, 16.6783455 54.3642048, 16.678591 54.3641892, 16.6790173 54.3641398)",,,,
